liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Crosses open play,Goal Assists,Shots Off Target (inc woodwork),Duels,Goals from Inside Box,Left Foot Goals,Ground Duels,Second Goal Assists,Successful Long Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Hit Woodwork,Starts,Ground Duels won,Total Fouls Won,Clean Sheets,Aerial Duels,Goals Conceded Inside Box,Total Shots,Aerial Duels lost,Through balls,Yellow Cards,Unsuccessful Short Passes,Total Clearances,PutThrough/Blocked Distribution Won,Substitute Off,Aerial Duels won,Unsuccessful lay-offs,Total Passes,Penalty Goals Conceded,Goals from Outside Box,Total Touches In Opposition Box,Set Pieces Goals,Assists (Intentional),Foul Attempted Tackle,Interceptions,Successful Launches,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Penalty Goals,Touches,Goals Conceded Outside Box,Time Played,Recoveries,Successful Corners into Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Lay-offs,Successful Open Play Passes,Penalties Taken,Duels won,Leftside Passes,Unsuccessful Passes Opposition Half,Goals,Successful Passes Opposition Half,Successful Passes Own Half,Total Tackles,Unsuccessful Corners into Box,Unsuccessful Long Passes,Backward Passes,Index,Blocked Shots,Times Tackled,Penalties Off Target,Total Losses Of Possession,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Ground Duels lost,Duels lost,Total Fouls Conceded,Successful Dribbles,Shots On Target ( inc goals ),Unsuccessful Launches,Games Played,Successful Crosses open play,Blocks,Offsides,Throw Ins to Own Player,Attempts from Set Pieces,Open Play Passes,Key Passes (Attempt Assists),Tackles Lost,Appearances,Corners Won,Rightside Passes,Corners Taken (incl short corners),Unsuccessful Dribbles,Forward Passes,Home Goals,Away Goals,Winning Goal,Substitute On,Throw Ins to Opposition Player,Clearances Off the Line,Right Foot Goals,Penalties Conceded,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Handballs conceded,Straight Red Cards,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Last Man Tackle,Goalkeeper Smother,Saves made - caught,Penalties Saved,Penalties Faced,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves from Penalty,Punches,Headed Goals,Own Goal Scored
USA_MLS,2018,Philadelphia Union,1hl59djjogr15wtdp8xvages5,D. Accam,Forward,7,8.0,227.0,11.0,,10.0,184.0,1.0,,157.0,,7.0,22.0,77.0,,13.0,77.0,22.0,2.0,27.0,21.0,24.0,21.0,1.0,3.0,65.0,2.0,15.0,10.0,6.0,1.0,311.0,2.0,,77.0,,,10.0,13.0,,27.0,,20.0,,594.0,1.0,1213.0,52.0,,234.0,10.0,232.0,,83.0,37.0,80.0,1.0,167.0,69.0,23.0,,12.0,78.0,29.0,13.0,,,180.0,2.0,11.0,80.0,101.0,20.0,32.0,14.0,5.0,23.0,2.0,,14.0,11.0,2.0,309.0,13.0,3.0,23.0,18.0,114.0,1.0,28.0,82.0,,,,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Philadelphia Union,azux16bldhwiz53oze4zyzb3d,E. Ayuk,Midfielder,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Philadelphia Union,6761vkpm5baaimcyxq3y5r2z9,A. Bedoya,Midfielder,11,43.0,1429.0,14.0,5.0,17.0,254.0,3.0,1.0,171.0,1.0,66.0,47.0,200.0,2.0,32.0,72.0,20.0,9.0,83.0,41.0,30.0,32.0,2.0,5.0,169.0,40.0,21.0,2.0,51.0,1.0,1695.0,5.0,,89.0,,5.0,26.0,26.0,3.0,58.0,,24.0,,2055.0,6.0,2859.0,174.0,,1495.0,27.0,1471.0,,123.0,629.0,172.0,3.0,956.0,545.0,38.0,1.0,31.0,230.0,53.0,10.0,,,282.0,6.0,15.0,99.0,131.0,41.0,15.0,13.0,6.0,34.0,6.0,6.0,9.0,26.0,,1671.0,30.0,14.0,34.0,15.0,338.0,1.0,19.0,498.0,,,,2.0,,,1.0,1.0,,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,
USA_MLS,2018,Philadelphia Union,vii7iwznqiwigznyp13a6505,A. Blake,Goalkeeper,18,69.0,246.0,,,,21.0,,,8.0,,267.0,53.0,313.0,,34.0,5.0,4.0,10.0,13.0,47.0,,,,2.0,6.0,19.0,,,13.0,,826.0,8.0,,,,,1.0,5.0,129.0,,,,,1222.0,6.0,3060.0,334.0,,513.0,,297.0,,18.0,67.0,244.0,,184.0,329.0,,,307.0,,66.0,,,,319.0,,,3.0,3.0,1.0,2.0,,169.0,34.0,,,,,,444.0,,,34.0,,116.0,,,643.0,,,,,,,,1.0,341.0,80.0,108.0,119.0,,,,,,1.0,,1.0,11.0,,8.0,4.0,36.0,39.0,38.0,,5.0,,
USA_MLS,2018,Philadelphia Union,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,Forward,19,14.0,154.0,5.0,1.0,38.0,289.0,10.0,1.0,171.0,,3.0,26.0,90.0,1.0,16.0,81.0,35.0,2.0,118.0,20.0,58.0,57.0,2.0,4.0,82.0,13.0,17.0,9.0,61.0,6.0,247.0,3.0,1.0,112.0,,1.0,25.0,3.0,,25.0,2.0,21.0,,572.0,6.0,1517.0,44.0,,157.0,20.0,149.0,,142.0,59.0,81.0,11.0,119.0,40.0,29.0,,8.0,73.0,90.0,7.0,,,192.0,2.0,5.0,90.0,147.0,51.0,23.0,20.0,2.0,30.0,2.0,1.0,9.0,1.0,,238.0,8.0,8.0,30.0,15.0,56.0,,18.0,59.0,,,,14.0,3.0,,6.0,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,4.0,
USA_MLS,2018,Philadelphia Union,esar6s7x5ldt5uhhseyj2nnit,W. Creavalle,Midfielder,2,15.0,324.0,1.0,1.0,1.0,90.0,,,83.0,,33.0,15.0,58.0,,7.0,49.0,13.0,2.0,7.0,12.0,2.0,5.0,2.0,2.0,39.0,12.0,6.0,2.0,2.0,,415.0,3.0,,5.0,,1.0,8.0,32.0,1.0,16.0,,20.0,,561.0,3.0,726.0,64.0,,357.0,6.0,353.0,,51.0,111.0,44.0,,206.0,152.0,26.0,,19.0,57.0,100.0,1.0,,,91.0,1.0,1.0,34.0,39.0,11.0,10.0,1.0,7.0,18.0,1.0,,1.0,1.0,,410.0,3.0,6.0,18.0,3.0,119.0,,3.0,128.0,,,,11.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Philadelphia Union,7lmuf9j0icixkrlxhvf1q0atx,B. Dočkal,Midfielder,10,51.0,1257.0,52.0,12.0,16.0,208.0,5.0,2.0,173.0,6.0,97.0,39.0,328.0,1.0,31.0,72.0,23.0,1.0,35.0,35.0,35.0,22.0,9.0,1.0,278.0,3.0,17.0,19.0,13.0,4.0,1682.0,6.0,,65.0,,9.0,13.0,14.0,3.0,58.0,,19.0,1.0,2139.0,4.0,2487.0,108.0,29.0,1354.0,75.0,1247.0,1.0,85.0,335.0,387.0,5.0,1012.0,386.0,24.0,45.0,50.0,284.0,67.0,9.0,,,542.0,44.0,110.0,101.0,123.0,23.0,25.0,19.0,6.0,32.0,15.0,1.0,2.0,28.0,2.0,1562.0,78.0,5.0,32.0,26.0,564.0,98.0,14.0,499.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Philadelphia Union,b4e6lsrz4cmr2q50235620qnd,J. Elliott,Defender,3,46.0,635.0,2.0,,2.0,118.0,2.0,,74.0,,62.0,23.0,149.0,,16.0,44.0,9.0,5.0,44.0,20.0,5.0,18.0,1.0,5.0,58.0,82.0,5.0,1.0,26.0,,846.0,2.0,,11.0,,,14.0,18.0,8.0,11.0,,23.0,,1041.0,3.0,1430.0,102.0,,697.0,,681.0,,70.0,276.0,105.0,2.0,202.0,495.0,33.0,,91.0,47.0,53.0,2.0,,,162.0,,2.0,30.0,48.0,21.0,2.0,3.0,31.0,17.0,,14.0,,2.0,,826.0,2.0,10.0,17.0,,176.0,,,347.0,,,,1.0,,1.0,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
USA_MLS,2018,Philadelphia Union,csx9pmpibyblftludnkd6j36x,M. Epps,Midfielder,20,18.0,159.0,12.0,,3.0,89.0,1.0,,60.0,2.0,7.0,10.0,62.0,,8.0,26.0,7.0,,29.0,9.0,6.0,16.0,,,53.0,2.0,8.0,8.0,13.0,,228.0,2.0,,28.0,,,1.0,4.0,,18.0,,7.0,,362.0,1.0,609.0,30.0,,166.0,3.0,166.0,,39.0,87.0,56.0,1.0,104.0,63.0,14.0,,9.0,70.0,88.0,4.0,,,122.0,1.0,12.0,34.0,50.0,2.0,5.0,3.0,6.0,13.0,1.0,1.0,1.0,10.0,,228.0,5.0,7.0,13.0,5.0,26.0,,15.0,45.0,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Philadelphia Union,cnqxbvy77blk2ulx06t65it49,A. Fontana,Midfielder,21,3.0,33.0,1.0,,3.0,12.0,1.0,1.0,12.0,,1.0,2.0,14.0,,1.0,3.0,2.0,,,2.0,4.0,,,,13.0,,2.0,1.0,,,48.0,,,9.0,,,3.0,4.0,,4.0,,,,72.0,,98.0,8.0,1.0,34.0,3.0,33.0,,3.0,12.0,13.0,1.0,25.0,10.0,,1.0,1.0,9.0,25.0,1.0,,,20.0,1.0,2.0,9.0,9.0,4.0,1.0,1.0,,5.0,,,,2.0,,47.0,4.0,,5.0,1.0,13.0,2.0,1.0,14.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Philadelphia Union,9gvhifwtxm19v78bjp8wr2c45,R. Gaddis,Defender,28,54.0,828.0,18.0,1.0,4.0,178.0,,,148.0,1.0,61.0,43.0,152.0,,26.0,100.0,27.0,6.0,30.0,37.0,9.0,18.0,,1.0,109.0,38.0,18.0,1.0,12.0,,1041.0,6.0,,11.0,,1.0,3.0,26.0,8.0,33.0,,40.0,,1498.0,6.0,2388.0,175.0,,889.0,,870.0,,112.0,82.0,116.0,,429.0,465.0,59.0,,43.0,156.0,65.0,2.0,,,237.0,5.0,18.0,48.0,66.0,12.0,14.0,5.0,28.0,29.0,5.0,5.0,,130.0,,1021.0,9.0,19.0,29.0,9.0,454.0,,7.0,349.0,,,,3.0,24.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Philadelphia Union,47tuiac0bvncdjchhc2umerjd,F. Herbers,Forward,14,7.0,141.0,11.0,,3.0,49.0,,,40.0,,6.0,7.0,31.0,1.0,5.0,23.0,8.0,,9.0,7.0,4.0,6.0,,,30.0,5.0,9.0,4.0,3.0,,178.0,2.0,,16.0,,,3.0,4.0,,18.0,1.0,10.0,,267.0,,428.0,24.0,,147.0,7.0,144.0,,26.0,61.0,35.0,,100.0,50.0,14.0,,1.0,62.0,46.0,1.0,,,63.0,3.0,11.0,17.0,23.0,6.0,1.0,1.0,1.0,9.0,2.0,,,4.0,,175.0,7.0,4.0,9.0,8.0,21.0,,3.0,34.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
