liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Crosses open play,Goal Assists,Shots Off Target (inc woodwork),Duels,Goals from Inside Box,Left Foot Goals,Ground Duels,Second Goal Assists,Successful Long Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Hit Woodwork,Starts,Ground Duels won,Total Fouls Won,Clean Sheets,Aerial Duels,Goals Conceded Inside Box,Total Shots,Aerial Duels lost,Through balls,Yellow Cards,Unsuccessful Short Passes,Total Clearances,PutThrough/Blocked Distribution Won,Substitute Off,Aerial Duels won,Unsuccessful lay-offs,Total Passes,Penalty Goals Conceded,Goals from Outside Box,Total Touches In Opposition Box,Set Pieces Goals,Assists (Intentional),Foul Attempted Tackle,Interceptions,Successful Launches,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Penalty Goals,Touches,Goals Conceded Outside Box,Time Played,Recoveries,Successful Corners into Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Lay-offs,Successful Open Play Passes,Penalties Taken,Duels won,Leftside Passes,Unsuccessful Passes Opposition Half,Goals,Successful Passes Opposition Half,Successful Passes Own Half,Total Tackles,Unsuccessful Corners into Box,Unsuccessful Long Passes,Backward Passes,Index,Blocked Shots,Times Tackled,Penalties Off Target,Total Losses Of Possession,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Ground Duels lost,Duels lost,Total Fouls Conceded,Successful Dribbles,Shots On Target ( inc goals ),Unsuccessful Launches,Games Played,Successful Crosses open play,Blocks,Offsides,Throw Ins to Own Player,Attempts from Set Pieces,Open Play Passes,Key Passes (Attempt Assists),Tackles Lost,Appearances,Corners Won,Rightside Passes,Corners Taken (incl short corners),Unsuccessful Dribbles,Forward Passes,Home Goals,Away Goals,Winning Goal,Substitute On,Throw Ins to Opposition Player,Clearances Off the Line,Right Foot Goals,Penalties Conceded,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Handballs conceded,Straight Red Cards,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Last Man Tackle,Goalkeeper Smother,Saves made - caught,Penalties Saved,Penalties Faced,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves from Penalty,Punches,Headed Goals,Own Goal Scored
USA_MLS,2018,Real Salt Lake,ac9ebvt008vz5mivsqkroaw2d,D. Acosta,Midfielder,25,26.0,304.0,8.0,1.0,1.0,123.0,,,89.0,1.0,26.0,13.0,79.0,,10.0,52.0,13.0,3.0,34.0,12.0,3.0,19.0,2.0,,54.0,13.0,13.0,1.0,15.0,,409.0,1.0,,10.0,,,10.0,13.0,3.0,25.0,,20.0,,648.0,1.0,896.0,47.0,,330.0,,321.0,,67.0,18.0,61.0,,186.0,147.0,27.0,,25.0,85.0,79.0,1.0,,,137.0,3.0,8.0,37.0,56.0,17.0,12.0,2.0,11.0,12.0,3.0,1.0,,69.0,,400.0,4.0,7.0,12.0,3.0,153.0,,8.0,153.0,,,,2.0,15.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,bi8r4u9lcwsdv044kkxr1fbh1,C. Baird,Midfielder,17,22.0,317.0,8.0,5.0,14.0,176.0,8.0,1.0,127.0,,9.0,36.0,102.0,3.0,22.0,46.0,13.0,1.0,49.0,31.0,34.0,43.0,2.0,5.0,97.0,14.0,13.0,15.0,6.0,6.0,428.0,2.0,,79.0,,4.0,11.0,4.0,1.0,34.0,1.0,13.0,,687.0,5.0,1975.0,49.0,,326.0,46.0,313.0,,52.0,114.0,88.0,8.0,233.0,96.0,20.0,,5.0,145.0,86.0,5.0,,,215.0,3.0,8.0,81.0,124.0,23.0,14.0,20.0,3.0,33.0,3.0,1.0,14.0,9.0,,414.0,20.0,7.0,33.0,9.0,95.0,1.0,22.0,74.0,,,,11.0,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,
USA_MLS,2018,Real Salt Lake,ebda6c5j524265cn0wzflchjp,S. Barry,Defender,26,2.0,52.0,,,,27.0,,,20.0,,4.0,6.0,11.0,,3.0,13.0,6.0,,7.0,6.0,,2.0,,1.0,6.0,6.0,1.0,2.0,5.0,,67.0,,,2.0,,,,3.0,,2.0,,7.0,,124.0,,204.0,12.0,,56.0,1.0,55.0,,18.0,26.0,9.0,,22.0,34.0,7.0,,5.0,12.0,2.0,,,,23.0,,,7.0,9.0,2.0,2.0,,5.0,4.0,,,,15.0,,66.0,1.0,,4.0,1.0,2.0,,,27.0,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,6grvi28hzez37brwuct4wzo45,K. Beckerman,Midfielder,5,91.0,1533.0,1.0,,10.0,292.0,1.0,1.0,245.0,1.0,170.0,57.0,305.0,,32.0,128.0,28.0,7.0,47.0,48.0,15.0,24.0,1.0,10.0,178.0,71.0,28.0,1.0,23.0,,2008.0,6.0,,25.0,,,39.0,51.0,8.0,47.0,,57.0,,2422.0,9.0,2891.0,218.0,,1703.0,19.0,1636.0,,151.0,639.0,215.0,1.0,797.0,909.0,85.0,,127.0,213.0,50.0,11.0,,,360.0,3.0,1.0,117.0,141.0,60.0,15.0,5.0,43.0,34.0,3.0,13.0,1.0,2.0,,1933.0,28.0,28.0,34.0,11.0,501.0,,5.0,655.0,,,,2.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,eauhubbodki4io4oeyaxmdr6d,A. Beltran,Defender,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,akl6kso1e1wtr4sdvplwn8nop,N. Besler,Midfielder,13,59.0,722.0,1.0,,2.0,148.0,1.0,1.0,82.0,,77.0,29.0,126.0,,16.0,52.0,17.0,2.0,66.0,26.0,3.0,30.0,,1.0,74.0,43.0,5.0,2.0,36.0,,925.0,3.0,,6.0,,,9.0,30.0,10.0,10.0,,19.0,,1112.0,3.0,1521.0,102.0,,799.0,1.0,784.0,,88.0,308.0,68.0,1.0,196.0,603.0,32.0,,52.0,50.0,37.0,,,,143.0,,1.0,30.0,60.0,16.0,3.0,1.0,31.0,23.0,,14.0,,5.0,,904.0,,13.0,23.0,1.0,215.0,,,352.0,,,,7.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,bkgs0bu84fid8674okqo4r7x1,J. Glad,Defender,15,104.0,1308.0,2.0,,4.0,271.0,,,134.0,,147.0,57.0,236.0,,33.0,66.0,17.0,7.0,137.0,48.0,9.0,55.0,,6.0,131.0,134.0,9.0,2.0,82.0,,1691.0,5.0,,23.0,,,16.0,93.0,16.0,13.0,,29.0,,2120.0,9.0,2960.0,185.0,,1455.0,1.0,1417.0,,148.0,356.0,134.0,,322.0,1133.0,46.0,,105.0,119.0,50.0,2.0,,,274.0,,2.0,68.0,123.0,35.0,4.0,5.0,43.0,35.0,,29.0,,8.0,,1644.0,7.0,17.0,35.0,3.0,614.0,,2.0,602.0,,,,2.0,,2.0,,2.0,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,61x1kpx0jlmmyzp497q42ro45,A. Henley,Defender,3,10.0,68.0,1.0,,,26.0,,,16.0,,5.0,8.0,27.0,,2.0,11.0,3.0,,10.0,8.0,,5.0,,1.0,17.0,12.0,5.0,1.0,5.0,,100.0,1.0,,1.0,,,2.0,2.0,,9.0,,4.0,,168.0,,260.0,13.0,,73.0,,71.0,,16.0,6.0,18.0,,24.0,49.0,6.0,,10.0,29.0,16.0,1.0,,,39.0,,1.0,5.0,10.0,3.0,3.0,,5.0,5.0,,1.0,,18.0,,96.0,,2.0,5.0,,22.0,,1.0,43.0,,,,3.0,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,4eaw6l0418q57ktjma0k5lnt,A. Herrera,Defender,22,52.0,557.0,9.0,,1.0,150.0,,,115.0,,49.0,26.0,131.0,,17.0,62.0,13.0,2.0,35.0,20.0,3.0,23.0,1.0,4.0,73.0,43.0,17.0,2.0,12.0,,737.0,2.0,,7.0,,,7.0,24.0,4.0,36.0,,34.0,,1133.0,6.0,1506.0,111.0,,606.0,,595.0,,74.0,20.0,88.0,,262.0,349.0,43.0,,58.0,144.0,100.0,1.0,,,219.0,5.0,9.0,53.0,76.0,17.0,6.0,2.0,36.0,19.0,5.0,7.0,,113.0,,723.0,11.0,9.0,19.0,2.0,310.0,,6.0,263.0,,,,2.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,c7wtw0lejf07dv7ubm7ox3yz9,D. Horst,Defender,4,16.0,97.0,,,1.0,38.0,,,20.0,,10.0,9.0,35.0,,3.0,15.0,8.0,1.0,18.0,9.0,1.0,4.0,,,16.0,21.0,2.0,1.0,14.0,,142.0,1.0,,3.0,,,1.0,7.0,,5.0,1.0,3.0,,200.0,,312.0,24.0,,107.0,,100.0,,29.0,39.0,19.0,,20.0,87.0,6.0,,19.0,11.0,47.0,1.0,,,41.0,,,5.0,9.0,2.0,2.0,,12.0,5.0,,,,1.0,,134.0,1.0,3.0,5.0,1.0,17.0,,,75.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,cix67to6mbewf7x3egcecexg5,A. Horwath,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,2oniw9tmxdoq1lsfhf61i14ut,D. Kreilach,Midfielder,8,75.0,1177.0,8.0,5.0,26.0,458.0,13.0,,212.0,4.0,102.0,62.0,308.0,1.0,34.0,100.0,51.0,5.0,246.0,52.0,57.0,117.0,5.0,5.0,258.0,36.0,6.0,8.0,129.0,9.0,1587.0,6.0,2.0,82.0,,4.0,20.0,17.0,9.0,29.0,,25.0,,2012.0,10.0,3054.0,114.0,,1279.0,82.0,1249.0,,229.0,392.0,241.0,15.0,737.0,543.0,44.0,,50.0,327.0,63.0,19.0,,,434.0,1.0,8.0,112.0,229.0,43.0,9.0,31.0,18.0,36.0,1.0,11.0,17.0,3.0,1.0,1556.0,33.0,19.0,36.0,13.0,431.0,,9.0,437.0,,,,2.0,,,9.0,2.0,,,,,9.0,,,,,,,,,,,,,,,,,6.0,
USA_MLS,2018,Real Salt Lake,u186xfv20842mb4dkern2vvt,J. Leeker,Goalkeeper,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,234q7lf0bx51r8wehvg51r4k5,B. Lennon,Defender,12,85.0,1295.0,65.0,5.0,2.0,256.0,,,180.0,1.0,122.0,60.0,282.0,1.0,35.0,100.0,15.0,6.0,76.0,50.0,5.0,31.0,,7.0,164.0,69.0,20.0,4.0,45.0,,1699.0,6.0,,23.0,,5.0,9.0,46.0,9.0,41.0,,31.0,,2496.0,10.0,3120.0,162.0,,1417.0,4.0,1384.0,,145.0,784.0,262.0,,705.0,746.0,48.0,,118.0,328.0,91.0,2.0,,,486.0,34.0,65.0,80.0,111.0,25.0,37.0,3.0,45.0,36.0,34.0,7.0,1.0,284.0,,1657.0,37.0,17.0,36.0,13.0,64.0,,18.0,523.0,,,,1.0,41.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,9tkrw0zc8a7zpkeourj1f5016,R. Lopez-Espin,Forward,28,,5.0,,,1.0,1.0,,,1.0,,,2.0,,,,,,,,2.0,1.0,,,,,,,,,,5.0,1.0,,1.0,,,1.0,,,,,,,8.0,,22.0,2.0,,5.0,,3.0,,,2.0,,,2.0,3.0,,,,1.0,19.0,,,,2.0,,,1.0,1.0,1.0,,,,1.0,,,,,,3.0,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,cnh3usxfgrxwkye544kwf3t1x,L. Mulholland,Midfielder,19,11.0,67.0,2.0,1.0,1.0,40.0,,,31.0,,10.0,6.0,45.0,,3.0,21.0,6.0,,9.0,5.0,1.0,6.0,2.0,,31.0,8.0,1.0,1.0,3.0,,122.0,1.0,,4.0,,1.0,2.0,6.0,1.0,3.0,,4.0,,174.0,1.0,270.0,24.0,,77.0,,76.0,,24.0,30.0,36.0,,44.0,33.0,12.0,,14.0,14.0,100.0,1.0,,,54.0,,2.0,10.0,16.0,2.0,3.0,,8.0,4.0,,1.0,,,,121.0,,8.0,4.0,,30.0,,2.0,48.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,8h3i9lz2sybjp5a1ca75xfg7p,N. Onuoha,Defender,14,7.0,101.0,,1.0,2.0,32.0,,,13.0,,13.0,8.0,18.0,,4.0,5.0,4.0,,19.0,6.0,2.0,9.0,,,5.0,29.0,3.0,,10.0,,132.0,1.0,,6.0,,,2.0,8.0,2.0,3.0,,,,199.0,2.0,362.0,13.0,,114.0,,107.0,,15.0,25.0,11.0,,26.0,88.0,1.0,,13.0,17.0,100.0,,,,22.0,,,8.0,17.0,3.0,,,8.0,5.0,,6.0,,1.0,,122.0,,1.0,5.0,1.0,44.0,,1.0,46.0,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,b5zm9xbnjkacreof3dys8vob9,Alfredo Ortuño,Forward,16,3.0,19.0,1.0,,,21.0,,,14.0,,,2.0,12.0,,1.0,3.0,1.0,,7.0,,,3.0,,,11.0,1.0,1.0,1.0,4.0,2.0,31.0,,,2.0,,,,,,3.0,,,,50.0,2.0,119.0,3.0,,19.0,5.0,17.0,,7.0,9.0,10.0,,12.0,7.0,,,1.0,9.0,17.0,,,,26.0,,1.0,11.0,14.0,1.0,2.0,,,3.0,,,2.0,,,29.0,,,3.0,2.0,4.0,,3.0,9.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,819g4ubpkw22jc17wf4zk42c5,T. Peay,Defender,21,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,3y7ax96ce2fu6q67vqhj8o251,D. Phillips,Defender,17,12.0,94.0,4.0,,2.0,40.0,,,31.0,,9.0,8.0,33.0,,5.0,13.0,2.0,1.0,9.0,6.0,2.0,4.0,,2.0,17.0,12.0,5.0,2.0,5.0,,136.0,1.0,,2.0,,,3.0,14.0,4.0,7.0,,4.0,,262.0,2.0,360.0,15.0,,103.0,,102.0,,18.0,3.0,25.0,,56.0,48.0,9.0,,16.0,27.0,19.0,,,,63.0,1.0,4.0,18.0,22.0,5.0,2.0,,9.0,5.0,1.0,1.0,,42.0,,134.0,,5.0,5.0,,49.0,,4.0,57.0,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,4649qle15zg22jj8udivc2ytx,J. Plata,Forward,10,32.0,727.0,17.0,10.0,15.0,193.0,7.0,,175.0,,99.0,37.0,223.0,2.0,22.0,80.0,30.0,,18.0,30.0,46.0,11.0,15.0,,183.0,2.0,11.0,11.0,7.0,2.0,1049.0,4.0,1.0,89.0,1.0,8.0,6.0,3.0,1.0,36.0,2.0,9.0,2.0,1451.0,7.0,1919.0,77.0,13.0,826.0,26.0,802.0,3.0,87.0,115.0,226.0,8.0,628.0,218.0,15.0,17.0,40.0,218.0,69.0,15.0,,,402.0,20.0,35.0,95.0,106.0,15.0,35.0,31.0,4.0,28.0,6.0,1.0,6.0,27.0,7.0,1018.0,53.0,6.0,28.0,22.0,523.0,36.0,22.0,193.0,,,,6.0,,,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
