liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Crosses open play,Goal Assists,Shots Off Target (inc woodwork),Duels,Goals from Inside Box,Left Foot Goals,Ground Duels,Second Goal Assists,Successful Long Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Hit Woodwork,Starts,Ground Duels won,Total Fouls Won,Clean Sheets,Aerial Duels,Goals Conceded Inside Box,Total Shots,Aerial Duels lost,Through balls,Yellow Cards,Unsuccessful Short Passes,Total Clearances,PutThrough/Blocked Distribution Won,Substitute Off,Aerial Duels won,Unsuccessful lay-offs,Total Passes,Penalty Goals Conceded,Goals from Outside Box,Total Touches In Opposition Box,Set Pieces Goals,Assists (Intentional),Foul Attempted Tackle,Interceptions,Successful Launches,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Penalty Goals,Touches,Goals Conceded Outside Box,Time Played,Recoveries,Successful Corners into Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Lay-offs,Successful Open Play Passes,Penalties Taken,Duels won,Leftside Passes,Unsuccessful Passes Opposition Half,Goals,Successful Passes Opposition Half,Successful Passes Own Half,Total Tackles,Unsuccessful Corners into Box,Unsuccessful Long Passes,Backward Passes,Index,Blocked Shots,Times Tackled,Penalties Off Target,Total Losses Of Possession,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Ground Duels lost,Duels lost,Total Fouls Conceded,Successful Dribbles,Shots On Target ( inc goals ),Unsuccessful Launches,Games Played,Successful Crosses open play,Blocks,Offsides,Throw Ins to Own Player,Attempts from Set Pieces,Open Play Passes,Key Passes (Attempt Assists),Tackles Lost,Appearances,Corners Won,Rightside Passes,Corners Taken (incl short corners),Unsuccessful Dribbles,Forward Passes,Home Goals,Away Goals,Winning Goal,Substitute On,Throw Ins to Opposition Player,Clearances Off the Line,Right Foot Goals,Penalties Conceded,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Handballs conceded,Straight Red Cards,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Last Man Tackle,Goalkeeper Smother,Saves made - caught,Penalties Saved,Penalties Faced,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves from Penalty,Punches,Headed Goals,Own Goal Scored
USA_MLS,2018,Seattle Sounders FC,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,Defender,15,10.0,60.0,,,1.0,26.0,,,16.0,,9.0,3.0,27.0,,3.0,7.0,,,10.0,2.0,1.0,5.0,,1.0,19.0,10.0,1.0,1.0,5.0,,96.0,,,1.0,,,6.0,7.0,1.0,2.0,,3.0,,131.0,1.0,220.0,13.0,,69.0,,68.0,,12.0,4.0,17.0,,26.0,43.0,6.0,,8.0,6.0,15.0,,,,29.0,,,9.0,14.0,7.0,1.0,,4.0,4.0,,1.0,,2.0,,95.0,,3.0,4.0,,26.0,,,60.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
USA_MLS,2018,Seattle Sounders FC,abbr148gjj0whyyijov67knv9,O. Alonso,Midfielder,6,40.0,1271.0,12.0,,9.0,245.0,,,216.0,3.0,152.0,25.0,121.0,,23.0,129.0,37.0,2.0,29.0,23.0,11.0,14.0,,7.0,89.0,30.0,14.0,10.0,15.0,,1544.0,1.0,,11.0,,,24.0,26.0,3.0,27.0,,39.0,,1909.0,2.0,2042.0,184.0,,1423.0,15.0,1380.0,,144.0,467.0,93.0,,877.0,549.0,64.0,,32.0,139.0,60.0,6.0,36.0,,213.0,3.0,12.0,87.0,101.0,38.0,28.0,2.0,6.0,27.0,3.0,15.0,1.0,13.0,1.0,1497.0,15.0,25.0,27.0,5.0,466.0,,16.0,472.0,0.0,0.0,0.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Seattle Sounders FC,1612zaoj1lx3v08ko4tdl1vxl,C. Brown,Goalkeeper,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Seattle Sounders FC,dut4jl28mnzev74hm4pc9s2j9,W. Bruin,Forward,17,14.0,315.0,6.0,5.0,11.0,168.0,7.0,4.0,79.0,,2.0,24.0,116.0,1.0,19.0,36.0,21.0,1.0,89.0,21.0,29.0,62.0,1.0,1.0,114.0,8.0,4.0,8.0,27.0,6.0,433.0,2.0,,83.0,,5.0,5.0,8.0,,12.0,,11.0,,636.0,3.0,1833.0,49.0,,317.0,46.0,286.0,,63.0,100.0,108.0,7.0,227.0,90.0,13.0,,2.0,134.0,43.0,9.0,25.0,,192.0,,6.0,43.0,105.0,13.0,3.0,18.0,,30.0,,,19.0,3.0,,401.0,24.0,2.0,30.0,11.0,100.0,,9.0,99.0,2.0,5.0,3.0,11.0,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Seattle Sounders FC,8t08t0apxw269hv16vhxaycbt,H. Bwana,Midfielder,70,11.0,147.0,10.0,1.0,5.0,83.0,2.0,,68.0,,4.0,10.0,48.0,1.0,6.0,32.0,6.0,,15.0,9.0,7.0,12.0,,,43.0,2.0,8.0,6.0,3.0,1.0,199.0,1.0,,37.0,,1.0,2.0,5.0,,15.0,,6.0,,336.0,1.0,527.0,33.0,,151.0,9.0,150.0,,35.0,32.0,48.0,2.0,119.0,36.0,9.0,1.0,5.0,63.0,75.0,4.0,21.0,,105.0,4.0,11.0,36.0,48.0,7.0,17.0,2.0,2.0,13.0,4.0,,2.0,5.0,,198.0,7.0,3.0,13.0,4.0,50.0,1.0,11.0,54.0,0.0,2.0,2.0,7.0,1.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Seattle Sounders FC,358bf9cvmcma6z081v2cqysx5,F. Chenkam,Forward,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Seattle Sounders FC,cv3xqr4xxkxub011e67s2awgl,J. Delem,Midfielder,8,21.0,237.0,1.0,,1.0,75.0,1.0,1.0,58.0,,12.0,9.0,69.0,,10.0,35.0,15.0,1.0,17.0,7.0,2.0,3.0,,5.0,49.0,11.0,9.0,3.0,14.0,,318.0,,,3.0,,,9.0,29.0,1.0,15.0,,14.0,,445.0,2.0,856.0,42.0,,249.0,4.0,246.0,,49.0,78.0,49.0,1.0,108.0,141.0,22.0,,20.0,35.0,23.0,1.0,5.0,,85.0,,1.0,23.0,26.0,14.0,,1.0,11.0,16.0,,6.0,,7.0,,315.0,1.0,8.0,16.0,,72.0,,2.0,133.0,1.0,0.0,0.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Seattle Sounders FC,1l550ygo81yhbyuecd36rx711,C. Dempsey,Midfielder,2,9.0,293.0,2.0,1.0,18.0,108.0,1.0,1.0,66.0,,24.0,13.0,52.0,1.0,9.0,31.0,19.0,1.0,42.0,9.0,30.0,30.0,4.0,1.0,48.0,2.0,3.0,,12.0,1.0,369.0,,,36.0,,1.0,2.0,,,11.0,,3.0,,514.0,4.0,902.0,22.0,,317.0,24.0,303.0,,43.0,108.0,45.0,1.0,225.0,95.0,5.0,,4.0,79.0,45.0,9.0,28.0,,108.0,3.0,2.0,35.0,65.0,8.0,7.0,12.0,,14.0,3.0,1.0,3.0,4.0,3.0,355.0,12.0,2.0,14.0,5.0,108.0,,5.0,74.0,1.0,0.0,0.0,5.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
USA_MLS,2018,Seattle Sounders FC,9dba8to216upd49xlir2i4d05,W. Francis,Defender,90,19.0,242.0,29.0,,1.0,76.0,,,52.0,1.0,7.0,10.0,82.0,,5.0,23.0,4.0,,24.0,9.0,1.0,9.0,1.0,1.0,68.0,12.0,4.0,3.0,15.0,1.0,331.0,,,9.0,,,7.0,16.0,2.0,16.0,,10.0,,521.0,1.0,638.0,32.0,,249.0,1.0,244.0,,38.0,13.0,92.0,,164.0,89.0,18.0,,14.0,80.0,22.0,,16.0,,153.0,4.0,29.0,29.0,38.0,9.0,1.0,,6.0,12.0,4.0,1.0,2.0,46.0,,326.0,7.0,8.0,12.0,4.0,100.0,,6.0,138.0,0.0,0.0,0.0,7.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Seattle Sounders FC,27fyf4lu42ovf02lksw45pjo5,S. Frei,Goalkeeper,24,129.0,394.0,,,,20.0,,,,,259.0,38.0,389.0,,35.0,,2.0,7.0,20.0,31.0,,2.0,,1.0,5.0,30.0,2.0,,18.0,1.0,1042.0,2.0,,,,,,2.0,78.0,2.0,,,,1450.0,7.0,3180.0,351.0,,653.0,,379.0,,18.0,173.0,260.0,,113.0,540.0,,,384.0,,66.0,,,,393.0,,,,2.0,,,,193.0,35.0,,,,,,548.0,1.0,,35.0,1.0,178.0,,,691.0,0.0,0.0,0.0,,,,,,396.0,61.0,125.0,121.0,,,,,,,,1.0,10.0,,2.0,1.0,40.0,59.0,28.0,,17.0,,
