dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
21,,Los Angeles Galaxy,MLS,Defender,USA,1d79dgg6s9l4rus7ge4yxkiqd,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/1d79dgg6s9l4rus7ge4yxkiqd
3,,Los Angeles Galaxy,MLS,Defender,Uruguay,1k1avngdg4brqrwwa52ewiuvp,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/1k1avngdg4brqrwwa52ewiuvp
5,,Los Angeles Galaxy,MLS,Defender,USA,1zt4jb3cd9yqr3sr9mlajdnth,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/1zt4jb3cd9yqr3sr9mlajdnth
19,Juninho Pereira,Los Angeles Galaxy,MLS,Midfielder,Brazil,24wsxjaqzt7ep845sc71u8ct1,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/24wsxjaqzt7ep845sc71u8ct1
,,Los Angeles Galaxy,MLS,Defender,USA,2v5j1i5ae9fnciilwy3op8and,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/2v5j1i5ae9fnciilwy3op8and
2,,Los Angeles Galaxy,MLS,Midfielder,USA,36425j4l7676d4wyubqsunh79,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/36425j4l7676d4wyubqsunh79
11,,Los Angeles Galaxy,MLS,Midfielder,Argentina,3xhgl0jho5nc3wwty990uwlw5,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/3xhgl0jho5nc3wwty990uwlw5
18,,Los Angeles Galaxy,MLS,Attacker,Mexico,4051hgvu9v8jnu9rbbd0pr9bd,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/4051hgvu9v8jnu9rbbd0pr9bd
,,Los Angeles Galaxy,MLS,Midfielder,USA,41sjmbivftzl8asvfssxahene,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/41sjmbivftzl8asvfssxahene
4,,Los Angeles Galaxy,MLS,Defender,USA,49hih9ka1cljgkihamec6b17t,6qr5y32dthc4dqycckwmfj1si,287tckirbfj9nb8ar2k9r60vn,5h2zqy1f45zb5dx265prvs1nu,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/49hih9ka1cljgkihamec6b17t
