liga,temporada,equipo,id,nombre,posicion,dorsal,Rightside Passes,Fifty Fifty,Backward Passes,Unsuccessful Launches,Substitute On,Starts,Total Losses Of Possession,Ground Duels,Total Unsuccessful Passes ( Excl Crosses & Corners ),Times Tackled,Total Tackles,Duels,Forward Passes,Total Fouls Won,Successful Dribbles,Goals Conceded Outside Box,Interceptions,Duels lost,Goal Assists,Successful Lay-offs,Total Fouls Conceded,Successful Short Passes,Games Played,Unsuccessful Dribbles,Appearances,Unsuccessful Passes Own Half,Unsuccessful Crosses open play,Total Shots,Total Passes,Unsuccessful Short Passes,Successful Fifty Fifty,Aerial Duels won,Aerial Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Throw Ins to Own Player,Time Played,Yellow Cards,Substitute Off,Duels won,Unsuccessful Passes Opposition Half,Goals Conceded,Successful Passes Opposition Half,Unsuccessful Crosses & Corners,Successful Long Passes,Blocks,Total Clearances,Successful Open Play Passes,Shots Off Target (inc woodwork),Corners Won,Tackles Lost,Foul Attempted Tackle,Index,Goals Conceded Inside Box,Recoveries,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Touches,Aerial Duels,Unsuccessful Long Passes,Tackles Won,Ground Duels won,Ground Duels lost,Assists (Intentional),Leftside Passes,Successful Passes Own Half,PutThrough/Blocked Distribution,Total Touches In Opposition Box,Home Goals,Away Goals,Winning Goal,Throw Ins to Opposition Player,Blocked Shots,Second Goal Assists,Unsuccessful lay-offs,Corners Taken (incl short corners),Right Foot Goals,Goals from Inside Box,Penalties Taken,Successful Corners into Box,Goals from Outside Box,Through balls,Goals,Attempts from Set Pieces,Shots On Target ( inc goals ),Unsuccessful Corners into Box,Offsides,Successful Crosses & Corners,Clean Sheets,Hit Woodwork,Clearances Off the Line,Successful Crosses open play,Left Foot Goals,Successful Launches,Handballs conceded,Foul Won Penalty,Red Cards - 2nd Yellow,Total Red Cards,Last Man Tackle,GK Successful Distribution,Headed Goals,Punches,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Saves made - parried,Goalkeeper Smother,Catches,Saves Made,Crosses not Claimed,Drops,Penalty Goals,Straight Red Cards,Penalty Goals Conceded,Own Goal Scored,Penalties Conceded,Penalties Faced,Overruns,Goal Kicks,Penalties Saved,Saves from Penalty,Set Pieces Goals,Penalties Off Target,Carries,Progressive Carries,Final Third Touches,Goals Openplay,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Last Player Tackle,Total Big Chances Saved,Other Goals
USA_MLS,2020,Houston Dynamo FC,6pyd5uf82g110mo242vuueket,J. Bizama,Defender,16,5.0,11.0,27.0,7.0,2.0,6.0,71.0,32.0,44.0,3.0,7.0,54.0,89.0,4.0,2.0,2.0,13.0,32.0,,,5.0,171.0,8.0,2.0,8.0,17.0,11.0,,220.0,29.0,6.0,9.0,13.0,176.0,218.0,31.0,567.0,1.0,1.0,22.0,38.0,13.0,89.0,11.0,5.0,4.0,15.0,174.0,,2.0,3.0,4.0,11.0,11.0,27.0,4.0,3.0,349.0,22.0,15.0,4.0,13.0,19.0,,99.0,92.0,10.0,12.0,,,0.0,9.0,3.0,,,,,,,,,,,,,,1.0,5.0,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,66.0,50.0,,,1.0,,,,,
USA_MLS,2020,Houston Dynamo FC,a7ndrncluu0dtbtf80fe9sjx1,V. Cabrera,Defender,36,76.0,15.0,24.0,10.0,2.0,8.0,78.0,40.0,73.0,,15.0,73.0,172.0,3.0,5.0,1.0,22.0,34.0,,,7.0,311.0,10.0,,10.0,28.0,,3.0,422.0,34.0,9.0,17.0,16.0,349.0,413.0,1.0,656.0,1.0,4.0,39.0,45.0,11.0,76.0,,38.0,8.0,37.0,340.0,2.0,1.0,6.0,4.0,12.0,10.0,38.0,1.0,3.0,538.0,33.0,39.0,9.0,22.0,18.0,,150.0,273.0,7.0,9.0,,,0.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,123.0,73.0,,,,,,,,
USA_MLS,2020,Houston Dynamo FC,4i0iq31lu0vvjfgk8kqyec72t,D. Cerén,Midfielder,24,248.0,32.0,139.0,4.0,2.0,18.0,184.0,127.0,127.0,20.0,38.0,162.0,205.0,22.0,8.0,2.0,34.0,79.0,2.0,16.0,24.0,618.0,20.0,4.0,20.0,43.0,5.0,12.0,812.0,99.0,16.0,15.0,20.0,685.0,791.0,,1535.0,3.0,8.0,83.0,89.0,28.0,379.0,5.0,67.0,5.0,12.0,665.0,6.0,3.0,14.0,13.0,11.0,26.0,125.0,12.0,16.0,1052.0,35.0,28.0,24.0,68.0,59.0,1.0,220.0,307.0,31.0,23.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,6.0,,1.0,1.0,3.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,136.0,48.0,9.0,,1.0,1.0,1.0,,,
USA_MLS,2020,Houston Dynamo FC,c1pfk47z2ozitpqhxmbe98jbp,Joe Corona,Midfielder,14,172.0,14.0,75.0,7.0,4.0,12.0,166.0,124.0,104.0,34.0,25.0,150.0,188.0,10.0,13.0,3.0,21.0,87.0,,2.0,21.0,451.0,16.0,14.0,16.0,24.0,7.0,8.0,579.0,89.0,8.0,16.0,10.0,475.0,574.0,2.0,986.0,1.0,9.0,63.0,87.0,21.0,261.0,7.0,24.0,2.0,12.0,471.0,2.0,2.0,13.0,18.0,10.0,18.0,95.0,12.0,9.0,767.0,26.0,15.0,12.0,47.0,77.0,,144.0,218.0,17.0,14.0,0.0,1.0,0.0,,2.0,,,,1.0,,,,1.0,,1.0,,6.0,,,4.0,1.0,,,4.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,122.0,50.0,,1.0,1.0,1.0,,,,
USA_MLS,2020,Houston Dynamo FC,7s2oy8fgb92smaa4ttwehnutx,C. Cropper,Goalkeeper,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Houston Dynamo FC,aoe90w0oopw8h5ipktpmme9cl,A. Elis,Forward,7,18.0,4.0,16.0,,2.0,4.0,75.0,52.0,33.0,20.0,6.0,75.0,19.0,5.0,9.0,,3.0,45.0,3.0,2.0,13.0,54.0,6.0,14.0,6.0,4.0,7.0,12.0,88.0,32.0,1.0,10.0,13.0,55.0,87.0,2.0,377.0,,2.0,30.0,36.0,6.0,45.0,7.0,1.0,,3.0,54.0,4.0,4.0,3.0,5.0,19.0,6.0,15.0,6.0,3.0,195.0,23.0,1.0,3.0,20.0,32.0,2.0,35.0,11.0,12.0,41.0,1.0,3.0,0.0,1.0,5.0,,,,2.0,4.0,1.0,,,,4.0,,8.0,,3.0,1.0,1.0,,,1.0,1.0,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,56.0,39.0,,2.0,2.0,1.0,4.0,,,
USA_MLS,2020,Houston Dynamo FC,15pxobn91cyrhdzpshwwmzjrp,M. Figueroa,Defender,15,447.0,23.0,56.0,22.0,1.0,19.0,201.0,113.0,172.0,5.0,44.0,199.0,476.0,22.0,3.0,3.0,41.0,83.0,,,29.0,902.0,20.0,2.0,20.0,46.0,4.0,14.0,1190.0,96.0,11.0,47.0,39.0,1018.0,1151.0,14.0,1717.0,7.0,,116.0,130.0,36.0,370.0,4.0,116.0,21.0,73.0,980.0,11.0,5.0,16.0,17.0,11.0,33.0,118.0,4.0,7.0,1495.0,86.0,76.0,28.0,69.0,44.0,,211.0,651.0,15.0,25.0,1.0,1.0,0.0,6.0,5.0,,,,,2.0,,,,,2.0,,3.0,,,3.0,2.0,,1.0,3.0,,7.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,3.0,,1.0,,,1.0,,,,,325.0,199.0,12.0,,,1.0,2.0,1.0,,
USA_MLS,2020,Houston Dynamo FC,7fayvrd58aelitugyce9k7yz9,A. Fuenmayor,Defender,2,38.0,9.0,13.0,3.0,2.0,3.0,30.0,14.0,26.0,2.0,6.0,26.0,60.0,2.0,,1.0,12.0,12.0,,1.0,3.0,139.0,5.0,1.0,5.0,8.0,,,171.0,13.0,4.0,6.0,6.0,145.0,165.0,1.0,301.0,1.0,1.0,14.0,18.0,6.0,29.0,,6.0,4.0,11.0,140.0,,,4.0,1.0,15.0,5.0,22.0,2.0,2.0,221.0,12.0,13.0,2.0,8.0,6.0,,60.0,116.0,4.0,4.0,,,0.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,22.0,,,,,,,,
USA_MLS,2020,Houston Dynamo FC,15kop7o6luu9ppzl283ixra39,B. García,Midfielder,27,89.0,11.0,57.0,2.0,11.0,7.0,94.0,63.0,66.0,9.0,17.0,76.0,115.0,9.0,5.0,2.0,12.0,36.0,,5.0,12.0,289.0,18.0,5.0,18.0,19.0,4.0,8.0,378.0,56.0,5.0,10.0,3.0,312.0,371.0,4.0,819.0,5.0,4.0,40.0,51.0,16.0,196.0,4.0,23.0,3.0,8.0,305.0,7.0,2.0,8.0,8.0,11.0,14.0,61.0,8.0,7.0,505.0,13.0,10.0,9.0,30.0,33.0,,117.0,116.0,18.0,11.0,,,0.0,,4.0,,1.0,3.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,85.0,51.0,,,1.0,1.0,,,,
USA_MLS,2020,Houston Dynamo FC,5cveiae53ksrodojo0ssviz1l,N. Hansen,Forward,12,20.0,12.0,52.0,2.0,9.0,8.0,132.0,90.0,48.0,42.0,2.0,105.0,42.0,12.0,21.0,,6.0,59.0,1.0,5.0,9.0,149.0,17.0,26.0,17.0,9.0,19.0,15.0,200.0,44.0,4.0,11.0,4.0,152.0,199.0,3.0,716.0,,8.0,46.0,58.0,13.0,115.0,19.0,3.0,1.0,7.0,151.0,8.0,10.0,,4.0,12.0,13.0,42.0,7.0,5.0,381.0,15.0,4.0,2.0,35.0,55.0,1.0,86.0,44.0,14.0,45.0,0.0,2.0,1.0,,3.0,,2.0,2.0,2.0,2.0,,1.0,,1.0,2.0,,7.0,,3.0,7.0,,,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,133.0,81.0,5.0,2.0,3.0,3.0,2.0,,,
