liga,temporada,equipo,id,nombre,posicion,dorsal,Rightside Passes,Fifty Fifty,Backward Passes,Unsuccessful Launches,Substitute On,Starts,Total Losses Of Possession,Ground Duels,Total Unsuccessful Passes ( Excl Crosses & Corners ),Times Tackled,Total Tackles,Duels,Forward Passes,Total Fouls Won,Successful Dribbles,Goals Conceded Outside Box,Interceptions,Duels lost,Goal Assists,Successful Lay-offs,Total Fouls Conceded,Successful Short Passes,Games Played,Unsuccessful Dribbles,Appearances,Unsuccessful Passes Own Half,Unsuccessful Crosses open play,Total Shots,Total Passes,Unsuccessful Short Passes,Successful Fifty Fifty,Aerial Duels won,Aerial Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Throw Ins to Own Player,Time Played,Yellow Cards,Substitute Off,Duels won,Unsuccessful Passes Opposition Half,Goals Conceded,Successful Passes Opposition Half,Unsuccessful Crosses & Corners,Successful Long Passes,Blocks,Total Clearances,Successful Open Play Passes,Shots Off Target (inc woodwork),Corners Won,Tackles Lost,Foul Attempted Tackle,Index,Goals Conceded Inside Box,Recoveries,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Touches,Aerial Duels,Unsuccessful Long Passes,Tackles Won,Ground Duels won,Ground Duels lost,Assists (Intentional),Leftside Passes,Successful Passes Own Half,PutThrough/Blocked Distribution,Total Touches In Opposition Box,Home Goals,Away Goals,Winning Goal,Throw Ins to Opposition Player,Blocked Shots,Second Goal Assists,Unsuccessful lay-offs,Corners Taken (incl short corners),Right Foot Goals,Goals from Inside Box,Penalties Taken,Successful Corners into Box,Goals from Outside Box,Through balls,Goals,Attempts from Set Pieces,Shots On Target ( inc goals ),Unsuccessful Corners into Box,Offsides,Successful Crosses & Corners,Clean Sheets,Hit Woodwork,Clearances Off the Line,Successful Crosses open play,Left Foot Goals,Successful Launches,Handballs conceded,Foul Won Penalty,Red Cards - 2nd Yellow,Total Red Cards,Last Man Tackle,GK Successful Distribution,Headed Goals,Punches,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Saves made - parried,Goalkeeper Smother,Catches,Saves Made,Crosses not Claimed,Drops,Penalty Goals,Straight Red Cards,Penalty Goals Conceded,Own Goal Scored,Penalties Conceded,Penalties Faced,Overruns,Goal Kicks,Penalties Saved,Saves from Penalty,Set Pieces Goals,Penalties Off Target,Carries,Progressive Carries,Final Third Touches,Goals Openplay,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Last Player Tackle,Total Big Chances Saved,Other Goals
USA_MLS,2020,Los Angeles FC,1a2903ylmdc3vmdps0u619lh,Mohammed El Munir,Defender,13,81.0,17.0,44.0,4.0,9.0,4.0,161.0,95.0,92.0,23.0,24.0,109.0,170.0,10.0,9.0,1.0,19.0,61.0,1.0,,17.0,301.0,13.0,10.0,13.0,18.0,19.0,6.0,407.0,75.0,9.0,6.0,8.0,315.0,401.0,76.0,630.0,3.0,,48.0,100.0,10.0,219.0,26.0,14.0,3.0,10.0,309.0,4.0,5.0,7.0,12.0,100.0,9.0,58.0,9.0,10.0,676.0,14.0,17.0,17.0,42.0,53.0,1.0,112.0,104.0,25.0,23.0,1.0,0.0,0.0,5.0,5.0,,,12.0,,,,5.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,8.0,1.0,,,3.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,1ulponxwggurn592nk3rqcfs9,E. Atuesta,Midfielder,20,336.0,40.0,132.0,3.0,3.0,15.0,308.0,195.0,182.0,52.0,33.0,221.0,413.0,25.0,33.0,4.0,33.0,115.0,2.0,4.0,24.0,1000.0,18.0,19.0,18.0,36.0,14.0,21.0,1245.0,137.0,21.0,15.0,11.0,1063.0,1193.0,4.0,1416.0,3.0,2.0,106.0,175.0,26.0,669.0,29.0,63.0,,14.0,1016.0,16.0,9.0,8.0,14.0,95.0,22.0,158.0,18.0,22.0,1631.0,26.0,45.0,25.0,91.0,104.0,2.0,364.0,401.0,52.0,25.0,0.0,2.0,0.0,,14.0,,,5.0,1.0,2.0,1.0,2.0,,4.0,2.0,13.0,5.0,3.0,,7.0,1.0,,,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,3qw81ws1dvf6ye83m2sd9vje1,T. Blackmon,Defender,27,85.0,8.0,43.0,14.0,3.0,12.0,166.0,76.0,119.0,10.0,20.0,106.0,286.0,6.0,14.0,5.0,36.0,51.0,,,19.0,436.0,15.0,6.0,15.0,46.0,10.0,3.0,601.0,83.0,1.0,15.0,15.0,482.0,584.0,61.0,1067.0,2.0,3.0,55.0,83.0,27.0,228.0,10.0,46.0,3.0,35.0,466.0,2.0,3.0,8.0,10.0,32.0,22.0,78.0,7.0,10.0,857.0,30.0,36.0,12.0,40.0,36.0,,187.0,255.0,20.0,4.0,0.0,0.0,0.0,11.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,6fnojo4m3daqz5moaa9yu1dk9,L. Blessing,Forward,7,188.0,33.0,136.0,6.0,3.0,19.0,279.0,235.0,144.0,49.0,50.0,288.0,274.0,49.0,33.0,6.0,37.0,131.0,2.0,7.0,38.0,790.0,22.0,18.0,22.0,51.0,9.0,13.0,949.0,129.0,15.0,25.0,28.0,805.0,921.0,96.0,1811.0,4.0,2.0,157.0,102.0,38.0,536.0,9.0,15.0,4.0,19.0,779.0,6.0,8.0,17.0,23.0,62.0,32.0,177.0,23.0,29.0,1481.0,53.0,15.0,33.0,132.0,103.0,1.0,351.0,276.0,55.0,54.0,0.0,1.0,0.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,,1.0,,3.0,1.0,,7.0,,4.0,7.0,1.0,2.0,1.0,6.0,,2.0,7.0,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,1wa6jf39zdyi462b1fk50vl61,J. Cifuentes,Midfielder,11,187.0,25.0,121.0,5.0,5.0,13.0,204.0,164.0,119.0,32.0,43.0,208.0,193.0,16.0,33.0,2.0,13.0,100.0,2.0,5.0,23.0,538.0,18.0,13.0,18.0,26.0,6.0,25.0,689.0,99.0,10.0,16.0,28.0,570.0,680.0,4.0,1150.0,4.0,8.0,108.0,104.0,17.0,409.0,11.0,32.0,1.0,6.0,561.0,15.0,8.0,19.0,16.0,100.0,15.0,79.0,23.0,22.0,989.0,44.0,20.0,24.0,92.0,72.0,2.0,188.0,167.0,38.0,31.0,1.0,0.0,0.0,,9.0,1.0,,5.0,1.0,1.0,,1.0,,3.0,1.0,2.0,10.0,4.0,,6.0,1.0,1.0,,5.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,2mmo9cxj0nuzwqgsnd787561h,A. Diomande,Forward,99,,,,,1.0,,2.0,1.0,2.0,,,1.0,2.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,3.0,2.0,,,,1.0,3.0,,16.0,,1.0,1.0,2.0,,1.0,,,,,1.0,,,,,3.0,,,,,5.0,,,,1.0,,,1.0,,,1.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,er0xm9k5zv8kcvcy7bnwp086i,E. Dueñas,Midfielder,18,1.0,1.0,4.0,1.0,2.0,,13.0,8.0,6.0,2.0,1.0,10.0,10.0,,,,1.0,8.0,,,3.0,16.0,2.0,2.0,2.0,,2.0,,22.0,5.0,1.0,1.0,1.0,16.0,22.0,5.0,34.0,1.0,,2.0,8.0,,11.0,2.0,,,,16.0,,,1.0,2.0,1.0,,3.0,1.0,,41.0,2.0,1.0,,1.0,7.0,,7.0,7.0,1.0,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,c3dtl72eb5ejh6h7ujaspomsq,B. Duke,Midfielder,19,50.0,1.0,41.0,,9.0,2.0,62.0,29.0,32.0,7.0,6.0,33.0,43.0,4.0,1.0,,2.0,21.0,,1.0,7.0,137.0,11.0,3.0,11.0,7.0,5.0,2.0,171.0,32.0,,1.0,3.0,139.0,165.0,1.0,234.0,,2.0,12.0,36.0,5.0,104.0,11.0,2.0,1.0,,133.0,1.0,1.0,3.0,4.0,100.0,5.0,29.0,6.0,4.0,234.0,4.0,,3.0,11.0,18.0,,37.0,38.0,11.0,3.0,0.0,0.0,0.0,,1.0,,1.0,12.0,,,,3.0,,,,,1.0,6.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,5hz95r5xtghhv5qiclwyf05ey,P. Ejimadu,Goalkeeper,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,944pzf87cyzjh2n2snwzmuaga,F. Ginella,Midfielder,8,247.0,23.0,100.0,3.0,9.0,14.0,167.0,95.0,133.0,13.0,25.0,120.0,240.0,10.0,7.0,2.0,19.0,69.0,3.0,2.0,12.0,614.0,23.0,9.0,23.0,25.0,4.0,9.0,777.0,116.0,12.0,9.0,16.0,644.0,753.0,3.0,1175.0,3.0,10.0,51.0,112.0,24.0,408.0,4.0,30.0,1.0,7.0,620.0,4.0,7.0,13.0,8.0,37.0,22.0,93.0,11.0,15.0,926.0,25.0,17.0,12.0,42.0,53.0,2.0,190.0,237.0,26.0,26.0,1.0,0.0,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,4.0,1.0,,5.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
