dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
8,,Philadelphia Union,MLS,Midfielder,Venezuela,16ckzbe3i31r8sjy5ne1w7g15,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/16ckzbe3i31r8sjy5ne1w7g15
27,,Philadelphia Union,MLS,Defender,Germany,18s2n8aw3e340gclsku4yyxnt,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/18s2n8aw3e340gclsku4yyxnt
23,,Philadelphia Union,MLS,Attacker,Poland,1eqcz34sgf33mu3nhzlkjjrh1,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/1eqcz34sgf33mu3nhzlkjjrh1
,,Philadelphia Union,MLS,,USA,2aglg2msi6zhyimmrrxn5h51x,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/2aglg2msi6zhyimmrrxn5h51x
14,,Philadelphia Union,MLS,Midfielder,USA,2rrt0ya9hvxu58vd0y5zoh756,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/2rrt0ya9hvxu58vd0y5zoh756
4,,Philadelphia Union,MLS,Defender,USA,5enjhxrx2jrjqtgb9wwq0baax,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/5enjhxrx2jrjqtgb9wwq0baax
,,Philadelphia Union,MLS,,USA,659lbu784dxbmu790fcvo91p1,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/659lbu784dxbmu790fcvo91p1
11,,Philadelphia Union,MLS,Midfielder,USA,6761vkpm5baaimcyxq3y5r2z9,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/6761vkpm5baaimcyxq3y5r2z9
24,,Philadelphia Union,MLS,Defender,Slovakia,6a33ylquco39t515pwi5itk2x,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/6a33ylquco39t515pwi5itk2x
32,,Philadelphia Union,MLS,Defender,USA,6oj55tf7cdnnnft350f9fyhnt,aq0m4zmew7kkplbi7fa0pv45c,287tckirbfj9nb8ar2k9r60vn,4vg1rldzyr8uev96z173gkxgq,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/teams/view/aq0m4zmew7kkplbi7fa0pv45c/player/view/6oj55tf7cdnnnft350f9fyhnt
