dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Club de Foot Montréal,MLS,,France,2ea1m495bt3rc5xnyvo1sy3h0,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/2ea1m495bt3rc5xnyvo1sy3h0
,,Club de Foot Montréal,MLS,Defender,Canada,33l8nq6xbj3pm1lkxo2qs5vfu,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/33l8nq6xbj3pm1lkxo2qs5vfu
25,,Club de Foot Montréal,MLS,Midfielder,Argentina,3bj9685oxy6450sexb94i8yga,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/3bj9685oxy6450sexb94i8yga
19,,Club de Foot Montréal,MLS,Defender,Canada,3dev7rxsam4451gyu07wwrkkp,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/3dev7rxsam4451gyu07wwrkkp
15,,Club de Foot Montréal,MLS,Defender,Canada,3dtxx6whin53g58f5rz9xil7t,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/3dtxx6whin53g58f5rz9xil7t
,,Club de Foot Montréal,MLS,Defender,Italy,3ju0ueq9ldm2cqx8cn3p4ecx5,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/3ju0ueq9ldm2cqx8cn3p4ecx5
12,,Club de Foot Montréal,MLS,Defender,Uganda,3ozxp5nhqrwwwezjdp4xbzaw9,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/3ozxp5nhqrwwwezjdp4xbzaw9
4,,Club de Foot Montréal,MLS,Defender,France,4bjmhb55kv6xfixdff153gudx,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/4bjmhb55kv6xfixdff153gudx
,,Club de Foot Montréal,MLS,Midfielder,Canada,4le816q3ac1isre8sala3iwyy,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/4le816q3ac1isre8sala3iwyy
24,,Club de Foot Montréal,MLS,Defender,Slovenia,4u1xow4h7djlcxft9w7gv3t1x,oisd4xgg4qxt18c7tikdejbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/oisd4xgg4qxt18c7tikdejbe/player/view/4u1xow4h7djlcxft9w7gv3t1x
