liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Short Passes,Appearances,Successful Open Play Passes,PutThrough/Blocked Distribution Won,Successful Passes Opposition Half,Total Fouls Conceded,Times Tackled,Total Passes,Touches,Duels,Goals Conceded Inside Box,Successful Long Passes,Ground Duels lost,Fifty Fifty,Foul Attempted Tackle,Backward Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Dribbles,Index,Total Tackles,Successful Passes Own Half,Aerial Duels,PutThrough/Blocked Distribution,Time Played,Unsuccessful Long Passes,Aerial Duels lost,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Outside Box,Substitute Off,Successful Short Passes,Tackles Won,Unsuccessful Launches,Throw Ins to Own Player,Unsuccessful Passes Opposition Half,Duels lost,Total Losses Of Possession,Rightside Passes,Games Played,Substitute On,Total Touches In Opposition Box,Duels won,Blocked Shots,Forward Passes,Tackles Lost,Handballs conceded,Leftside Passes,Interceptions,Ground Duels,Successful Dribbles,Yellow Cards,Recoveries,Starts,Ground Duels won,Successful Fifty Fifty,Unsuccessful Passes Own Half,Home Goals,Away Goals,Winning Goal,Aerial Duels won,Unsuccessful Crosses open play,Corners Won,Unsuccessful Crosses & Corners,Total Clearances,Successful Crosses & Corners,Offsides,Key Passes (Attempt Assists),Set Pieces Goals,Left Foot Goals,Penalties Taken,Hit Woodwork,Throw Ins to Opposition Player,Attempts from Set Pieces,Successful Lay-offs,Shots Off Target (inc woodwork),Second Goal Assists,Shots On Target ( inc goals ),Goals from Outside Box,Goals,Goals from Inside Box,Through balls,Assists (Intentional),Goal Assists,Total Fouls Won,Unsuccessful lay-offs,Right Foot Goals,Successful Crosses open play,Penalty Goals Conceded,Total Shots,Straight Red Cards,Successful Corners into Box,Corners Taken (incl short corners),Total Red Cards,Unsuccessful Corners into Box,Clean Sheets,Penalty Goals,Successful Launches,Blocks,Headed Goals,Red Cards - 2nd Yellow,Penalties Conceded,GK Successful Distribution,Catches,Saves made - parried,GK Unsuccessful Distribution,Saves Made from Outside Box,Goalkeeper Smother,Saves Made,Punches,Saves Made from Inside Box,Saves made - caught,Drops,Penalties Faced,Foul Won Penalty,Last Man Tackle,Own Goal Scored,Clearances Off the Line,Penalties Off Target,Penalties Saved,Saves from Penalty,Crosses not Claimed,Overruns,Goals Openplay,Other Goals,Goal Kicks,Last Player Tackle
USA_MLS,2021,FC Dallas,1yhtzq33ssznnl1pkg6fjz26t,B. Acosta,Midfielder,8,90.0,23.0,903.0,16.0,415.0,48.0,10.0,1104.0,1419.0,188.0,28.0,103.0,70.0,60.0,37.0,163.0,31.0,148.0,4.0,38.0,28.0,565.0,52.0,26.0,1573.0,58.0,14.0,1044.0,956.0,3.0,2.0,853.0,13.0,13.0,9.0,155.0,84.0,238.0,338.0,23.0,7.0,9.0,104.0,10.0,291.0,15.0,1.0,312.0,32.0,136.0,14.0,7.0,137.0,16.0,66.0,29.0,39.0,0.0,0.0,0.0,38.0,9.0,10.0,46.0,10.0,24.0,,22.0,,,,,,5.0,9.0,16.0,1.0,8.0,,,,,1.0,1.0,24.0,,,2.0,4.0,24.0,1.0,17.0,53.0,1.0,30.0,1.0,,1.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,FC Dallas,9kjmp5eg60q8bt1na23vs67ai,N. Tafari,Defender,14,84.0,22.0,852.0,6.0,210.0,11.0,1.0,1040.0,1301.0,114.0,29.0,93.0,21.0,41.0,8.0,47.0,33.0,175.0,,50.0,22.0,658.0,62.0,11.0,1824.0,91.0,29.0,1026.0,865.0,4.0,2.0,772.0,17.0,27.0,4.0,120.0,50.0,185.0,163.0,22.0,1.0,16.0,64.0,1.0,406.0,5.0,,424.0,38.0,52.0,5.0,1.0,91.0,21.0,31.0,27.0,57.0,0.0,1.0,0.0,33.0,2.0,1.0,2.0,127.0,3.0,1.0,6.0,,,,,,,1.0,6.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,3.0,2.0,7.0,,,,,,2.0,,6.0,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,FC Dallas,dtj5zjdur2d1of2ip3ar4r88a,E. Cerrillo,Midfielder,6,63.0,22.0,782.0,11.0,254.0,40.0,21.0,888.0,1072.0,145.0,24.0,50.0,83.0,49.0,28.0,140.0,27.0,94.0,12.0,78.0,27.0,540.0,17.0,22.0,1391.0,31.0,11.0,876.0,794.0,3.0,7.0,744.0,18.0,13.0,4.0,56.0,94.0,139.0,249.0,22.0,6.0,3.0,51.0,1.0,242.0,9.0,1.0,257.0,25.0,128.0,12.0,6.0,107.0,16.0,45.0,21.0,41.0,0.0,0.0,0.0,6.0,3.0,1.0,3.0,23.0,,,8.0,,,,,,,2.0,2.0,1.0,,,,,,,,6.0,,,,3.0,2.0,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,FC Dallas,64ux2tbb35i36qf6oij2263qi,J. Che,Defender,32,72.0,15.0,339.0,11.0,170.0,9.0,18.0,457.0,811.0,124.0,19.0,21.0,41.0,29.0,4.0,92.0,20.0,112.0,9.0,32.0,32.0,188.0,30.0,18.0,1017.0,40.0,15.0,451.0,345.0,1.0,4.0,324.0,24.0,21.0,99.0,97.0,56.0,205.0,15.0,15.0,3.0,8.0,68.0,1.0,177.0,8.0,1.0,173.0,25.0,94.0,16.0,,79.0,12.0,53.0,21.0,43.0,0.0,0.0,0.0,15.0,28.0,8.0,28.0,20.0,13.0,,10.0,,,,,15.0,,,4.0,,,,,,1.0,3.0,3.0,5.0,,,13.0,1.0,4.0,,,,,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,FC Dallas,87pe681vhgbb6plpej3tr74oa,K. ElMedkhar,Midfielder,21,5.0,6.0,32.0,2.0,20.0,1.0,2.0,37.0,74.0,16.0,2.0,1.0,4.0,10.0,1.0,13.0,3.0,5.0,2.0,46.0,3.0,13.0,4.0,4.0,118.0,,2.0,37.0,32.0,1.0,,31.0,2.0,,1.0,7.0,6.0,16.0,6.0,6.0,6.0,1.0,10.0,,12.0,1.0,,6.0,4.0,12.0,4.0,1.0,12.0,,8.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,FC Dallas,5wttdjpftd57c2t5959sm2yg9,J. Ferreira,Forward,9,163.0,27.0,762.0,22.0,499.0,18.0,42.0,1011.0,1459.0,208.0,38.0,67.0,94.0,52.0,11.0,184.0,42.0,215.0,18.0,89.0,52.0,327.0,12.0,42.0,2251.0,52.0,10.0,974.0,796.0,4.0,10.0,729.0,30.0,5.0,14.0,227.0,104.0,369.0,225.0,27.0,1.0,56.0,104.0,12.0,308.0,22.0,3.0,294.0,15.0,196.0,28.0,1.0,128.0,26.0,102.0,22.0,44.0,2.0,6.0,1.0,2.0,24.0,16.0,56.0,15.0,30.0,1.0,51.0,,1.0,,1.0,1.0,4.0,25.0,20.0,1.0,24.0,2.0,8.0,6.0,12.0,8.0,8.0,22.0,1.0,7.0,10.0,6.0,44.0,,18.0,59.0,,27.0,1.0,,2.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,FC Dallas,cmz985xi3gvv1mdwb10r5ijmd,M. Hedges,Defender,24,73.0,20.0,709.0,6.0,181.0,16.0,1.0,857.0,1053.0,95.0,27.0,52.0,18.0,32.0,8.0,32.0,29.0,129.0,,37.0,17.0,547.0,55.0,11.0,1438.0,56.0,20.0,838.0,728.0,2.0,2.0,676.0,4.0,17.0,2.0,80.0,38.0,134.0,239.0,20.0,4.0,14.0,57.0,1.0,350.0,13.0,1.0,236.0,29.0,40.0,1.0,6.0,58.0,16.0,22.0,14.0,49.0,1.0,0.0,0.0,35.0,,,,85.0,,,1.0,,,,,,,1.0,8.0,,1.0,,1.0,1.0,,,,5.0,,,,5.0,9.0,,,,,,2.0,,5.0,18.0,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
USA_MLS,2021,FC Dallas,82sayfife5cfdk9isox5gg8ut,R. Hollingshead,Defender,12,193.0,30.0,998.0,22.0,491.0,42.0,38.0,1264.0,1926.0,317.0,43.0,58.0,118.0,61.0,22.0,197.0,48.0,240.0,25.0,52.0,63.0,545.0,84.0,47.0,2671.0,47.0,31.0,1238.0,1024.0,5.0,3.0,966.0,35.0,17.0,164.0,189.0,149.0,382.0,502.0,30.0,,60.0,168.0,9.0,445.0,28.0,1.0,120.0,35.0,233.0,29.0,3.0,147.0,30.0,115.0,31.0,75.0,3.0,0.0,1.0,53.0,24.0,17.0,24.0,68.0,12.0,3.0,26.0,,1.0,,,15.0,,8.0,9.0,,8.0,,3.0,3.0,2.0,3.0,5.0,24.0,,2.0,12.0,6.0,17.0,,,,,,4.0,,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,FC Dallas,dat3cnif8tjb0l88o28wx9brp,F. Jara,Forward,29,62.0,29.0,216.0,12.0,150.0,29.0,40.0,321.0,608.0,188.0,18.0,7.0,78.0,60.0,17.0,108.0,20.0,74.0,13.0,39.0,10.0,100.0,49.0,24.0,1256.0,12.0,29.0,290.0,247.0,2.0,9.0,240.0,7.0,1.0,4.0,73.0,107.0,179.0,81.0,29.0,17.0,83.0,81.0,15.0,60.0,3.0,1.0,72.0,,139.0,20.0,7.0,53.0,12.0,61.0,30.0,12.0,3.0,4.0,1.0,20.0,11.0,13.0,11.0,7.0,3.0,11.0,21.0,,1.0,2.0,2.0,,1.0,21.0,25.0,,19.0,,7.0,7.0,3.0,2.0,2.0,31.0,2.0,6.0,3.0,5.0,44.0,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,FC Dallas,76pewf0m3ujozkvcsrtkybff9,José Martínez,Defender,3,74.0,19.0,779.0,8.0,209.0,8.0,6.0,945.0,1150.0,112.0,27.0,75.0,25.0,34.0,3.0,52.0,29.0,143.0,2.0,46.0,21.0,593.0,56.0,12.0,1503.0,69.0,22.0,921.0,802.0,2.0,4.0,727.0,10.0,13.0,16.0,99.0,47.0,162.0,397.0,19.0,3.0,10.0,65.0,1.0,401.0,11.0,,95.0,24.0,56.0,7.0,,68.0,16.0,31.0,15.0,46.0,0.0,0.0,0.0,34.0,2.0,3.0,2.0,63.0,,1.0,2.0,,,,,4.0,,,4.0,,3.0,,,,,,,4.0,,,,7.0,7.0,,,,,,2.0,,11.0,12.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
