dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
35,,Inter Miami CF,MLS,Defender,USA,1vnfc466lc01fdfhyvzt8fhii,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/1vnfc466lc01fdfhyvzt8fhii
27,,Inter Miami CF,MLS,Goalkeeper,USA,29rxabx4plofa06zgwuxlejca,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/29rxabx4plofa06zgwuxlejca
18,,Inter Miami CF,MLS,Goalkeeper,USA,31lce55kff3nwd9293h3ii191,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/31lce55kff3nwd9293h3ii191
17,,Inter Miami CF,MLS,Defender,England,37o111nzbnrl2ns9mv85urhsl,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/37o111nzbnrl2ns9mv85urhsl
36,,Inter Miami CF,MLS,Defender,Zambia,3tb7ycl6z32sevjo8rxa590,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/3tb7ycl6z32sevjo8rxa590
33,,Inter Miami CF,MLS,Midfielder,Trinidad and Tobago,5f5x4oq6vmje8sn32ii6wsij9,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/5f5x4oq6vmje8sn32ii6wsij9
21,,Inter Miami CF,MLS,Attacker,Argentina,5f76d9pvqluah67sfgbpfyhnt,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/5f76d9pvqluah67sfgbpfyhnt
28,,Inter Miami CF,MLS,Midfielder,Dominican Republic,65jctzcct9irz3wre08c2v2wa,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/65jctzcct9irz3wre08c2v2wa
14,,Inter Miami CF,MLS,Midfielder,Canada,6rnuvzwbmj7qv80xlwkjvqnkl,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/6rnuvzwbmj7qv80xlwkjvqnkl
31,,Inter Miami CF,MLS,Defender,Suriname,7dwqdyf6cbb8iw4fsh0lo75qt,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/7dwqdyf6cbb8iw4fsh0lo75qt
22,,Inter Miami CF,MLS,Midfielder,Argentina,7nofrmk5mdx3f42trmq3tkiqd,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/7nofrmk5mdx3f42trmq3tkiqd
32,,Inter Miami CF,MLS,Goalkeeper,Netherlands,7rb6l13x5slw5ue3c2n1ju0gl,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/7rb6l13x5slw5ue3c2n1ju0gl
6,,Inter Miami CF,MLS,Defender,Argentina,7ruqyuqr8iil24sejip7mremt,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/7ruqyuqr8iil24sejip7mremt
16,,Inter Miami CF,MLS,Attacker,USA,7t8o8pe93me2pef74vw21nr6y,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/7t8o8pe93me2pef74vw21nr6y
,,Inter Miami CF,MLS,,USA,7xppk31gqoh55f6nnux8q9mmt,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/7xppk31gqoh55f6nnux8q9mmt
24,,Inter Miami CF,MLS,Defender,Jamaica,87plrqqcwrv16d5v8mretfp7u,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/87plrqqcwrv16d5v8mretfp7u
7,,Inter Miami CF,MLS,Midfielder,Scotland,agfe6wdw4d6g98bg8f2w57jrp,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/agfe6wdw4d6g98bg8f2w57jrp
10,,Inter Miami CF,MLS,Midfielder,Mexico,aul0t01lanfx9qbnosguego9h,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/aul0t01lanfx9qbnosguego9h
30,,Inter Miami CF,MLS,Midfielder,Colombia,ay31zbgg1642dx463wmt6l0q1,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/ay31zbgg1642dx463wmt6l0q1
5,,Inter Miami CF,MLS,Defender,Argentina,bid5mjepnmsggo9u7g51ph5ud,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/bid5mjepnmsggo9u7g51ph5ud
1,,Inter Miami CF,MLS,Goalkeeper,USA,br9ewy459g6kw8tx8jghbfx79,7a7uyvix8axi28h7d3bwl4tbe,287tckirbfj9nb8ar2k9r60vn,9l8ccwksjy5tueunha080o36c,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/br9ewy459g6kw8tx8jghbfx79
