liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Short Passes,Appearances,Successful Open Play Passes,PutThrough/Blocked Distribution Won,Successful Passes Opposition Half,Total Fouls Conceded,Times Tackled,Total Passes,Touches,Duels,Goals Conceded Inside Box,Successful Long Passes,Ground Duels lost,Fifty Fifty,Foul Attempted Tackle,Backward Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Dribbles,Index,Total Tackles,Successful Passes Own Half,Aerial Duels,PutThrough/Blocked Distribution,Time Played,Unsuccessful Long Passes,Aerial Duels lost,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Outside Box,Substitute Off,Successful Short Passes,Tackles Won,Unsuccessful Launches,Throw Ins to Own Player,Unsuccessful Passes Opposition Half,Duels lost,Total Losses Of Possession,Rightside Passes,Games Played,Substitute On,Total Touches In Opposition Box,Duels won,Blocked Shots,Forward Passes,Tackles Lost,Handballs conceded,Leftside Passes,Interceptions,Ground Duels,Successful Dribbles,Yellow Cards,Recoveries,Starts,Ground Duels won,Successful Fifty Fifty,Unsuccessful Passes Own Half,Home Goals,Away Goals,Winning Goal,Aerial Duels won,Unsuccessful Crosses open play,Corners Won,Unsuccessful Crosses & Corners,Total Clearances,Successful Crosses & Corners,Offsides,Key Passes (Attempt Assists),Set Pieces Goals,Left Foot Goals,Penalties Taken,Hit Woodwork,Throw Ins to Opposition Player,Attempts from Set Pieces,Successful Lay-offs,Shots Off Target (inc woodwork),Second Goal Assists,Shots On Target ( inc goals ),Goals from Outside Box,Goals,Goals from Inside Box,Through balls,Assists (Intentional),Goal Assists,Total Fouls Won,Unsuccessful lay-offs,Right Foot Goals,Successful Crosses open play,Penalty Goals Conceded,Total Shots,Straight Red Cards,Successful Corners into Box,Corners Taken (incl short corners),Total Red Cards,Unsuccessful Corners into Box,Clean Sheets,Penalty Goals,Successful Launches,Blocks,Headed Goals,Red Cards - 2nd Yellow,Penalties Conceded,GK Successful Distribution,Catches,Saves made - parried,GK Unsuccessful Distribution,Saves Made from Outside Box,Goalkeeper Smother,Saves Made,Punches,Saves Made from Inside Box,Saves made - caught,Drops,Penalties Faced,Foul Won Penalty,Last Man Tackle,Own Goal Scored,Clearances Off the Line,Penalties Off Target,Penalties Saved,Saves from Penalty,Crosses not Claimed,Overruns,Goals Openplay,Other Goals,Goal Kicks,Last Player Tackle
USA_MLS,2021,New York Red Bulls,em17ipdeomhewev55al4viaj9,Amro Tarek,Defender,3,50.0,13.0,287.0,5.0,109.0,14.0,1.0,397.0,542.0,82.0,11.0,33.0,18.0,31.0,6.0,14.0,13.0,102.0,1.0,22.0,16.0,188.0,42.0,8.0,865.0,52.0,18.0,384.0,295.0,2.0,3.0,262.0,13.0,23.0,6.0,77.0,36.0,116.0,128.0,13.0,3.0,8.0,46.0,2.0,198.0,3.0,1.0,57.0,24.0,40.0,2.0,4.0,67.0,10.0,22.0,20.0,34.0,0.0,0.0,0.0,24.0,9.0,3.0,9.0,43.0,2.0,,1.0,,,,,,,1.0,2.0,,1.0,,,,,,,4.0,,,2.0,1.0,3.0,,,,,,1.0,,4.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,New York Red Bulls,vwhniiv2ql07idgifpmf110q,F. Amaya,Midfielder,8,52.0,22.0,240.0,14.0,167.0,10.0,19.0,317.0,502.0,109.0,9.0,20.0,40.0,35.0,7.0,60.0,9.0,71.0,8.0,100.0,22.0,84.0,16.0,21.0,839.0,19.0,12.0,310.0,246.0,,10.0,226.0,16.0,6.0,4.0,69.0,52.0,128.0,85.0,22.0,12.0,9.0,57.0,2.0,99.0,6.0,2.0,73.0,21.0,93.0,10.0,1.0,76.0,10.0,53.0,17.0,17.0,1.0,0.0,1.0,4.0,10.0,4.0,15.0,2.0,5.0,1.0,12.0,,,,,,,2.0,4.0,,4.0,1.0,1.0,,1.0,1.0,1.0,21.0,1.0,1.0,1.0,,8.0,,4.0,8.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,New York Red Bulls,dnkvm6zpfsxyjie6esilvw15,T. Barlow,Forward,74,54.0,23.0,86.0,5.0,71.0,10.0,15.0,145.0,243.0,97.0,5.0,1.0,25.0,14.0,2.0,49.0,6.0,55.0,3.0,24.0,4.0,20.0,62.0,12.0,482.0,1.0,31.0,141.0,90.0,1.0,2.0,89.0,2.0,,3.0,50.0,56.0,101.0,37.0,23.0,21.0,34.0,41.0,,30.0,2.0,,29.0,,35.0,4.0,2.0,19.0,2.0,10.0,8.0,8.0,0.0,1.0,0.0,31.0,3.0,4.0,3.0,8.0,1.0,7.0,8.0,,1.0,,,,,5.0,8.0,,3.0,,1.0,1.0,,,,2.0,1.0,,1.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,New York Red Bulls,dug5046izrlh3owqk26hnvdre,W. Carmona,Midfielder,19,73.0,25.0,241.0,18.0,205.0,26.0,58.0,325.0,685.0,227.0,4.0,8.0,106.0,40.0,18.0,64.0,6.0,79.0,30.0,89.0,32.0,51.0,43.0,35.0,1228.0,6.0,32.0,319.0,246.0,2.0,13.0,238.0,18.0,,,96.0,138.0,228.0,64.0,25.0,10.0,31.0,89.0,9.0,99.0,14.0,2.0,98.0,15.0,184.0,20.0,,82.0,15.0,78.0,16.0,15.0,1.0,0.0,0.0,11.0,19.0,14.0,32.0,,10.0,,22.0,,1.0,,,,2.0,4.0,15.0,,11.0,1.0,1.0,,6.0,1.0,1.0,26.0,,,2.0,1.0,26.0,,8.0,19.0,,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
USA_MLS,2021,New York Red Bulls,eliciww307c6fs2mg347z1iei,C. Clark,Midfielder,37,107.0,25.0,302.0,18.0,248.0,30.0,37.0,438.0,780.0,207.0,16.0,13.0,98.0,68.0,22.0,95.0,19.0,128.0,14.0,28.0,48.0,74.0,32.0,30.0,1551.0,21.0,21.0,428.0,310.0,3.0,15.0,297.0,25.0,9.0,5.0,118.0,119.0,255.0,116.0,25.0,8.0,46.0,88.0,1.0,166.0,23.0,1.0,61.0,12.0,175.0,16.0,3.0,105.0,17.0,77.0,32.0,35.0,4.0,0.0,0.0,11.0,12.0,6.0,25.0,8.0,12.0,2.0,21.0,,1.0,,,2.0,,18.0,13.0,2.0,9.0,,4.0,4.0,8.0,1.0,3.0,13.0,5.0,3.0,11.0,2.0,22.0,,1.0,10.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,New York Red Bulls,9a17gcgta337bfvtu994p1x,C. Coronel,Goalkeeper,13,6.0,35.0,252.0,,144.0,,,859.0,1138.0,17.0,30.0,190.0,1.0,2.0,,,34.0,436.0,,52.0,,279.0,14.0,1.0,3180.0,430.0,1.0,466.0,423.0,4.0,,233.0,,223.0,,356.0,2.0,445.0,76.0,35.0,,,15.0,,646.0,,,137.0,1.0,3.0,,1.0,253.0,35.0,2.0,2.0,80.0,0.0,0.0,0.0,13.0,,2.0,,39.0,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,13.0,,76.0,,,,,237.0,15.0,22.0,99.0,27.0,,91.0,19.0,62.0,1.0,3.0,4.0,,,,,,1.0,1.0,,,,,,
USA_MLS,2021,New York Red Bulls,6vjoq2kgaq2igxoh8cvq0ieax,C. Cásseres,Forward,23,213.0,28.0,595.0,33.0,447.0,61.0,77.0,841.0,1379.0,392.0,22.0,24.0,172.0,95.0,24.0,120.0,26.0,242.0,44.0,62.0,59.0,165.0,88.0,69.0,2183.0,29.0,52.0,836.0,599.0,4.0,8.0,575.0,32.0,12.0,6.0,252.0,224.0,456.0,188.0,28.0,3.0,52.0,168.0,13.0,286.0,27.0,2.0,247.0,30.0,304.0,28.0,3.0,169.0,25.0,132.0,41.0,43.0,3.0,3.0,3.0,36.0,38.0,23.0,53.0,14.0,13.0,2.0,23.0,1.0,1.0,,1.0,,4.0,5.0,12.0,1.0,16.0,2.0,6.0,4.0,3.0,3.0,3.0,45.0,1.0,3.0,11.0,2.0,28.0,,2.0,14.0,,11.0,6.0,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,New York Red Bulls,4wy7kbv694s6xrm3tfsyl4hyh,S. Davis,Midfielder,27,255.0,35.0,1193.0,42.0,832.0,47.0,23.0,1584.0,2048.0,322.0,30.0,86.0,123.0,103.0,33.0,140.0,34.0,368.0,3.0,45.0,94.0,398.0,67.0,67.0,3180.0,113.0,22.0,1559.0,1216.0,4.0,,1130.0,55.0,49.0,2.0,309.0,145.0,466.0,358.0,35.0,,13.0,177.0,3.0,693.0,39.0,2.0,393.0,57.0,255.0,18.0,7.0,337.0,35.0,132.0,53.0,94.0,0.0,0.0,0.0,45.0,19.0,5.0,35.0,37.0,14.0,,43.0,,,,,1.0,,6.0,4.0,4.0,4.0,,,,6.0,,,20.0,,,3.0,3.0,8.0,,5.0,17.0,,12.0,13.0,,9.0,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
USA_MLS,2021,New York Red Bulls,dbj7ww9wogmp0dod5aj4ys0a2,Y. Diarra,Midfielder,44,17.0,8.0,65.0,2.0,38.0,4.0,3.0,92.0,118.0,15.0,2.0,2.0,8.0,7.0,3.0,12.0,3.0,26.0,1.0,12.0,2.0,28.0,3.0,5.0,123.0,9.0,1.0,90.0,66.0,1.0,1.0,64.0,2.0,3.0,,18.0,9.0,31.0,22.0,8.0,7.0,1.0,6.0,,38.0,,1.0,20.0,4.0,12.0,1.0,2.0,17.0,1.0,4.0,5.0,8.0,0.0,0.0,0.0,2.0,,1.0,,3.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,New York Red Bulls,1o6ncw2f6h5uodlhavzsswvrp,K. Duncan,Defender,6,228.0,33.0,802.0,52.0,511.0,60.0,74.0,1132.0,2218.0,489.0,25.0,51.0,159.0,78.0,24.0,178.0,28.0,323.0,34.0,51.0,93.0,320.0,129.0,105.0,2716.0,95.0,53.0,1120.0,809.0,3.0,,758.0,53.0,41.0,250.0,319.0,212.0,667.0,55.0,33.0,5.0,43.0,277.0,6.0,474.0,40.0,3.0,425.0,60.0,360.0,59.0,10.0,261.0,28.0,201.0,37.0,87.0,1.0,0.0,0.0,76.0,83.0,22.0,83.0,44.0,22.0,1.0,26.0,,1.0,,1.0,93.0,,1.0,10.0,,6.0,1.0,1.0,,1.0,2.0,3.0,49.0,,,22.0,2.0,16.0,,,,,,11.0,,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
