liga,temporada,equipo,id,nombre,posicion,dorsal,Shots Off Target (inc woodwork),Unsuccessful Short Passes,Starts,Recoveries,Successful Corners into Box,Tackles Won,Successful Passes Own Half,Aerial Duels lost,Aerial Duels,Right Foot Goals,Unsuccessful Crosses & Corners,Goals from Outside Box,Leftside Passes,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Fifty Fifty,PutThrough/Blocked Distribution,Assists (Intentional),Total Unsuccessful Passes ( Excl Crosses & Corners ),Second Goal Assists,Open Play Passes,Blocked Shots,Successful Short Passes,Ground Duels lost,Clean Sheets,Time Played,Duels,Throw Ins to Own Player,Total Fouls Conceded,Goal Assists,Total Fouls Won,Corners Won,Handballs conceded,Unsuccessful lay-offs,Unsuccessful Passes Own Half,Rightside Passes,Total Tackles,Total Clearances,Unsuccessful Dribbles,Unsuccessful Corners into Box,Successful Passes Opposition Half,Appearances,Corners Taken (incl short corners),Successful Dribbles,Hit Woodwork,Goals Conceded Inside Box,Forward Passes,Aerial Duels won,Straight Red Cards,Key Passes (Attempt Assists),Goals,Total Touches In Opposition Box,Times Tackled,Index,Penalty Goals Conceded,Goals Conceded,Goals Conceded Outside Box,Unsuccessful Long Passes,Successful Crosses & Corners,Substitute Off,Total Red Cards,Unsuccessful Launches,Successful Long Passes,Successful Crosses open play,Goals from Inside Box,Attempts from Set Pieces,Successful Lay-offs,Touches,Tackles Lost,Yellow Cards,Substitute On,Interceptions,PutThrough/Blocked Distribution Won,Backward Passes,Ground Duels won,Successful Open Play Passes,Ground Duels,Duels lost,Unsuccessful Crosses open play,Games Played,Through balls,Total Losses Of Possession,Fifty Fifty,Duels won,Total Passes,Total Shots,Foul Attempted Tackle,Shots On Target ( inc goals ),Home Goals,Away Goals,Winning Goal,Blocks,Successful Launches,GK Successful Distribution,Clearances Off the Line,Offsides,Left Foot Goals,Throw Ins to Opposition Player,Headed Goals,GK Unsuccessful Distribution,Last Man Tackle,Saves Made from Outside Box,Drops,Penalties Faced,Penalties Conceded,Saves Made,Punches,Saves made - parried,Catches,Saves Made from Inside Box,Goalkeeper Smother,Saves made - caught,Set Pieces Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Own Goal Scored,Crosses not Claimed,Penalties Saved,Saves from Penalty,Goal Kicks,Overruns,Last Player Tackle,Goals Openplay,Penalties Off Target,Other Goals,Carries,Progressive Carries,Final Third Touches,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved
USA_MLS,2022,Colorado Rapids,33l6xyx4nhswaphl9ha38yx9l,L. Abubakar,Defender,6,13.0,97.0,29.0,147.0,,16.0,836.0,35.0,109.0,4.0,1.0,,483.0,94.0,1096.0,30.0,25.0,1.0,170.0,,1249.0,4.0,1035.0,53.0,7.0,2523.0,208.0,3.0,42.0,1.0,8.0,1.0,2.0,,77.0,284.0,33.0,95.0,2.0,,260.0,32.0,,5.0,1.0,35.0,427.0,74.0,,5.0,4.0,37.0,6.0,41.0,7.0,41.0,6.0,73.0,,6.0,,26.0,61.0,,4.0,,,1590.0,17.0,9.0,3.0,49.0,17.0,72.0,46.0,1082.0,99.0,88.0,1.0,32.0,,190.0,47.0,120.0,1266.0,18.0,15.0,5.0,3.0,1.0,0.0,29.0,10.0,,2.0,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Colorado Rapids,1yhtzq33ssznnl1pkg6fjz26t,B. Acosta,Midfielder,21,9.0,79.0,22.0,121.0,31.0,29.0,404.0,19.0,40.0,,64.0,,268.0,151.0,732.0,23.0,27.0,2.0,129.0,1.0,807.0,2.0,632.0,89.0,4.0,1903.0,204.0,3.0,52.0,2.0,21.0,6.0,,,42.0,233.0,42.0,33.0,10.0,38.0,370.0,26.0,70.0,12.0,,30.0,235.0,21.0,,39.0,,12.0,19.0,85.0,5.0,33.0,3.0,50.0,42.0,9.0,1.0,15.0,100.0,1.0,,2.0,1.0,1208.0,13.0,10.0,4.0,18.0,14.0,125.0,75.0,683.0,164.0,108.0,12.0,26.0,3.0,236.0,44.0,96.0,861.0,10.0,38.0,1.0,,,0.0,7.0,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_MLS,2022,Colorado Rapids,cxgl6f675j5cdlhk913l0gt0,Max,Midfielder,8,10.0,47.0,9.0,54.0,,10.0,136.0,14.0,25.0,,12.0,,99.0,67.0,324.0,8.0,18.0,,73.0,,396.0,7.0,286.0,45.0,1.0,894.0,113.0,1.0,21.0,1.0,8.0,8.0,,,18.0,106.0,20.0,22.0,6.0,1.0,190.0,28.0,1.0,15.0,,12.0,106.0,11.0,,9.0,,24.0,16.0,100.0,4.0,16.0,4.0,26.0,2.0,7.0,,9.0,38.0,2.0,,,4.0,596.0,10.0,5.0,19.0,11.0,9.0,86.0,43.0,323.0,88.0,59.0,10.0,28.0,2.0,129.0,14.0,54.0,397.0,16.0,14.0,6.0,,,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Colorado Rapids,8qqehla9xvhut6uua4a0zcju2,S. Anderson,Defender,27,,,,,,,2.0,,,,,,,1.0,4.0,,,,1.0,,4.0,,4.0,1.0,,8.0,2.0,2.0,,,1.0,,,,,2.0,,,,,2.0,2.0,,,,,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,9.0,,,2.0,,,1.0,1.0,3.0,2.0,1.0,,2.0,,2.0,,1.0,5.0,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Colorado Rapids,1k3vd2f0e8r92fqkg5981y66t,M. Barrios,Forward,12,22.0,97.0,19.0,66.0,7.0,10.0,93.0,12.0,19.0,2.0,89.0,1.0,165.0,181.0,314.0,24.0,46.0,5.0,106.0,2.0,412.0,12.0,300.0,101.0,,1911.0,192.0,12.0,20.0,6.0,21.0,34.0,,,14.0,73.0,20.0,7.0,41.0,10.0,246.0,34.0,17.0,31.0,1.0,25.0,83.0,7.0,,32.0,2.0,139.0,62.0,21.0,8.0,27.0,2.0,9.0,25.0,16.0,,1.0,14.0,18.0,1.0,,4.0,853.0,10.0,5.0,15.0,7.0,19.0,99.0,72.0,306.0,173.0,113.0,77.0,34.0,2.0,318.0,55.0,79.0,420.0,34.0,12.0,12.0,0.0,2.0,0.0,,1.0,,,4.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Colorado Rapids,1zmuglf34st6duz1fq8ysv5nu,Andre Shinyashiki,Forward,9,12.0,90.0,10.0,62.0,,14.0,97.0,13.0,18.0,4.0,32.0,1.0,77.0,109.0,288.0,20.0,40.0,,98.0,1.0,376.0,5.0,279.0,104.0,1.0,1047.0,184.0,7.0,20.0,,15.0,16.0,1.0,,21.0,125.0,26.0,4.0,33.0,,195.0,29.0,1.0,21.0,1.0,14.0,103.0,5.0,,7.0,7.0,72.0,66.0,86.0,,18.0,4.0,8.0,4.0,7.0,,1.0,9.0,3.0,6.0,,5.0,698.0,12.0,4.0,19.0,7.0,16.0,81.0,62.0,278.0,166.0,117.0,32.0,29.0,1.0,253.0,32.0,67.0,386.0,29.0,8.0,17.0,5.0,2.0,0.0,,,,,7.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Colorado Rapids,b6u6116764v2j7apsi25vx3v9,S. Beitashour,Defender,33,2.0,60.0,14.0,69.0,,9.0,256.0,7.0,16.0,,17.0,,135.0,70.0,440.0,9.0,18.0,1.0,87.0,,520.0,3.0,415.0,21.0,3.0,1314.0,81.0,76.0,14.0,2.0,20.0,2.0,1.0,,34.0,114.0,22.0,21.0,1.0,,184.0,19.0,,2.0,,20.0,189.0,9.0,,,,8.0,3.0,37.0,4.0,25.0,5.0,27.0,,6.0,,16.0,25.0,,,,,775.0,13.0,2.0,5.0,16.0,7.0,89.0,44.0,433.0,65.0,28.0,17.0,19.0,,140.0,17.0,53.0,527.0,2.0,7.0,,,,0.0,4.0,6.0,,1.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Colorado Rapids,aj1bwo44zicu1zhvttyn69e96,Lucas Esteves,Defender,66,13.0,127.0,24.0,124.0,,24.0,322.0,19.0,43.0,1.0,48.0,,31.0,174.0,651.0,17.0,45.0,2.0,189.0,1.0,826.0,8.0,617.0,94.0,4.0,2270.0,215.0,158.0,42.0,2.0,20.0,17.0,1.0,,63.0,326.0,47.0,40.0,14.0,2.0,336.0,30.0,3.0,11.0,,35.0,261.0,24.0,1.0,15.0,1.0,64.0,28.0,28.0,7.0,40.0,5.0,62.0,7.0,5.0,1.0,33.0,34.0,7.0,1.0,1.0,2.0,1402.0,23.0,5.0,6.0,27.0,19.0,222.0,78.0,637.0,172.0,113.0,46.0,30.0,3.0,340.0,40.0,102.0,840.0,20.0,27.0,7.0,0.0,1.0,0.0,4.0,7.0,,,5.0,,36.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Colorado Rapids,97v4i8vhlqwj93tth2fknmq51,F. Gutiérrez,Midfielder,13,3.0,50.0,10.0,57.0,8.0,16.0,203.0,7.0,10.0,,23.0,,139.0,87.0,415.0,11.0,12.0,2.0,77.0,,464.0,4.0,360.0,34.0,1.0,848.0,82.0,7.0,16.0,2.0,15.0,4.0,,,13.0,136.0,20.0,9.0,1.0,16.0,225.0,12.0,24.0,3.0,,15.0,144.0,3.0,,17.0,,13.0,11.0,62.0,1.0,17.0,2.0,27.0,13.0,9.0,,2.0,55.0,2.0,,,5.0,662.0,4.0,3.0,2.0,13.0,4.0,73.0,38.0,394.0,72.0,41.0,3.0,12.0,3.0,128.0,17.0,41.0,492.0,6.0,11.0,3.0,,,0.0,5.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Colorado Rapids,aij1pddtm5ch0o8dstl3mc1jp,C. Irwin,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
