dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
12,,Minnesota United FC,MLS,Defender,Mali,1401jl7f4ybgh9ga617u9ei8l,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/1401jl7f4ybgh9ga617u9ei8l
15,,Minnesota United FC,MLS,Defender,New Zealand,1w1bsi9t9fl2xnsdj96h67vf9,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/1w1bsi9t9fl2xnsdj96h67vf9
18,,Minnesota United FC,MLS,Attacker,Ghana,1wfz5avhq6h41axvxggwa6vvt,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/1wfz5avhq6h41axvxggwa6vvt
16,,Minnesota United FC,MLS,Attacker,Canada,2mhvgtcem9qn2yzobtkqiegpg,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/2mhvgtcem9qn2yzobtkqiegpg
22,,Minnesota United FC,MLS,Defender,USA,2tgt5sjb27wy99ijttspj6r6c,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/2tgt5sjb27wy99ijttspj6r6c
25,,Minnesota United FC,MLS,Midfielder,USA,2u05snfruohp5sqhdpy5vvlnu,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/2u05snfruohp5sqhdpy5vvlnu
4,,Minnesota United FC,MLS,Defender,Canada,2x500ds4ke374qi3jcpdi1wtm,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/2x500ds4ke374qi3jcpdi1wtm
,,Minnesota United FC,MLS,,USA,2y1cy7adz5r6pstx56lz5vmj9,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/2y1cy7adz5r6pstx56lz5vmj9
27,,Minnesota United FC,MLS,Defender,USA,3hoj338a7cxhckcsc9g5tpa7d,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/3hoj338a7cxhckcsc9g5tpa7d
6,,Minnesota United FC,MLS,Midfielder,Mexico,3xhxdg5j5a2xri7n7ox0aoctl,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/3xhxdg5j5a2xri7n7ox0aoctl
77,,Minnesota United FC,MLS,Defender,USA,43p1gt8nq7p1xf3y3xqmznqh,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/43p1gt8nq7p1xf3y3xqmznqh
29,,Minnesota United FC,MLS,Attacker,Liberia,45b72f8szmqnv8tz06j7mj1wq,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/45b72f8szmqnv8tz06j7mj1wq
99,,Minnesota United FC,MLS,Goalkeeper,USA,4tengy9p53kcukevpi8s54wh6,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/4tengy9p53kcukevpi8s54wh6
14,,Minnesota United FC,MLS,Defender,USA,52zojwl05fu0y4cuc8ywqnrh1,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/52zojwl05fu0y4cuc8ywqnrh1
11,,Minnesota United FC,MLS,Attacker,Denmark,5cveiae53ksrodojo0ssviz1l,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/5cveiae53ksrodojo0ssviz1l
24,,Minnesota United FC,MLS,Attacker,Jamaica,5ilknb2ld7n1i4ylo7jdlzf8p,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/5ilknb2ld7n1i4ylo7jdlzf8p
10,,Minnesota United FC,MLS,Midfielder,Argentina,5ys6f3u8rdlyibg7pe9fn6ok5,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/5ys6f3u8rdlyibg7pe9fn6ok5
20,,Minnesota United FC,MLS,Midfielder,USA,6045hqgmu7l31xwe2dp06mwnp,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/6045hqgmu7l31xwe2dp06mwnp
8,,Minnesota United FC,MLS,Midfielder,Honduras,6sp49nn88r1ztu9vmt1x7f1wq,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/6sp49nn88r1ztu9vmt1x7f1wq
,,Minnesota United FC,MLS,,England,6u2v2ynvml1plop5ga4se8zpx,dna80a164iz5ta6pp6ivk64rx,287tckirbfj9nb8ar2k9r60vn,8xix0odg0gckp6uu1eg05mnmc,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/teams/view/dna80a164iz5ta6pp6ivk64rx/player/view/6u2v2ynvml1plop5ga4se8zpx
