liga,temporada,equipo,id,nombre,posicion,dorsal,Shots Off Target (inc woodwork),Unsuccessful Short Passes,Starts,Recoveries,Successful Corners into Box,Tackles Won,Successful Passes Own Half,Aerial Duels lost,Aerial Duels,Right Foot Goals,Unsuccessful Crosses & Corners,Goals from Outside Box,Leftside Passes,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Fifty Fifty,PutThrough/Blocked Distribution,Assists (Intentional),Total Unsuccessful Passes ( Excl Crosses & Corners ),Second Goal Assists,Open Play Passes,Blocked Shots,Successful Short Passes,Ground Duels lost,Clean Sheets,Time Played,Duels,Throw Ins to Own Player,Total Fouls Conceded,Goal Assists,Total Fouls Won,Corners Won,Handballs conceded,Unsuccessful lay-offs,Unsuccessful Passes Own Half,Rightside Passes,Total Tackles,Total Clearances,Unsuccessful Dribbles,Unsuccessful Corners into Box,Successful Passes Opposition Half,Appearances,Corners Taken (incl short corners),Successful Dribbles,Hit Woodwork,Goals Conceded Inside Box,Forward Passes,Aerial Duels won,Straight Red Cards,Key Passes (Attempt Assists),Goals,Total Touches In Opposition Box,Times Tackled,Index,Penalty Goals Conceded,Goals Conceded,Goals Conceded Outside Box,Unsuccessful Long Passes,Successful Crosses & Corners,Substitute Off,Total Red Cards,Unsuccessful Launches,Successful Long Passes,Successful Crosses open play,Goals from Inside Box,Attempts from Set Pieces,Successful Lay-offs,Touches,Tackles Lost,Yellow Cards,Substitute On,Interceptions,PutThrough/Blocked Distribution Won,Backward Passes,Ground Duels won,Successful Open Play Passes,Ground Duels,Duels lost,Unsuccessful Crosses open play,Games Played,Through balls,Total Losses Of Possession,Fifty Fifty,Duels won,Total Passes,Total Shots,Foul Attempted Tackle,Shots On Target ( inc goals ),Home Goals,Away Goals,Winning Goal,Blocks,Successful Launches,GK Successful Distribution,Clearances Off the Line,Offsides,Left Foot Goals,Throw Ins to Opposition Player,Headed Goals,GK Unsuccessful Distribution,Last Man Tackle,Saves Made from Outside Box,Drops,Penalties Faced,Penalties Conceded,Saves Made,Punches,Saves made - parried,Catches,Saves Made from Inside Box,Goalkeeper Smother,Saves made - caught,Set Pieces Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Own Goal Scored,Crosses not Claimed,Penalties Saved,Saves from Penalty,Goal Kicks,Overruns,Last Player Tackle,Goals Openplay,Penalties Off Target,Other Goals,Carries,Progressive Carries,Final Third Touches,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved
USA_MLS,2022,New England Revolution,cvz7rxusmcxxv17fij7dxx6mt,J. Altidore,Forward,14,6.0,44.0,4.0,17.0,,2.0,32.0,11.0,24.0,,3.0,,40.0,39.0,120.0,8.0,7.0,,47.0,,157.0,6.0,116.0,13.0,,589.0,48.0,,7.0,,6.0,1.0,,2.0,11.0,52.0,3.0,4.0,,,89.0,17.0,,2.0,,8.0,33.0,13.0,,6.0,1.0,27.0,4.0,56.0,1.0,9.0,1.0,3.0,1.0,3.0,,,4.0,1.0,1.0,,8.0,229.0,1.0,1.0,13.0,1.0,2.0,42.0,11.0,110.0,24.0,24.0,3.0,17.0,,64.0,13.0,24.0,167.0,8.0,3.0,2.0,1.0,0.0,0.0,1.0,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,24sgu58uugxgy49el075dz21g,E. Bajraktarević,Midfielder,47,,7.0,1.0,8.0,,,20.0,,,,1.0,,14.0,7.0,42.0,,1.0,,9.0,,50.0,,42.0,3.0,,120.0,6.0,1.0,,,,1.0,,,3.0,10.0,,1.0,1.0,,22.0,3.0,,3.0,,4.0,5.0,,,1.0,,3.0,2.0,15.0,1.0,5.0,1.0,2.0,,,,,,,,,1.0,65.0,,,2.0,,,22.0,3.0,41.0,6.0,3.0,1.0,3.0,,14.0,,3.0,51.0,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,dneo628ad0z1j9wjiznmlh52h,J. Bell,Defender,23,2.0,64.0,10.0,46.0,,8.0,303.0,22.0,46.0,,4.0,,99.0,58.0,428.0,17.0,13.0,,105.0,,525.0,,403.0,19.0,1.0,1054.0,82.0,2.0,10.0,,6.0,,,,51.0,182.0,10.0,45.0,2.0,,127.0,15.0,,1.0,,20.0,219.0,24.0,,2.0,1.0,9.0,5.0,25.0,5.0,22.0,2.0,41.0,2.0,3.0,,17.0,25.0,2.0,1.0,,,677.0,2.0,,5.0,19.0,3.0,33.0,17.0,421.0,36.0,41.0,4.0,15.0,,127.0,21.0,41.0,533.0,3.0,2.0,1.0,1.0,0.0,1.0,8.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,6vd4rxmqub05u2dtduy028fyt,E. Boateng,Midfielder,11,6.0,51.0,8.0,47.0,1.0,7.0,98.0,9.0,14.0,,45.0,,64.0,84.0,304.0,18.0,22.0,2.0,55.0,1.0,355.0,2.0,293.0,23.0,,995.0,61.0,15.0,7.0,2.0,4.0,11.0,1.0,1.0,16.0,143.0,9.0,5.0,7.0,3.0,221.0,27.0,6.0,11.0,,18.0,61.0,5.0,,26.0,2.0,48.0,13.0,41.0,4.0,21.0,3.0,4.0,15.0,9.0,,3.0,11.0,14.0,2.0,,7.0,551.0,2.0,1.0,19.0,6.0,7.0,91.0,24.0,301.0,47.0,32.0,41.0,27.0,,147.0,37.0,29.0,359.0,12.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,akz1nwcvnrtkelhxy7m5f14yy,D. Borrero,Midfielder,11,11.0,26.0,7.0,33.0,,7.0,47.0,7.0,8.0,2.0,14.0,1.0,31.0,45.0,131.0,10.0,9.0,1.0,37.0,1.0,166.0,2.0,121.0,33.0,,602.0,82.0,2.0,2.0,1.0,13.0,3.0,,,6.0,56.0,16.0,1.0,12.0,,89.0,12.0,2.0,12.0,2.0,10.0,43.0,1.0,,5.0,3.0,27.0,21.0,89.0,3.0,11.0,1.0,11.0,5.0,7.0,,,10.0,5.0,2.0,,3.0,309.0,9.0,1.0,5.0,3.0,4.0,38.0,41.0,129.0,74.0,40.0,14.0,12.0,4.0,88.0,16.0,42.0,168.0,17.0,1.0,6.0,2.0,1.0,0.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,1o1kg75fknvi3w3kgunvnc4id,G. Bou,Forward,7,27.0,110.0,17.0,57.0,3.0,4.0,88.0,8.0,12.0,7.0,24.0,1.0,96.0,133.0,315.0,16.0,28.0,2.0,132.0,,404.0,15.0,280.0,54.0,3.0,1603.0,113.0,9.0,10.0,2.0,10.0,16.0,1.0,2.0,23.0,178.0,11.0,2.0,16.0,2.0,236.0,19.0,9.0,26.0,,20.0,82.0,4.0,,21.0,8.0,91.0,38.0,89.0,6.0,22.0,2.0,22.0,9.0,5.0,,4.0,35.0,6.0,7.0,3.0,7.0,749.0,7.0,4.0,2.0,8.0,9.0,91.0,47.0,274.0,101.0,62.0,22.0,19.0,3.0,253.0,42.0,51.0,447.0,58.0,7.0,31.0,4.0,4.0,2.0,,1.0,,,25.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,6865o0b7hs8xp6shc84dacidw,N. Buck,Midfielder,29,2.0,24.0,3.0,12.0,,4.0,22.0,7.0,10.0,,,1.0,14.0,19.0,69.0,6.0,8.0,,25.0,,93.0,1.0,67.0,16.0,,291.0,48.0,,5.0,,9.0,1.0,,,6.0,25.0,9.0,,2.0,,47.0,7.0,,4.0,,1.0,30.0,3.0,,2.0,1.0,4.0,9.0,72.0,,2.0,1.0,1.0,,3.0,,,2.0,,,,3.0,150.0,5.0,1.0,4.0,2.0,4.0,25.0,22.0,69.0,38.0,23.0,,7.0,1.0,39.0,11.0,25.0,94.0,5.0,3.0,3.0,1.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,elhmf9cc26ec5p1wnwonuxf4l,A. Buksa,Forward,9,11.0,45.0,9.0,14.0,,1.0,47.0,32.0,71.0,1.0,2.0,,41.0,43.0,118.0,10.0,8.0,1.0,46.0,,146.0,8.0,113.0,43.0,1.0,818.0,143.0,,18.0,2.0,14.0,10.0,1.0,2.0,5.0,27.0,5.0,12.0,4.0,,72.0,10.0,,10.0,1.0,11.0,46.0,39.0,,2.0,7.0,60.0,22.0,85.0,,13.0,2.0,1.0,1.0,3.0,1.0,,5.0,1.0,7.0,,11.0,314.0,4.0,1.0,1.0,,4.0,50.0,29.0,100.0,72.0,75.0,2.0,10.0,,103.0,26.0,68.0,164.0,26.0,6.0,15.0,3.0,4.0,0.0,,,,,2.0,2.0,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,25pwi3q1y4tx1in9425eyln56,B. Bye,Defender,15,18.0,209.0,29.0,137.0,,25.0,446.0,48.0,132.0,1.0,114.0,1.0,458.0,280.0,914.0,17.0,72.0,7.0,256.0,,1153.0,7.0,885.0,70.0,7.0,2565.0,285.0,214.0,31.0,7.0,22.0,23.0,3.0,,90.0,48.0,41.0,75.0,18.0,,502.0,29.0,,21.0,1.0,36.0,419.0,84.0,,41.0,2.0,72.0,33.0,56.0,6.0,41.0,5.0,47.0,34.0,1.0,,20.0,29.0,34.0,1.0,,,1965.0,16.0,4.0,,30.0,25.0,245.0,83.0,898.0,153.0,118.0,114.0,29.0,1.0,484.0,43.0,167.0,1170.0,27.0,14.0,9.0,0.0,2.0,0.0,13.0,2.0,,,,,31.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,5xe2u24yitsgsf4lufmk2f105,A. DeLaGarza,Defender,28,,13.0,4.0,16.0,,4.0,57.0,4.0,6.0,,5.0,,36.0,15.0,102.0,4.0,7.0,,23.0,,124.0,,98.0,7.0,,291.0,22.0,13.0,3.0,,3.0,2.0,,,13.0,7.0,6.0,6.0,1.0,,45.0,4.0,1.0,,,6.0,55.0,2.0,,1.0,,,1.0,23.0,1.0,6.0,,10.0,,2.0,,5.0,4.0,,,,,174.0,2.0,,,1.0,2.0,27.0,9.0,101.0,16.0,11.0,5.0,4.0,,36.0,7.0,11.0,125.0,,1.0,,,,0.0,1.0,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
