liga,temporada,equipo,id,nombre,posicion,dorsal,Total Fouls Conceded,Duels,Unsuccessful Crosses & Corners,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,PutThrough/Blocked Distribution,Open Play Passes,Unsuccessful Crosses open play,Offsides,Aerial Duels won,Fifty Fifty,Unsuccessful Passes Opposition Half,Leftside Passes,Games Played,GK Unsuccessful Distribution,Successful Long Passes,GK Successful Distribution,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Ground Duels,Interceptions,Time Played,Total Touches In Opposition Box,Total Clearances,Rightside Passes,Handballs conceded,Unsuccessful Short Passes,Touches,Backward Passes,Yellow Cards,Total Fouls Won,Duels lost,Total Tackles,Forward Passes,Substitute On,Total Shots,Successful Open Play Passes,Goals Conceded Inside Box,Clean Sheets,Successful Passes Opposition Half,Appearances,Total Passes,Ground Duels won,Corners Won,Tackles Won,Goals Conceded,Unsuccessful Launches,Successful Launches,PutThrough/Blocked Distribution Won,Aerial Duels lost,Foul Attempted Tackle,Times Tackled,Throw Ins to Opposition Player,Index,Successful Fifty Fifty,Aerial Duels,Successful Short Passes,Penalty Goals Conceded,Starts,Recoveries,Blocks,Ground Duels lost,Goals Conceded Outside Box,Unsuccessful Long Passes,Blocked Shots,Substitute Off,Penalties Conceded,Goal Kicks,Key Passes (Attempt Assists),Duels won,Unsuccessful Passes Own Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Winning Goal,Successful Crosses & Corners,Penalty Goals,Corners Taken (incl short corners),Unsuccessful Corners into Box,Hit Woodwork,Right Foot Goals,Set Pieces Goals,Penalties Off Target,Through balls,Successful Dribbles,Successful Crosses open play,Second Goal Assists,Shots On Target ( inc goals ),Assists (Intentional),Successful Corners into Box,Unsuccessful Dribbles,Total Red Cards,Unsuccessful lay-offs,Penalties Taken,Goals from Inside Box,Goal Assists,Attempts from Set Pieces,Successful Lay-offs,Goals,Red Cards - 2nd Yellow,Overruns,Goals from Outside Box,Home Goals,Away Goals,Left Foot Goals,Headed Goals,Saves Made from Inside Box,Saves made - parried,Goalkeeper Smother,Saves Made,Saves Made from Outside Box,Straight Red Cards,Penalties Faced,Drops,Catches,Punches,Last Man Tackle,Own Goal Scored,Foul Won Penalty,Clearances Off the Line,Saves made - caught,Crosses not Claimed,Last Player Tackle,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2023,Club de Foot Montréal,3dtxx6whin53g58f5rz9xil7t,Z. Brault-Guillard,Defender,15,8.0,101.0,46.0,364.0,74.0,42.0,474.0,43.0,3.0,17.0,6.0,131.0,191.0,24.0,,16.0,,7.0,230.0,174.0,77.0,12.0,1307.0,36.0,17.0,21.0,1.0,96.0,814.0,114.0,,9.0,53.0,15.0,155.0,10.0,10.0,358.0,22.0,2.0,208.0,24.0,481.0,31.0,11.0,9.0,28.0,7.0,2.0,15.0,7.0,1.0,27.0,9.0,100.0,5.0,24.0,348.0,1.0,14.0,66.0,5.0,46.0,6.0,21.0,5.0,8.0,,,25.0,48.0,32.0,6.0,117.0,0.0,18.0,,4.0,2.0,,1.0,,,,9.0,18.0,,3.0,1.0,,12.0,,,,1.0,1.0,,4.0,1.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,4bjmhb55kv6xfixdff153gudx,R. Camacho,Defender,4,36.0,190.0,,1491.0,7.0,24.0,1618.0,,1.0,57.0,26.0,111.0,460.0,31.0,,98.0,11.0,6.0,217.0,1050.0,93.0,37.0,2401.0,19.0,115.0,464.0,1.0,124.0,1995.0,89.0,6.0,11.0,84.0,29.0,677.0,4.0,10.0,1424.0,24.0,9.0,441.0,31.0,1690.0,49.0,,20.0,26.0,24.0,13.0,14.0,40.0,14.0,3.0,,62.0,16.0,97.0,1393.0,,27.0,186.0,14.0,44.0,2.0,75.0,,5.0,,11.0,3.0,106.0,88.0,9.0,199.0,0.0,,,,,1.0,,,,1.0,9.0,,,4.0,,,,1.0,,,1.0,,,2.0,1.0,,1.0,,1.0,0.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,ebhq4fl7e2p1zwhwpeu65a4iy,G. Campbell,Defender,24,25.0,187.0,3.0,955.0,31.0,26.0,1110.0,3.0,,29.0,10.0,119.0,354.0,26.0,,56.0,,2.0,241.0,636.0,126.0,25.0,1852.0,11.0,50.0,207.0,2.0,120.0,1443.0,123.0,5.0,14.0,84.0,42.0,463.0,5.0,4.0,921.0,25.0,6.0,319.0,26.0,1147.0,74.0,1.0,29.0,31.0,14.0,2.0,16.0,32.0,9.0,17.0,7.0,100.0,4.0,61.0,899.0,2.0,21.0,160.0,10.0,52.0,6.0,72.0,1.0,3.0,1.0,,2.0,103.0,76.0,13.0,192.0,1.0,,,,,1.0,1.0,,,4.0,18.0,,,2.0,1.0,,10.0,,,,1.0,1.0,,,1.0,,,,1.0,0.0,,,,,,,,,,,,,,,,2.0,,,,,,
USA_MLS,2023,Club de Foot Montréal,eb5gnc53xeybw4q02lijnamay,M. Choinière,Midfielder,29,36.0,274.0,93.0,801.0,60.0,59.0,936.0,47.0,2.0,12.0,40.0,224.0,208.0,28.0,,34.0,,11.0,381.0,304.0,237.0,26.0,2436.0,57.0,31.0,230.0,,143.0,1574.0,242.0,5.0,45.0,136.0,60.0,295.0,1.0,28.0,765.0,33.0,7.0,523.0,28.0,975.0,126.0,21.0,38.0,40.0,8.0,,29.0,25.0,21.0,44.0,19.0,57.0,13.0,37.0,767.0,3.0,27.0,149.0,9.0,111.0,7.0,31.0,11.0,5.0,,,45.0,138.0,43.0,22.0,174.0,1.0,26.0,1.0,69.0,41.0,1.0,2.0,,,2.0,21.0,13.0,3.0,17.0,2.0,14.0,22.0,,1.0,1.0,4.0,2.0,,7.0,5.0,,5.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,3ju0ueq9ldm2cqx8cn3p4ecx5,G. Corbo,Defender,25,26.0,154.0,9.0,973.0,72.0,20.0,1137.0,8.0,,28.0,25.0,142.0,228.0,28.0,,134.0,,10.0,253.0,611.0,102.0,32.0,2285.0,5.0,84.0,329.0,1.0,111.0,1533.0,132.0,7.0,12.0,82.0,31.0,488.0,3.0,13.0,941.0,28.0,10.0,363.0,28.0,1177.0,44.0,6.0,18.0,37.0,22.0,9.0,11.0,24.0,11.0,7.0,17.0,47.0,14.0,52.0,839.0,3.0,25.0,145.0,15.0,58.0,9.0,93.0,4.0,4.0,1.0,,7.0,72.0,71.0,13.0,204.0,0.0,1.0,,,,,,,,1.0,2.0,1.0,1.0,3.0,1.0,,5.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,c3dtl72eb5ejh6h7ujaspomsq,B. Duke,Midfielder,10,22.0,212.0,41.0,722.0,9.0,40.0,876.0,12.0,3.0,7.0,40.0,203.0,218.0,33.0,,32.0,,10.0,366.0,273.0,184.0,22.0,1911.0,22.0,1.0,214.0,2.0,166.0,1326.0,216.0,3.0,43.0,112.0,33.0,275.0,9.0,20.0,681.0,26.0,,470.0,33.0,923.0,93.0,9.0,16.0,29.0,3.0,,16.0,21.0,11.0,60.0,,46.0,16.0,28.0,690.0,1.0,24.0,107.0,,91.0,3.0,35.0,8.0,20.0,,,33.0,100.0,39.0,17.0,201.0,2.0,21.0,,39.0,19.0,1.0,2.0,,,7.0,17.0,4.0,2.0,10.0,1.0,13.0,38.0,,,,1.0,1.0,2.0,12.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,4eaw6l0418q57ktjma0k5lnt,A. Herrera,Defender,22,23.0,128.0,57.0,493.0,76.0,29.0,603.0,53.0,,13.0,23.0,131.0,222.0,19.0,,49.0,,1.0,238.0,251.0,105.0,14.0,1410.0,15.0,23.0,28.0,3.0,77.0,963.0,125.0,3.0,6.0,67.0,30.0,237.0,3.0,2.0,484.0,18.0,5.0,250.0,19.0,612.0,48.0,9.0,21.0,23.0,10.0,4.0,15.0,10.0,7.0,25.0,16.0,24.0,11.0,23.0,444.0,1.0,16.0,93.0,5.0,57.0,5.0,42.0,3.0,4.0,,,16.0,61.0,45.0,9.0,119.0,0.0,8.0,,5.0,4.0,,,,,,12.0,7.0,,1.0,2.0,1.0,9.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,69w59auiaf5inl21u1c90w7ah,Ahmed Hamdi,Midfielder,7,6.0,61.0,1.0,148.0,2.0,19.0,192.0,1.0,,2.0,12.0,35.0,48.0,13.0,,5.0,,1.0,83.0,53.0,57.0,1.0,470.0,20.0,3.0,48.0,,42.0,289.0,45.0,1.0,2.0,35.0,16.0,56.0,9.0,4.0,143.0,9.0,,95.0,13.0,197.0,24.0,3.0,5.0,13.0,2.0,,7.0,2.0,4.0,19.0,,80.0,3.0,4.0,143.0,1.0,4.0,31.0,,33.0,4.0,7.0,1.0,3.0,,,6.0,26.0,15.0,11.0,49.0,0.0,,,,,,,,,2.0,6.0,,,3.0,,,16.0,,,,1.0,,,4.0,1.0,,1.0,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,5hbw303izlf5shd2qt1615bhm,S. Ibrahim,Forward,14,12.0,141.0,16.0,197.0,4.0,7.0,263.0,16.0,11.0,25.0,28.0,76.0,83.0,25.0,,5.0,,15.0,157.0,56.0,81.0,2.0,1174.0,52.0,1.0,67.0,2.0,61.0,456.0,76.0,,20.0,79.0,7.0,43.0,14.0,25.0,191.0,12.0,,145.0,25.0,269.0,37.0,10.0,2.0,17.0,1.0,,3.0,35.0,6.0,31.0,1.0,96.0,15.0,60.0,192.0,,11.0,29.0,,44.0,5.0,11.0,8.0,10.0,,,17.0,62.0,12.0,5.0,72.0,0.0,4.0,,,,,2.0,,,2.0,11.0,4.0,,10.0,3.0,,12.0,,1.0,,3.0,3.0,,15.0,3.0,,3.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,doty4jwj97b4xew8id7on0cgk,I. Iliadis,Midfielder,5,6.0,25.0,6.0,64.0,14.0,6.0,98.0,6.0,,3.0,3.0,27.0,7.0,6.0,,4.0,,1.0,54.0,31.0,16.0,5.0,251.0,2.0,3.0,38.0,,27.0,155.0,28.0,1.0,2.0,15.0,5.0,26.0,2.0,1.0,63.0,5.0,,34.0,6.0,99.0,7.0,1.0,3.0,8.0,3.0,1.0,,6.0,4.0,2.0,8.0,10.0,2.0,9.0,60.0,1.0,4.0,11.0,,9.0,3.0,8.0,1.0,2.0,,,3.0,10.0,14.0,2.0,35.0,0.0,1.0,,,,,,,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,Midfielder,23,2.0,11.0,,37.0,2.0,,41.0,,,,,4.0,21.0,3.0,,1.0,,,8.0,26.0,11.0,2.0,75.0,1.0,2.0,2.0,,5.0,63.0,4.0,1.0,2.0,4.0,3.0,15.0,2.0,1.0,36.0,3.0,,11.0,3.0,42.0,7.0,,,3.0,,,,,2.0,1.0,,10.0,,,36.0,,1.0,4.0,2.0,4.0,,,,1.0,,,1.0,7.0,1.0,3.0,5.0,0.0,,,,,1.0,,,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,4o2odluv4usimcdtryht04zjd,L. Ketterer,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,Forward,17,5.0,24.0,6.0,43.0,13.0,2.0,57.0,6.0,,,3.0,22.0,1.0,4.0,,1.0,,1.0,31.0,16.0,19.0,1.0,133.0,3.0,,17.0,1.0,14.0,107.0,16.0,1.0,2.0,15.0,3.0,25.0,3.0,2.0,41.0,1.0,,30.0,4.0,59.0,9.0,1.0,1.0,1.0,,,,5.0,2.0,4.0,1.0,75.0,2.0,5.0,42.0,,1.0,12.0,,10.0,,2.0,,1.0,,,3.0,9.0,,2.0,16.0,0.0,3.0,,,,,,,,1.0,4.0,3.0,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,7pcn6i4j0hfmtfet2isnsieax,L. Lappalainen,Midfielder,21,6.0,112.0,11.0,250.0,33.0,30.0,315.0,11.0,5.0,7.0,18.0,69.0,44.0,21.0,,9.0,,7.0,155.0,85.0,95.0,8.0,1034.0,42.0,6.0,126.0,,61.0,559.0,84.0,,8.0,61.0,19.0,67.0,8.0,11.0,244.0,18.0,,166.0,21.0,321.0,44.0,6.0,14.0,23.0,4.0,,17.0,10.0,5.0,30.0,6.0,51.0,6.0,17.0,241.0,1.0,13.0,58.0,,51.0,5.0,10.0,7.0,12.0,,,10.0,51.0,13.0,5.0,71.0,1.0,1.0,,2.0,,1.0,2.0,,,1.0,17.0,1.0,,4.0,2.0,,16.0,,,,2.0,3.0,,1.0,2.0,,4.0,,2.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,
