dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,FC Cincinnati,MLS,,USA,2aglg2msi6zhyimmrrxn5h51x,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/2aglg2msi6zhyimmrrxn5h51x
33,,FC Cincinnati,MLS,Defender,USA,39t59x9q2xumbn2hphk7urp7u,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/39t59x9q2xumbn2hphk7urp7u
25,,FC Cincinnati,MLS,Goalkeeper,USA,3fjb8lymm7grc7nqyfpzw1a8k,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/3fjb8lymm7grc7nqyfpzw1a8k
3,,FC Cincinnati,MLS,Defender,USA,3s1a50dskuehneuuy9b1nxg4,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/3s1a50dskuehneuuy9b1nxg4
42,,FC Cincinnati,MLS,Defender,USA,44nrrrjr233eellmujjz45h5g,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/44nrrrjr233eellmujjz45h5g
,,FC Cincinnati,MLS,,USA,4630vp2chgqihn3btpx5vb2l1,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/4630vp2chgqihn3btpx5vb2l1
29,,FC Cincinnati,MLS,Attacker,Guatemala,49ki6wsieoy8t4baq73o0zhbe,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/49ki6wsieoy8t4baq73o0zhbe
26,,FC Cincinnati,MLS,Midfielder,USA,4bpxi7ovrhew3zkp53781lyei,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/4bpxi7ovrhew3zkp53781lyei
37,,FC Cincinnati,MLS,Midfielder,USA,4uo9isxivewjrtdg9v7lku9zo,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/4uo9isxivewjrtdg9v7lku9zo
,,FC Cincinnati,MLS,Goalkeeper,Netherlands,54h1lfdtkvy63u899mpdbq3th,652hppivbqchvrp3wopx1isyt,287tckirbfj9nb8ar2k9r60vn,7a5umgwn0v0mbrtadxnnp9b84,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/teams/view/652hppivbqchvrp3wopx1isyt/player/view/54h1lfdtkvy63u899mpdbq3th
