liga,temporada,equipo,id,nombre,posicion,dorsal,Total Fouls Conceded,Duels,Unsuccessful Crosses & Corners,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,PutThrough/Blocked Distribution,Open Play Passes,Unsuccessful Crosses open play,Offsides,Aerial Duels won,Fifty Fifty,Unsuccessful Passes Opposition Half,Leftside Passes,Games Played,GK Unsuccessful Distribution,Successful Long Passes,GK Successful Distribution,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Ground Duels,Interceptions,Time Played,Total Touches In Opposition Box,Total Clearances,Rightside Passes,Handballs conceded,Unsuccessful Short Passes,Touches,Backward Passes,Yellow Cards,Total Fouls Won,Duels lost,Total Tackles,Forward Passes,Substitute On,Total Shots,Successful Open Play Passes,Goals Conceded Inside Box,Clean Sheets,Successful Passes Opposition Half,Appearances,Total Passes,Ground Duels won,Corners Won,Tackles Won,Goals Conceded,Unsuccessful Launches,Successful Launches,PutThrough/Blocked Distribution Won,Aerial Duels lost,Foul Attempted Tackle,Times Tackled,Throw Ins to Opposition Player,Index,Successful Fifty Fifty,Aerial Duels,Successful Short Passes,Penalty Goals Conceded,Starts,Recoveries,Blocks,Ground Duels lost,Goals Conceded Outside Box,Unsuccessful Long Passes,Blocked Shots,Substitute Off,Penalties Conceded,Goal Kicks,Key Passes (Attempt Assists),Duels won,Unsuccessful Passes Own Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Winning Goal,Successful Crosses & Corners,Penalty Goals,Corners Taken (incl short corners),Unsuccessful Corners into Box,Hit Woodwork,Right Foot Goals,Set Pieces Goals,Penalties Off Target,Through balls,Successful Dribbles,Successful Crosses open play,Second Goal Assists,Shots On Target ( inc goals ),Assists (Intentional),Successful Corners into Box,Unsuccessful Dribbles,Total Red Cards,Unsuccessful lay-offs,Penalties Taken,Goals from Inside Box,Goal Assists,Attempts from Set Pieces,Successful Lay-offs,Goals,Red Cards - 2nd Yellow,Overruns,Goals from Outside Box,Home Goals,Away Goals,Left Foot Goals,Headed Goals,Saves Made from Inside Box,Saves made - parried,Goalkeeper Smother,Saves Made,Saves Made from Outside Box,Straight Red Cards,Penalties Faced,Drops,Catches,Punches,Last Man Tackle,Own Goal Scored,Foul Won Penalty,Clearances Off the Line,Saves made - caught,Crosses not Claimed,Last Player Tackle,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2023,Los Angeles FC,6k22ppzw6wv0c4gskzxk28fyt,K. Acosta,Midfielder,23,34.0,166.0,45.0,630.0,3.0,31.0,732.0,9.0,,11.0,22.0,134.0,195.0,29.0,,30.0,,10.0,197.0,282.0,136.0,21.0,1845.0,4.0,12.0,213.0,1.0,85.0,1025.0,110.0,5.0,18.0,88.0,42.0,228.0,7.0,14.0,619.0,17.0,6.0,366.0,29.0,746.0,67.0,9.0,25.0,19.0,11.0,,24.0,19.0,20.0,15.0,,12.0,12.0,30.0,600.0,2.0,22.0,121.0,4.0,69.0,2.0,31.0,3.0,11.0,,,23.0,78.0,27.0,17.0,116.0,0.0,18.0,,56.0,35.0,,,,,3.0,7.0,,,4.0,,18.0,6.0,,1.0,,,,4.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,eoxsyfrsq1x9xa2zxvw8ui0ru,S. Biuk,Forward,7,16.0,149.0,12.0,317.0,3.0,25.0,415.0,12.0,8.0,14.0,19.0,91.0,103.0,30.0,,5.0,,9.0,188.0,90.0,120.0,8.0,1335.0,92.0,9.0,122.0,2.0,95.0,645.0,113.0,2.0,15.0,84.0,13.0,78.0,17.0,21.0,316.0,16.0,2.0,230.0,30.0,416.0,51.0,15.0,8.0,18.0,1.0,1.0,13.0,15.0,7.0,34.0,,11.0,6.0,29.0,312.0,2.0,13.0,67.0,1.0,69.0,2.0,4.0,8.0,8.0,,,18.0,65.0,20.0,5.0,99.0,0.0,3.0,,,,,3.0,,,3.0,23.0,3.0,,12.0,,,25.0,,,,3.0,1.0,,4.0,3.0,,1.0,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,399pgumsrvtb9kcx58vw5cmlm,M. Bogusz,Midfielder,19,43.0,252.0,62.0,644.0,12.0,34.0,736.0,22.0,5.0,9.0,15.0,157.0,182.0,33.0,,19.0,,19.0,278.0,173.0,226.0,7.0,1895.0,80.0,15.0,210.0,3.0,112.0,1215.0,176.0,6.0,50.0,118.0,39.0,198.0,12.0,45.0,615.0,24.0,,495.0,33.0,766.0,125.0,20.0,27.0,27.0,5.0,,12.0,17.0,26.0,36.0,,12.0,5.0,26.0,625.0,1.0,21.0,117.0,,101.0,3.0,10.0,18.0,15.0,,,28.0,134.0,27.0,12.0,122.0,2.0,24.0,1.0,59.0,36.0,,3.0,,,3.0,37.0,6.0,1.0,26.0,3.0,15.0,17.0,,1.0,1.0,2.0,4.0,7.0,7.0,3.0,,6.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,9bsl9l00l69qc7odmqzez5xp1,D. Bouanga,Forward,99,49.0,504.0,78.0,557.0,20.0,58.0,772.0,67.0,13.0,30.0,30.0,287.0,113.0,36.0,,32.0,,63.0,636.0,127.0,429.0,7.0,2983.0,296.0,19.0,303.0,3.0,212.0,1679.0,207.0,3.0,38.0,301.0,36.0,169.0,3.0,128.0,537.0,35.0,11.0,438.0,36.0,792.0,173.0,59.0,25.0,37.0,4.0,,22.0,45.0,27.0,176.0,,13.0,9.0,75.0,525.0,3.0,33.0,143.0,2.0,256.0,2.0,23.0,30.0,5.0,,,41.0,203.0,26.0,11.0,235.0,8.0,8.0,4.0,19.0,10.0,3.0,19.0,,,8.0,99.0,6.0,1.0,65.0,5.0,2.0,108.0,,6.0,4.0,20.0,6.0,11.0,16.0,25.0,,19.0,5.0,16.0,9.0,5.0,1.0,,,,,,,,,,,,,2.0,,,,,,,
USA_MLS,2023,Los Angeles FC,40lk020a1p1cvmj86ids7k05x,M. Chanot,Defender,25,19.0,130.0,,1052.0,4.0,14.0,1145.0,,1.0,36.0,33.0,82.0,320.0,19.0,,92.0,,10.0,163.0,840.0,73.0,27.0,1710.0,17.0,90.0,440.0,,73.0,1435.0,54.0,5.0,11.0,55.0,26.0,383.0,,14.0,1006.0,17.0,3.0,212.0,19.0,1197.0,39.0,2.0,16.0,23.0,32.0,4.0,9.0,21.0,7.0,4.0,1.0,10.0,20.0,57.0,960.0,2.0,19.0,109.0,8.0,34.0,6.0,72.0,1.0,,,,,75.0,63.0,10.0,145.0,0.0,,,,,,1.0,,,1.0,3.0,,,4.0,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,2.0,,,
USA_MLS,2023,Los Angeles FC,6jbob98hqg50s3fg4hug5oel1,G. Chiellini,Defender,14,12.0,132.0,2.0,949.0,13.0,13.0,1108.0,2.0,2.0,46.0,13.0,138.0,152.0,25.0,,91.0,4.0,4.0,216.0,605.0,57.0,38.0,1739.0,17.0,81.0,456.0,,106.0,1389.0,66.0,3.0,13.0,50.0,19.0,471.0,4.0,7.0,914.0,18.0,7.0,345.0,25.0,1145.0,36.0,,12.0,18.0,38.0,10.0,5.0,29.0,6.0,2.0,1.0,12.0,8.0,75.0,858.0,1.0,21.0,116.0,10.0,21.0,,90.0,3.0,8.0,,4.0,10.0,82.0,60.0,7.0,196.0,0.0,1.0,,,,,1.0,,,3.0,4.0,1.0,2.0,3.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,
USA_MLS,2023,Los Angeles FC,1wa6jf39zdyi462b1fk50vl61,J. Cifuentes,Midfielder,20,25.0,189.0,22.0,572.0,6.0,38.0,731.0,22.0,,19.0,28.0,159.0,186.0,19.0,,35.0,,14.0,282.0,171.0,153.0,11.0,1359.0,36.0,10.0,183.0,1.0,138.0,1028.0,98.0,4.0,10.0,107.0,27.0,272.0,6.0,18.0,564.0,16.0,2.0,405.0,19.0,739.0,63.0,11.0,22.0,19.0,4.0,1.0,13.0,17.0,13.0,40.0,,13.0,20.0,36.0,537.0,2.0,13.0,86.0,2.0,90.0,3.0,29.0,11.0,2.0,,,29.0,82.0,30.0,5.0,167.0,0.0,4.0,,,,1.0,,,,9.0,26.0,4.0,1.0,4.0,3.0,,17.0,,,,1.0,3.0,3.0,10.0,1.0,,10.0,,1.0,0.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,
USA_MLS,2023,Los Angeles FC,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,Midfielder,17,4.0,31.0,1.0,130.0,,2.0,142.0,1.0,,1.0,8.0,14.0,36.0,6.0,,,,1.0,23.0,66.0,26.0,5.0,279.0,1.0,2.0,33.0,,13.0,181.0,31.0,2.0,4.0,17.0,5.0,46.0,3.0,1.0,126.0,4.0,,65.0,6.0,146.0,13.0,1.0,5.0,4.0,1.0,,,4.0,1.0,3.0,,14.0,7.0,5.0,130.0,1.0,3.0,18.0,1.0,13.0,,3.0,,2.0,,,2.0,14.0,3.0,,16.0,0.0,1.0,,,,,,,,,4.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,6nmcuw8asxh6k3l5khx5atmfp,M. Crépeau,Goalkeeper,16,,5.0,,208.0,,1.0,180.0,,,4.0,,71.0,72.0,12.0,25.0,50.0,112.0,,97.0,184.0,1.0,,1080.0,,7.0,69.0,,3.0,424.0,,2.0,3.0,,,163.0,,,134.0,11.0,5.0,24.0,12.0,304.0,1.0,1.0,,11.0,31.0,7.0,,,,,,25.0,,4.0,158.0,1.0,12.0,89.0,,,,93.0,,,,77.0,,5.0,25.0,,96.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,2.0,31.0,19.0,,3.0,3.0,12.0,2.0,,,,,2.0,,,,1.0,1.0
USA_MLS,2023,Los Angeles FC,e214uro9x0t0739i474okunf8,L. Dellavalle,Defender,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
