liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Dribbles,Yellow Cards,Duels,Successful Passes Opposition Half,Total Clearances,Unsuccessful Short Passes,Goals Conceded Inside Box,GK Successful Distribution,Tackles Lost,Unsuccessful Crosses & Corners,Aerial Duels,Times Tackled,Blocked Shots,Total Shots,Throw Ins to Own Player,Forward Passes,Starts,Blocks,Shots On Target ( inc goals ),Rightside Passes,Foul Attempted Tackle,Appearances,Successful Crosses open play,Successful Launches,Total Tackles,Tackles Won,Backward Passes,Unsuccessful Long Passes,Unsuccessful Crosses open play,Total Successful Passes ( Excl Crosses & Corners ) ,Index,Total Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Passes Own Half,Clearances Off the Line,PutThrough/Blocked Distribution,Total Fouls Won,Ground Duels lost,Goals Conceded,Successful Passes Own Half,Duels lost,Shots Off Target (inc woodwork),Clean Sheets,Last Player Tackle,Ground Duels,Touches,Unsuccessful Launches,Interceptions,Successful Long Passes,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Goal Kicks,Ground Duels won,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Aerial Duels won,Games Played,Successful Crosses & Corners,Duels won,Total Fouls Conceded,Aerial Duels lost,Substitute On,Penalty Goals Conceded,Open Play Passes,Leftside Passes,Key Passes (Attempt Assists),Time Played,Successful Short Passes,Total Losses Of Possession,Successful Open Play Passes,Recoveries,Goals Conceded Outside Box,Throw Ins to Opposition Player,Winning Goal,Goal Assists,Through balls,Left Foot Goals,Goals from Inside Box,Successful Lay-offs,Second Goal Assists,Goals from Outside Box,Goals,Successful Corners into Box,Penalties Taken,Right Foot Goals,Assists (Intentional),Unsuccessful Corners into Box,Penalty Goals,Unsuccessful lay-offs,Attempts from Set Pieces,Hit Woodwork,Substitute Off,Overruns,Corners Taken (incl short corners),Corners Won,Home Goals,Away Goals,Offsides,Saves made - caught,GK Unsuccessful Distribution,Saves Made from Inside Box,Catches,Saves Made,Saves Made from Outside Box,Punches,Handballs conceded,Penalties Conceded,Foul Won Penalty,Headed Goals,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Straight Red Cards,Drops,Saves from Penalty,Goalkeeper Smother,Penalties Faced,Penalties Saved,Crosses not Claimed,Own Goal Scored,Other Goals,Penalties Off Target,Set Pieces Goals
USA_MLS,2024,Colorado Rapids,33l6xyx4nhswaphl9ha38yx9l,L. Abubakar,Defender,6,,5.0,91.0,184.0,64.0,49.0,25.0,1.0,4.0,,58.0,,1.0,5.0,,226.0,17.0,14.0,,216.0,4.0,20.0,,8.0,13.0,9.0,38.0,27.0,,686.0,12.0,762.0,76.0,33.0,,2.0,5.0,16.0,29.0,502.0,37.0,5.0,3.0,,33.0,918.0,15.0,24.0,24.0,14.0,1.0,1.0,17.0,,43.0,37.0,20.0,,54.0,14.0,21.0,3.0,1.0,747.0,282.0,1.0,1429.0,662.0,83.0,673.0,41.0,4.0,,0.0,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,
USA_MLS,2024,Colorado Rapids,8qqehla9xvhut6uua4a0zcju2,S. Anderson,Defender,22,5.0,1.0,49.0,81.0,18.0,33.0,7.0,,1.0,5.0,9.0,6.0,,1.0,44.0,82.0,5.0,1.0,,11.0,4.0,9.0,3.0,1.0,6.0,5.0,44.0,16.0,5.0,155.0,12.0,204.0,49.0,12.0,,15.0,6.0,23.0,9.0,77.0,28.0,1.0,2.0,,40.0,343.0,11.0,6.0,10.0,6.0,4.0,,17.0,5.0,42.0,4.0,9.0,3.0,21.0,5.0,5.0,4.0,,199.0,67.0,2.0,504.0,145.0,82.0,151.0,14.0,2.0,18.0,0.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,Colorado Rapids,3gzatxlefe9axcrqyllbtrzmc,E. Bandré,Goalkeeper,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,Colorado Rapids,6pgcyaivg3sjcm6jju4nn3omi,C. Bassett,Midfielder,23,20.0,1.0,300.0,916.0,25.0,140.0,41.0,,32.0,53.0,65.0,54.0,18.0,51.0,35.0,467.0,29.0,3.0,24.0,466.0,17.0,30.0,4.0,3.0,66.0,34.0,253.0,46.0,50.0,1399.0,14.0,1585.0,186.0,39.0,,46.0,31.0,120.0,47.0,487.0,151.0,27.0,4.0,,235.0,2112.0,14.0,19.0,68.0,105.0,29.0,,115.0,14.0,200.0,34.0,30.0,4.0,149.0,24.0,31.0,1.0,2.0,1537.0,399.0,29.0,2572.0,1331.0,350.0,1352.0,132.0,6.0,3.0,4.0,6.0,1.0,3.0,6.0,16.0,1.0,3.0,9.0,,1.0,5.0,6.0,2.0,1.0,2.0,4.0,2.0,5.0,2.0,3.0,26.0,3.0,6.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS,2024,Colorado Rapids,1o5qnb5ktq4u6t11lj3fqntg,A. Beaudry,Goalkeeper,31,,,1.0,3.0,2.0,,3.0,7.0,,,1.0,,,,,11.0,1.0,,,4.0,,1.0,,1.0,,,,6.0,,12.0,10.0,18.0,6.0,2.0,,,,,3.0,9.0,,,,,,26.0,2.0,,5.0,,,8.0,,,4.0,1.0,1.0,,1.0,,,,1.0,9.0,3.0,,90.0,7.0,8.0,6.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,
USA_MLS,2024,Colorado Rapids,1e9pmgwavcrxus1a8yommuolw,M. Bombito,Defender,64,4.0,3.0,136.0,294.0,70.0,80.0,28.0,4.0,12.0,2.0,63.0,6.0,4.0,7.0,7.0,315.0,17.0,10.0,5.0,203.0,10.0,18.0,,7.0,32.0,20.0,51.0,48.0,2.0,715.0,17.0,843.0,128.0,42.0,1.0,8.0,8.0,29.0,34.0,421.0,54.0,2.0,3.0,1.0,73.0,1057.0,28.0,20.0,55.0,26.0,4.0,4.0,44.0,3.0,88.0,38.0,18.0,,82.0,17.0,25.0,1.0,2.0,822.0,274.0,2.0,1547.0,660.0,151.0,695.0,86.0,6.0,,0.0,,1.0,,2.0,1.0,,,2.0,,,,,,,,,,1.0,1.0,,4.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
USA_MLS,2024,Colorado Rapids,oyfrc7by0bs2xynwaof0xtrd,K. Cabral,Forward,91,13.0,2.0,156.0,185.0,13.0,68.0,26.0,,12.0,18.0,25.0,37.0,7.0,26.0,,74.0,20.0,3.0,14.0,63.0,17.0,25.0,6.0,2.0,21.0,9.0,101.0,6.0,18.0,260.0,12.0,334.0,74.0,17.0,,26.0,24.0,73.0,31.0,81.0,92.0,12.0,,,131.0,604.0,4.0,13.0,10.0,86.0,15.0,,58.0,21.0,75.0,6.0,25.0,6.0,64.0,22.0,19.0,5.0,,321.0,96.0,15.0,1431.0,250.0,170.0,247.0,42.0,5.0,,0.0,1.0,,3.0,5.0,9.0,1.0,,5.0,,,1.0,1.0,,,4.0,,2.0,19.0,2.0,,14.0,3.0,2.0,10.0,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,
USA_MLS,2024,Colorado Rapids,3ebyf23azgbktpf7dgwlphkvd,R. Cannon,Defender,4,4.0,3.0,32.0,87.0,11.0,16.0,14.0,,6.0,7.0,7.0,2.0,,3.0,25.0,60.0,6.0,2.0,1.0,65.0,3.0,8.0,,2.0,6.0,,52.0,10.0,7.0,211.0,10.0,237.0,26.0,7.0,,7.0,5.0,10.0,16.0,124.0,15.0,2.0,,,25.0,328.0,5.0,7.0,12.0,8.0,1.0,,15.0,,26.0,2.0,8.0,,17.0,6.0,5.0,2.0,1.0,233.0,60.0,1.0,509.0,199.0,45.0,207.0,18.0,2.0,6.0,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,4.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,Colorado Rapids,97i3lzameygmj2stw819k8nsa,L. Diack,Midfielder,8,1.0,,9.0,6.0,,2.0,1.0,,1.0,,2.0,1.0,,,,3.0,,,,4.0,,4.0,,,3.0,2.0,,,,8.0,86.0,10.0,2.0,1.0,,,1.0,2.0,1.0,2.0,3.0,,,,7.0,20.0,,2.0,,,,,5.0,1.0,1.0,1.0,4.0,,6.0,1.0,1.0,4.0,,10.0,3.0,,16.0,8.0,4.0,8.0,3.0,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,Colorado Rapids,dw8iyfupgsqkt8ogxssmtss4q,M. Edwards,Defender,34,,1.0,16.0,32.0,7.0,8.0,6.0,,2.0,,5.0,1.0,,2.0,1.0,43.0,2.0,5.0,1.0,25.0,,4.0,,2.0,5.0,3.0,6.0,4.0,,99.0,15.0,111.0,12.0,5.0,,2.0,2.0,4.0,6.0,67.0,5.0,1.0,,,11.0,148.0,2.0,4.0,5.0,4.0,2.0,,7.0,,7.0,4.0,4.0,,11.0,,1.0,2.0,,108.0,37.0,1.0,206.0,94.0,14.0,96.0,5.0,,,0.0,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
