liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Dribbles,Yellow Cards,Duels,Successful Passes Opposition Half,Total Clearances,Unsuccessful Short Passes,Goals Conceded Inside Box,GK Successful Distribution,Tackles Lost,Unsuccessful Crosses & Corners,Aerial Duels,Times Tackled,Blocked Shots,Total Shots,Throw Ins to Own Player,Forward Passes,Starts,Blocks,Shots On Target ( inc goals ),Rightside Passes,Foul Attempted Tackle,Appearances,Successful Crosses open play,Successful Launches,Total Tackles,Tackles Won,Backward Passes,Unsuccessful Long Passes,Unsuccessful Crosses open play,Total Successful Passes ( Excl Crosses & Corners ) ,Index,Total Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Passes Own Half,Clearances Off the Line,PutThrough/Blocked Distribution,Total Fouls Won,Ground Duels lost,Goals Conceded,Successful Passes Own Half,Duels lost,Shots Off Target (inc woodwork),Clean Sheets,Last Player Tackle,Ground Duels,Touches,Unsuccessful Launches,Interceptions,Successful Long Passes,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Goal Kicks,Ground Duels won,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Aerial Duels won,Games Played,Successful Crosses & Corners,Duels won,Total Fouls Conceded,Aerial Duels lost,Substitute On,Penalty Goals Conceded,Open Play Passes,Leftside Passes,Key Passes (Attempt Assists),Time Played,Successful Short Passes,Total Losses Of Possession,Successful Open Play Passes,Recoveries,Goals Conceded Outside Box,Throw Ins to Opposition Player,Winning Goal,Goal Assists,Through balls,Left Foot Goals,Goals from Inside Box,Successful Lay-offs,Second Goal Assists,Goals from Outside Box,Goals,Successful Corners into Box,Penalties Taken,Right Foot Goals,Assists (Intentional),Unsuccessful Corners into Box,Penalty Goals,Unsuccessful lay-offs,Attempts from Set Pieces,Hit Woodwork,Substitute Off,Overruns,Corners Taken (incl short corners),Corners Won,Home Goals,Away Goals,Offsides,Saves made - caught,GK Unsuccessful Distribution,Saves Made from Inside Box,Catches,Saves Made,Saves Made from Outside Box,Punches,Handballs conceded,Penalties Conceded,Foul Won Penalty,Headed Goals,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Straight Red Cards,Drops,Saves from Penalty,Goalkeeper Smother,Penalties Faced,Penalties Saved,Crosses not Claimed,Own Goal Scored,Other Goals,Penalties Off Target,Set Pieces Goals
USA_MLS,2024,DC United,6qsj0qaeroaoxi5o41d8sz310,M. Akinmboni,Defender,45,,1.0,27.0,57.0,17.0,11.0,9.0,,3.0,2.0,9.0,1.0,,,7.0,73.0,4.0,4.0,,68.0,2.0,8.0,1.0,9.0,10.0,7.0,15.0,14.0,2.0,169.0,8.0,194.0,25.0,7.0,,4.0,1.0,7.0,10.0,113.0,12.0,,,,18.0,267.0,9.0,10.0,14.0,,3.0,,11.0,,20.0,4.0,8.0,1.0,15.0,7.0,5.0,4.0,1.0,190.0,38.0,,438.0,155.0,38.0,166.0,14.0,1.0,10.0,0.0,1.0,,,,,,,,,,,1.0,,,,,,3.0,,,,,,1.0,,,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,
USA_MLS,2024,DC United,d2xmywt450kjrph838hshcn3d,Mohanad Jeahze,Defender,5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,DC United,35tm2y83fcb7sa5rc4phzh08a,C. Antley,Defender,12,4.0,1.0,52.0,51.0,17.0,42.0,5.0,,6.0,3.0,19.0,3.0,1.0,1.0,23.0,86.0,4.0,3.0,,49.0,2.0,7.0,,2.0,16.0,10.0,23.0,14.0,3.0,112.0,14.0,168.0,56.0,17.0,,14.0,3.0,10.0,7.0,61.0,18.0,1.0,,,33.0,281.0,11.0,6.0,4.0,6.0,5.0,,23.0,2.0,42.0,11.0,7.0,,34.0,3.0,8.0,3.0,1.0,167.0,10.0,2.0,433.0,108.0,78.0,111.0,40.0,2.0,9.0,0.0,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
USA_MLS,2024,DC United,dhwk7axf00z4pe7crgp3ge8yx,D. Badji,Forward,14,3.0,2.0,40.0,38.0,3.0,17.0,12.0,,,3.0,17.0,4.0,3.0,5.0,1.0,16.0,3.0,,3.0,19.0,6.0,9.0,,,,,19.0,1.0,3.0,49.0,10.0,67.0,18.0,3.0,,6.0,3.0,17.0,14.0,11.0,23.0,2.0,,,23.0,107.0,1.0,2.0,,19.0,3.0,,6.0,1.0,18.0,11.0,9.0,,17.0,12.0,6.0,6.0,,66.0,13.0,,295.0,49.0,32.0,48.0,11.0,2.0,,1.0,,,,1.0,6.0,,,1.0,,,1.0,,,,1.0,,,3.0,1.0,,4.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,DC United,42w1fj2n8ubc7of8feg5z5p90,F. Barajas,Forward,99,2.0,1.0,42.0,106.0,1.0,14.0,6.0,,2.0,18.0,4.0,20.0,4.0,12.0,1.0,31.0,5.0,,6.0,35.0,3.0,17.0,6.0,2.0,5.0,3.0,50.0,2.0,13.0,132.0,10.0,148.0,16.0,5.0,,6.0,2.0,29.0,8.0,33.0,33.0,6.0,,,38.0,266.0,1.0,1.0,2.0,23.0,2.0,,9.0,10.0,29.0,,17.0,7.0,9.0,6.0,4.0,12.0,1.0,139.0,32.0,6.0,557.0,130.0,78.0,123.0,15.0,2.0,,0.0,2.0,1.0,,,2.0,,,,1.0,,,2.0,4.0,,,,2.0,5.0,5.0,9.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,DC United,d7efidcaz053ml8l4h19i7fmx,L. Barraza,Goalkeeper,13,,,,3.0,,1.0,4.0,6.0,,,,,,,,14.0,,,,14.0,,1.0,,2.0,,,,3.0,,25.0,10.0,29.0,4.0,1.0,,,,,4.0,22.0,,,,,,34.0,3.0,,5.0,,,5.0,,,3.0,,1.0,,,,,1.0,,22.0,1.0,,78.0,20.0,5.0,20.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,
USA_MLS,2024,DC United,7e8pb8eqysovpfpexouwwvac4,L. Bartlett,Defender,3,2.0,8.0,285.0,396.0,114.0,162.0,50.0,,12.0,3.0,169.0,6.0,5.0,18.0,11.0,664.0,31.0,24.0,5.0,318.0,16.0,32.0,1.0,23.0,34.0,22.0,94.0,118.0,3.0,1198.0,12.0,1478.0,280.0,92.0,1.0,34.0,29.0,51.0,62.0,803.0,110.0,13.0,1.0,1.0,116.0,1870.0,60.0,35.0,112.0,50.0,21.0,,65.0,2.0,191.0,110.0,32.0,1.0,175.0,37.0,59.0,1.0,5.0,1432.0,402.0,8.0,2742.0,1086.0,321.0,1155.0,147.0,12.0,1.0,0.0,3.0,1.0,,2.0,,1.0,,2.0,,,,2.0,,,,,1.0,2.0,,,2.0,1.0,1.0,3.0,,,,,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,
USA_MLS,2024,DC United,ubuow4ad6azso5zz51b4tivp,C. Benteke,Forward,20,10.0,8.0,589.0,327.0,34.0,296.0,47.0,1.0,1.0,1.0,436.0,42.0,21.0,73.0,,247.0,30.0,4.0,47.0,214.0,22.0,30.0,1.0,,6.0,5.0,127.0,6.0,1.0,435.0,15.0,737.0,302.0,23.0,,22.0,37.0,103.0,60.0,109.0,227.0,26.0,1.0,,153.0,1092.0,,2.0,20.0,189.0,10.0,1.0,50.0,20.0,280.0,312.0,30.0,1.0,362.0,71.0,124.0,,4.0,708.0,149.0,32.0,2600.0,415.0,401.0,407.0,39.0,13.0,,5.0,5.0,1.0,1.0,22.0,41.0,1.0,1.0,23.0,,3.0,13.0,3.0,,3.0,8.0,,3.0,5.0,1.0,,16.0,11.0,12.0,21.0,,,,,,,,5.0,,1.0,9.0,1.0,,,1.0,,,,,,,,,,
USA_MLS,2024,DC United,7ftzvsdtanjzae4acqwp5r0lx,S. Birnbaum,Defender,15,1.0,2.0,53.0,39.0,14.0,23.0,6.0,,1.0,,37.0,1.0,,2.0,,70.0,4.0,4.0,,48.0,3.0,6.0,1.0,2.0,2.0,1.0,7.0,9.0,,139.0,12.0,171.0,32.0,12.0,,1.0,4.0,9.0,10.0,101.0,24.0,2.0,,,16.0,210.0,7.0,4.0,7.0,9.0,,,7.0,,20.0,22.0,6.0,1.0,29.0,6.0,15.0,2.0,,167.0,46.0,,347.0,132.0,34.0,135.0,11.0,4.0,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,DC United,boojy2a86m5qkyqqzxvdk9jv9,A. Bono,Goalkeeper,24,,1.0,13.0,287.0,24.0,6.0,43.0,207.0,2.0,,7.0,1.0,,,,764.0,29.0,,,97.0,,29.0,,180.0,2.0,,,378.0,,556.0,13.0,940.0,384.0,46.0,,1.0,3.0,2.0,55.0,269.0,2.0,,2.0,,6.0,1182.0,220.0,,325.0,,,190.0,4.0,1.0,338.0,7.0,29.0,,11.0,,,,3.0,543.0,79.0,,2610.0,231.0,395.0,357.0,300.0,12.0,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,93.0,56.0,13.0,75.0,19.0,7.0,,,,,,,19.0,,1.0,,3.0,3.0,,,,,,
