dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,New England Revolution,MLS,,Uruguay,14klrhzc7p6o4hru6rh1axr84,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/14klrhzc7p6o4hru6rh1axr84
88,,New England Revolution,MLS,Defender,USA,1zs83jkejm70g1uzm1i71puqd,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/1zs83jkejm70g1uzm1i71puqd
47,,New England Revolution,MLS,Attacker,Bosnia and Herzegovina,24sgu58uugxgy49el075dz21g,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/24sgu58uugxgy49el075dz21g
15,,New England Revolution,MLS,Defender,USA,25pwi3q1y4tx1in9425eyln56,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/25pwi3q1y4tx1in9425eyln56
1,,New England Revolution,MLS,Goalkeeper,Slovakia,2irxiyoa2xdn1jr0mo24pn5jp,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/2irxiyoa2xdn1jr0mo24pn5jp
43,,New England Revolution,MLS,Defender,USA,357vd87hv0jvljqtt2qf4vmz8,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/357vd87hv0jvljqtt2qf4vmz8
36,,New England Revolution,MLS,Goalkeeper,USA,35mgbjlnao8d0s85peht48rf9,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/35mgbjlnao8d0s85peht48rf9
3,,New England Revolution,MLS,Defender,Ecuador,3aox5gs2l4gg22h97sixaiqj9,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/3aox5gs2l4gg22h97sixaiqj9
5,,New England Revolution,MLS,Attacker,Argentina,3s5k43ngpwa66vj4ypvcdu8a2,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/3s5k43ngpwa66vj4ypvcdu8a2
21,Nacho Gil,New England Revolution,MLS,Midfielder,Spain,48lml5m8b3r23vndb0my5opn9,3ko4vrn7aouqpdr21sv4ipcvj,287tckirbfj9nb8ar2k9r60vn,929cd2ue4bpcebvx91rx9e3h0,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/teams/view/3ko4vrn7aouqpdr21sv4ipcvj/player/view/48lml5m8b3r23vndb0my5opn9
