liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Assists (Intentional),Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Substitute On,Yellow Cards,Attempts from Set Pieces,Clearances Off the Line,GK Successful Distribution,Goal Kicks,Successful Launches,Total Big Chances Saved,Penalties Conceded,Second Goal Assists,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Right Foot Goals,Home Goals,Away Goals,Unsuccessful lay-offs,Last Player Tackle,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Hit Woodwork,Total Big Chances Scored,Left Foot Goals,Direct Setpiece Goals,Set Pieces Goals,Headed Goals,Penalty Goals Conceded,Straight Red Cards,Total Red Cards,Own Goal Scored,Other Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Saves made - caught,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Penalties Off Target
USA_MLS,2026,FC Dallas,33l6xyx4nhswaphl9ha38yx9l,L. Abubakar,Defender,5,,,,1.0,,1.0,,,3.0,,,,5.0,4.0,1.0,,7.0,1.0,1.0,,2.0,2.0,,5.0,4.0,1.0,,2.0,,6.0,,17.0,,1.0,1.0,1.0,,3.0,,,,1.0,1.0,,,,,,,16.0,4.0,12.0,16.0,,1.0,,,,54.0,,,,2.0,3.0,,2.0,17.0,,16.0,1.0,,1.0,25.0,,,,,,,1.0,,1.0,0.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,7kdjfzamp2pttc7g3bdhfchec,R. Binyamin,Midfielder,6,14.0,7.0,7.0,12.0,2.0,42.0,1.0,1.0,59.0,,,1.0,59.0,27.0,32.0,94.0,37.0,5.0,12.0,2.0,7.0,5.0,2.0,45.0,20.0,25.0,,3.0,4.0,37.0,1.0,172.0,,34.0,10.0,5.0,25.0,56.0,6.0,2.0,2.0,4.0,4.0,,1.0,1.0,6.0,4.0,4.0,137.0,91.0,47.0,133.0,2.0,10.0,,,5.0,356.0,9.0,1.0,2.0,11.0,6.0,7.0,58.0,172.0,4.0,137.0,12.0,10.0,35.0,264.0,,3.0,3.0,5.0,2.0,6.0,32.0,6.0,29.0,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,7ctsofo6904i5ysgpfh2sdv1m,C. Cappis,Midfielder,12,21.0,13.0,8.0,14.0,1.0,61.0,2.0,3.0,78.0,,13.0,4.0,89.0,45.0,44.0,143.0,110.0,8.0,14.0,1.0,18.0,14.0,4.0,68.0,32.0,36.0,,4.0,10.0,96.0,1.0,348.0,,34.0,10.0,6.0,36.0,92.0,11.0,4.0,,9.0,7.0,1.0,4.0,,4.0,12.0,17.0,282.0,187.0,106.0,272.0,13.0,9.0,,,2.0,810.0,15.0,3.0,1.0,10.0,10.0,10.0,123.0,359.0,4.0,289.0,22.0,12.0,70.0,504.0,11.0,23.0,8.0,5.0,7.0,19.0,77.0,16.0,51.0,0.0,5.0,3.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,6agfr3usj1pblrbq2i9mdpmcq,M. Collodi,Goalkeeper,1,7.0,2.0,5.0,13.0,,,,,41.0,3.0,,,12.0,3.0,9.0,,236.0,,13.0,,19.0,15.0,4.0,5.0,1.0,4.0,,,,66.0,,202.0,,10.0,,,134.0,49.0,,,,13.0,,,,,,,89.0,149.0,67.0,160.0,138.0,1.0,1.0,,,,1170.0,,,,20.0,,2.0,128.0,351.0,,227.0,2.0,,124.0,485.0,,,,,63.0,122.0,109.0,15.0,2.0,0.0,,2.0,,,107.0,79.0,28.0,12.0,,,,,,,,,,,1.0,7.0,,1.0,37.0,1.0,3.0,12.0,33.0,22.0,9.0,6.0,,,,,,,2.0,,,,,,,,2.0,,1.0,1.0,
USA_MLS,2026,FC Dallas,5wmik73cqursg7sv3w14ue5pm,L. Deedson,Forward,7,4.0,1.0,3.0,7.0,,9.0,1.0,,22.0,,,2.0,18.0,10.0,8.0,47.0,28.0,4.0,7.0,,5.0,4.0,1.0,14.0,9.0,5.0,,5.0,3.0,11.0,1.0,69.0,,17.0,8.0,4.0,11.0,21.0,3.0,4.0,1.0,3.0,3.0,,4.0,4.0,2.0,2.0,3.0,52.0,38.0,18.0,49.0,2.0,,,,8.0,253.0,3.0,2.0,,11.0,4.0,1.0,33.0,69.0,5.0,52.0,2.0,10.0,17.0,139.0,,9.0,9.0,2.0,5.0,5.0,21.0,5.0,12.0,0.0,4.0,,,,,,2.0,,,,1.0,1.0,1.0,,,1.0,0.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,cxu054j55uj2s3p34rqfthch6,P. Delgado,Midfielder,8,20.0,11.0,9.0,11.0,,49.0,6.0,1.0,69.0,,10.0,5.0,59.0,30.0,29.0,147.0,39.0,3.0,11.0,,4.0,4.0,,39.0,19.0,20.0,,2.0,5.0,41.0,,200.0,,36.0,15.0,9.0,25.0,75.0,5.0,3.0,5.0,5.0,5.0,2.0,3.0,1.0,7.0,8.0,12.0,158.0,119.0,45.0,149.0,2.0,6.0,,2.0,2.0,424.0,12.0,,2.0,9.0,4.0,5.0,88.0,204.0,8.0,161.0,8.0,20.0,43.0,328.0,6.0,22.0,12.0,6.0,3.0,6.0,53.0,12.0,37.0,0.0,6.0,1.0,1.0,,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,6a55q9pqnqrdxeekm2csv8jys,E. Dymora,Goalkeeper,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,bijyc7qlb2849vos6kn7kd0yc,L. Farrington,Forward,23,34.0,19.0,15.0,13.0,2.0,53.0,9.0,,84.0,,,6.0,121.0,68.0,53.0,214.0,44.0,6.0,13.0,2.0,14.0,10.0,4.0,87.0,49.0,38.0,,2.0,5.0,38.0,4.0,169.0,1.0,51.0,13.0,5.0,20.0,47.0,7.0,6.0,10.0,8.0,8.0,,2.0,2.0,15.0,9.0,4.0,116.0,93.0,38.0,125.0,2.0,3.0,5.0,,3.0,700.0,26.0,5.0,3.0,15.0,19.0,18.0,118.0,182.0,16.0,129.0,5.0,46.0,53.0,359.0,,7.0,7.0,16.0,1.0,2.0,51.0,9.0,51.0,1.0,5.0,2.0,1.0,,,,,,,1.0,5.0,5.0,5.0,,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,1.0,,,,,
USA_MLS,2026,FC Dallas,7scex1k4y0ctz3600075tmhud,S. Ibeagha,Defender,25,28.0,6.0,22.0,14.0,1.0,16.0,1.0,3.0,53.0,2.0,,1.0,54.0,15.0,39.0,28.0,139.0,2.0,14.0,1.0,15.0,11.0,4.0,26.0,9.0,17.0,,11.0,,87.0,1.0,304.0,,23.0,4.0,2.0,25.0,74.0,1.0,1.0,2.0,10.0,4.0,,,,,,17.0,254.0,88.0,178.0,249.0,4.0,9.0,,9.0,13.0,878.0,2.0,1.0,1.0,58.0,7.0,6.0,69.0,316.0,3.0,266.0,13.0,6.0,50.0,464.0,,2.0,2.0,1.0,12.0,18.0,39.0,13.0,32.0,0.0,4.0,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,23iwje6cgkgc05szzf2l5z97u,H. Johansson,Midfielder,14,43.0,18.0,25.0,13.0,2.0,89.0,1.0,3.0,71.0,1.0,,4.0,90.0,48.0,42.0,157.0,89.0,3.0,13.0,2.0,15.0,13.0,2.0,47.0,30.0,17.0,1.0,3.0,14.0,91.0,1.0,293.0,1.0,43.0,13.0,8.0,22.0,25.0,16.0,,1.0,10.0,4.0,,9.0,9.0,2.0,1.0,8.0,231.0,129.0,112.0,224.0,1.0,9.0,,2.0,53.0,933.0,7.0,3.0,,29.0,22.0,6.0,108.0,294.0,1.0,232.0,10.0,27.0,62.0,483.0,,12.0,12.0,5.0,8.0,12.0,60.0,14.0,50.0,0.0,3.0,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
