dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
27,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Defender,USA,16ndalf4kfr7e6rd9mwj7gfmc,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/16ndalf4kfr7e6rd9mwj7gfmc
46,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Midfielder,USA,1extjwx4b7nlpu8fm6526dsrt,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/1extjwx4b7nlpu8fm6526dsrt
45,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Attacker,USA,1vl4kyf53ix9kppnwc2igi1yi,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/1vl4kyf53ix9kppnwc2igi1yi
24,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Goalkeeper,USA,2bmjiy9sy465ebl2v89wxyru2,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/2bmjiy9sy465ebl2v89wxyru2
44,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Midfielder,Puerto Rico,2f7q5vtc8uxbfd1ofs08to67e,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/2f7q5vtc8uxbfd1ofs08to67e
50,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Defender,USA,2fwak7z2ctl58gtjbhtm54rft,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/2fwak7z2ctl58gtjbhtm54rft
49,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Attacker,USA,2vso11ep4y968kdywn8m6lpii,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/2vso11ep4y968kdywn8m6lpii
37,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Midfielder,USA,38p90lsdc5iv1jvjbhiinv6ne,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/38p90lsdc5iv1jvjbhiinv6ne
41,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Goalkeeper,Serbia,3dbbjeqx9j2qochtg92f0dgtm,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/3dbbjeqx9j2qochtg92f0dgtm
33,,Chicago Fire FC II,Chicago_Fire_FC_II,MLS Next Pro,Attacker,USA,3nyl7lxka41yl4yep8rzj95d6,8o8m08he36u0j4w08aj2iodn8,5qmjkpvi92vrzdcb2knassjkk,83v723s7clr3fthxlrh0ax91w,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2022/83v723s7clr3fthxlrh0ax91w/teams/view/8o8m08he36u0j4w08aj2iodn8/player/view/3nyl7lxka41yl4yep8rzj95d6
