dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Midfielder,Colombia,12ti9nxilgsj337ep2zehv7u2,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/12ti9nxilgsj337ep2zehv7u2
81,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Goalkeeper,Chinese Taipei,14hkfiu3q5s8uddoupp9qi1hw,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/14hkfiu3q5s8uddoupp9qi1hw
97,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Midfielder,USA,1bxk1fupp621vxhoagyefk0es,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/1bxk1fupp621vxhoagyefk0es
78,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Attacker,Haiti,1f8iyrz3dgfafr9rwjs80h2c4,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/1f8iyrz3dgfafr9rwjs80h2c4
21,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Attacker,USA,1qtu7ppqssq1jz3ghx871jjf8,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/1qtu7ppqssq1jz3ghx871jjf8
20,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Defender,USA,1z750xyx7stmv6uf51h1y6ehh,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/1z750xyx7stmv6uf51h1y6ehh
91,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Defender,USA,20z2nx7xh9mgty7qp6xur14yy,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/20z2nx7xh9mgty7qp6xur14yy
87,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Midfielder,USA,2dyragxnxo2hoqgu74157pfkk,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/2dyragxnxo2hoqgu74157pfkk
57,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Goalkeeper,Mexico,2ig362xub2syd45v3usgymbkk,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/2ig362xub2syd45v3usgymbkk
83,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Defender,USA,2re5upwzvbaolbxwqfw8sio0k,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/2re5upwzvbaolbxwqfw8sio0k
95,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Attacker,USA,2u45bvw1b0bcptquttgksgzys,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/2u45bvw1b0bcptquttgksgzys
49,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Midfielder,USA,3wkej06590b61lyqm7vt1kwes,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/3wkej06590b61lyqm7vt1kwes
51,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Defender,Panama,48vc423tkz4mx7oql1ahqneac,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/48vc423tkz4mx7oql1ahqneac
50,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Midfielder,Côte d'Ivoire,4d43te0j807cltpy0uzewuw44,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/4d43te0j807cltpy0uzewuw44
93,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Attacker,USA,4vmw7lpfhvg82znnxd35bldec,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/4vmw7lpfhvg82znnxd35bldec
85,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Defender,USA,58mom000tx2bmmibqfls18mqc,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/58mom000tx2bmmibqfls18mqc
32,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Defender,USA,5gg2mxmy9ff40oku3s09gavl6,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/5gg2mxmy9ff40oku3s09gavl6
37,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Defender,USA,5gl31qop7zlj9mfbtolvj7xuc,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/5gl31qop7zlj9mfbtolvj7xuc
62,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Defender,USA,5hmr60nznp77430imjbzhwmc4,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/5hmr60nznp77430imjbzhwmc4
48,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Midfielder,Tanzania,5tuhsstzfsgr1dxoz9ki36tjo,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/5tuhsstzfsgr1dxoz9ki36tjo
86,,Real Monarchs SLC,Real_Monarchs_SLC,MLS Next Pro,Defender,USA,64i80kb7s1bakexbyunb92zo4,cbip96wzs3jc2xadoluhhxotl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/64i80kb7s1bakexbyunb92zo4
