dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
40,,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Midfielder,USA,1hm3vjfy31psodrvkm39ojp7u,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/1hm3vjfy31psodrvkm39ojp7u
25,,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Midfielder,USA,1nnd0b4qwlni7tqot2n2st4yy,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/1nnd0b4qwlni7tqot2n2st4yy
33,,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Defender,USA,1yohdc0hkzkom8hlhw3rjfn8q,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/1yohdc0hkzkom8hlhw3rjfn8q
36,,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Attacker,Honduras,3119qoo7rm8jic39r3solyolw,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/3119qoo7rm8jic39r3solyolw
99,,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Goalkeeper,USA,3gzatxlefe9axcrqyllbtrzmc,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/3gzatxlefe9axcrqyllbtrzmc
24,,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Defender,USA,44kah50v5w1on1mhbostzfrze,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/44kah50v5w1on1mhbostzfrze
82,,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Defender,USA,4cfvnypovkt900sfxmdhvxtec,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/4cfvnypovkt900sfxmdhvxtec
60,Mohammad Abu Al Nadi,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Defender,Jordan,4fqr9a7gpcgh9z2kzp7ly5oq2,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/4fqr9a7gpcgh9z2kzp7ly5oq2
50,,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Defender,Croatia,539adbwl9juazyms5fxg235uy,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/539adbwl9juazyms5fxg235uy
45,,Sporting Kansas City II,Sporting_Kansas_City_II,MLS Next Pro,Defender,Algeria,5iqzt8ebltozgs5zjwru4xx7u,7fbej4xwoq4imaf5l39304m37,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/7fbej4xwoq4imaf5l39304m37/player/view/5iqzt8ebltozgs5zjwru4xx7u
