root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Successful Open Play Passes,Substitute On,Aerial Duels,Forward Passes,Total Clearances,Games Played,Goals Conceded Outside Box,Ground Duels lost,Appearances,Successful Crosses open play,Successful Long Passes,Time Played,GK Successful Distribution,Ground Duels,Total Shots,Successful Passes Own Half,Aerial Duels lost,Index,Key Passes (Attempt Assists),Total Touches In Opposition Box,Blocks,Open Play Passes,Successful Passes Opposition Half,Starts,Ground Duels won,Goals Conceded Inside Box,Shots Off Target (inc woodwork),Touches,Unsuccessful Short Passes,Tackles Won,Substitute Off,Leftside Passes,Backward Passes,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Unsuccessful Passes Own Half,Total Fouls Conceded,Duels,Aerial Duels won,Throw Ins to Own Player,Tackles Lost,Goal Assists,Interceptions,Unsuccessful Passes Opposition Half,Assists (Intentional),Duels lost,Goals Conceded,Unsuccessful Launches,Total Fouls Won,Goal Kicks,Duels won,Foul Attempted Tackle,Total Losses Of Possession,Successful Launches,Unsuccessful Long Passes,Recoveries,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Unsuccessful Crosses & Corners,Rightside Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Crosses & Corners,Total Passes,Times Tackled,PutThrough/Blocked Distribution,Unsuccessful Dribbles,Throw Ins to Opposition Player,Total Tackles,Winning Goal,Successful Lay-offs,Blocked Shots,Penalties Taken,Corners Won,Clean Sheets,Penalty Goals Conceded,Through balls,Foul Won Penalty,Handballs conceded,Penalty Goals,Yellow Cards,Right Foot Goals,Goals from Inside Box,Left Foot Goals,Goals,Successful Dribbles,Offsides,Headed Goals,Shots On Target ( inc goals ),Overruns,Home Goals,Away Goals,Unsuccessful Corners into Box,Corners Taken (incl short corners),Successful Corners into Box,Straight Red Cards,Total Red Cards,Unsuccessful lay-offs,Penalties Conceded,Own Goal Scored,Hit Woodwork,Catches,Punches,GK Unsuccessful Distribution,Saves made - parried,Saves Made from Inside Box,Saves Made,Saves Made from Outside Box,Goals from Outside Box,Drops,Saves made - caught,Penalties Faced,Penalties Saved,Saves from Penalty,Red Cards - 2nd Yellow,Crosses not Claimed,Last Player Tackle,Attempts from Set Pieces,Other Goals,Clearances Off the Line,Set Pieces Goals,Penalties Off Target,Last Man Tackle,Goalkeeper Smother,Second Goal Assists
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,4fqr9a7gpcgh9z2kzp7ly5oq2,Mohammad Abu Al Nadi,Defender,60,288.0,1.0,15.0,117.0,13.0,6.0,,12.0,6.0,,13.0,408.0,,34.0,2.0,223.0,4.0,10.0,1.0,2.0,3.0,323.0,76.0,5.0,22.0,7.0,1.0,408.0,19.0,6.0,2.0,67.0,21.0,1.0,4.0,19.0,3.0,49.0,11.0,4.0,4.0,,11.0,17.0,,16.0,7.0,11.0,7.0,,33.0,2.0,45.0,1.0,16.0,53.0,299.0,286.0,1.0,129.0,35.0,,334.0,4.0,7.0,2.0,2.0,10.0,0.0,,,,,1.0,2.0,,,,,2.0,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,r0s1fyyxaswujpkrv0yupt78,S. Afrifa,Forward,47,37.0,4.0,10.0,14.0,1.0,9.0,1.0,20.0,9.0,,4.0,339.0,,40.0,8.0,15.0,4.0,10.0,4.0,28.0,,54.0,32.0,5.0,20.0,4.0,5.0,133.0,16.0,2.0,5.0,11.0,21.0,2.0,4.0,3.0,9.0,50.0,6.0,,2.0,,1.0,16.0,,24.0,5.0,,5.0,,26.0,2.0,42.0,,1.0,9.0,47.0,43.0,2.0,18.0,17.0,,64.0,8.0,8.0,1.0,,4.0,1.0,4.0,3.0,,1.0,,2.0,,,,,1.0,1.0,1.0,,1.0,11.0,2.0,,3.0,,1.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,8opghgdvk9dv822u4qsqepdec,B. Bagayoko,Forward,66,26.0,2.0,5.0,4.0,3.0,5.0,,13.0,5.0,,1.0,207.0,,26.0,4.0,10.0,1.0,10.0,,13.0,,37.0,20.0,3.0,13.0,3.0,3.0,74.0,11.0,1.0,3.0,10.0,14.0,1.0,1.0,3.0,4.0,31.0,4.0,,,,,9.0,,14.0,3.0,,9.0,,17.0,2.0,21.0,,,1.0,30.0,29.0,1.0,13.0,11.0,,41.0,7.0,2.0,1.0,,1.0,0.0,5.0,,,2.0,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,3gzatxlefe9axcrqyllbtrzmc,E. Bandré,Goalkeeper,99,123.0,,1.0,176.0,6.0,15.0,2.0,2.0,15.0,,56.0,1350.0,176.0,6.0,,210.0,,10.0,1.0,,,173.0,32.0,15.0,4.0,18.0,,489.0,3.0,,,78.0,,,,27.0,1.0,7.0,1.0,,,,,75.0,,2.0,20.0,25.0,4.0,113.0,5.0,1.0,103.0,7.0,99.0,117.0,242.0,186.0,,90.0,102.0,,344.0,,,,,,0.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,5.0,1.0,19.0,12.0,28.0,42.0,14.0,,1.0,,4.0,,,,,,,,,,,,3.0,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,9jczt268kcld72pk5ho4xpzsa,J. Bartlett,Defender,42,36.0,,3.0,18.0,3.0,1.0,,3.0,1.0,,6.0,67.0,,5.0,,29.0,1.0,10.0,,1.0,,44.0,9.0,1.0,2.0,3.0,,52.0,5.0,1.0,1.0,8.0,2.0,,,4.0,1.0,8.0,2.0,,,,,4.0,,4.0,3.0,,1.0,,4.0,1.0,8.0,1.0,3.0,6.0,38.0,32.0,,18.0,8.0,,46.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,a8ngovgs2qfu5udzb97kelg16,E. Bryant,Midfielder,39,587.0,9.0,13.0,234.0,5.0,27.0,4.0,56.0,27.0,5.0,47.0,1768.0,,122.0,28.0,167.0,9.0,10.0,51.0,58.0,4.0,721.0,500.0,18.0,66.0,25.0,12.0,1161.0,107.0,9.0,9.0,173.0,159.0,25.0,12.0,32.0,7.0,135.0,4.0,5.0,8.0,3.0,9.0,190.0,2.0,65.0,29.0,1.0,21.0,,70.0,3.0,311.0,,35.0,102.0,626.0,579.0,80.0,202.0,142.0,41.0,768.0,44.0,33.0,15.0,,17.0,0.0,13.0,24.0,1.0,23.0,1.0,8.0,9.0,,1.0,1.0,1.0,7.0,8.0,,8.0,28.0,1.0,1.0,16.0,4.0,1.0,7.0,47.0,90.0,26.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,Defender,19,139.0,1.0,17.0,69.0,15.0,4.0,,7.0,4.0,,20.0,315.0,,8.0,1.0,86.0,4.0,10.0,1.0,8.0,4.0,168.0,56.0,3.0,1.0,6.0,,209.0,16.0,,,42.0,10.0,1.0,3.0,5.0,5.0,25.0,13.0,2.0,,,4.0,27.0,,11.0,6.0,4.0,1.0,,14.0,2.0,32.0,4.0,15.0,24.0,142.0,122.0,1.0,52.0,31.0,,173.0,,4.0,,,,0.0,,,,1.0,,2.0,1.0,,,,1.0,,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,tvbjgz0zeq5irumgofxrko44,L. Christiano,Defender,92,6.0,1.0,,4.0,,1.0,,,1.0,,1.0,17.0,,2.0,,4.0,,10.0,,,,8.0,2.0,,2.0,1.0,,14.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,2.0,,,,,1.0,2.0,,,1.0,,1.0,,2.0,,4.0,,1.0,2.0,6.0,5.0,1.0,,2.0,,8.0,,1.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,1nnd0b4qwlni7tqot2n2st4yy,O. Cisneros,Midfielder,25,458.0,8.0,20.0,115.0,2.0,26.0,2.0,103.0,26.0,1.0,20.0,1615.0,,186.0,14.0,137.0,14.0,10.0,28.0,50.0,1.0,543.0,331.0,18.0,83.0,23.0,7.0,801.0,69.0,24.0,12.0,71.0,146.0,4.0,8.0,16.0,29.0,206.0,6.0,1.0,11.0,2.0,14.0,73.0,2.0,117.0,25.0,4.0,29.0,,89.0,13.0,172.0,,16.0,80.0,467.0,447.0,4.0,220.0,85.0,1.0,552.0,51.0,23.0,32.0,,35.0,2.0,11.0,7.0,,7.0,,3.0,6.0,,1.0,,1.0,1.0,3.0,2.0,3.0,19.0,3.0,,7.0,4.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Sporting Kansas City II,Sporting_Kansas_City_II,1yohdc0hkzkom8hlhw3rjfn8q,N. Clarke,Defender,33,580.0,2.0,27.0,240.0,31.0,20.0,2.0,64.0,20.0,4.0,59.0,1610.0,,126.0,1.0,259.0,15.0,10.0,13.0,21.0,5.0,687.0,349.0,18.0,62.0,23.0,,1100.0,79.0,21.0,4.0,40.0,141.0,9.0,15.0,41.0,27.0,153.0,12.0,127.0,16.0,2.0,33.0,76.0,2.0,79.0,25.0,8.0,18.0,,74.0,9.0,186.0,5.0,29.0,99.0,604.0,545.0,9.0,291.0,108.0,4.0,712.0,15.0,30.0,8.0,23.0,37.0,0.0,1.0,2.0,,9.0,4.0,7.0,,,,,2.0,,,,,7.0,,,1.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
