dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
54,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Defender,USA,12s9icx64njgo9to4sb732eqc,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/12s9icx64njgo9to4sb732eqc
96,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Defender,USA,3007iihmvmlzgpgtxri3v3hg4,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/3007iihmvmlzgpgtxri3v3hg4
3,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Defender,Ecuador,3aox5gs2l4gg22h97sixaiqj9,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/3aox5gs2l4gg22h97sixaiqj9
84,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Midfielder,USA,3p7l8nat5o6ry2pmm8hgfnmui,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/3p7l8nat5o6ry2pmm8hgfnmui
38,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Attacker,Norway,3wtx6mgbgjvf1zsi5j7m1yxas,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/3wtx6mgbgjvf1zsi5j7m1yxas
45,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Midfielder,USA,49iwtxrt13s34ib195mr98ewa,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/49iwtxrt13s34ib195mr98ewa
93,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Attacker,Burkina Faso,4dji8lgdl3psnfchdwpllvod0,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/4dji8lgdl3psnfchdwpllvod0
68,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Goalkeeper,USA,5f1j0xharn07q39c0ymwcdu6s,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/5f1j0xharn07q39c0ymwcdu6s
80,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Midfielder,USA,5jal3zhkwodffivsq89wfd15g,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/5jal3zhkwodffivsq89wfd15g
35,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Attacker,USA,5uwkzz79ayagkh2ukysvgolwp,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/5uwkzz79ayagkh2ukysvgolwp
34,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Midfielder,Sierra Leone,7ajceczjsu9ci4nqv9gg2860a,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/7ajceczjsu9ci4nqv9gg2860a
33,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Defender,USA,7mnh4dln104xhunf6u9f2546i,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/7mnh4dln104xhunf6u9f2546i
70,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Attacker,Mexico,7v1e3ainwp7lip9r12i2mmiok,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/7v1e3ainwp7lip9r12i2mmiok
31,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Defender,USA,7zr3gif60ntltgt3s5yi6qjca,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/7zr3gif60ntltgt3s5yi6qjca
21,,Tacoma Defiance,Tacoma_Defiance,MLS Next Pro,Defender,USA,809wpocve7kf4vpdn7wd84v3e,5icuo8utnztpsd9l03gdd68dl,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/5icuo8utnztpsd9l03gdd68dl/player/view/809wpocve7kf4vpdn7wd84v3e
