root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Successful Open Play Passes,Substitute On,Aerial Duels,Forward Passes,Total Clearances,Games Played,Goals Conceded Outside Box,Ground Duels lost,Appearances,Successful Crosses open play,Successful Long Passes,Time Played,GK Successful Distribution,Ground Duels,Total Shots,Successful Passes Own Half,Aerial Duels lost,Index,Key Passes (Attempt Assists),Total Touches In Opposition Box,Blocks,Open Play Passes,Successful Passes Opposition Half,Starts,Ground Duels won,Goals Conceded Inside Box,Shots Off Target (inc woodwork),Touches,Unsuccessful Short Passes,Tackles Won,Substitute Off,Leftside Passes,Backward Passes,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Unsuccessful Passes Own Half,Total Fouls Conceded,Duels,Aerial Duels won,Throw Ins to Own Player,Tackles Lost,Goal Assists,Interceptions,Unsuccessful Passes Opposition Half,Assists (Intentional),Duels lost,Goals Conceded,Unsuccessful Launches,Total Fouls Won,Goal Kicks,Duels won,Foul Attempted Tackle,Total Losses Of Possession,Successful Launches,Unsuccessful Long Passes,Recoveries,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Unsuccessful Crosses & Corners,Rightside Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Crosses & Corners,Total Passes,Times Tackled,PutThrough/Blocked Distribution,Unsuccessful Dribbles,Throw Ins to Opposition Player,Total Tackles,Winning Goal,Successful Lay-offs,Blocked Shots,Penalties Taken,Corners Won,Clean Sheets,Penalty Goals Conceded,Through balls,Foul Won Penalty,Handballs conceded,Penalty Goals,Yellow Cards,Right Foot Goals,Goals from Inside Box,Left Foot Goals,Goals,Successful Dribbles,Offsides,Headed Goals,Shots On Target ( inc goals ),Overruns,Home Goals,Away Goals,Unsuccessful Corners into Box,Corners Taken (incl short corners),Successful Corners into Box,Straight Red Cards,Total Red Cards,Unsuccessful lay-offs,Penalties Conceded,Own Goal Scored,Hit Woodwork,Catches,Punches,GK Unsuccessful Distribution,Saves made - parried,Saves Made from Inside Box,Saves Made,Saves Made from Outside Box,Goals from Outside Box,Drops,Saves made - caught,Penalties Faced,Penalties Saved,Saves from Penalty,Red Cards - 2nd Yellow,Crosses not Claimed,Last Player Tackle,Attempts from Set Pieces,Other Goals,Clearances Off the Line,Set Pieces Goals,Penalties Off Target,Last Man Tackle,Goalkeeper Smother,Second Goal Assists
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,euao82yra2ky4ze4i2q1l0uay,J. Alvarez,Midfielder,97,162.0,7.0,2.0,38.0,1.0,9.0,2.0,18.0,9.0,,5.0,256.0,,37.0,1.0,74.0,,10.0,4.0,1.0,1.0,180.0,90.0,2.0,19.0,4.0,,232.0,15.0,6.0,1.0,51.0,46.0,,1.0,3.0,5.0,39.0,2.0,,1.0,,,15.0,,18.0,6.0,,4.0,,21.0,2.0,38.0,,3.0,18.0,164.0,159.0,,47.0,18.0,,182.0,11.0,4.0,3.0,,7.0,0.0,2.0,,,,1.0,2.0,,,,,,,,,,8.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,5jal3zhkwodffivsq89wfd15g,C. Aquino,Midfielder,80,66.0,7.0,5.0,13.0,2.0,11.0,,14.0,11.0,1.0,3.0,329.0,,29.0,5.0,34.0,4.0,10.0,1.0,9.0,1.0,82.0,39.0,4.0,15.0,7.0,3.0,148.0,16.0,2.0,4.0,31.0,35.0,1.0,2.0,5.0,2.0,34.0,1.0,1.0,2.0,,2.0,12.0,,18.0,7.0,,7.0,,16.0,,38.0,,,6.0,72.0,69.0,1.0,9.0,16.0,1.0,88.0,10.0,3.0,5.0,,4.0,0.0,9.0,2.0,,,,,,,,,,,1.0,1.0,1.0,4.0,1.0,,2.0,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,3aox5gs2l4gg22h97sixaiqj9,X. Arreaga,Defender,3,25.0,,1.0,4.0,1.0,1.0,,2.0,1.0,,3.0,45.0,,8.0,,20.0,1.0,10.0,,,1.0,26.0,6.0,1.0,6.0,1.0,,38.0,1.0,2.0,1.0,,6.0,,,1.0,2.0,9.0,,,,,1.0,,,3.0,1.0,,2.0,,6.0,,1.0,,,3.0,26.0,23.0,,17.0,1.0,,27.0,,,,,2.0,0.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,3p7l8nat5o6ry2pmm8hgfnmui,J. Atencio,Midfielder,84,277.0,,7.0,111.0,7.0,7.0,,29.0,7.0,3.0,25.0,527.0,,54.0,4.0,155.0,4.0,10.0,5.0,17.0,2.0,329.0,136.0,7.0,25.0,6.0,2.0,440.0,44.0,9.0,4.0,75.0,71.0,2.0,5.0,11.0,7.0,61.0,3.0,2.0,6.0,1.0,10.0,43.0,1.0,33.0,6.0,1.0,3.0,,28.0,7.0,82.0,1.0,8.0,36.0,288.0,263.0,2.0,83.0,52.0,3.0,340.0,13.0,15.0,6.0,1.0,15.0,0.0,7.0,2.0,,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,7.0,,,2.0,3.0,0.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,7mnh4dln104xhunf6u9f2546i,C. Baker,Defender,33,199.0,2.0,4.0,76.0,10.0,7.0,1.0,17.0,7.0,3.0,8.0,413.0,,36.0,,114.0,2.0,10.0,5.0,3.0,1.0,238.0,102.0,5.0,19.0,9.0,,356.0,29.0,12.0,3.0,43.0,73.0,3.0,7.0,10.0,6.0,40.0,2.0,33.0,,,4.0,34.0,,19.0,10.0,2.0,6.0,,21.0,4.0,60.0,,11.0,22.0,213.0,205.0,4.0,61.0,40.0,3.0,253.0,4.0,12.0,,7.0,12.0,0.0,2.0,,,1.0,,3.0,1.0,,1.0,,2.0,,,,,2.0,1.0,,,2.0,,,1.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,809wpocve7kf4vpdn7wd84v3e,R. Baker-Whiting,Midfielder,21,285.0,,11.0,125.0,20.0,8.0,,29.0,8.0,4.0,24.0,606.0,,63.0,4.0,162.0,5.0,10.0,3.0,10.0,2.0,349.0,136.0,8.0,34.0,8.0,2.0,570.0,43.0,13.0,5.0,79.0,105.0,15.0,4.0,24.0,9.0,74.0,6.0,52.0,2.0,1.0,13.0,55.0,1.0,34.0,8.0,9.0,6.0,,40.0,3.0,125.0,1.0,21.0,47.0,294.0,270.0,15.0,49.0,64.0,4.0,358.0,16.0,10.0,9.0,11.0,15.0,0.0,1.0,2.0,,6.0,1.0,1.0,,,1.0,,3.0,,1.0,2.0,2.0,13.0,1.0,,2.0,3.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,3wtx6mgbgjvf1zsi5j7m1yxas,E. Björgólfs­son,Forward,38,99.0,7.0,46.0,22.0,5.0,16.0,1.0,47.0,16.0,1.0,4.0,801.0,,76.0,18.0,17.0,15.0,10.0,4.0,50.0,,144.0,85.0,9.0,29.0,11.0,12.0,271.0,44.0,4.0,6.0,50.0,43.0,1.0,4.0,11.0,23.0,122.0,31.0,,,1.0,1.0,35.0,1.0,62.0,12.0,,20.0,,60.0,6.0,92.0,,1.0,17.0,101.0,97.0,1.0,31.0,45.0,1.0,146.0,19.0,7.0,7.0,,4.0,0.0,9.0,2.0,,4.0,,3.0,1.0,2.0,,,1.0,1.0,2.0,,2.0,5.0,7.0,1.0,6.0,1.0,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,3007iihmvmlzgpgtxri3v3hg4,B. Bowen,Defender,96,692.0,7.0,20.0,271.0,30.0,25.0,6.0,99.0,25.0,8.0,25.0,1703.0,,187.0,9.0,330.0,6.0,10.0,12.0,41.0,3.0,821.0,403.0,18.0,88.0,20.0,5.0,1367.0,109.0,28.0,7.0,208.0,258.0,11.0,13.0,43.0,21.0,207.0,14.0,148.0,10.0,6.0,32.0,100.0,6.0,105.0,26.0,7.0,21.0,,102.0,9.0,264.0,3.0,22.0,109.0,725.0,700.0,12.0,119.0,131.0,8.0,856.0,55.0,23.0,27.0,28.0,38.0,1.0,,5.0,,7.0,2.0,5.0,1.0,,1.0,,5.0,,1.0,1.0,1.0,29.0,1.0,,4.0,4.0,1.0,0.0,,16.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,ez0t0pl5qxy0sa3zp1l77sjro,S. Brunell,Midfielder,37,377.0,7.0,8.0,113.0,11.0,16.0,5.0,56.0,16.0,4.0,21.0,897.0,,101.0,6.0,168.0,4.0,10.0,6.0,17.0,2.0,440.0,226.0,9.0,45.0,8.0,4.0,609.0,52.0,13.0,8.0,117.0,100.0,4.0,10.0,26.0,27.0,109.0,4.0,1.0,9.0,3.0,21.0,41.0,,60.0,13.0,3.0,15.0,,49.0,15.0,103.0,,11.0,51.0,390.0,369.0,4.0,123.0,63.0,4.0,453.0,16.0,19.0,6.0,,22.0,0.0,2.0,1.0,,4.0,,3.0,1.0,,2.0,,4.0,1.0,1.0,,1.0,8.0,,,2.0,2.0,0.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Tacoma Defiance,Tacoma_Defiance,bdrs643l8uzj01plxa25wncdm,J. Castro,Goalkeeper,29,116.0,,1.0,132.0,15.0,13.0,6.0,1.0,13.0,,57.0,1170.0,175.0,3.0,,190.0,,10.0,,,,147.0,25.0,13.0,2.0,13.0,,457.0,6.0,,,72.0,,,,26.0,,4.0,1.0,,,,,37.0,,1.0,19.0,15.0,2.0,104.0,3.0,,67.0,9.0,57.0,120.0,215.0,158.0,,74.0,63.0,,278.0,,,,,,0.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,10.0,9.0,22.0,9.0,34.0,55.0,20.0,,,3.0,3.0,,,,,,,,,,,,,
