dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
73,,Ventura County FC,Ventura_County_FC,MLS Next Pro,Attacker,Cameroon,1kl9112b8rcbr3k1s5hs353x0,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/1kl9112b8rcbr3k1s5hs353x0
,Omar Garcia,Ventura County FC,Ventura_County_FC,MLS Next Pro,Midfielder,USA,1s6n11zxo7m7w76w1ga9scbo4,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/1s6n11zxo7m7w76w1ga9scbo4
66,,Ventura County FC,Ventura_County_FC,MLS Next Pro,Defender,USA,1tln4ic02q7gakyi104b0o9ka,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/1tln4ic02q7gakyi104b0o9ka
72,Nicolás Barros Schelotto,Ventura County FC,Ventura_County_FC,MLS Next Pro,Midfielder,Argentina,2eoftsi3eznjjmhu8ybft11ck,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/2eoftsi3eznjjmhu8ybft11ck
12,,Ventura County FC,Ventura_County_FC,MLS Next Pro,Goalkeeper,USA,2mmciwk6gllcf11plcch710yc,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/2mmciwk6gllcf11plcch710yc
47,,Ventura County FC,Ventura_County_FC,MLS Next Pro,Attacker,USA,2vq2t4ttpcwey95jzofd60qy2,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/2vq2t4ttpcwey95jzofd60qy2
45,,Ventura County FC,Ventura_County_FC,MLS Next Pro,Midfielder,Mexico,37zynr7fwzqg4c9w5ydefywyy,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/37zynr7fwzqg4c9w5ydefywyy
,Miguel Gonzalez,Ventura County FC,Ventura_County_FC,MLS Next Pro,Defender,USA,3oa20qedgmbwxongnt4ahqxp0,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/3oa20qedgmbwxongnt4ahqxp0
70,,Ventura County FC,Ventura_County_FC,MLS Next Pro,Attacker,USA,444j9nk6m2iml0zh7q15t3luy,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/444j9nk6m2iml0zh7q15t3luy
50,,Ventura County FC,Ventura_County_FC,MLS Next Pro,Defender,USA,4blue6g56i3t9iffjcmjs6hhw,8ijkk62897so5r3bq0wgwx4bu,5qmjkpvi92vrzdcb2knassjkk,3rqu7qnqyzivc3hv9pe30uiok,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2023/3rqu7qnqyzivc3hv9pe30uiok/teams/view/8ijkk62897so5r3bq0wgwx4bu/player/view/4blue6g56i3t9iffjcmjs6hhw
