dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
60,,The Town FC,MLS Next Pro,Attacker,USA,1bmbt6h6bsiimpzxt07cqwfvu,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/1bmbt6h6bsiimpzxt07cqwfvu
93,,The Town FC,MLS Next Pro,Midfielder,USA,1f1x4s6m83dyn9tv9faubwob8,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/1f1x4s6m83dyn9tv9faubwob8
61,,The Town FC,MLS Next Pro,Attacker,USA,1icuc2zoguvqpuy5574czxtec,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/1icuc2zoguvqpuy5574czxtec
38,,The Town FC,MLS Next Pro,Midfielder,USA,1on6mxrbdqnh12s4h1y0vb3mc,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/1on6mxrbdqnh12s4h1y0vb3mc
16,,The Town FC,MLS Next Pro,Midfielder,USA,226lvmqm3qdvss5wp8w066qne,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/226lvmqm3qdvss5wp8w066qne
51,,The Town FC,MLS Next Pro,Goalkeeper,USA,23j7p7rylg9rwke4vbgquzjai,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/23j7p7rylg9rwke4vbgquzjai
49,,The Town FC,MLS Next Pro,Attacker,USA,2f698kopu06vfy867tc8j6ln8,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/2f698kopu06vfy867tc8j6ln8
55,,The Town FC,MLS Next Pro,Midfielder,Philippines,2jwbnsl7zicnbgutmpop29d61,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/2jwbnsl7zicnbgutmpop29d61
53,,The Town FC,MLS Next Pro,Attacker,USA,3514h23j8mh5m37hsg90245ck,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/3514h23j8mh5m37hsg90245ck
63,,The Town FC,MLS Next Pro,Defender,USA,35jkg2v338kipzlf0iwvvypuy,ew2zirzye0sw1txr2m33nr25y,5qmjkpvi92vrzdcb2knassjkk,azyt1t7kg4bx4vu80k7w8drtg,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2024/azyt1t7kg4bx4vu80k7w8drtg/teams/view/ew2zirzye0sw1txr2m33nr25y/player/view/35jkg2v338kipzlf0iwvvypuy
