liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Crosses open play,Rightside Passes,Penalties Conceded,Blocked Shots,Ground Duels won,Total Shots,Goal Assists,Unsuccessful Crosses open play,Successful Corners into Box,Goals Conceded,Overruns,Foul Attempted Tackle,Clearances Off the Line,Aerial Duels lost,Successful Launches,Goals Conceded Inside Box,Second Goal Assists,Total Losses Of Possession,Yellow Cards,Unsuccessful Corners into Box,Starts,Unsuccessful Passes Own Half,Total Clearances,Corners Taken (incl short corners),Times Tackled,Games Played,Through balls,Successful Lay-offs,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Right Foot Goals,Leftside Passes,Penalties Taken,Tackles Won,Successful Short Passes,Successful Long Passes,Blocks,Successful Passes Opposition Half,Backward Passes,Successful Open Play Passes,Index,Penalty Goals Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Attempts from Set Pieces,Corners Won,GK Successful Distribution,Unsuccessful Dribbles,Recoveries,Goals Conceded Outside Box,Throw Ins to Own Player,Offsides,Key Passes (Attempt Assists),Goals from Inside Box,Shots On Target ( inc goals ),Total Tackles,Total Fouls Won,Appearances,Ground Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals from Outside Box,Duels won,Assists (Intentional),Aerial Duels won,Total Fouls Conceded,Duels lost,Unsuccessful Short Passes,Forward Passes,Touches,Aerial Duels,Goals,Interceptions,Penalty Goals,PutThrough/Blocked Distribution,Total Passes,Unsuccessful Passes Opposition Half,Total Touches In Opposition Box,Successful Dribbles,Successful Passes Own Half,Clean Sheets,Unsuccessful Launches,Time Played,Duels,Tackles Lost,Shots Off Target (inc woodwork),Successful Crosses & Corners,Goal Kicks,Handballs conceded,Set Pieces Goals,Ground Duels,Unsuccessful Crosses & Corners,Home Goals,Away Goals,Winning Goal,Saves Made from Outside Box,Goalkeeper Smother,GK Unsuccessful Distribution,Punches,Saves made - parried,Saves Made,Saves Made from Inside Box,Drops,Catches,Penalties Faced,Foul Won Penalty,Headed Goals,Hit Woodwork,Substitute Off,Substitute On,Throw Ins to Opposition Player,Last Player Tackle,Left Foot Goals,Own Goal Scored,Unsuccessful lay-offs,Penalties Saved,Saves made - caught,Saves from Penalty,Total Red Cards,Red Cards - 2nd Yellow,Straight Red Cards,Other Goals,Crosses not Claimed,Penalties Off Target
USA_MLS_Next_Pro,2024,Ventura County FC,3c1xz4vpfoum0jbq6bmtdrtux,I. Achara,Forward,78,1.0,45.0,,6.0,59.0,21.0,1.0,14.0,,22.0,5.0,13.0,,27.0,,20.0,,176.0,2.0,,12.0,23.0,8.0,,32.0,21.0,,21.0,14.0,9.0,2.0,107.0,1.0,20.0,216.0,10.0,,133.0,90.0,215.0,10.0,2.0,226.0,297.0,,7.0,,17.0,47.0,2.0,11.0,21.0,10.0,2.0,10.0,31.0,12.0,21.0,66.0,82.0,,71.0,1.0,12.0,25.0,93.0,73.0,66.0,563.0,39.0,2.0,9.0,,24.0,308.0,73.0,65.0,17.0,94.0,,6.0,1113.0,164.0,11.0,11.0,1.0,,4.0,,125.0,14.0,0.0,2.0,0.0,,,,,,,,,,,,,2.0,10.0,9.0,,,,,4.0,,,,1.0,,1.0,,,1.0
USA_MLS_Next_Pro,2024,Ventura County FC,evup6vvfz5q201s8hg6bhxck,L. Adams,Goalkeeper,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,7daffq7yhd9nfyisa544glzbo,N. Anderson,Goalkeeper,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,58akq0ojntf5n123msb1tzeok,G. Arnold,Midfielder,87,2.0,256.0,,3.0,35.0,6.0,3.0,1.0,5.0,28.0,,1.0,,,2.0,25.0,1.0,138.0,,16.0,12.0,21.0,6.0,24.0,17.0,19.0,4.0,8.0,11.0,32.0,1.0,154.0,,11.0,647.0,28.0,1.0,281.0,128.0,645.0,10.0,2.0,675.0,723.0,1.0,1.0,,4.0,50.0,3.0,2.0,1.0,16.0,1.0,3.0,20.0,8.0,19.0,29.0,83.0,,36.0,3.0,1.0,4.0,29.0,51.0,220.0,917.0,1.0,1.0,10.0,,19.0,758.0,82.0,5.0,7.0,403.0,1.0,10.0,1055.0,65.0,9.0,3.0,9.0,,,,64.0,20.0,1.0,0.0,0.0,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,Forward,65,2.0,47.0,1.0,1.0,16.0,5.0,4.0,4.0,,8.0,,4.0,,3.0,,7.0,,63.0,,,5.0,9.0,2.0,1.0,13.0,7.0,2.0,1.0,6.0,3.0,,12.0,,3.0,105.0,4.0,,69.0,44.0,107.0,10.0,1.0,109.0,145.0,,3.0,,5.0,20.0,1.0,1.0,2.0,6.0,,2.0,5.0,8.0,7.0,23.0,38.0,,19.0,3.0,3.0,4.0,26.0,35.0,44.0,216.0,6.0,,1.0,,10.0,147.0,33.0,16.0,3.0,42.0,,1.0,411.0,45.0,2.0,3.0,2.0,,,,39.0,4.0,,,0.0,,,,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,2eoftsi3eznjjmhu8ybft11ck,N. Schelotto,Midfielder,72,3.0,91.0,,1.0,28.0,4.0,2.0,2.0,5.0,17.0,,1.0,,1.0,,17.0,,91.0,1.0,11.0,5.0,20.0,10.0,16.0,6.0,14.0,1.0,4.0,4.0,26.0,,121.0,,6.0,317.0,32.0,6.0,163.0,76.0,339.0,10.0,1.0,349.0,394.0,1.0,4.0,,1.0,38.0,,1.0,,7.0,,1.0,12.0,10.0,14.0,21.0,58.0,,29.0,2.0,1.0,3.0,22.0,32.0,119.0,532.0,2.0,,8.0,,5.0,407.0,55.0,2.0,6.0,195.0,,11.0,607.0,51.0,6.0,3.0,9.0,,,,49.0,17.0,,,0.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,1kl9112b8rcbr3k1s5hs353x0,A. Bibout,Forward,29,,171.0,,7.0,57.0,43.0,4.0,3.0,,31.0,,10.0,,43.0,1.0,27.0,,219.0,,,18.0,23.0,22.0,,50.0,21.0,1.0,20.0,7.0,12.0,6.0,64.0,1.0,12.0,326.0,25.0,3.0,195.0,160.0,307.0,10.0,1.0,351.0,408.0,,12.0,,15.0,37.0,4.0,,27.0,22.0,7.0,23.0,16.0,18.0,21.0,71.0,101.0,1.0,121.0,1.0,64.0,17.0,114.0,89.0,57.0,757.0,107.0,8.0,1.0,,25.0,452.0,81.0,94.0,24.0,156.0,1.0,2.0,1683.0,235.0,4.0,20.0,,,2.0,,128.0,3.0,0.0,8.0,2.0,,,,,,,,,,,,1.0,1.0,2.0,3.0,,,1.0,,5.0,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,7suq9shgwa8fyip80f1zy1mhg,V. Casillas,Defender,97,2.0,21.0,,,28.0,1.0,,6.0,,14.0,,1.0,,8.0,1.0,14.0,,73.0,,,6.0,15.0,18.0,,15.0,12.0,,1.0,5.0,14.0,,133.0,,14.0,233.0,9.0,2.0,86.0,46.0,239.0,10.0,2.0,242.0,287.0,,,,5.0,28.0,,27.0,,1.0,,,19.0,5.0,12.0,22.0,48.0,,30.0,,2.0,4.0,30.0,34.0,90.0,417.0,10.0,,6.0,,11.0,290.0,39.0,2.0,4.0,158.0,,8.0,603.0,60.0,5.0,1.0,2.0,,,,50.0,6.0,,,0.0,,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,bcs7e70jbxio5xhj9fu2g5ces,C. Coreas,Forward,57,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,4283da2hccprbybkv4nvmos2c,J. Corona,Forward,95,,12.0,,1.0,14.0,7.0,,1.0,,8.0,1.0,5.0,,8.0,,8.0,,30.0,1.0,,2.0,5.0,2.0,,13.0,15.0,1.0,4.0,3.0,2.0,1.0,15.0,,4.0,46.0,1.0,1.0,25.0,20.0,46.0,10.0,,47.0,54.0,,1.0,,5.0,11.0,,,,1.0,2.0,5.0,7.0,3.0,15.0,28.0,8.0,,15.0,,1.0,11.0,36.0,6.0,8.0,112.0,9.0,2.0,1.0,,5.0,55.0,4.0,13.0,4.0,22.0,,,267.0,51.0,3.0,2.0,,,,,42.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,,2.0,13.0,,,,,,,,,,,,,,
