liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Total Passes,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Leftside Passes,Foul Attempted Tackle,Penalty Goals Conceded,Time Played,Ground Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Successful Passes Opposition Half,Substitute Off,Total Tackles,Unsuccessful Short Passes,Open Play Passes,Index,Tackles Won,Ground Duels won,Games Played,Successful Dribbles,Duels,Total Shots,Total Clearances,Total Fouls Won,Blocks,Throw Ins to Own Player,Ground Duels,Rightside Passes,Successful Short Passes,Unsuccessful Crosses open play,Throw Ins to Opposition Player,Recoveries,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Passes Own Half,Appearances,Goals Conceded,Starts,Shots On Target ( inc goals ),Successful Open Play Passes,Forward Passes,Duels won,Duels lost,Touches,Unsuccessful Passes Opposition Half,Winning Goal,Corners Won,Overruns,Through balls,Successful Long Passes,Assists (Intentional),Unsuccessful Corners into Box,Goals,Goal Assists,Penalties Conceded,Penalties Taken,Aerial Duels,Left Foot Goals,Successful Launches,Aerial Duels won,Goal Kicks,Clean Sheets,Penalty Goals,Successful Lay-offs,Goals Conceded Outside Box,Hit Woodwork,Yellow Cards,GK Successful Distribution,Unsuccessful Dribbles,Key Passes (Attempt Assists),Corners Taken (incl short corners),Blocked Shots,Tackles Lost,Attempts from Set Pieces,Unsuccessful Long Passes,Goals from Inside Box,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Backward Passes,Handballs conceded,Unsuccessful Passes Own Half,Goals Openplay,Successful Crosses & Corners,Right Foot Goals,Interceptions,Unsuccessful lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Successful Corners into Box,Successful Crosses open play,Substitute On,Home Goals,Away Goals,Offsides,Other Goals,Second Goal Assists,Red Cards - 2nd Yellow,Total Red Cards,Saves Made from Inside Box,Saves Made,Clearances Off the Line,Punches,Saves Made from Outside Box,Saves made - parried,GK Unsuccessful Distribution,Catches,Goalkeeper Smother,Drops,Penalties Faced,Straight Red Cards,Last Player Tackle,Headed Goals,Own Goal Scored,Goals from Outside Box,Set Pieces Goals,Penalties Saved,Saves from Penalty,Foul Won Penalty,Crosses not Claimed,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved,Direct Setpiece Goals,Penalties Off Target
USA_MLS_Next_Pro,2025,FC Cincinnati 2,3s4h75bf1gezsbwcn51lpjs6i,N. Adnan,Defender,32,36.0,1128.0,26.0,957.0,204.0,431.0,12.0,3.0,2399.0,45.0,6.0,3.0,382.0,3.0,57.0,90.0,1090.0,10.0,32.0,87.0,29.0,6.0,209.0,9.0,114.0,25.0,16.0,33.0,132.0,152.0,867.0,3.0,6.0,83.0,22.0,171.0,575.0,29.0,41.0,26.0,7.0,923.0,472.0,135.0,74.0,1506.0,119.0,1.0,3.0,,,90.0,,,1.0,1.0,,,77.0,,11.0,48.0,1.0,5.0,,,5.0,1.0,6.0,1.0,3.0,3.0,,2.0,25.0,,81.0,1.0,24.0,29.0,14.0,73.0,,55.0,,,,29.0,,33.0,2.0,,,3.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,154.0,20.0,88.0,,3.0,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,cxltrkrsxe4v19gqj9wg55ilm,B. Augee,Midfielder,26,11.0,178.0,21.0,120.0,105.0,33.0,4.0,1.0,721.0,40.0,15.0,12.0,92.0,6.0,20.0,52.0,176.0,10.0,12.0,32.0,18.0,3.0,104.0,5.0,3.0,9.0,3.0,6.0,72.0,45.0,115.0,6.0,2.0,26.0,13.0,58.0,33.0,18.0,13.0,8.0,1.0,118.0,53.0,42.0,62.0,305.0,60.0,0.0,3.0,,,5.0,,6.0,,,,,32.0,,1.0,10.0,,1.0,,2.0,2.0,,1.0,,5.0,5.0,10.0,4.0,8.0,,6.0,,14.0,22.0,4.0,47.0,1.0,10.0,,5.0,,,,4.0,4.0,4.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,22.0,30.0,,2.0,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,ayxou2zz8alo7a450yp12qfbo,B. Bayless,Defender,67,,7.0,1.0,5.0,3.0,2.0,1.0,,11.0,2.0,1.0,,2.0,,,2.0,7.0,10.0,,1.0,1.0,,4.0,,1.0,1.0,,,3.0,,5.0,,,1.0,,2.0,3.0,1.0,,,,5.0,3.0,1.0,3.0,11.0,1.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,2wrsvrjkc77nfo16e6gxjlbtg,L. Broz,Goalkeeper,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,dnwlhph2xwhl86173441lc6qc,Y. Caicedo,Defender,77,11.0,369.0,29.0,291.0,181.0,8.0,19.0,1.0,1060.0,66.0,25.0,22.0,141.0,8.0,34.0,57.0,358.0,10.0,27.0,66.0,20.0,11.0,157.0,4.0,23.0,21.0,,89.0,132.0,121.0,283.0,22.0,18.0,66.0,26.0,78.0,153.0,20.0,12.0,12.0,,280.0,120.0,80.0,77.0,726.0,75.0,0.0,9.0,,,8.0,,,,,,,25.0,,2.0,14.0,,1.0,,2.0,1.0,,3.0,,12.0,9.0,,5.0,7.0,,21.0,,32.0,11.0,16.0,120.0,2.0,25.0,,3.0,,23.0,2.0,17.0,4.0,,3.0,8.0,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,106.0,17.0,64.0,1.0,1.0,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,djocwim3d9p5bzlapilpcvgno,J. Cardenas,Midfielder,69,1.0,8.0,2.0,3.0,13.0,2.0,1.0,,43.0,6.0,2.0,,3.0,1.0,,5.0,8.0,10.0,,1.0,4.0,,11.0,,,1.0,,,7.0,5.0,3.0,,,2.0,2.0,5.0,,4.0,1.0,,,3.0,,2.0,9.0,19.0,5.0,0.0,,,1.0,,,,,,,,4.0,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,3.0,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,7ot9ngo8usbdkhjlim9omaj9w,A. Chávez,Midfielder,61,13.0,166.0,9.0,116.0,100.0,54.0,4.0,1.0,669.0,38.0,24.0,6.0,78.0,7.0,15.0,42.0,166.0,10.0,8.0,39.0,13.0,12.0,78.0,6.0,1.0,12.0,,1.0,77.0,18.0,110.0,6.0,,35.0,23.0,50.0,38.0,13.0,13.0,8.0,5.0,116.0,53.0,39.0,39.0,285.0,46.0,2.0,2.0,3.0,,6.0,,,2.0,,,,1.0,1.0,,,,1.0,,,,,,,15.0,7.0,,1.0,7.0,,8.0,1.0,15.0,1.0,6.0,41.0,,10.0,2.0,,1.0,3.0,1.0,4.0,1.0,,,5.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,97.0,66.0,52.0,,,1.0,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,ejztyr0yny1hh0eukahp8mpec,A. Chirilă,Defender,88,34.0,1468.0,29.0,1233.0,272.0,183.0,9.0,1.0,2339.0,51.0,7.0,6.0,389.0,3.0,55.0,85.0,1375.0,10.0,39.0,79.0,27.0,11.0,201.0,15.0,113.0,14.0,25.0,11.0,130.0,579.0,1134.0,6.0,3.0,90.0,17.0,235.0,845.0,27.0,39.0,27.0,5.0,1148.0,603.0,117.0,84.0,1854.0,166.0,1.0,1.0,,,99.0,,,1.0,1.0,1.0,,71.0,,31.0,38.0,37.0,5.0,,,5.0,1.0,9.0,37.0,2.0,3.0,,3.0,16.0,,150.0,1.0,32.0,33.0,22.0,103.0,1.0,75.0,,1.0,,34.0,,95.0,10.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,227.0,6.0,108.0,1.0,2.0,1.0,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,aw0ngrym0lzn2paoz70wtlgyc,S. Chirilă,Midfielder,19,29.0,585.0,45.0,488.0,314.0,128.0,20.0,2.0,2061.0,146.0,96.0,41.0,360.0,2.0,15.0,75.0,538.0,10.0,7.0,116.0,23.0,52.0,295.0,53.0,7.0,49.0,2.0,16.0,262.0,155.0,460.0,24.0,,83.0,108.0,97.0,142.0,23.0,33.0,23.0,27.0,442.0,95.0,122.0,173.0,1088.0,128.0,3.0,18.0,6.0,4.0,28.0,3.0,16.0,9.0,5.0,,1.0,33.0,4.0,,6.0,,4.0,1.0,24.0,4.0,4.0,2.0,,50.0,22.0,23.0,14.0,8.0,6.0,22.0,7.0,24.0,27.0,16.0,207.0,,10.0,8.0,14.0,5.0,10.0,2.0,4.0,26.0,6.0,8.0,,7.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,314.0,181.0,158.0,6.0,5.0,6.0,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,7xro49ojdjw9aztwbvg8tlzx0,H. Conteh,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
