liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Total Passes,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Leftside Passes,Foul Attempted Tackle,Penalty Goals Conceded,Time Played,Ground Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Successful Passes Opposition Half,Substitute Off,Total Tackles,Unsuccessful Short Passes,Open Play Passes,Index,Tackles Won,Ground Duels won,Games Played,Successful Dribbles,Duels,Total Shots,Total Clearances,Total Fouls Won,Blocks,Throw Ins to Own Player,Ground Duels,Rightside Passes,Successful Short Passes,Unsuccessful Crosses open play,Throw Ins to Opposition Player,Recoveries,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Passes Own Half,Appearances,Goals Conceded,Starts,Shots On Target ( inc goals ),Successful Open Play Passes,Forward Passes,Duels won,Duels lost,Touches,Unsuccessful Passes Opposition Half,Winning Goal,Corners Won,Overruns,Through balls,Successful Long Passes,Assists (Intentional),Unsuccessful Corners into Box,Goals,Goal Assists,Penalties Conceded,Penalties Taken,Aerial Duels,Left Foot Goals,Successful Launches,Aerial Duels won,Goal Kicks,Clean Sheets,Penalty Goals,Successful Lay-offs,Goals Conceded Outside Box,Hit Woodwork,Yellow Cards,GK Successful Distribution,Unsuccessful Dribbles,Key Passes (Attempt Assists),Corners Taken (incl short corners),Blocked Shots,Tackles Lost,Attempts from Set Pieces,Unsuccessful Long Passes,Goals from Inside Box,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Backward Passes,Handballs conceded,Unsuccessful Passes Own Half,Goals Openplay,Successful Crosses & Corners,Right Foot Goals,Interceptions,Unsuccessful lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Successful Corners into Box,Successful Crosses open play,Substitute On,Home Goals,Away Goals,Offsides,Other Goals,Second Goal Assists,Red Cards - 2nd Yellow,Total Red Cards,Saves Made from Inside Box,Saves Made,Clearances Off the Line,Punches,Saves Made from Outside Box,Saves made - parried,GK Unsuccessful Distribution,Catches,Goalkeeper Smother,Drops,Penalties Faced,Straight Red Cards,Last Player Tackle,Headed Goals,Own Goal Scored,Goals from Outside Box,Set Pieces Goals,Penalties Saved,Saves from Penalty,Foul Won Penalty,Crosses not Claimed,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved,Direct Setpiece Goals,Penalties Off Target
USA_MLS_Next_Pro,2025,Los Angeles FC 2,230zkhv4hig5j6azhgem5553o,A. Aguilar,Midfielder,88,1.0,38.0,2.0,30.0,13.0,13.0,2.0,,81.0,7.0,5.0,,13.0,1.0,3.0,7.0,38.0,10.0,1.0,3.0,3.0,,11.0,1.0,,,,,10.0,8.0,30.0,,,6.0,2.0,8.0,17.0,3.0,1.0,1.0,,30.0,8.0,3.0,8.0,51.0,4.0,0.0,,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,,1.0,,,,2.0,,1.0,,2.0,1.0,1.0,9.0,,4.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Los Angeles FC 2,a0vc8g0evrfmws5en2229h5as,M. Aiyenero,Forward,47,15.0,188.0,8.0,160.0,69.0,38.0,4.0,1.0,690.0,29.0,19.0,,83.0,7.0,10.0,28.0,165.0,10.0,7.0,25.0,16.0,4.0,80.0,14.0,2.0,11.0,1.0,4.0,54.0,59.0,154.0,,,28.0,26.0,28.0,77.0,16.0,17.0,8.0,5.0,137.0,17.0,35.0,45.0,308.0,17.0,1.0,3.0,2.0,,6.0,,,2.0,1.0,,,26.0,,,10.0,,,,19.0,2.0,2.0,,,5.0,6.0,,5.0,3.0,,,2.0,9.0,16.0,5.0,74.0,,11.0,2.0,,2.0,1.0,3.0,,9.0,,,8.0,2.0,0.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Los Angeles FC 2,vwhniiv2ql07idgifpmf110q,F. Amaya,Midfielder,23,,30.0,1.0,27.0,4.0,7.0,,,64.0,2.0,1.0,,19.0,1.0,2.0,2.0,29.0,10.0,1.0,2.0,1.0,,5.0,,1.0,,,,4.0,8.0,26.0,,,3.0,3.0,3.0,8.0,1.0,,1.0,,26.0,6.0,3.0,2.0,37.0,3.0,0.0,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,2.0,,,1.0,,1.0,,1.0,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Los Angeles FC 2,9fnfncaw5h743wythc6zjgw7o,J. Arteaga,Forward,71,,36.0,1.0,26.0,16.0,4.0,1.0,,76.0,5.0,4.0,1.0,20.0,,,8.0,36.0,10.0,,2.0,6.0,,11.0,2.0,1.0,2.0,,,7.0,9.0,26.0,1.0,,2.0,5.0,10.0,6.0,6.0,,,,26.0,11.0,3.0,8.0,51.0,9.0,0.0,,,,,,,,,,,4.0,,,1.0,,,,,,,,,2.0,2.0,,,,,2.0,,1.0,3.0,1.0,12.0,,2.0,,,,,,1.0,2.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Los Angeles FC 2,7ruu7rxicp3r2ftyg50cf3dhw,D. Auffret,Goalkeeper,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Los Angeles FC 2,338ije1jx2jc4js6gculybhsl,A. Băluță,Forward,22,,21.0,,17.0,7.0,1.0,,,45.0,4.0,3.0,,12.0,1.0,,4.0,20.0,10.0,,1.0,1.0,,5.0,1.0,,1.0,,,5.0,7.0,16.0,,,,1.0,4.0,5.0,1.0,,1.0,1.0,16.0,8.0,1.0,4.0,28.0,2.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,,1.0,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Los Angeles FC 2,7g3h4v00wfqyrkd11oe3x012i,C. Carter,Goalkeeper,31,41.0,538.0,,446.0,97.0,169.0,,2.0,1710.0,5.0,,1.0,27.0,,3.0,10.0,380.0,10.0,2.0,6.0,19.0,,16.0,,33.0,3.0,,,11.0,167.0,362.0,,,149.0,,92.0,419.0,19.0,46.0,19.0,,322.0,201.0,10.0,6.0,750.0,50.0,0.0,,,,84.0,,,,,,,5.0,,18.0,4.0,109.0,4.0,,,5.0,,2.0,187.0,,,,,1.0,,82.0,,3.0,1.0,,1.0,,43.0,,,,,,41.0,,,,,,,,,,,,33.0,56.0,,10.0,23.0,15.0,20.0,10.0,3.0,2.0,6.0,,,,,,,4.0,4.0,,1.0,1.0,,,,,,,,,
USA_MLS_Next_Pro,2025,Los Angeles FC 2,e214uro9x0t0739i474okunf8,L. Dellavalle,Defender,15,3.0,117.0,,103.0,16.0,40.0,,,135.0,3.0,2.0,,37.0,3.0,1.0,7.0,115.0,10.0,1.0,2.0,3.0,,11.0,1.0,10.0,1.0,1.0,,5.0,42.0,95.0,,,5.0,,14.0,66.0,3.0,4.0,3.0,1.0,101.0,32.0,4.0,7.0,136.0,7.0,0.0,,,,8.0,,,,,,,6.0,,,2.0,,,,,1.0,,,,1.0,1.0,,,,,7.0,,1.0,4.0,,3.0,,7.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Los Angeles FC 2,cap9cd2acljdjbbdmt7zb3uvo,C. Diaz,Defender,72,25.0,633.0,20.0,529.0,140.0,61.0,10.0,2.0,1015.0,29.0,3.0,16.0,259.0,3.0,34.0,70.0,613.0,10.0,24.0,38.0,17.0,2.0,90.0,5.0,42.0,2.0,3.0,72.0,67.0,204.0,513.0,15.0,7.0,43.0,9.0,104.0,275.0,17.0,31.0,10.0,1.0,512.0,271.0,56.0,34.0,890.0,83.0,0.0,4.0,,,16.0,,,,,1.0,,23.0,,8.0,18.0,,1.0,,,6.0,,4.0,,1.0,10.0,,4.0,10.0,,34.0,,42.0,5.0,23.0,97.0,1.0,37.0,,5.0,,16.0,,11.0,4.0,,5.0,7.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Los Angeles FC 2,7s32iecltoopsjddclg0ixzx0,C. Díaz,Defender,44,40.0,1368.0,24.0,1218.0,164.0,567.0,11.0,2.0,1861.0,31.0,1.0,,329.0,3.0,32.0,64.0,1322.0,10.0,19.0,65.0,24.0,2.0,134.0,4.0,101.0,31.0,27.0,1.0,96.0,307.0,1166.0,,,52.0,8.0,150.0,889.0,24.0,45.0,21.0,1.0,1173.0,434.0,86.0,48.0,1634.0,102.0,0.0,1.0,,1.0,52.0,,,,,3.0,,38.0,,16.0,21.0,,3.0,,,5.0,,6.0,,,4.0,,3.0,13.0,,86.0,,11.0,17.0,6.0,60.0,,48.0,,,,21.0,,38.0,3.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
