dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
37,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Attacker,Benin,1ehuv6gy09ukbz11p8mjdmjo4,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/1ehuv6gy09ukbz11p8mjdmjo4
91,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Attacker,England,1ss0ou2q99u1z55gt2gkpox04,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/1ss0ou2q99u1z55gt2gkpox04
85,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Midfielder,USA,1xdb8esqyhc502kbet8gieolw,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/1xdb8esqyhc502kbet8gieolw
82,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Goalkeeper,USA,1zrclw10v1y22plaoqamv5p90,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/1zrclw10v1y22plaoqamv5p90
70,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Attacker,Nigeria,29ani26a4nmug5mesyj8wp1xw,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/29ani26a4nmug5mesyj8wp1xw
95,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Midfielder,USA,2dzabfothgpxefwrm4uqs0w0k,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/2dzabfothgpxefwrm4uqs0w0k
58,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Midfielder,Canada,2sd4vhf89t6yj6mp39xz7orv8,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/2sd4vhf89t6yj6mp39xz7orv8
87,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Defender,USA,2xxc82nzakrrhhbuupjxj4k5w,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/2xxc82nzakrrhhbuupjxj4k5w
48,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Midfielder,USA,3ve0xap9f0gjsslhgjsmakx04,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/3ve0xap9f0gjsslhgjsmakx04
32,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Attacker,USA,4kwb3huwcvtgy9mi2hgfasyz8,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/4kwb3huwcvtgy9mi2hgfasyz8
73,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Goalkeeper,USA,6hkt07f0v4ndcwhit710h8t1w,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/6hkt07f0v4ndcwhit710h8t1w
74,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Attacker,Ecuador,6jfvrnc043xc7k2tm3m42ruok,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/6jfvrnc043xc7k2tm3m42ruok
50,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Goalkeeper,Serbia,6m83gclr0v5comwi1n9uy40lw,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/6m83gclr0v5comwi1n9uy40lw
21,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Goalkeeper,USA,6vfwba584q9ewfdbo1ybxvmjt,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/6vfwba584q9ewfdbo1ybxvmjt
41,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Attacker,USA,7bxp7ho4cmsoviw19q4bxr02c,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/7bxp7ho4cmsoviw19q4bxr02c
83,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Attacker,Canada,7oxivwr2b7bq70t35dgsjloiy,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/7oxivwr2b7bq70t35dgsjloiy
20,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Midfielder,Mali,7sitox7ubssxusmiqnoy5sxlg,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/7sitox7ubssxusmiqnoy5sxlg
34,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Defender,St. Vincent and the Grenadines,83ntdc9flz30xcji5t5gufasq,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/83ntdc9flz30xcji5t5gufasq
89,,Crown Legacy FC (Charlotte FC II),Crown_Legacy_FC_(Charlotte_FC_II),MLS Next Pro,Midfielder,USA,848g1vq88a9fwj5b5k3qx5v6c,6ubc4y1v6hr63mca7ica4hp90,5qmjkpvi92vrzdcb2knassjkk,93yvwhz6r37ar71e3pc8ep2c4,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2026/93yvwhz6r37ar71e3pc8ep2c4/teams/view/6ubc4y1v6hr63mca7ica4hp90/player/view/848g1vq88a9fwj5b5k3qx5v6c
