dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
27,,Phoenix Rising FC,USL Championship,Midfielder,Jamaica,15jb2rb0mvhaz492ii7yqrk6h,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/15jb2rb0mvhaz492ii7yqrk6h
,,Phoenix Rising FC,USL Championship,Defender,Nigeria,1ckmi6gw70asd7s18qbpj96nd,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/1ckmi6gw70asd7s18qbpj96nd
23,,Phoenix Rising FC,USL Championship,Attacker,USA,29tc91ft8sxciel44bqleicbt,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/29tc91ft8sxciel44bqleicbt
8,,Phoenix Rising FC,USL Championship,Midfielder,England,2wrufv0lw0ura0w6e3pgu221h,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/2wrufv0lw0ura0w6e3pgu221h
20,,Phoenix Rising FC,USL Championship,Midfielder,El Salvador,342d1kmra4m7gf9ja1ymmril1,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/342d1kmra4m7gf9ja1ymmril1
,,Phoenix Rising FC,USL Championship,,Canada,3dh1vt3ntp009rjdn87f4zkyd,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/3dh1vt3ntp009rjdn87f4zkyd
55,,Phoenix Rising FC,USL Championship,Goalkeeper,Canada,3ucemntfw84vk7op9z7wnf36d,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/3ucemntfw84vk7op9z7wnf36d
12,,Phoenix Rising FC,USL Championship,Attacker,USA,3w1vzhz62doxuqhf6ysm4cout,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/3w1vzhz62doxuqhf6ysm4cout
5,,Phoenix Rising FC,USL Championship,Defender,England,3wlnqtpbxzeiygm2tiar95cr9,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/3wlnqtpbxzeiygm2tiar95cr9
25,,Phoenix Rising FC,USL Championship,Defender,USA,4bk93fcy8qcppnowshg6wydih,2iwybwokic7nmr1t33abdbjoq,c1d9p6b2e9zr5tqlzx3ktjplg,59tvjnyoumuu2doli7zususq1,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/teams/view/2iwybwokic7nmr1t33abdbjoq/player/view/4bk93fcy8qcppnowshg6wydih
