liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Launches,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,GK Successful Distribution,Substitute On,Successful Lay-offs,Goals,Right Foot Goals,Successful Crosses & Corners,Yellow Cards,Shots Off Target (inc woodwork),Substitute Off,Successful Dribbles,Total Shots,Total Red Cards,Blocked Shots,Red Cards - 2nd Yellow,Foul Attempted Tackle,Total Touches In Opposition Box,Shots On Target ( inc goals ),Successful Crosses open play,Aerial Duels won,Handballs conceded,Hit Woodwork,Goals from Inside Box,Unsuccessful lay-offs,Through balls,Offsides,Corners Won,Successful Corners into Box,Corners Taken (incl short corners),Goals from Outside Box,Left Foot Goals,Unsuccessful Corners into Box,Assists (Intentional),Clearances Off the Line,Goal Assists,Saves Made,Crosses not Claimed,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Second Goal Assists,Own Goal Scored,Headed Goals,Foul Won Penalty,Set Pieces Goals,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Straight Red Cards,Penalties Conceded,Goalkeeper Smother,Penalties Faced,Times Tackled,Penalty Goals Conceded,Home Goals,Away Goals,Winning Goal,Other Goals,Goal Kicks,Last Man Tackle,Saves from Penalty,Penalties Saved,Penalties Off Target
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,33l6xyx4nhswaphl9ha38yx9l,L. Abubakar,Defender,28,,450.0,,2.0,201.0,12.0,40.0,6.0,15.0,,1.0,7.0,41.0,131.0,14.0,25.0,211.0,7.0,149.0,4.0,40.0,66.0,,22.0,,33.0,5.0,1.0,18.0,307.0,5.0,1.0,28.0,92.0,10.0,30.0,22.0,4.0,,44.0,46.0,5.0,,5.0,7.0,41.0,162.0,171.0,16.0,1.0,10.0,14.0,4.0,24.0,21.0,,,,,,,,1.0,,3.0,2.0,,1.0,,2.0,6.0,1.0,,9.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,69ehxjd7yieybgfdnkge9o91x,R. Adeleye,Defender,12,,36.0,,,8.0,1.0,2.0,1.0,1.0,,,2.0,2.0,4.0,,1.0,8.0,2.0,5.0,1.0,2.0,2.0,,1.0,,1.0,,,1.0,13.0,2.0,,2.0,2.0,10.0,1.0,1.0,,,5.0,5.0,1.0,,2.0,2.0,3.0,6.0,6.0,3.0,,,4.0,,,,,2.0,,,,,1.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,cnyz9by7c5ws261h9i0t03xl,T. Adewole,Defender,2,1.0,1322.0,5.0,5.0,396.0,32.0,80.0,26.0,67.0,17.0,3.0,19.0,171.0,185.0,27.0,76.0,408.0,11.0,240.0,18.0,143.0,44.0,1.0,94.0,8.0,87.0,15.0,24.0,50.0,675.0,15.0,12.0,57.0,232.0,10.0,80.0,25.0,11.0,,115.0,100.0,21.0,1.0,15.0,16.0,100.0,264.0,265.0,58.0,3.0,16.0,35.0,11.0,38.0,41.0,,,,,,,4.0,,1.0,5.0,,,,,3.0,8.0,,,39.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,5hlnohd9bf8t96pkptb3t3xed,G. Agbossoumonde,Defender,27,,763.0,,4.0,227.0,4.0,43.0,12.0,19.0,4.0,2.0,16.0,60.0,140.0,11.0,35.0,237.0,12.0,171.0,13.0,54.0,52.0,,29.0,,31.0,9.0,5.0,25.0,339.0,11.0,9.0,24.0,143.0,10.0,30.0,12.0,3.0,,57.0,42.0,15.0,,11.0,11.0,38.0,175.0,183.0,33.0,1.0,7.0,27.0,4.0,22.0,13.0,,2.0,,,,,3.0,1.0,2.0,,1.0,1.0,,1.0,5.0,6.0,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,f0st8wkmqpo5m2z6sc9srwlpl,B. Alfery,Goalkeeper,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,e8wt9n2s2jckzbyvgixgv51at,R. Balchan,Defender,24,7.0,513.0,16.0,3.0,203.0,23.0,103.0,5.0,13.0,1.0,1.0,4.0,90.0,50.0,3.0,39.0,205.0,3.0,144.0,7.0,52.0,20.0,,47.0,19.0,32.0,6.0,5.0,12.0,299.0,6.0,,21.0,90.0,10.0,15.0,9.0,5.0,4.0,31.0,8.0,8.0,7.0,6.0,12.0,72.0,152.0,153.0,10.0,,2.0,16.0,1.0,14.0,9.0,,,,,,,,1.0,1.0,2.0,2.0,,,,,4.0,1.0,,6.0,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,9vxqs0m1761e826smkvzcxp05,O. Banjo,Forward,18,2.0,707.0,,1.0,212.0,44.0,124.0,,6.0,9.0,1.0,21.0,140.0,36.0,7.0,61.0,227.0,5.0,148.0,11.0,67.0,53.0,14.0,64.0,,35.0,6.0,14.0,5.0,371.0,19.0,1.0,64.0,66.0,10.0,41.0,12.0,14.0,6.0,95.0,3.0,12.0,2.0,19.0,33.0,64.0,145.0,160.0,31.0,,4.0,54.0,3.0,2.0,31.0,,13.0,12.0,2.0,2.0,,,7.0,5.0,10.0,15.0,,1.0,,2.0,34.0,8.0,,10.0,,1.0,2.0,8.0,2.0,3.0,2.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,bik6z0vuzay7ojqbe95cum5sl,K. Broome,Goalkeeper,1,,540.0,,13.0,65.0,,35.0,32.0,119.0,,,1.0,121.0,20.0,,1.0,175.0,,12.0,8.0,120.0,2.0,1.0,106.0,,51.0,6.0,,14.0,213.0,6.0,,1.0,166.0,10.0,5.0,43.0,1.0,,6.0,5.0,8.0,,6.0,,7.0,24.0,55.0,5.0,2.0,,1.0,,,1.0,22.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,16.0,,4.0,1.0,5.0,5.0,3.0,11.0,1.0,48.0,,,,,,,,,,,,2.0,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,rmbzrv6ti644dt2hffpp0dex,R. Duffie,Midfielder,23,12.0,815.0,43.0,,281.0,42.0,115.0,10.0,21.0,13.0,1.0,10.0,153.0,98.0,25.0,52.0,282.0,11.0,206.0,10.0,73.0,19.0,5.0,55.0,37.0,58.0,9.0,21.0,30.0,524.0,10.0,2.0,74.0,111.0,10.0,39.0,3.0,4.0,11.0,91.0,31.0,11.0,12.0,10.0,42.0,110.0,208.0,209.0,17.0,2.0,20.0,52.0,5.0,15.0,32.0,,1.0,2.0,,,4.0,,2.0,3.0,3.0,3.0,,,,6.0,3.0,1.0,4.0,7.0,,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,3ke51u8mtf68z4b1i5cp5do7p,D. Earls,Midfielder,16,1.0,482.0,,,271.0,49.0,110.0,2.0,13.0,,,6.0,59.0,125.0,11.0,33.0,281.0,10.0,221.0,5.0,46.0,77.0,4.0,32.0,,35.0,6.0,2.0,17.0,334.0,10.0,,31.0,80.0,10.0,22.0,14.0,4.0,1.0,42.0,4.0,5.0,3.0,10.0,14.0,75.0,227.0,235.0,11.0,2.0,7.0,20.0,4.0,12.0,17.0,,4.0,5.0,,,,4.0,,3.0,3.0,2.0,,,,9.0,,2.0,,5.0,,,,,,,2.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
