dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
2,,FC Tulsa,USL Championship,Defender,Canada,1qu7igozcqji1b93u23ezh68l,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/1qu7igozcqji1b93u23ezh68l
8,Jhon Pírez,FC Tulsa,USL Championship,Attacker,Uruguay,2rj4ek0l7s9wsp1rn830lztg5,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/2rj4ek0l7s9wsp1rn830lztg5
14,,FC Tulsa,USL Championship,Defender,USA,4509thv388ui91pr6exfdkfkl,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/4509thv388ui91pr6exfdkfkl
10,,FC Tulsa,USL Championship,Midfielder,Argentina,46uhpisydewgldmpbrd2rwt1,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/46uhpisydewgldmpbrd2rwt1
22,,FC Tulsa,USL Championship,Defender,USA,4fsa5gccqi6eiy0a4jau4swrt,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/4fsa5gccqi6eiy0a4jau4swrt
7,Eti Tavares,FC Tulsa,USL Championship,Attacker,Guinea-Bissau,4jdrc2lodlaxu76ng8q1b2489,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/4jdrc2lodlaxu76ng8q1b2489
19,,FC Tulsa,USL Championship,Attacker,El Salvador,4qiu85481bqaor8ah04qs5v55,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/4qiu85481bqaor8ah04qs5v55
,,FC Tulsa,USL Championship,Attacker,Spain,547hoahcy6nbgk48wvovoaind,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/547hoahcy6nbgk48wvovoaind
23,,FC Tulsa,USL Championship,Defender,USA,5ckm42yvujv4i50e98i69qrxl,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/5ckm42yvujv4i50e98i69qrxl
27,,FC Tulsa,USL Championship,Attacker,USA,5wttdjpftd57c2t5959sm2yg9,aj8ytsr2ap33tod0hd8ofzaw9,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/aj8ytsr2ap33tod0hd8ofzaw9/player/view/5wttdjpftd57c2t5959sm2yg9
