dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
32,Jaime Siaj,OKC Energy FC,USL Championship,Attacker,Jordan,1zs9knt17zjeb0huwrxyonvu1,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/1zs9knt17zjeb0huwrxyonvu1
,,OKC Energy FC,USL Championship,Attacker,New Zealand,2j3jf0ypleo8hkhu693szls5x,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/2j3jf0ypleo8hkhu693szls5x
2,,OKC Energy FC,USL Championship,Midfielder,Jamaica,33pqpsacje65m7xhh0x5ln2dx,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/33pqpsacje65m7xhh0x5ln2dx
22,,OKC Energy FC,USL Championship,Midfielder,USA,3flhfwi7735svmlz5jjf5xzv9,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/3flhfwi7735svmlz5jjf5xzv9
6,,OKC Energy FC,USL Championship,Defender,Canada,3ot9v3kbxlf1il8eg7o4vg9ud,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/3ot9v3kbxlf1il8eg7o4vg9ud
21,,OKC Energy FC,USL Championship,Midfielder,Ghana,3qzhn017ek7vg09glq2vleqd,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/3qzhn017ek7vg09glq2vleqd
19,,OKC Energy FC,USL Championship,Defender,USA,4n906l2pzy8v522f5cxw9j7bp,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/4n906l2pzy8v522f5cxw9j7bp
12,,OKC Energy FC,USL Championship,Attacker,USA,5u1bw6y3l6w8co1ftvvxtly3t,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/5u1bw6y3l6w8co1ftvvxtly3t
28,,OKC Energy FC,USL Championship,Goalkeeper,Mexico,63u9wjzi0aypii7kvy9qt6ne1,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/63u9wjzi0aypii7kvy9qt6ne1
8,,OKC Energy FC,USL Championship,Midfielder,Colombia,6i6p318hq25ioprkq5dye0cet,azwy7cg4rq0khfqdrrnsv0bti,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/azwy7cg4rq0khfqdrrnsv0bti/player/view/6i6p318hq25ioprkq5dye0cet
