dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
3,,Reno 1868 FC,USL Championship,Attacker,USA,1x1mkghysjlhokz38e6jpto7p,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/1x1mkghysjlhokz38e6jpto7p
2,,Reno 1868 FC,USL Championship,Defender,USA,1y62dv6nucbkjzbynyw2gny6t,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/1y62dv6nucbkjzbynyw2gny6t
96,,Reno 1868 FC,USL Championship,Midfielder,USA,2054x8z63k74or3inr9sl0bu1,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/2054x8z63k74or3inr9sl0bu1
7,,Reno 1868 FC,USL Championship,Defender,USA,2o86bp6u8hbr8q43mea7srco9,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/2o86bp6u8hbr8q43mea7srco9
31,,Reno 1868 FC,USL Championship,Midfielder,USA,30wgzae40crezwtuqf1sbnwtl,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/30wgzae40crezwtuqf1sbnwtl
9,,Reno 1868 FC,USL Championship,Attacker,Canada,3efe8z7v7d88vr1457g75wquh,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/3efe8z7v7d88vr1457g75wquh
84,,Reno 1868 FC,USL Championship,Midfielder,USA,3gofrteqre0ms4u0uhw7v69k9,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/3gofrteqre0ms4u0uhw7v69k9
,Boxi Yomba,Reno 1868 FC,USL Championship,Attacker,USA,3kove3549ns35dwyh1c47gr85,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/3kove3549ns35dwyh1c47gr85
34,,Reno 1868 FC,USL Championship,Defender,Sweden,3mqlitayq46mev01dmno3t2hh,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/3mqlitayq46mev01dmno3t2hh
35,,Reno 1868 FC,USL Championship,Goalkeeper,USA,48mxqmfq6y1pg5xb1zrfixzze,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/48mxqmfq6y1pg5xb1zrfixzze
18,,Reno 1868 FC,USL Championship,Goalkeeper,USA,4mca2qok2asjbj10hjwil0a95,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/4mca2qok2asjbj10hjwil0a95
28,,Reno 1868 FC,USL Championship,Attacker,USA,5194uh51hv4wz0j24b8jb8r56,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/5194uh51hv4wz0j24b8jb8r56
,,Reno 1868 FC,USL Championship,Midfielder,USA,538gmr2jhu8jrzvq1jm5upt9m,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/538gmr2jhu8jrzvq1jm5upt9m
23,,Reno 1868 FC,USL Championship,Defender,Jamaica,56unbt2wkhtit4zq01ekax8t1,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/56unbt2wkhtit4zq01ekax8t1
8,,Reno 1868 FC,USL Championship,Midfielder,Israel,59jjjg7xpmbjhsbqnlyvi63f9,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/59jjjg7xpmbjhsbqnlyvi63f9
24,,Reno 1868 FC,USL Championship,Defender,USA,5gkfwtc0erkj42jk3j7mnceay,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/5gkfwtc0erkj42jk3j7mnceay
20,,Reno 1868 FC,USL Championship,Attacker,USA,64wpwwyjninabn0vbjrc6um09,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/64wpwwyjninabn0vbjrc6um09
5,,Reno 1868 FC,USL Championship,Defender,USA,6gsqjke3thgf819b2672i8xcl,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/6gsqjke3thgf819b2672i8xcl
99,,Reno 1868 FC,USL Championship,Attacker,Jamaica,6t1iwmt8vwah0kldd5u51fd1x,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/6t1iwmt8vwah0kldd5u51fd1x
55,,Reno 1868 FC,USL Championship,Attacker,USA,6u7x9vpr7bkj7ma0yb8z1va7e,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/6u7x9vpr7bkj7ma0yb8z1va7e
26,,Reno 1868 FC,USL Championship,Midfielder,El Salvador,7ctc1xui7wk89o5v00z8ijqw9,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/7ctc1xui7wk89o5v00z8ijqw9
25,,Reno 1868 FC,USL Championship,Defender,USA,819j4bs174i6wn2a4ry79xj9x,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/819j4bs174i6wn2a4ry79xj9x
13,,Reno 1868 FC,USL Championship,Midfielder,Mexico,8j3krxekbxdei9vbypqpj171l,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/8j3krxekbxdei9vbypqpj171l
6,,Reno 1868 FC,USL Championship,Defender,USA,8qb10d2fndbwy8elbgabim1ux,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/8qb10d2fndbwy8elbgabim1ux
32,,Reno 1868 FC,USL Championship,Goalkeeper,USA,8vlcd0j8wb31z0hxiawpze9yh,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/8vlcd0j8wb31z0hxiawpze9yh
,,Reno 1868 FC,USL Championship,,USA,93suw1jbhvs8f3bieycggpqz9,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/93suw1jbhvs8f3bieycggpqz9
,,Reno 1868 FC,USL Championship,Defender,USA,96w7uo7ramvt6gaebozpblpbe,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/96w7uo7ramvt6gaebozpblpbe
12,,Reno 1868 FC,USL Championship,Attacker,USA,9pij37xod9240dolmvy6wrvmx,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/9pij37xod9240dolmvy6wrvmx
17,,Reno 1868 FC,USL Championship,Defender,England,aj5x0l6jpxl7s8pfmhgc4060a,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/aj5x0l6jpxl7s8pfmhgc4060a
10,,Reno 1868 FC,USL Championship,Attacker,South Africa,am4kp4gaxt9d1vf4byaotl04p,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/am4kp4gaxt9d1vf4byaotl04p
14,,Reno 1868 FC,USL Championship,Midfielder,USA,b8e96nrcbfbnyznm7hc6utgx5,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/b8e96nrcbfbnyznm7hc6utgx5
11,,Reno 1868 FC,USL Championship,Defender,Haiti,b9lt0sfts2zxf2ali8vpf0pn9,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/b9lt0sfts2zxf2ali8vpf0pn9
15,,Reno 1868 FC,USL Championship,Defender,USA,bsjndgdwmdwekzhz7c1s7g53p,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/bsjndgdwmdwekzhz7c1s7g53p
22,,Reno 1868 FC,USL Championship,Attacker,Netherlands,c5ynnf3ejftjjhtiznqea8slx,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/c5ynnf3ejftjjhtiznqea8slx
21,,Reno 1868 FC,USL Championship,Defender,France,clqjcy623rlupobk5ox82oic5,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/clqjcy623rlupobk5ox82oic5
16,,Reno 1868 FC,USL Championship,Defender,USA,cud9nc97lvdv6qk0z74btvr9x,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/cud9nc97lvdv6qk0z74btvr9x
29,,Reno 1868 FC,USL Championship,Attacker,France,cv8u1u1mvnd89t6sqhlheorth,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/cv8u1u1mvnd89t6sqhlheorth
2,,Reno 1868 FC,USL Championship,Attacker,Puerto Rico,dwhfc4vnba8ff6jiolv9dn9ih,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/dwhfc4vnba8ff6jiolv9dn9ih
13,,Reno 1868 FC,USL Championship,Midfielder,Honduras,e1jyf71bxxp4zr4d0a04fjxt5,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/e1jyf71bxxp4zr4d0a04fjxt5
4,,Reno 1868 FC,USL Championship,Defender,Canada,eyu2l3gom8fn098e66e4a6k0l,22b9mraatxlea6ynkzxmwdkh5,c1d9p6b2e9zr5tqlzx3ktjplg,2wn0s8t9vq655sa17guhz3xbe,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/teams/view/22b9mraatxlea6ynkzxmwdkh5/player/view/eyu2l3gom8fn098e66e4a6k0l
