liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Launches,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Set Pieces Goals,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Substitute On,Successful Lay-offs,Shots Off Target (inc woodwork),Foul Attempted Tackle,Blocks,Goal Assists,Through balls,Unsuccessful lay-offs,Saves Made,GK Successful Distribution,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Right Foot Goals,Penalties Off Target,Foul Won Penalty,Hit Woodwork,Assists (Intentional),Goals from Inside Box,Penalties Taken,Penalty Goals,Clean Sheets,Drops,Penalties Faced,Penalties Conceded,Own Goal Scored,Total Red Cards,Red Cards - 2nd Yellow,Headed Goals,Clearances Off the Line,Straight Red Cards,Second Goal Assists,Penalty Goals Conceded,Other Goals,Crosses not Claimed,Penalties Saved,Saves from Penalty,Last Man Tackle,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks
USA_USL_Championship,2018,Richmond Kickers,3aglv971xc0md3iln0etqz8ph,P. Agyemang,Midfielder,38,,,491.0,1.0,,1.0,310.0,,39.0,,146.0,5.0,3.0,17.0,6.0,3.0,3.0,92.0,102.0,7.0,,51.0,316.0,3.0,9.0,3.0,236.0,11.0,6.0,68.0,,78.0,6.0,50.0,,,29.0,6.0,14.0,18.0,380.0,,9.0,41.0,,133.0,2.0,10.0,13.0,4.0,,12.0,,1.0,2.0,4.0,46.0,1.0,14.0,,,9.0,,,30.0,66.0,242.0,248.0,5.0,4.0,33.0,3.0,10.0,11.0,3.0,10.0,2.0,9.0,,,3.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,bpddvnzqyy1yqrz3m2gorjai,B. Barnes,Goalkeeper,33,,,360.0,,4.0,,59.0,,,,9.0,15.0,,26.0,1.0,3.0,,28.0,75.0,,,1.0,111.0,,,,58.0,9.0,,27.0,,28.0,,18.0,,,40.0,4.0,2.0,9.0,164.0,,4.0,1.0,,61.0,,10.0,1.0,,,26.0,,,1.0,,2.0,2.0,12.0,,,4.0,,,1.0,22.0,48.0,84.0,1.0,,1.0,,,,,,,,,,,,13.0,60.0,1.0,,3.0,4.0,2.0,9.0,,10.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,cm6wjzc7tloylr7epg0yqpwfe,G. Boehme,Midfielder,21,1.0,,622.0,3.0,1.0,,325.0,,59.0,,123.0,3.0,3.0,11.0,5.0,2.0,9.0,84.0,138.0,9.0,,54.0,326.0,8.0,8.0,6.0,252.0,19.0,2.0,65.0,,84.0,5.0,38.0,1.0,,28.0,8.0,9.0,28.0,393.0,,14.0,37.0,,95.0,2.0,10.0,21.0,1.0,,9.0,,3.0,3.0,3.0,49.0,2.0,21.0,,1.0,14.0,,,19.0,88.0,260.0,261.0,12.0,3.0,28.0,6.0,10.0,18.0,6.0,14.0,1.0,7.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,4qofik4taju14sucl0yuuvkrt,M. Bolduc,Midfielder,7,7.0,6.0,657.0,21.0,2.0,,193.0,3.0,56.0,4.0,83.0,6.0,1.0,10.0,2.0,4.0,11.0,96.0,78.0,15.0,,37.0,204.0,2.0,10.0,8.0,150.0,16.0,2.0,47.0,1.0,16.0,14.0,35.0,1.0,3.0,40.0,7.0,9.0,19.0,331.0,2.0,12.0,72.0,,59.0,11.0,10.0,28.0,,,7.0,4.0,4.0,2.0,10.0,85.0,6.0,20.0,,7.0,12.0,,,46.0,73.0,146.0,157.0,13.0,10.0,57.0,5.0,7.0,26.0,5.0,5.0,2.0,4.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,bilig6duu480125npdeax3dnt,H. Cordovés,Forward,16,7.0,21.0,1469.0,4.0,,7.0,265.0,4.0,128.0,,132.0,,5.0,5.0,8.0,9.0,60.0,229.0,93.0,4.0,,85.0,315.0,6.0,36.0,15.0,221.0,31.0,34.0,90.0,,52.0,14.0,84.0,11.0,,33.0,16.0,23.0,13.0,593.0,,24.0,118.0,,65.0,58.0,10.0,76.0,16.0,,4.0,,21.0,39.0,25.0,217.0,13.0,40.0,5.0,7.0,24.0,,3.0,81.0,70.0,175.0,225.0,99.0,3.0,141.0,1.0,3.0,37.0,8.0,24.0,18.0,11.0,,,2.0,6.0,,,,,,,,,,,,,1.0,,,7.0,,,1.0,,,,,1.0,1.0,2.0,,,1.0,4.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,5cjhaje8w5dj3r3fs8yv41i7e,K. Dickey,Goalkeeper,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,867s9blcop3abx7p14j9jccfd,B. Eaton,Midfielder,0,13.0,,763.0,57.0,,,336.0,5.0,77.0,1.0,146.0,11.0,2.0,17.0,2.0,6.0,14.0,119.0,136.0,19.0,,46.0,344.0,3.0,7.0,8.0,268.0,17.0,7.0,63.0,,29.0,5.0,56.0,4.0,10.0,47.0,9.0,9.0,20.0,551.0,,12.0,62.0,,116.0,10.0,10.0,49.0,2.0,,13.0,1.0,15.0,7.0,8.0,83.0,13.0,23.0,,13.0,12.0,,,20.0,122.0,273.0,281.0,21.0,11.0,34.0,8.0,11.0,42.0,3.0,10.0,5.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,8y9f09qur64s6dfxaxyoyf45x,G. Gentile,Forward,92,16.0,6.0,767.0,11.0,1.0,2.0,195.0,4.0,63.0,1.0,100.0,1.0,2.0,10.0,2.0,5.0,18.0,133.0,45.0,1.0,,57.0,211.0,5.0,22.0,3.0,135.0,14.0,22.0,67.0,,51.0,5.0,78.0,6.0,1.0,26.0,7.0,7.0,7.0,348.0,4.0,16.0,51.0,,56.0,36.0,10.0,28.0,7.0,1.0,9.0,1.0,12.0,12.0,8.0,81.0,1.0,19.0,,18.0,16.0,2.0,1.0,35.0,41.0,128.0,144.0,30.0,1.0,53.0,,2.0,16.0,9.0,13.0,15.0,6.0,1.0,,1.0,3.0,,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,8m1j0anc3y4blgvqdeiajknvt,R. Gonzalez III,Midfielder,27,47.0,8.0,2363.0,54.0,2.0,3.0,764.0,11.0,159.0,11.0,390.0,6.0,4.0,25.0,9.0,12.0,29.0,392.0,239.0,50.0,,136.0,779.0,8.0,24.0,48.0,569.0,52.0,45.0,161.0,1.0,193.0,21.0,171.0,11.0,9.0,141.0,27.0,37.0,52.0,1380.0,9.0,32.0,271.0,,221.0,71.0,10.0,179.0,18.0,5.0,49.0,9.0,56.0,28.0,32.0,328.0,25.0,64.0,1.0,62.0,32.0,8.0,,120.0,206.0,605.0,618.0,57.0,35.0,149.0,15.0,20.0,151.0,5.0,17.0,27.0,14.0,3.0,1.0,3.0,2.0,,,,,,,,,,,2.0,,,1.0,,3.0,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,2ynqmm4t58sano6n7iw723q39,N. Hlavaty,Midfielder,7,2.0,3.0,1064.0,2.0,,,454.0,4.0,71.0,1.0,164.0,5.0,2.0,24.0,10.0,6.0,14.0,133.0,218.0,17.0,,70.0,475.0,12.0,25.0,2.0,341.0,20.0,2.0,94.0,,116.0,5.0,66.0,2.0,,47.0,14.0,17.0,34.0,604.0,4.0,16.0,84.0,,153.0,4.0,10.0,35.0,1.0,,40.0,,13.0,4.0,4.0,102.0,13.0,26.0,,6.0,16.0,4.0,2.0,53.0,135.0,365.0,381.0,18.0,9.0,67.0,8.0,10.0,31.0,2.0,19.0,1.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,5uzzhh8nqaeovf5h22hpjxxwp,Y. Imura,Midfielder,14,9.0,2.0,1566.0,9.0,5.0,2.0,723.0,9.0,178.0,7.0,301.0,2.0,,13.0,8.0,6.0,18.0,195.0,310.0,25.0,,111.0,728.0,10.0,6.0,13.0,579.0,29.0,17.0,124.0,4.0,190.0,21.0,114.0,4.0,,110.0,15.0,24.0,31.0,968.0,15.0,29.0,94.0,1.0,189.0,27.0,10.0,82.0,8.0,,25.0,2.0,28.0,16.0,6.0,128.0,10.0,35.0,,21.0,29.0,11.0,2.0,28.0,171.0,599.0,604.0,34.0,13.0,46.0,12.0,30.0,66.0,14.0,37.0,9.0,3.0,2.0,1.0,4.0,3.0,,,,,,,,,,,2.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,4.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,2ahydamecjom9wgc8o59g3v85,D. Kelly,Forward,29,4.0,2.0,233.0,,,1.0,38.0,2.0,15.0,,23.0,,,,,,7.0,31.0,8.0,2.0,,12.0,43.0,2.0,5.0,1.0,28.0,3.0,4.0,12.0,,3.0,,14.0,2.0,,8.0,3.0,5.0,2.0,83.0,,4.0,19.0,,11.0,13.0,10.0,11.0,2.0,,3.0,,6.0,2.0,3.0,28.0,,3.0,,4.0,4.0,,1.0,10.0,14.0,26.0,31.0,9.0,1.0,17.0,1.0,1.0,9.0,1.0,2.0,2.0,3.0,,2.0,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,1k73nm8njbq3xjf2iwuqanp49,E. Klenofsky,Goalkeeper,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,16dhewlr09z84x967b11tzefp,A. Lee,Defender,18,22.0,1.0,1394.0,123.0,5.0,,543.0,5.0,129.0,4.0,218.0,27.0,3.0,52.0,6.0,6.0,11.0,186.0,222.0,15.0,,71.0,559.0,2.0,14.0,10.0,412.0,28.0,2.0,123.0,,24.0,11.0,106.0,,20.0,80.0,16.0,13.0,39.0,905.0,,16.0,73.0,,209.0,2.0,10.0,61.0,1.0,,24.0,4.0,22.0,17.0,3.0,101.0,47.0,34.0,,22.0,16.0,,2.0,29.0,197.0,423.0,436.0,28.0,9.0,40.0,6.0,25.0,44.0,,1.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,5.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,8mnq6su69w3xyujz7n03n4zqh,E. Lee,Defender,12,,,289.0,,,,158.0,,10.0,,54.0,6.0,,8.0,1.0,4.0,6.0,19.0,92.0,5.0,,9.0,163.0,,1.0,,140.0,5.0,,17.0,,16.0,,12.0,1.0,,15.0,3.0,3.0,5.0,194.0,,4.0,8.0,,73.0,1.0,10.0,9.0,,,6.0,,1.0,3.0,,17.0,12.0,9.0,,,4.0,,,2.0,64.0,141.0,146.0,9.0,5.0,8.0,,3.0,6.0,1.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,f3exestd6ob5mzbusl5omjjs9,B. Miranda,Forward,32,2.0,,29.0,1.0,,,10.0,,1.0,,8.0,,,,1.0,1.0,2.0,8.0,,,,2.0,10.0,,1.0,,7.0,1.0,,2.0,,4.0,,4.0,,,,,3.0,,18.0,,1.0,6.0,,3.0,,10.0,,,,1.0,,,,1.0,8.0,,2.0,,2.0,1.0,,,6.0,2.0,8.0,8.0,2.0,,8.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,7b346y8ad54mkc0h1343ybs2x,Luiz Fernando,Midfielder,71,24.0,6.0,1885.0,11.0,,3.0,578.0,15.0,128.0,9.0,335.0,3.0,4.0,16.0,22.0,10.0,16.0,306.0,132.0,22.0,,109.0,583.0,4.0,20.0,38.0,427.0,45.0,25.0,125.0,3.0,115.0,38.0,137.0,10.0,,96.0,19.0,36.0,18.0,989.0,12.0,28.0,226.0,1.0,161.0,64.0,10.0,111.0,12.0,,31.0,6.0,44.0,7.0,43.0,249.0,5.0,55.0,3.0,30.0,28.0,6.0,1.0,122.0,179.0,453.0,458.0,23.0,15.0,138.0,7.0,13.0,104.0,9.0,34.0,13.0,8.0,,4.0,7.0,1.0,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,ug90k2po3jr4vmmqqhzmkvzd,C. Osei-Wusu,Midfielder,24,10.0,5.0,1207.0,,1.0,,294.0,5.0,86.0,1.0,135.0,3.0,1.0,15.0,6.0,3.0,12.0,142.0,105.0,7.0,,51.0,305.0,4.0,9.0,11.0,221.0,25.0,13.0,66.0,,61.0,8.0,58.0,4.0,,53.0,13.0,12.0,18.0,474.0,,20.0,86.0,,77.0,20.0,10.0,31.0,4.0,,18.0,1.0,11.0,2.0,9.0,100.0,7.0,28.0,,10.0,20.0,,,57.0,81.0,230.0,239.0,14.0,5.0,69.0,2.0,12.0,29.0,7.0,15.0,9.0,3.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,4e6xk5508sjezrili12xqe311,F. Sekyere,Midfielder,4,5.0,1.0,420.0,6.0,1.0,1.0,143.0,4.0,16.0,2.0,63.0,3.0,4.0,11.0,3.0,3.0,18.0,93.0,46.0,9.0,,33.0,151.0,2.0,12.0,11.0,86.0,6.0,6.0,44.0,1.0,42.0,3.0,44.0,1.0,1.0,38.0,3.0,10.0,10.0,281.0,6.0,11.0,80.0,,64.0,8.0,10.0,54.0,2.0,,21.0,1.0,27.0,9.0,2.0,107.0,2.0,9.0,,10.0,11.0,5.0,1.0,35.0,29.0,104.0,107.0,27.0,7.0,53.0,2.0,8.0,45.0,8.0,1.0,4.0,8.0,,,2.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,6a2qpez6p90suyn3smy99jg0l,M. Roberts,Defender,15,,,1170.0,,6.0,,678.0,1.0,21.0,,181.0,9.0,2.0,25.0,2.0,6.0,14.0,83.0,452.0,12.0,,52.0,710.0,,15.0,6.0,571.0,29.0,4.0,77.0,,238.0,5.0,48.0,,,44.0,13.0,3.0,29.0,851.0,,13.0,47.0,,324.0,6.0,10.0,74.0,,,62.0,,11.0,49.0,1.0,110.0,60.0,35.0,,,13.0,,,22.0,127.0,604.0,633.0,63.0,8.0,36.0,4.0,10.0,25.0,,,4.0,6.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,cmsx11uj0opqa09u72vfv4962,S. Russell,Defender,34,3.0,,90.0,3.0,,,27.0,1.0,2.0,,4.0,1.0,,3.0,2.0,2.0,,13.0,17.0,3.0,,3.0,27.0,,3.0,,21.0,2.0,,6.0,,15.0,,7.0,,2.0,6.0,1.0,4.0,2.0,53.0,,1.0,7.0,,10.0,,10.0,4.0,,,,,1.0,,,7.0,6.0,4.0,,3.0,1.0,,,3.0,,21.0,21.0,,3.0,3.0,,2.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,cz020e9g38pwlqaym214tesid,C. Shanosky,Defender,5,1.0,,1947.0,3.0,21.0,,1019.0,1.0,76.0,,265.0,48.0,2.0,108.0,9.0,8.0,25.0,220.0,586.0,25.0,,92.0,1051.0,4.0,9.0,3.0,731.0,40.0,1.0,200.0,,88.0,5.0,133.0,1.0,,111.0,23.0,18.0,68.0,1282.0,,24.0,54.0,,511.0,6.0,10.0,80.0,,,120.0,,9.0,46.0,,125.0,95.0,48.0,,1.0,24.0,,,20.0,376.0,827.0,851.0,71.0,16.0,45.0,9.0,39.0,34.0,1.0,,1.0,5.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,4ycnrob0q6l67lakfae111r6d,B. Shriver,Forward,21,29.0,7.0,2706.0,16.0,,7.0,914.0,12.0,240.0,19.0,457.0,7.0,,33.0,15.0,10.0,32.0,372.0,312.0,39.0,2.0,181.0,964.0,10.0,21.0,7.0,696.0,58.0,48.0,214.0,10.0,337.0,43.0,232.0,9.0,1.0,118.0,31.0,40.0,48.0,1344.0,44.0,32.0,136.0,3.0,210.0,63.0,10.0,72.0,24.0,10.0,54.0,5.0,15.0,11.0,15.0,179.0,8.0,68.0,1.0,66.0,32.0,25.0,2.0,75.0,177.0,706.0,750.0,43.0,28.0,107.0,11.0,11.0,61.0,1.0,48.0,24.0,12.0,4.0,8.0,13.0,3.0,,,,,,,,,,,5.0,,1.0,2.0,7.0,4.0,1.0,1.0,1.0,,,,,,,1.0,,,,5.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,8sl4nqao4w38gwi1t3qrxu5lh,T. Spangenberg,Goalkeeper,1,,,1350.0,,22.0,,213.0,,,,44.0,80.0,1.0,143.0,,8.0,,155.0,244.0,2.0,,6.0,437.0,,,,186.0,28.0,,149.0,,67.0,1.0,93.0,,,147.0,15.0,,56.0,623.0,,15.0,7.0,,270.0,,10.0,10.0,,,102.0,,1.0,7.0,1.0,14.0,8.0,36.0,,,15.0,,,4.0,100.0,149.0,288.0,7.0,1.0,4.0,1.0,,3.0,,,,,,,,,53.0,206.0,4.0,3.0,15.0,18.0,19.0,35.0,1.0,43.0,,,,,,,,,,2.0,3.0,,,,,,,,,3.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,b8qwezbrzxgpllwqcomsotqay,Z. Tashjy,Goalkeeper,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,8kdtdvk8xiz9td4qx78v09j2t,S. Thomsen,Defender,3,37.0,4.0,1253.0,103.0,10.0,1.0,505.0,14.0,80.0,10.0,209.0,31.0,3.0,62.0,17.0,4.0,24.0,252.0,176.0,34.0,1.0,88.0,525.0,1.0,7.0,3.0,334.0,21.0,5.0,150.0,4.0,187.0,8.0,162.0,1.0,14.0,57.0,14.0,40.0,43.0,890.0,22.0,17.0,81.0,1.0,219.0,6.0,10.0,63.0,4.0,2.0,41.0,6.0,13.0,14.0,4.0,119.0,24.0,25.0,1.0,55.0,17.0,16.0,,32.0,39.0,359.0,375.0,38.0,19.0,56.0,15.0,25.0,49.0,3.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,9b7pmftxlo3k5hm96e06cw0yx,B. Troyer,Defender,31,14.0,,2126.0,41.0,24.0,,1016.0,8.0,113.0,2.0,284.0,51.0,3.0,90.0,8.0,10.0,31.0,276.0,550.0,79.0,,131.0,1053.0,3.0,44.0,5.0,744.0,39.0,7.0,221.0,,238.0,8.0,153.0,5.0,16.0,135.0,25.0,39.0,82.0,1441.0,,25.0,179.0,,420.0,11.0,10.0,136.0,3.0,,88.0,2.0,20.0,34.0,5.0,244.0,72.0,49.0,,14.0,25.0,,1.0,77.0,282.0,799.0,832.0,65.0,58.0,108.0,21.0,56.0,102.0,,13.0,4.0,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,5.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,dlctqw9g91iwgnemtaumvlx7u,O. Umar,Midfielder,17,8.0,,1832.0,2.0,9.0,1.0,1167.0,4.0,138.0,1.0,423.0,28.0,4.0,94.0,14.0,10.0,38.0,284.0,557.0,49.0,,133.0,1206.0,4.0,44.0,19.0,847.0,42.0,12.0,227.0,,318.0,8.0,175.0,4.0,,157.0,21.0,32.0,60.0,1491.0,,22.0,171.0,1.0,383.0,10.0,10.0,115.0,4.0,,132.0,1.0,14.0,33.0,7.0,242.0,28.0,52.0,,8.0,22.0,,1.0,89.0,367.0,942.0,979.0,71.0,30.0,127.0,19.0,50.0,82.0,1.0,25.0,8.0,33.0,6.0,,3.0,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,939gdb6x3mj8fuxveqvlomcid,M. Williams,Defender,25,8.0,1.0,2181.0,19.0,12.0,,1188.0,5.0,99.0,1.0,291.0,54.0,6.0,121.0,4.0,10.0,36.0,277.0,722.0,27.0,,117.0,1250.0,,26.0,9.0,918.0,53.0,5.0,238.0,,328.0,1.0,174.0,3.0,4.0,136.0,23.0,16.0,72.0,1568.0,1.0,27.0,88.0,,533.0,6.0,10.0,99.0,2.0,,94.0,1.0,16.0,47.0,2.0,171.0,111.0,63.0,,8.0,27.0,,1.0,36.0,290.0,964.0,1012.0,83.0,18.0,72.0,9.0,36.0,52.0,4.0,,3.0,11.0,19.0,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,2.0,,,6.0,,,,,,,,,,
USA_USL_Championship,2018,Richmond Kickers,5tw4eu899whebkaq8q68wuajt,T. Worra,Goalkeeper,48,,,1350.0,,52.0,,270.0,,,,76.0,88.0,3.0,181.0,,4.0,,195.0,228.0,1.0,,3.0,488.0,,2.0,,155.0,28.0,,184.0,,76.0,,145.0,,,176.0,15.0,,39.0,669.0,,15.0,6.0,,353.0,,10.0,6.0,,,149.0,,3.0,3.0,,9.0,15.0,32.0,,,15.0,,,3.0,59.0,192.0,304.0,3.0,,3.0,1.0,2.0,3.0,,,,2.0,,,,,58.0,156.0,1.0,1.0,6.0,17.0,17.0,39.0,3.0,70.0,,,,,,,,,2.0,,3.0,2.0,,,,,,,,3.0,,1.0,,,,,,,,
