dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
15,,Colorado Springs Switchbacks FC,USL Championship,Goalkeeper,USA,1ynjnr4qnwzyncof9zd68r1m1,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/1ynjnr4qnwzyncof9zd68r1m1
99,Andre Shinyashiki,Colorado Springs Switchbacks FC,USL Championship,Attacker,Brazil,1zmuglf34st6duz1fq8ysv5nu,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/1zmuglf34st6duz1fq8ysv5nu
44,,Colorado Springs Switchbacks FC,USL Championship,Defender,USA,2f5x1j9yg8vk1y4kjs11cvt1x,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/2f5x1j9yg8vk1y4kjs11cvt1x
,,Colorado Springs Switchbacks FC,USL Championship,Goalkeeper,USA,2m7xhno7xnktvmzwa6j7wlgfe,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/2m7xhno7xnktvmzwa6j7wlgfe
,,Colorado Springs Switchbacks FC,USL Championship,Defender,USA,3a63qu65kmj271t6r9kakmlii,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/3a63qu65kmj271t6r9kakmlii
10,,Colorado Springs Switchbacks FC,USL Championship,Attacker,USA,3w1vzhz62doxuqhf6ysm4cout,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/3w1vzhz62doxuqhf6ysm4cout
5,,Colorado Springs Switchbacks FC,USL Championship,Defender,Canada,44xe59w51j9i2j144979ynyl1,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/44xe59w51j9i2j144979ynyl1
18,,Colorado Springs Switchbacks FC,USL Championship,Defender,USA,4s89d8lvn9cdquw3tt1imik7p,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/4s89d8lvn9cdquw3tt1imik7p
1,,Colorado Springs Switchbacks FC,USL Championship,Goalkeeper,USA,58eo9d622zwcn98rswwpltzl6,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/58eo9d622zwcn98rswwpltzl6
13,Cole Bassett,Colorado Springs Switchbacks FC,USL Championship,Midfielder,USA,6pgcyaivg3sjcm6jju4nn3omi,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/6pgcyaivg3sjcm6jju4nn3omi
24,,Colorado Springs Switchbacks FC,USL Championship,Defender,USA,6ub0we933a19ixnl3l5wt36ui,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/6ub0we933a19ixnl3l5wt36ui
12,,Colorado Springs Switchbacks FC,USL Championship,Goalkeeper,Haiti,71bcwrrg3hbhc25s2ll3dlec5,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/71bcwrrg3hbhc25s2ll3dlec5
7,Fernando González,Colorado Springs Switchbacks FC,USL Championship,Attacker,Mexico,7n5fk97yok83066v3u7026bc9,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/7n5fk97yok83066v3u7026bc9
7,,Colorado Springs Switchbacks FC,USL Championship,Midfielder,USA,7sn23jm1hatsib8yhfndjg1xx,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/7sn23jm1hatsib8yhfndjg1xx
,,Colorado Springs Switchbacks FC,USL Championship,,South Africa,7ue6y98swex7rbcql9a2p2jmx,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/7ue6y98swex7rbcql9a2p2jmx
22,,Colorado Springs Switchbacks FC,USL Championship,Midfielder,Canada,81x9w37k7p7uzahymiwdvvf1l,ak0rmms5xl49w57i2rvid1tk9,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/ak0rmms5xl49w57i2rvid1tk9/player/view/81x9w37k7p7uzahymiwdvvf1l
