dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
25,,El Paso Locomotive FC,USL Championship,Midfielder,Colombia,17ghij2bf3mwglw2wsmn0krmd,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/17ghij2bf3mwglw2wsmn0krmd
24,Yuma,El Paso Locomotive FC,USL Championship,Midfielder,Spain,1b6acix0zomqtocnuy713vi6t,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/1b6acix0zomqtocnuy713vi6t
23,,El Paso Locomotive FC,USL Championship,Defender,USA,1jhs3g95t0ah1hx3fwlo14kmi,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/1jhs3g95t0ah1hx3fwlo14kmi
15,,El Paso Locomotive FC,USL Championship,Defender,USA,1y62dv6nucbkjzbynyw2gny6t,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/1y62dv6nucbkjzbynyw2gny6t
3,,El Paso Locomotive FC,USL Championship,Defender,Belgium,2gnv4lo4vuudgpxmjwzr8wu6t,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/2gnv4lo4vuudgpxmjwzr8wu6t
22,,El Paso Locomotive FC,USL Championship,Defender,England,2la5owj1vm85klw4vbpd5wgk5,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/2la5owj1vm85klw4vbpd5wgk5
2,,El Paso Locomotive FC,USL Championship,Defender,Canada,3ot9v3kbxlf1il8eg7o4vg9ud,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/3ot9v3kbxlf1il8eg7o4vg9ud
,,El Paso Locomotive FC,USL Championship,,England,3z82wt4bh638ac6rgbls14auh,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/3z82wt4bh638ac6rgbls14auh
1,,El Paso Locomotive FC,USL Championship,Goalkeeper,USA,4o2odluv4usimcdtryht04zjd,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/4o2odluv4usimcdtryht04zjd
17,,El Paso Locomotive FC,USL Championship,Attacker,USA,4pzxnlbebu5v53njghf04lc5x,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/4pzxnlbebu5v53njghf04lc5x
8,,El Paso Locomotive FC,USL Championship,Midfielder,Scotland,579n2n7oiogy83epzcfrxtd5h,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/579n2n7oiogy83epzcfrxtd5h
11,,El Paso Locomotive FC,USL Championship,Midfielder,Mexico,5cy87zk7t1svxq8cz47gpfug9,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/5cy87zk7t1svxq8cz47gpfug9
20,,El Paso Locomotive FC,USL Championship,Midfielder,USA,5nwr0jfy6na631d30mcp9ndre,5h878vnmkbuy2ummddprusxgq,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5h878vnmkbuy2ummddprusxgq/player/view/5nwr0jfy6na631d30mcp9ndre
