dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
14,,Fresno FC,USL Championship,Defender,Haiti,1i7a6katii8fnxncnyun4nyzt,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/1i7a6katii8fnxncnyun4nyzt
5,,Fresno FC,USL Championship,Defender,USA,1wrepd1v92qk7mdgdcrfse11x,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/1wrepd1v92qk7mdgdcrfse11x
13,,Fresno FC,USL Championship,Defender,Bosnia and Herzegovina,2ith944jz6kopy3h1zmvg6iuh,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/2ith944jz6kopy3h1zmvg6iuh
15,,Fresno FC,USL Championship,Midfielder,Japan,3hfd4f154cutbb4yfvfu6mhnt,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/3hfd4f154cutbb4yfvfu6mhnt
28,,Fresno FC,USL Championship,Goalkeeper,USA,46xpydpdkndwe3bn8ai1bu1ka,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/46xpydpdkndwe3bn8ai1bu1ka
11,,Fresno FC,USL Championship,Attacker,USA,4gsd1gg03r873dv1tt6f99txx,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/4gsd1gg03r873dv1tt6f99txx
30,,Fresno FC,USL Championship,Goalkeeper,USA,4msgc3oh64mw6h8qw2a6mhxm2,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/4msgc3oh64mw6h8qw2a6mhxm2
6,Jorge Escamilla,Fresno FC,USL Championship,Midfielder,Mexico,4q5x3pior6zgx5sw0531hz089,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/4q5x3pior6zgx5sw0531hz089
7,Jackson,Fresno FC,USL Championship,Midfielder,Brazil,5xs9jt9zdxt7xfzvkg5iemthx,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/5xs9jt9zdxt7xfzvkg5iemthx
1,C.J. Cochran,Fresno FC,USL Championship,Goalkeeper,USA,631nrqi3lgy82rtxhsjqho3jd,5ocnx06nd0cq9jr7c98rafs6i,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/5ocnx06nd0cq9jr7c98rafs6i/player/view/631nrqi3lgy82rtxhsjqho3jd
