liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Yellow Cards,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Successful Lay-offs,Successful Launches,Goals,Corners Won,Successful Crosses & Corners,Unsuccessful Launches,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Set Pieces Goals,Substitute Off,Successful Corners into Box,Blocked Shots,Throw Ins to Opposition Player,Corners Taken (incl short corners),Goals from Outside Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Crosses open play,Aerial Duels won,Left Foot Goals,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Tackles Lost,Handballs conceded,Clean Sheets,Through balls,Right Foot Goals,Goals from Inside Box,Unsuccessful lay-offs,Offsides,Foul Won Penalty,Hit Woodwork,Penalties Taken,Penalty Goals,Own Goal Scored,Total Red Cards,Straight Red Cards,Headed Goals,Last Man Tackle,Second Goal Assists,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Penalties Conceded,Clearances Off the Line,Penalties Saved,Drops,Saves from Penalty,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks
USA_USL_Championship,2019,New York Red Bulls II,dnkvm6zpfsxyjie6esilvw15,T. Barlow,Forward,74,7.0,1156.0,2.0,246.0,89.0,144.0,1.0,3.0,15.0,49.0,141.0,44.0,7.0,69.0,,259.0,8.0,13.0,186.0,14.0,44.0,72.0,41.0,14.0,70.0,31.0,12.0,9.0,9.0,451.0,16.0,2.0,1.0,60.0,59.0,91.0,10.0,58.0,1.0,7.0,6.0,140.0,12.0,16.0,7.0,16.0,33.0,70.0,174.0,187.0,80.0,3.0,82.0,,27.0,4.0,11.0,,11.0,11.0,1.0,,7.0,2.0,,3.0,,8.0,,,1.0,29.0,,1.0,31.0,3.0,,1.0,1.0,4.0,,2.0,,7.0,10.0,4.0,12.0,1.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,3b0qlsm91qrzskc5n9hgiqpcl,V. Bezecourt,Midfielder,88,21.0,1406.0,19.0,538.0,101.0,353.0,,15.0,27.0,18.0,280.0,82.0,21.0,124.0,1.0,564.0,15.0,40.0,404.0,22.0,44.0,139.0,103.0,35.0,153.0,87.0,17.0,36.0,20.0,953.0,17.0,8.0,,175.0,224.0,87.0,10.0,105.0,21.0,30.0,11.0,207.0,1.0,26.0,34.0,17.0,84.0,136.0,402.0,425.0,32.0,14.0,102.0,8.0,91.0,,11.0,2.0,3.0,14.0,10.0,3.0,18.0,4.0,,9.0,7.0,22.0,4.0,19.0,,17.0,7.0,2.0,14.0,2.0,9.0,4.0,4.0,7.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,axsbn7z1p6rf4or647mvr3tux,R. Boateng,Defender,63,,62.0,1.0,55.0,2.0,18.0,2.0,6.0,1.0,1.0,11.0,28.0,,5.0,,57.0,4.0,,42.0,,2.0,11.0,5.0,,8.0,3.0,,,3.0,64.0,2.0,1.0,,3.0,29.0,2.0,10.0,7.0,4.0,,,11.0,2.0,1.0,,2.0,3.0,21.0,44.0,46.0,8.0,,4.0,1.0,,2.0,,,,,,4.0,,1.0,,,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,3uf4cr8ak932jiku7228hzasq,A. Bobocea,Goalkeeper,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,Defender,91,17.0,1475.0,129.0,683.0,129.0,328.0,2.0,36.0,,22.0,222.0,225.0,26.0,110.0,,695.0,16.0,14.0,526.0,19.0,2.0,146.0,120.0,11.0,114.0,118.0,17.0,30.0,50.0,1096.0,19.0,4.0,3.0,96.0,274.0,21.0,10.0,82.0,23.0,20.0,5.0,140.0,39.0,22.0,18.0,19.0,36.0,172.0,537.0,549.0,44.0,22.0,58.0,24.0,60.0,2.0,,8.0,,5.0,4.0,23.0,14.0,3.0,,5.0,,2.0,24.0,2.0,,2.0,,4.0,22.0,,1.0,1.0,1.0,4.0,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,9irc1xmfpa2395qef78rfyjje,J. Cedeño,Midfielder,68,,81.0,,35.0,2.0,13.0,,2.0,,1.0,29.0,6.0,1.0,14.0,,35.0,,1.0,19.0,,1.0,16.0,,3.0,14.0,9.0,1.0,1.0,2.0,52.0,2.0,,,15.0,13.0,7.0,10.0,2.0,,,6.0,16.0,,1.0,,2.0,13.0,20.0,19.0,19.0,1.0,,14.0,,2.0,1.0,,,,2.0,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,6vjoq2kgaq2igxoh8cvq0ieax,C. Cásseres,Midfielder,23,1.0,163.0,2.0,93.0,9.0,47.0,,6.0,,,41.0,26.0,6.0,19.0,,98.0,3.0,3.0,69.0,3.0,1.0,25.0,22.0,1.0,23.0,15.0,2.0,6.0,3.0,148.0,2.0,2.0,,28.0,40.0,4.0,10.0,19.0,4.0,9.0,3.0,29.0,1.0,4.0,1.0,2.0,10.0,27.0,68.0,73.0,1.0,5.0,10.0,,18.0,,,,,,,3.0,5.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,1o6ncw2f6h5uodlhavzsswvrp,K. Duncan,Defender,6,9.0,677.0,57.0,363.0,29.0,188.0,1.0,26.0,2.0,6.0,164.0,81.0,15.0,75.0,,369.0,12.0,20.0,255.0,6.0,4.0,101.0,82.0,6.0,80.0,71.0,8.0,22.0,30.0,619.0,8.0,2.0,1.0,78.0,171.0,10.0,10.0,72.0,13.0,18.0,7.0,103.0,14.0,7.0,9.0,8.0,25.0,87.0,263.0,268.0,25.0,13.0,31.0,15.0,53.0,,,2.0,1.0,2.0,1.0,9.0,9.0,1.0,,1.0,,,17.0,,1.0,2.0,,1.0,19.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,bjv3ita5s714gobx48fm5m2tx,S. Elney,Forward,39,3.0,1189.0,1.0,249.0,42.0,116.0,1.0,7.0,13.0,65.0,191.0,32.0,14.0,98.0,1.0,252.0,16.0,9.0,143.0,11.0,23.0,105.0,31.0,19.0,98.0,26.0,11.0,19.0,10.0,477.0,25.0,9.0,1.0,89.0,117.0,59.0,10.0,96.0,4.0,13.0,12.0,214.0,15.0,15.0,3.0,25.0,53.0,62.0,144.0,147.0,125.0,8.0,118.0,2.0,36.0,14.0,14.0,1.0,4.0,5.0,1.0,2.0,11.0,4.0,,,,11.0,,,,10.0,,1.0,60.0,1.0,,,,6.0,,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,csx9pmpibyblftludnkd6j36x,M. Epps,Midfielder,11,47.0,2526.0,43.0,881.0,169.0,480.0,1.0,34.0,33.0,60.0,552.0,168.0,42.0,217.0,2.0,888.0,11.0,93.0,599.0,37.0,66.0,251.0,170.0,36.0,258.0,156.0,30.0,65.0,40.0,1637.0,33.0,3.0,1.0,334.0,310.0,141.0,10.0,228.0,38.0,36.0,70.0,454.0,12.0,43.0,47.0,33.0,166.0,239.0,630.0,637.0,120.0,29.0,226.0,12.0,168.0,3.0,13.0,1.0,5.0,33.0,11.0,7.0,36.0,6.0,,15.0,,19.0,2.0,2.0,2.0,33.0,,11.0,60.0,2.0,,4.0,4.0,13.0,1.0,2.0,10.0,2.0,3.0,8.0,8.0,1.0,3.0,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
