liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Yellow Cards,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Successful Lay-offs,Successful Launches,Goals,Corners Won,Successful Crosses & Corners,Unsuccessful Launches,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Set Pieces Goals,Substitute Off,Successful Corners into Box,Blocked Shots,Throw Ins to Opposition Player,Corners Taken (incl short corners),Goals from Outside Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Crosses open play,Aerial Duels won,Left Foot Goals,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Tackles Lost,Handballs conceded,Clean Sheets,Through balls,Right Foot Goals,Goals from Inside Box,Unsuccessful lay-offs,Offsides,Foul Won Penalty,Hit Woodwork,Penalties Taken,Penalty Goals,Own Goal Scored,Total Red Cards,Straight Red Cards,Headed Goals,Last Man Tackle,Second Goal Assists,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Penalties Conceded,Clearances Off the Line,Penalties Saved,Drops,Saves from Penalty,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks
USA_USL_Championship,2019,Real Monarchs SLC,iw8qwhb1vafrs9lbptiuquei,L. Arriaga,Midfielder,26,8.0,1193.0,9.0,558.0,115.0,338.0,,7.0,5.0,9.0,125.0,156.0,11.0,63.0,1.0,564.0,5.0,10.0,454.0,18.0,10.0,70.0,171.0,19.0,67.0,55.0,12.0,8.0,12.0,692.0,22.0,1.0,2.0,56.0,125.0,36.0,10.0,29.0,40.0,6.0,7.0,68.0,6.0,21.0,9.0,22.0,30.0,153.0,488.0,494.0,12.0,7.0,39.0,7.0,26.0,10.0,9.0,,,6.0,,2.0,1.0,3.0,,7.0,,3.0,,1.0,,5.0,,,3.0,,1.0,1.0,4.0,4.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,0.0,
USA_USL_Championship,2019,Real Monarchs SLC,2co6fedrz8anjzy9ise76dplh,J. Blake,Midfielder,48,30.0,2450.0,13.0,1529.0,275.0,838.0,9.0,65.0,37.0,19.0,402.0,521.0,42.0,200.0,1.0,1606.0,41.0,21.0,1207.0,36.0,65.0,265.0,417.0,49.0,259.0,163.0,27.0,56.0,54.0,2083.0,29.0,27.0,4.0,229.0,464.0,63.0,10.0,134.0,134.0,53.0,8.0,270.0,17.0,41.0,48.0,29.0,117.0,450.0,1274.0,1341.0,41.0,23.0,136.0,13.0,112.0,2.0,10.0,4.0,11.0,25.0,18.0,14.0,29.0,5.0,1.0,3.0,8.0,20.0,,29.0,2.0,28.0,5.0,9.0,22.0,1.0,16.0,1.0,2.0,19.0,1.0,4.0,5.0,10.0,9.0,1.0,2.0,2.0,5.0,4.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,37.0,8.0,3.0,2.0,
USA_USL_Championship,2019,Real Monarchs SLC,84v7wkiby3gxavrnoqogo6e39,A. Brody,Defender,45,36.0,1339.0,104.0,582.0,117.0,270.0,,33.0,3.0,15.0,221.0,224.0,31.0,83.0,,595.0,5.0,21.0,440.0,23.0,4.0,116.0,28.0,16.0,123.0,79.0,15.0,18.0,29.0,988.0,15.0,1.0,4.0,110.0,226.0,20.0,10.0,91.0,39.0,16.0,12.0,148.0,39.0,26.0,36.0,15.0,42.0,224.0,467.0,479.0,38.0,21.0,57.0,17.0,68.0,,,3.0,,6.0,15.0,14.0,9.0,3.0,,1.0,,,27.0,,,1.0,,15.0,23.0,,,2.0,2.0,10.0,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,21.0,,,0.0,
USA_USL_Championship,2019,Real Monarchs SLC,7qujzrprkr6wvvrghlbuudeui,S. Brown,Midfielder,54,,433.0,,254.0,37.0,99.0,1.0,2.0,2.0,2.0,32.0,136.0,7.0,22.0,1.0,259.0,7.0,3.0,212.0,8.0,3.0,24.0,85.0,2.0,15.0,28.0,4.0,4.0,9.0,308.0,8.0,4.0,3.0,30.0,54.0,,10.0,16.0,23.0,5.0,,33.0,5.0,8.0,,8.0,15.0,83.0,230.0,235.0,3.0,4.0,17.0,8.0,15.0,4.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,
USA_USL_Championship,2019,Real Monarchs SLC,cz888tqcgutfodvigiw1fv2eh,C. Cálix,Midfielder,64,1.0,144.0,3.0,84.0,25.0,47.0,,3.0,1.0,,31.0,24.0,2.0,13.0,1.0,86.0,2.0,5.0,65.0,5.0,2.0,16.0,17.0,1.0,15.0,3.0,1.0,1.0,2.0,121.0,7.0,2.0,,23.0,23.0,7.0,10.0,11.0,5.0,3.0,2.0,24.0,,5.0,1.0,7.0,13.0,21.0,68.0,70.0,1.0,,13.0,,10.0,6.0,,,1.0,,1.0,,,,,1.0,,2.0,,1.0,1.0,1.0,,1.0,1.0,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,1.0,0.0,
USA_USL_Championship,2019,Real Monarchs SLC,1udt0es1u7ffbh84vdsv2f4yd,M. Chang,Midfielder,16,41.0,3121.0,41.0,1124.0,265.0,636.0,3.0,59.0,28.0,65.0,540.0,277.0,71.0,195.0,1.0,1149.0,28.0,63.0,813.0,48.0,68.0,254.0,228.0,68.0,257.0,154.0,35.0,67.0,45.0,1924.0,38.0,19.0,5.0,359.0,271.0,167.0,10.0,212.0,82.0,43.0,52.0,460.0,28.0,54.0,48.0,38.0,183.0,385.0,870.0,895.0,101.0,36.0,248.0,20.0,176.0,3.0,19.0,2.0,15.0,27.0,18.0,11.0,28.0,6.0,1.0,10.0,3.0,24.0,7.0,9.0,3.0,40.0,8.0,16.0,36.0,13.0,6.0,7.0,8.0,35.0,3.0,7.0,9.0,2.0,12.0,4.0,10.0,1.0,2.0,4.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,107.0,11.0,4.0,4.0,
USA_USL_Championship,2019,Real Monarchs SLC,4je006wtyy3duijgxca5cmx2h,K. Coffee,Forward,57,1.0,1050.0,4.0,323.0,101.0,188.0,,5.0,9.0,28.0,125.0,85.0,10.0,57.0,1.0,334.0,10.0,16.0,265.0,23.0,23.0,62.0,101.0,15.0,51.0,35.0,8.0,19.0,12.0,513.0,23.0,2.0,,110.0,52.0,65.0,10.0,61.0,7.0,24.0,7.0,150.0,2.0,25.0,1.0,23.0,61.0,80.0,262.0,272.0,40.0,7.0,89.0,2.0,49.0,15.0,8.0,,6.0,8.0,1.0,1.0,10.0,2.0,,6.0,,3.0,,,1.0,14.0,,1.0,12.0,3.0,,,,3.0,1.0,,1.0,1.0,5.0,1.0,6.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,23.0,3.0,3.0,2.0,1.0
USA_USL_Championship,2019,Real Monarchs SLC,f4a0zzjajtsqyidzxevecgbje,P. Delentz,Defender,83,5.0,274.0,24.0,84.0,14.0,31.0,1.0,6.0,1.0,3.0,35.0,40.0,5.0,9.0,,85.0,3.0,1.0,67.0,10.0,1.0,15.0,29.0,,14.0,7.0,3.0,3.0,6.0,156.0,4.0,1.0,,14.0,39.0,2.0,10.0,12.0,3.0,1.0,1.0,22.0,6.0,10.0,5.0,4.0,7.0,3.0,69.0,70.0,8.0,4.0,10.0,5.0,7.0,1.0,,,,1.0,1.0,2.0,2.0,,,2.0,,1.0,12.0,,,,,1.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,
USA_USL_Championship,2019,Real Monarchs SLC,eb4tvr5mjnnwexfelcpgdriay,L. Etoundi,Forward,41,,276.0,,59.0,26.0,26.0,1.0,,5.0,9.0,36.0,28.0,2.0,17.0,,71.0,7.0,3.0,49.0,7.0,7.0,17.0,19.0,2.0,14.0,12.0,3.0,4.0,3.0,115.0,9.0,3.0,,14.0,6.0,15.0,10.0,14.0,5.0,1.0,2.0,31.0,1.0,8.0,,9.0,8.0,20.0,42.0,54.0,17.0,,17.0,,6.0,6.0,4.0,,1.0,4.0,,,3.0,1.0,,2.0,,3.0,,,,2.0,,,8.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,
USA_USL_Championship,2019,Real Monarchs SLC,8pl795qg2d886vtq8trzsucfe,B. Pierre,Defender,44,,90.0,5.0,34.0,5.0,9.0,1.0,1.0,,,10.0,20.0,3.0,4.0,1.0,34.0,2.0,,29.0,3.0,,5.0,13.0,,1.0,,1.0,1.0,4.0,51.0,1.0,,1.0,8.0,13.0,,10.0,3.0,,,1.0,8.0,1.0,3.0,,1.0,5.0,3.0,29.0,29.0,,2.0,5.0,,3.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,0.0,
