dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
17,,Sacramento Republic FC,USL Championship,Attacker,England,1duvhfmmow05y84nlg49c1vbp,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/1duvhfmmow05y84nlg49c1vbp
32,,Sacramento Republic FC,USL Championship,Attacker,USA,32t6g252ti1peycjite40qiy2,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/32t6g252ti1peycjite40qiy2
47,,Sacramento Republic FC,USL Championship,Defender,USA,3my2fxybaxfqoofh89bwixg8a,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/3my2fxybaxfqoofh89bwixg8a
24,Jaime Villarreal,Sacramento Republic FC,USL Championship,Midfielder,USA,3wzmv0k21w2xidio3fvmdqllh,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/3wzmv0k21w2xidio3fvmdqllh
49,,Sacramento Republic FC,USL Championship,Goalkeeper,USA,4cn7s0nl5lx21g3b9ehlkl1ey,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/4cn7s0nl5lx21g3b9ehlkl1ey
,,Sacramento Republic FC,USL Championship,,New Zealand,4kmyek33ju1b3k18ek3lx0p91,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/4kmyek33ju1b3k18ek3lx0p91
,,Sacramento Republic FC,USL Championship,Attacker,USA,4wvaon78oo6lxcd4o3pfut7u,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/4wvaon78oo6lxcd4o3pfut7u
48,,Sacramento Republic FC,USL Championship,Defender,USA,4x8eu2y112ini9hx6b72bh46i,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/4x8eu2y112ini9hx6b72bh46i
21,,Sacramento Republic FC,USL Championship,Defender,Israel,5wh6uwpitd38kicoappcfl0id,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/5wh6uwpitd38kicoappcfl0id
7,,Sacramento Republic FC,USL Championship,Midfielder,USA,67h9uhftbismou4rnxe2j4ine,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/67h9uhftbismou4rnxe2j4ine
10,,Sacramento Republic FC,USL Championship,Midfielder,Canada,6mmfo5q4m9zdbpl1cgqv5muhh,7neuneh44n9rtsfsh6r0sb9no,c1d9p6b2e9zr5tqlzx3ktjplg,7y908msua7pvw07itgelchu22,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/teams/view/7neuneh44n9rtsfsh6r0sb9no/player/view/6mmfo5q4m9zdbpl1cgqv5muhh
