liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Yellow Cards,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Successful Lay-offs,Successful Launches,Goals,Corners Won,Successful Crosses & Corners,Unsuccessful Launches,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Set Pieces Goals,Substitute Off,Successful Corners into Box,Blocked Shots,Throw Ins to Opposition Player,Corners Taken (incl short corners),Goals from Outside Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Crosses open play,Aerial Duels won,Left Foot Goals,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Tackles Lost,Handballs conceded,Clean Sheets,Through balls,Right Foot Goals,Goals from Inside Box,Unsuccessful lay-offs,Offsides,Foul Won Penalty,Hit Woodwork,Penalties Taken,Penalty Goals,Own Goal Scored,Total Red Cards,Straight Red Cards,Headed Goals,Last Man Tackle,Second Goal Assists,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Penalties Conceded,Clearances Off the Line,Penalties Saved,Drops,Saves from Penalty,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks
USA_USL_Championship,2019,Tampa Bay Rowdies,f07dkt0q5fpiw8c1rkuedrx05,B. Allen,Forward,10,6.0,1918.0,10.0,403.0,155.0,196.0,2.0,12.0,17.0,67.0,199.0,124.0,6.0,108.0,2.0,440.0,22.0,10.0,312.0,23.0,35.0,120.0,65.0,14.0,110.0,42.0,23.0,18.0,16.0,654.0,27.0,7.0,,95.0,77.0,72.0,10.0,90.0,8.0,22.0,10.0,217.0,4.0,29.0,6.0,27.0,60.0,143.0,283.0,320.0,122.0,4.0,127.0,3.0,35.0,4.0,33.0,,10.0,10.0,,1.0,5.0,6.0,,11.0,,7.0,,1.0,1.0,18.0,,,55.0,7.0,,1.0,1.0,2.0,4.0,1.0,2.0,2.0,9.0,13.0,16.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,Tampa Bay Rowdies,ebda6c5j524265cn0wzflchjp,S. Barry,Defender,19,12.0,828.0,55.0,389.0,73.0,199.0,,19.0,5.0,18.0,153.0,97.0,7.0,84.0,2.0,393.0,3.0,4.0,277.0,10.0,6.0,103.0,17.0,7.0,97.0,38.0,9.0,14.0,18.0,573.0,16.0,2.0,2.0,34.0,184.0,15.0,10.0,45.0,13.0,9.0,6.0,79.0,18.0,10.0,12.0,16.0,16.0,119.0,286.0,290.0,45.0,7.0,34.0,6.0,18.0,7.0,1.0,2.0,1.0,8.0,6.0,8.0,5.0,,,5.0,,1.0,11.0,1.0,,1.0,,6.0,27.0,,,3.0,3.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,Tampa Bay Rowdies,djgso05a8y6kxtc4idb56uvh1,P. Diakité,Defender,44,1.0,2790.0,1.0,1157.0,65.0,335.0,12.0,126.0,9.0,44.0,269.0,629.0,27.0,125.0,3.0,1214.0,45.0,7.0,839.0,31.0,15.0,251.0,324.0,5.0,154.0,169.0,31.0,10.0,98.0,1536.0,31.0,21.0,8.0,93.0,460.0,25.0,10.0,169.0,124.0,15.0,1.0,260.0,152.0,32.0,1.0,31.0,47.0,365.0,920.0,963.0,167.0,19.0,91.0,25.0,46.0,,,30.0,,,1.0,82.0,6.0,1.0,,,,2.0,,,,6.0,,1.0,123.0,,,,,8.0,,9.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_USL_Championship,2019,Tampa Bay Rowdies,1fwapwo54su9yu8eisxbdln1l,J. Doherty,Midfielder,22,4.0,1207.0,4.0,591.0,56.0,321.0,,46.0,1.0,14.0,145.0,173.0,21.0,68.0,2.0,608.0,13.0,7.0,446.0,12.0,3.0,114.0,168.0,5.0,101.0,73.0,14.0,7.0,17.0,741.0,19.0,8.0,6.0,83.0,198.0,7.0,10.0,63.0,48.0,15.0,2.0,119.0,11.0,12.0,4.0,19.0,42.0,186.0,478.0,494.0,36.0,12.0,56.0,7.0,41.0,5.0,1.0,3.0,,3.0,,20.0,4.0,,,4.0,,2.0,,,,2.0,,,22.0,,,,,9.0,1.0,4.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
USA_USL_Championship,2019,Tampa Bay Rowdies,1tm1alsanccpl0hcg85u78ded,Y. Ekra,Midfielder,7,2.0,1087.0,1.0,410.0,65.0,232.0,2.0,25.0,5.0,16.0,122.0,110.0,22.0,56.0,1.0,422.0,20.0,32.0,313.0,12.0,7.0,81.0,110.0,8.0,73.0,80.0,11.0,21.0,10.0,616.0,17.0,13.0,2.0,132.0,119.0,16.0,10.0,104.0,28.0,31.0,8.0,169.0,7.0,12.0,2.0,17.0,49.0,128.0,329.0,341.0,37.0,12.0,65.0,11.0,83.0,6.0,5.0,3.0,,1.0,1.0,10.0,14.0,,,2.0,,7.0,,1.0,,2.0,,1.0,21.0,,,1.0,2.0,10.0,,3.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,Tampa Bay Rowdies,7nhdll91xuwxacs83o88m1q7d,R. Felix,Midfielder,3,,5.0,,5.0,,2.0,,,,,1.0,2.0,,1.0,,5.0,,,4.0,,,1.0,2.0,,1.0,,,,,5.0,1.0,,,,3.0,,10.0,,,,,,,,,1.0,,,4.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,Tampa Bay Rowdies,4ua2bfowedufy5hilbxb3cul1,Leo Fernandes,Midfielder,11,103.0,2410.0,162.0,1048.0,269.0,643.0,2.0,57.0,22.0,55.0,618.0,161.0,47.0,259.0,3.0,1070.0,37.0,46.0,729.0,24.0,38.0,316.0,378.0,56.0,419.0,161.0,28.0,80.0,63.0,1885.0,29.0,21.0,5.0,226.0,386.0,116.0,10.0,190.0,25.0,28.0,35.0,352.0,23.0,25.0,166.0,29.0,107.0,37.0,739.0,754.0,126.0,29.0,162.0,18.0,119.0,1.0,4.0,3.0,4.0,50.0,50.0,21.0,24.0,1.0,,7.0,12.0,17.0,13.0,68.0,,16.0,9.0,27.0,71.0,4.0,47.0,9.0,10.0,18.0,4.0,8.0,2.0,,4.0,,6.0,1.0,3.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_USL_Championship,2019,Tampa Bay Rowdies,cujkrjaqaizwr771ist04uaj9,S. Guenzatti,Forward,13,22.0,3001.0,1.0,906.0,262.0,568.0,6.0,17.0,27.0,124.0,455.0,131.0,28.0,206.0,3.0,917.0,63.0,37.0,678.0,32.0,66.0,223.0,211.0,25.0,214.0,110.0,34.0,67.0,31.0,1518.0,34.0,27.0,1.0,300.0,218.0,150.0,10.0,191.0,16.0,66.0,33.0,489.0,17.0,33.0,22.0,34.0,174.0,226.0,683.0,694.0,189.0,13.0,298.0,11.0,126.0,,33.0,2.0,19.0,19.0,5.0,8.0,32.0,1.0,,8.0,,17.0,2.0,,,39.0,,5.0,65.0,3.0,,4.0,6.0,15.0,5.0,7.0,6.0,14.0,19.0,4.0,25.0,,4.0,5.0,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,Tampa Bay Rowdies,cv8u1u1mvnd89t6sqhlheorth,A. Hoppenot,Forward,29,27.0,1701.0,3.0,429.0,122.0,236.0,4.0,11.0,13.0,22.0,277.0,77.0,19.0,113.0,2.0,430.0,26.0,35.0,296.0,15.0,25.0,124.0,132.0,31.0,127.0,77.0,17.0,29.0,24.0,771.0,27.0,8.0,1.0,181.0,83.0,106.0,10.0,86.0,10.0,26.0,28.0,210.0,7.0,18.0,27.0,27.0,102.0,93.0,305.0,306.0,29.0,15.0,124.0,5.0,79.0,10.0,18.0,,4.0,23.0,7.0,2.0,7.0,3.0,,12.0,,14.0,1.0,,,12.0,,7.0,7.0,1.0,,1.0,1.0,4.0,,2.0,2.0,3.0,4.0,4.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,Tampa Bay Rowdies,7x150gl6osjwn2t4y7ra5kxqt,M. Johnson,Midfielder,14,68.0,1645.0,41.0,568.0,195.0,355.0,3.0,29.0,15.0,15.0,357.0,122.0,36.0,100.0,3.0,574.0,32.0,88.0,421.0,21.0,27.0,129.0,60.0,29.0,198.0,80.0,19.0,34.0,18.0,1136.0,23.0,8.0,1.0,269.0,112.0,110.0,10.0,165.0,24.0,37.0,46.0,288.0,7.0,22.0,87.0,23.0,108.0,207.0,440.0,445.0,19.0,27.0,123.0,8.0,161.0,4.0,1.0,2.0,3.0,25.0,32.0,10.0,12.0,1.0,,7.0,15.0,9.0,5.0,39.0,1.0,12.0,,18.0,4.0,1.0,20.0,6.0,8.0,9.0,2.0,2.0,,2.0,2.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
