liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Total Red Cards,Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Straight Red Cards,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Right Foot Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Headed Goals,Throw Ins to Opposition Player,Unsuccessful lay-offs,Foul Won Penalty,Penalties Taken,Penalty Goals,GK Successful Distribution,Attempts from Set Pieces,Saves Made,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Clean Sheets,Second Goal Assists,Clearances Off the Line,Last Man Tackle,Own Goal Scored,Crosses not Claimed,Set Pieces Goals,Other Goals,Penalties Off Target,Home Goals,Away Goals
USA_USL_Championship,2020,Atlanta United 2,45nx3emu6kdulvp77y98vwlp1,A. Bashti,Midfielder,10,14.0,2.0,680.0,3.0,8.0,4.0,1.0,1.0,233.0,6.0,13.0,26.0,6.0,104.0,7.0,3.0,21.0,8.0,4.0,1.0,9.0,122.0,70.0,15.0,53.0,2.0,242.0,5.0,16.0,10.0,149.0,13.0,14.0,74.0,1.0,70.0,14.0,1.0,73.0,4.0,44.0,7.0,18.0,19.0,393.0,3.0,15.0,4.0,3.0,79.0,97.0,20.0,10.0,39.0,10.0,19.0,4.0,10.0,1.0,4.0,7.0,92.0,6.0,14.0,1.0,18.0,15.0,1.0,3.0,1.0,2.0,44.0,49.0,1.0,159.0,168.0,13.0,2.0,2.0,8.0,53.0,7.0,5.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,61zjhp2dn7uy819kdei4qqqga,G. Bello,Defender,21,,,45.0,4.0,,,,,16.0,,1.0,3.0,,7.0,,,,,1.0,,2.0,1.0,9.0,,,,16.0,1.0,,1.0,14.0,,1.0,,,11.0,2.0,,,,1.0,1.0,,,25.0,,1.0,,,3.0,2.0,2.0,10.0,2.0,,2.0,,1.0,,,,5.0,,,,,1.0,,,,,1.0,,,16.0,16.0,2.0,,,,3.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,5t1wvh34lm993otbc3469uzxm,J. Conway,Forward,36,4.0,7.0,720.0,,2.0,,1.0,6.0,117.0,2.0,14.0,35.0,,68.0,2.0,1.0,8.0,6.0,11.0,1.0,27.0,79.0,30.0,5.0,27.0,1.0,133.0,5.0,13.0,5.0,91.0,15.0,20.0,35.0,,43.0,4.0,1.0,34.0,2.0,20.0,8.0,10.0,5.0,257.0,,10.0,6.0,2.0,49.0,32.0,26.0,10.0,32.0,9.0,7.0,,12.0,,12.0,7.0,88.0,5.0,16.0,,4.0,10.0,,,1.0,,29.0,23.0,4.0,83.0,98.0,39.0,,,2.0,56.0,3.0,2.0,20.0,1.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,7o3vvz5w2ftz08ba23b79mgkq,A. Diop,Midfielder,5,,,660.0,3.0,3.0,1.0,1.0,,282.0,,9.0,48.0,,108.0,3.0,,11.0,10.0,4.0,4.0,2.0,63.0,137.0,17.0,28.0,,284.0,3.0,10.0,11.0,222.0,11.0,6.0,39.0,,95.0,6.0,1.0,24.0,1.0,42.0,7.0,13.0,16.0,386.0,,10.0,7.0,2.0,61.0,78.0,3.0,10.0,41.0,2.0,23.0,,7.0,1.0,6.0,5.0,69.0,7.0,15.0,,1.0,10.0,,,,,26.0,63.0,,244.0,245.0,8.0,1.0,1.0,9.0,28.0,8.0,6.0,35.0,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,e3fy78bi5y42k0rz5vob1cb8p,Amadou Diop,Forward,7,5.0,6.0,798.0,4.0,3.0,5.0,,6.0,173.0,8.0,19.0,55.0,2.0,81.0,,5.0,3.0,5.0,15.0,3.0,29.0,137.0,50.0,6.0,66.0,,198.0,5.0,26.0,20.0,123.0,14.0,24.0,69.0,,54.0,8.0,,66.0,8.0,19.0,9.0,13.0,8.0,368.0,,12.0,17.0,,81.0,53.0,51.0,10.0,63.0,9.0,6.0,2.0,11.0,,26.0,10.0,136.0,5.0,17.0,4.0,5.0,12.0,,1.0,,,44.0,36.0,5.0,104.0,129.0,55.0,,2.0,4.0,73.0,2.0,2.0,37.0,0.0,2.0,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,5c7gqtyra887hjyg502tvzn1m,M. Edwards,Defender,33,1.0,,436.0,23.0,2.0,,2.0,,182.0,1.0,3.0,29.0,2.0,33.0,7.0,1.0,15.0,,,,6.0,48.0,126.0,5.0,16.0,1.0,188.0,5.0,2.0,3.0,144.0,8.0,,31.0,,45.0,4.0,,19.0,,21.0,6.0,4.0,13.0,259.0,,8.0,2.0,5.0,17.0,70.0,1.0,10.0,9.0,,13.0,2.0,1.0,,,1.0,23.0,7.0,8.0,,1.0,8.0,,,,,8.0,44.0,,152.0,157.0,6.0,,,4.0,14.0,1.0,4.0,9.0,0.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,5y0x6mck3zl8cio425q1uli3t,B. Kamdem,Defender,4,2.0,,90.0,1.0,,,,,57.0,1.0,,6.0,,17.0,2.0,,3.0,1.0,1.0,,1.0,10.0,37.0,2.0,4.0,1.0,61.0,,1.0,1.0,51.0,1.0,1.0,7.0,,21.0,,,7.0,1.0,6.0,1.0,2.0,2.0,82.0,,1.0,,1.0,7.0,27.0,2.0,10.0,8.0,,3.0,,1.0,,4.0,,12.0,4.0,1.0,,2.0,1.0,,,,,3.0,7.0,,50.0,54.0,5.0,,,2.0,4.0,,2.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,9zuk40rppwiyzn980bw7z1v1m,A. Fortune,Midfielder,29,1.0,,464.0,1.0,6.0,,,1.0,172.0,,2.0,39.0,1.0,59.0,5.0,1.0,10.0,3.0,,,1.0,49.0,79.0,12.0,28.0,1.0,175.0,4.0,10.0,1.0,131.0,13.0,1.0,38.0,,38.0,2.0,,26.0,,23.0,5.0,5.0,13.0,226.0,,11.0,7.0,,37.0,64.0,1.0,10.0,19.0,1.0,6.0,1.0,5.0,,1.0,1.0,39.0,4.0,13.0,,1.0,11.0,,,,,19.0,34.0,,134.0,137.0,2.0,,1.0,5.0,20.0,7.0,6.0,18.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,c7i11l9181wd0o5m0t33melm,C. Gannon,Forward,26,24.0,3.0,1228.0,28.0,3.0,1.0,1.0,1.0,224.0,9.0,31.0,67.0,1.0,103.0,13.0,2.0,19.0,14.0,6.0,4.0,13.0,147.0,71.0,21.0,41.0,2.0,233.0,5.0,13.0,12.0,164.0,24.0,9.0,60.0,1.0,66.0,4.0,,71.0,7.0,49.0,13.0,21.0,14.0,472.0,7.0,16.0,9.0,,115.0,61.0,28.0,10.0,58.0,3.0,9.0,,19.0,,6.0,19.0,134.0,5.0,28.0,1.0,25.0,16.0,1.0,1.0,,,63.0,39.0,1.0,165.0,173.0,19.0,2.0,,17.0,76.0,4.0,9.0,52.0,0.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,Forward,9,13.0,10.0,1143.0,5.0,2.0,3.0,,2.0,248.0,9.0,17.0,76.0,3.0,124.0,3.0,4.0,7.0,9.0,12.0,1.0,26.0,119.0,81.0,18.0,49.0,2.0,258.0,9.0,32.0,14.0,192.0,22.0,22.0,56.0,,46.0,12.0,,55.0,2.0,37.0,14.0,20.0,14.0,458.0,3.0,16.0,20.0,1.0,119.0,72.0,49.0,10.0,83.0,10.0,10.0,3.0,32.0,,19.0,5.0,164.0,3.0,23.0,,13.0,16.0,,,,3.0,55.0,64.0,2.0,192.0,202.0,45.0,4.0,2.0,10.0,81.0,8.0,5.0,64.0,0.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
