liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Total Red Cards,Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Straight Red Cards,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Right Foot Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Headed Goals,Throw Ins to Opposition Player,Unsuccessful lay-offs,Foul Won Penalty,Penalties Taken,Penalty Goals,GK Successful Distribution,Attempts from Set Pieces,Saves Made,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Clean Sheets,Second Goal Assists,Clearances Off the Line,Last Man Tackle,Own Goal Scored,Crosses not Claimed,Set Pieces Goals,Other Goals,Penalties Off Target,Home Goals,Away Goals
USA_USL_Championship,2020,New York Red Bulls II,axsbn7z1p6rf4or647mvr3tux,R. Boateng,Defender,63,,,668.0,2.0,,,10.0,1.0,318.0,2.0,2.0,10.0,,78.0,29.0,2.0,51.0,6.0,1.0,2.0,20.0,113.0,153.0,14.0,54.0,1.0,336.0,4.0,15.0,1.0,213.0,12.0,3.0,105.0,,33.0,,,67.0,,51.0,9.0,8.0,38.0,433.0,,9.0,3.0,1.0,36.0,191.0,6.0,10.0,56.0,2.0,18.0,,6.0,,35.0,,91.0,32.0,14.0,,,9.0,,,,,15.0,102.0,1.0,217.0,231.0,55.0,,,6.0,35.0,8.0,16.0,21.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,3uf4cr8ak932jiku7228hzasq,A. Bobocea,Goalkeeper,60,,,253.0,,1.0,,2.0,,31.0,,,,,9.0,5.0,,16.0,,,,,19.0,38.0,,1.0,1.0,64.0,,,,34.0,9.0,,17.0,,9.0,,,14.0,,18.0,2.0,,3.0,90.0,,3.0,,,,34.0,,10.0,,,13.0,,,,,,,4.0,9.0,,,3.0,,,,,,21.0,,23.0,47.0,,,,,,,,,0.0,,,,,,,,,,26.0,,10.0,,3.0,,,1.0,,4.0,2.0,6.0,1.0,,,9.0,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,255bieuqtd0rjpc07b9hmx20a,S. Bounthong,Defender,97,5.0,,674.0,42.0,6.0,,8.0,1.0,320.0,1.0,7.0,19.0,5.0,131.0,22.0,2.0,44.0,9.0,1.0,2.0,9.0,168.0,79.0,14.0,74.0,3.0,323.0,3.0,8.0,6.0,188.0,12.0,2.0,118.0,1.0,59.0,7.0,,93.0,3.0,41.0,7.0,18.0,30.0,495.0,1.0,13.0,7.0,2.0,52.0,173.0,4.0,10.0,32.0,1.0,17.0,4.0,5.0,,8.0,1.0,69.0,13.0,14.0,,5.0,13.0,,,,,28.0,72.0,1.0,203.0,205.0,17.0,,,8.0,37.0,6.0,12.0,24.0,0.0,1.0,,,,24.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,eliciww307c6fs2mg347z1iei,C. Clark,Midfielder,37,9.0,1.0,908.0,4.0,1.0,6.0,2.0,3.0,219.0,5.0,20.0,29.0,1.0,108.0,3.0,3.0,12.0,11.0,6.0,4.0,12.0,144.0,30.0,17.0,73.0,1.0,222.0,5.0,12.0,13.0,126.0,19.0,15.0,85.0,,38.0,8.0,,78.0,5.0,61.0,11.0,21.0,18.0,395.0,2.0,12.0,7.0,1.0,83.0,95.0,24.0,10.0,47.0,9.0,11.0,1.0,15.0,,2.0,3.0,97.0,6.0,23.0,1.0,11.0,12.0,2.0,1.0,,5.0,38.0,60.0,3.0,134.0,137.0,14.0,5.0,2.0,9.0,50.0,8.0,6.0,45.0,1.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,17ey8jpl1wv4vvrnhtvpasdex,D. Corfe,Midfielder,88,8.0,,455.0,2.0,7.0,1.0,,2.0,121.0,8.0,18.0,38.0,2.0,69.0,1.0,1.0,3.0,,9.0,2.0,11.0,79.0,23.0,2.0,31.0,3.0,124.0,2.0,7.0,12.0,89.0,12.0,17.0,34.0,,36.0,5.0,,39.0,6.0,17.0,4.0,9.0,4.0,242.0,2.0,11.0,5.0,1.0,63.0,33.0,33.0,10.0,35.0,8.0,1.0,2.0,18.0,,3.0,7.0,77.0,1.0,14.0,,9.0,11.0,1.0,1.0,1.0,2.0,31.0,17.0,2.0,88.0,90.0,14.0,2.0,1.0,2.0,42.0,,1.0,32.0,1.0,2.0,,,,,1.0,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,cmuftjg617aol3jvd2zqyf8fe,B. Cummins,Midfielder,83,4.0,1.0,487.0,43.0,6.0,,5.0,1.0,196.0,1.0,6.0,22.0,,70.0,13.0,1.0,24.0,3.0,2.0,1.0,13.0,129.0,49.0,14.0,56.0,2.0,199.0,3.0,10.0,6.0,104.0,8.0,3.0,80.0,,33.0,2.0,,65.0,1.0,27.0,5.0,9.0,19.0,354.0,,11.0,4.0,,43.0,104.0,2.0,10.0,31.0,1.0,15.0,,4.0,,7.0,3.0,63.0,7.0,9.0,1.0,4.0,11.0,,1.0,,1.0,19.0,40.0,1.0,116.0,119.0,20.0,1.0,1.0,12.0,32.0,2.0,9.0,24.0,0.0,,,,,32.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,8sly0qdfatpa5fwjd4t57h2lm,C. Dalton,Goalkeeper,58,,,19.0,,1.0,,,,4.0,,,,,,2.0,,2.0,,,1.0,,2.0,5.0,,,,7.0,,,,4.0,,,2.0,,,,,,,1.0,,,2.0,7.0,,1.0,,,,2.0,,10.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,5.0,,2.0,5.0,,,,,,,,,0.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,64rloz5jf0cpeqdcfhv62shnu,C. Dieye,Forward,70,24.0,1.0,760.0,4.0,5.0,4.0,,1.0,223.0,9.0,67.0,37.0,2.0,113.0,3.0,3.0,10.0,16.0,12.0,4.0,18.0,246.0,30.0,25.0,79.0,2.0,230.0,8.0,16.0,35.0,137.0,17.0,23.0,89.0,,55.0,11.0,,95.0,5.0,53.0,10.0,26.0,20.0,553.0,2.0,15.0,9.0,1.0,166.0,88.0,49.0,10.0,81.0,11.0,4.0,2.0,12.0,,9.0,42.0,193.0,1.0,21.0,1.0,26.0,15.0,2.0,,2.0,3.0,94.0,50.0,1.0,135.0,141.0,27.0,3.0,,13.0,112.0,12.0,11.0,72.0,0.0,,,,,1.0,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,dhy8f54t9uvukub7qbmsth8iy,D. Edelman,Midfielder,75,1.0,,221.0,,3.0,4.0,1.0,1.0,107.0,,3.0,19.0,,55.0,4.0,,5.0,4.0,,,8.0,36.0,29.0,,21.0,1.0,110.0,,3.0,,78.0,4.0,1.0,26.0,,32.0,,,16.0,,16.0,2.0,7.0,11.0,145.0,,5.0,2.0,1.0,13.0,36.0,1.0,10.0,8.0,1.0,6.0,,5.0,,3.0,,24.0,2.0,4.0,1.0,1.0,5.0,,1.0,,,8.0,23.0,1.0,82.0,84.0,11.0,,,,16.0,,3.0,5.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,dsvr61cfalun7n0y262elcrth,M. Egbo,Defender,39,2.0,,64.0,11.0,,,1.0,,23.0,,1.0,3.0,1.0,8.0,1.0,,1.0,,1.0,,3.0,20.0,7.0,1.0,11.0,,26.0,1.0,1.0,1.0,13.0,1.0,1.0,12.0,,,1.0,,10.0,,,1.0,4.0,4.0,56.0,,1.0,,1.0,4.0,15.0,1.0,10.0,5.0,,1.0,1.0,1.0,,2.0,1.0,9.0,1.0,1.0,,2.0,1.0,,1.0,,,1.0,8.0,,12.0,14.0,5.0,,,,4.0,1.0,1.0,3.0,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
