liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Total Red Cards,Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Straight Red Cards,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Right Foot Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Headed Goals,Throw Ins to Opposition Player,Unsuccessful lay-offs,Foul Won Penalty,Penalties Taken,Penalty Goals,GK Successful Distribution,Attempts from Set Pieces,Saves Made,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Clean Sheets,Second Goal Assists,Clearances Off the Line,Last Man Tackle,Own Goal Scored,Crosses not Claimed,Set Pieces Goals,Other Goals,Penalties Off Target,Home Goals,Away Goals
USA_USL_Championship,2020,North Carolina FC,64dhvm0ah5g8fq5c1g4k68ic5,Nazmi Albadawi,Midfielder,10,9.0,1.0,790.0,9.0,4.0,6.0,,2.0,546.0,3.0,22.0,106.0,2.0,299.0,1.0,,15.0,2.0,2.0,2.0,7.0,127.0,182.0,13.0,65.0,,559.0,,11.0,10.0,451.0,14.0,4.0,80.0,,142.0,14.0,1.0,74.0,5.0,58.0,8.0,6.0,17.0,684.0,2.0,12.0,4.0,1.0,69.0,191.0,13.0,10.0,32.0,2.0,28.0,1.0,6.0,,3.0,7.0,79.0,4.0,16.0,,11.0,12.0,2.0,,,,40.0,120.0,1.0,466.0,479.0,10.0,,1.0,6.0,47.0,7.0,13.0,29.0,1.0,2.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,North Carolina FC,b6grxeep2qbhxwnsim4m2vka2,T. Alphin,Goalkeeper,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,North Carolina FC,dg5dg94rk3iguuwa55ca9or8p,H. Barry,Midfielder,92,5.0,5.0,1023.0,1.0,4.0,9.0,,1.0,486.0,5.0,34.0,135.0,,265.0,,1.0,4.0,11.0,10.0,4.0,13.0,159.0,141.0,13.0,77.0,1.0,487.0,7.0,9.0,18.0,395.0,12.0,13.0,81.0,,159.0,14.0,,79.0,7.0,52.0,11.0,26.0,7.0,661.0,,15.0,8.0,,90.0,108.0,60.0,10.0,43.0,3.0,11.0,,6.0,,6.0,17.0,109.0,6.0,16.0,1.0,5.0,15.0,,,1.0,,53.0,85.0,1.0,405.0,406.0,19.0,1.0,1.0,8.0,66.0,5.0,5.0,37.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
USA_USL_Championship,2020,North Carolina FC,djrmo58zkb80o9308k51oddnu,J. Bradford,Defender,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,North Carolina FC,8uimwt8vwnzb1ryvvlsh8b74l,S. Brotherton,Defender,5,1.0,1.0,907.0,,1.0,,11.0,,686.0,3.0,1.0,25.0,1.0,246.0,22.0,,38.0,3.0,4.0,3.0,11.0,81.0,377.0,19.0,38.0,1.0,698.0,,8.0,1.0,568.0,10.0,5.0,76.0,,265.0,,,46.0,6.0,48.0,10.0,5.0,31.0,803.0,,11.0,4.0,7.0,37.0,287.0,13.0,10.0,52.0,1.0,54.0,1.0,5.0,,28.0,,76.0,27.0,13.0,,1.0,11.0,,2.0,,,13.0,121.0,,612.0,622.0,39.0,,,14.0,24.0,5.0,13.0,24.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,
USA_USL_Championship,2020,North Carolina FC,7u39dl7yhnro4b2qdwiawfs9h,A. Comsia,Defender,4,2.0,,787.0,29.0,2.0,,6.0,,440.0,,3.0,20.0,1.0,150.0,20.0,,36.0,1.0,1.0,2.0,9.0,88.0,227.0,8.0,38.0,1.0,450.0,2.0,2.0,1.0,349.0,12.0,1.0,74.0,,79.0,3.0,,57.0,,34.0,9.0,6.0,19.0,558.0,,11.0,1.0,3.0,22.0,173.0,1.0,10.0,24.0,,27.0,1.0,2.0,,13.0,,44.0,28.0,14.0,,2.0,11.0,,,,,11.0,178.0,,368.0,376.0,22.0,,,5.0,20.0,3.0,12.0,11.0,0.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
USA_USL_Championship,2020,North Carolina FC,c7ksz8lkqjinj6swvggyg58iy,S. De Leon,Midfielder,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,North Carolina FC,bjdoqj8tsm1wlxiqaavduwo9h,C. Donovan,Defender,20,,,1260.0,6.0,,,4.0,1.0,828.0,2.0,5.0,39.0,,267.0,18.0,4.0,46.0,5.0,3.0,4.0,24.0,119.0,485.0,10.0,58.0,1.0,856.0,,10.0,1.0,719.0,16.0,7.0,104.0,,215.0,2.0,,74.0,4.0,68.0,14.0,7.0,30.0,1013.0,,14.0,3.0,13.0,37.0,352.0,24.0,10.0,61.0,4.0,33.0,,8.0,,42.0,,103.0,48.0,20.0,,,14.0,,,,1.0,18.0,250.0,1.0,729.0,752.0,66.0,1.0,2.0,8.0,42.0,2.0,16.0,19.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,
USA_USL_Championship,2020,North Carolina FC,2g4mw8w2o59xx7icewfmc8f3e,C. Duvernay,Defender,3,4.0,,160.0,10.0,,,1.0,,67.0,3.0,5.0,14.0,1.0,27.0,4.0,,5.0,2.0,,1.0,,33.0,25.0,5.0,12.0,,68.0,1.0,1.0,1.0,49.0,2.0,,17.0,,24.0,1.0,,13.0,2.0,10.0,2.0,3.0,8.0,120.0,,2.0,1.0,,13.0,29.0,2.0,10.0,6.0,,2.0,1.0,,,,1.0,13.0,3.0,3.0,,4.0,2.0,,,,,7.0,1.0,,50.0,51.0,,,,2.0,7.0,3.0,4.0,6.0,0.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,North Carolina FC,9lqkxtfg2criva7xpnoca8d1,Pecka,Midfielder,7,3.0,,980.0,1.0,1.0,5.0,,,591.0,1.0,4.0,89.0,2.0,283.0,5.0,3.0,8.0,6.0,4.0,3.0,4.0,76.0,271.0,26.0,44.0,1.0,604.0,11.0,29.0,4.0,529.0,11.0,5.0,52.0,,192.0,5.0,,39.0,3.0,52.0,13.0,10.0,16.0,748.0,,14.0,18.0,2.0,109.0,157.0,3.0,10.0,63.0,1.0,23.0,2.0,28.0,,6.0,3.0,119.0,8.0,14.0,,3.0,14.0,,,,2.0,52.0,166.0,,539.0,552.0,10.0,2.0,,19.0,56.0,7.0,13.0,57.0,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
