dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
60,Arturo Rodríguez,Real Monarchs SLC,USL Championship,Midfielder,Mexico,1h85rt7bnqep3qovatft86pgq,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/1h85rt7bnqep3qovatft86pgq
44,,Real Monarchs SLC,USL Championship,Attacker,USA,1qrex8sb20ph8yz34gq29s3my,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/1qrex8sb20ph8yz34gq29s3my
20,,Real Monarchs SLC,USL Championship,Defender,USA,1z750xyx7stmv6uf51h1y6ehh,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/1z750xyx7stmv6uf51h1y6ehh
48,,Real Monarchs SLC,USL Championship,Midfielder,Scotland,2co6fedrz8anjzy9ise76dplh,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/2co6fedrz8anjzy9ise76dplh
56,,Real Monarchs SLC,USL Championship,Defender,USA,3hydmn0vrnque6svbngio7asq,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/3hydmn0vrnque6svbngio7asq
88,,Real Monarchs SLC,USL Championship,Midfielder,USA,3kl0wsaq9ha10xwuy9uq5ymay,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/3kl0wsaq9ha10xwuy9uq5ymay
58,,Real Monarchs SLC,USL Championship,Midfielder,Antigua and Barbuda,3otdvwigq612wydhv0hhjhyp5,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/3otdvwigq612wydhv0hhjhyp5
81,,Real Monarchs SLC,USL Championship,Goalkeeper,USA,3yzfxvaqxmqa8z0obre3tulpm,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/3yzfxvaqxmqa8z0obre3tulpm
63,,Real Monarchs SLC,USL Championship,Defender,USA,3z8c3kgstnk2pfkbuek5ne9gq,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/3z8c3kgstnk2pfkbuek5ne9gq
46,,Real Monarchs SLC,USL Championship,Midfielder,USA,4eja1g2xx9gwysxnfgg6rpdqt,cbip96wzs3jc2xadoluhhxotl,c1d9p6b2e9zr5tqlzx3ktjplg,5vfm0jtsstmsi3wibf8ytzjhm,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/teams/view/cbip96wzs3jc2xadoluhhxotl/player/view/4eja1g2xx9gwysxnfgg6rpdqt
