dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
8,,Atlanta United 2,USL Championship,Midfielder,England,14oq6mvlh5e51d9y20nbpok4p,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/14oq6mvlh5e51d9y20nbpok4p
13,,Atlanta United 2,USL Championship,Defender,USA,2p6uagebunshlw5zmp16748dm,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/2p6uagebunshlw5zmp16748dm
,,Atlanta United 2,USL Championship,Midfielder,Honduras,2w509t7f6dk725p6gno2qyyok,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/2w509t7f6dk725p6gno2qyyok
,,Atlanta United 2,USL Championship,,Wales,31tim4p1oi8fjutz90xqyrsut,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/31tim4p1oi8fjutz90xqyrsut
34,,Atlanta United 2,USL Championship,Midfielder,USA,346owth5myt7xn6t6b396jsru,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/346owth5myt7xn6t6b396jsru
9,,Atlanta United 2,USL Championship,Attacker,USA,35bpd9cmuep6cqczngaqpc19m,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/35bpd9cmuep6cqczngaqpc19m
18,,Atlanta United 2,USL Championship,Goalkeeper,USA,3e8zqidb3uajze4dovobymbmy,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/3e8zqidb3uajze4dovobymbmy
11,,Atlanta United 2,USL Championship,Midfielder,England,47y6qqmq1l9ip7isn7hdncley,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/47y6qqmq1l9ip7isn7hdncley
15,,Atlanta United 2,USL Championship,Attacker,USA,4hd0ll17kan2jbt6u1yrja1p0,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/4hd0ll17kan2jbt6u1yrja1p0
10,,Atlanta United 2,USL Championship,Attacker,Venezuela,50kass84g0cof9xd2np2b8iga,erwnez7ksfkns4dqmyr1fhbe,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/erwnez7ksfkns4dqmyr1fhbe/player/view/50kass84g0cof9xd2np2b8iga
