liga,temporada,equipo,id,nombre,posicion,dorsal,Key Passes (Attempt Assists),Substitute Off,Interceptions,Aerial Duels lost,Foul Attempted Tackle,PutThrough/Blocked Distribution,Successful Launches,Unsuccessful Launches,Headed Goals,Forward Passes,Penalty Goals Conceded,Successful Crosses open play,Successful Passes Own Half,Aerial Duels,Ground Duels lost,Successful Crosses & Corners,Total Passes,Unsuccessful Dribbles,Duels lost,Total Touches In Opposition Box,Games Played,Shots On Target ( inc goals ),Blocked Shots,Unsuccessful Long Passes,Backward Passes,Unsuccessful Crosses & Corners,Unsuccessful Passes Opposition Half,Ground Duels won,Starts,Goals Conceded Inside Box,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Times Tackled,Time Played,Successful Open Play Passes,Goals,Unsuccessful Short Passes,Successful Short Passes,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Successful Lay-offs,Tackles Lost,Total Clearances,Successful Long Passes,Goals Conceded,Touches,Appearances,Leftside Passes,Unsuccessful Passes Own Half,Total Shots,Recoveries,Hit Woodwork,Rightside Passes,Successful Dribbles,Total Tackles,Duels,Corners Won,Open Play Passes,PutThrough/Blocked Distribution Won,Through balls,Index,Duels won,Aerial Duels won,Yellow Cards,Goals from Inside Box,Successful Passes Opposition Half,Tackles Won,Total Fouls Won,Unsuccessful Crosses open play,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Ground Duels,Total Fouls Conceded,Clean Sheets,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Corners Taken (incl short corners),Unsuccessful Corners into Box,Attempts from Set Pieces,Blocks,Offsides,Throw Ins to Own Player,Throw Ins to Opposition Player,Successful Corners into Box,Goal Assists,GK Successful Distribution,Penalties Conceded,GK Unsuccessful Distribution,Handballs conceded,Straight Red Cards,Right Foot Goals,Penalties Taken,Total Red Cards,Unsuccessful lay-offs,Goals from Outside Box,Penalty Goals,Foul Won Penalty,Other Goals,Left Foot Goals,Red Cards - 2nd Yellow,Clearances Off the Line,Penalties Saved,Saves Made,Catches,Saves from Penalty,Saves Made from Outside Box,Saves Made from Inside Box,Punches,Penalties Faced,Saves made - parried,Goalkeeper Smother,Set Pieces Goals,Drops,Saves made - caught,Crosses not Claimed,Own Goal Scored,Last Man Tackle,Second Goal Assists,Successful Fifty Fifty,Fifty Fifty,Penalties Off Target
USA_USL_Championship,2021,Atlanta United 2,14oq6mvlh5e51d9y20nbpok4p,C. Allan,Midfielder,8,12.0,7.0,30.0,16.0,14.0,25.0,1.0,6.0,1.0,211.0,3.0,2.0,459.0,23.0,48.0,3.0,891.0,1.0,64.0,6.0,18.0,6.0,5.0,50.0,142.0,4.0,85.0,50.0,17.0,24.0,783.0,141.0,13.0,1442.0,761.0,1.0,58.0,699.0,6.0,1.0,5.0,15.0,14.0,84.0,25.0,1080.0,18.0,272.0,27.0,12.0,124.0,1.0,266.0,10.0,27.0,121.0,5.0,869.0,19.0,2.0,10.0,57.0,7.0,3.0,1.0,327.0,12.0,13.0,4.0,1.0,108.0,98.0,24.0,3.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,f0fqjc9ziamgluwg9vi45d2vp,M. Ambrose,Defender,33,5.0,2.0,5.0,8.0,4.0,5.0,1.0,4.0,,86.0,,5.0,135.0,13.0,15.0,6.0,289.0,4.0,23.0,3.0,5.0,,1.0,12.0,65.0,13.0,37.0,16.0,5.0,2.0,259.0,58.0,5.0,429.0,250.0,,18.0,251.0,2.0,1.0,1.0,3.0,5.0,8.0,3.0,396.0,5.0,18.0,6.0,2.0,21.0,1.0,120.0,3.0,9.0,44.0,2.0,279.0,4.0,1.0,10.0,21.0,5.0,1.0,,130.0,6.0,4.0,12.0,,30.0,31.0,6.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,32.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,amqmqon7171ulckz522wp1atw,J. Bauer,Defender,24,3.0,3.0,69.0,32.0,7.0,27.0,14.0,44.0,,663.0,2.0,,916.0,102.0,47.0,,1559.0,9.0,79.0,18.0,27.0,3.0,1.0,109.0,95.0,1.0,167.0,78.0,23.0,41.0,1282.0,329.0,22.0,2112.0,1218.0,,168.0,1178.0,4.0,3.0,,18.0,87.0,104.0,44.0,1951.0,27.0,467.0,111.0,7.0,180.0,,334.0,16.0,44.0,227.0,1.0,1490.0,10.0,,10.0,148.0,70.0,6.0,,366.0,26.0,18.0,1.0,4.0,277.0,125.0,17.0,2.0,0.0,0.0,0.0,,,,,26.0,1.0,14.0,2.0,,,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,a6eh6vdgf0mp6jnh9ub54otbe,M. Benítez,Forward,19,13.0,6.0,7.0,13.0,8.0,24.0,,3.0,,96.0,,1.0,123.0,18.0,77.0,5.0,454.0,33.0,90.0,49.0,22.0,10.0,8.0,10.0,113.0,8.0,63.0,95.0,14.0,19.0,381.0,195.0,55.0,1234.0,341.0,2.0,63.0,361.0,19.0,1.0,4.0,6.0,3.0,20.0,20.0,763.0,22.0,116.0,18.0,29.0,44.0,1.0,129.0,35.0,17.0,190.0,7.0,412.0,11.0,,10.0,100.0,5.0,5.0,2.0,263.0,11.0,43.0,3.0,8.0,73.0,172.0,15.0,1.0,1.0,1.0,0.0,,14.0,3.0,5.0,,12.0,6.0,,3.0,,,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,a63su8pudaernrvj1fi9006qc,L. Brennan,Forward,4,,1.0,,1.0,,,,,,3.0,,,5.0,1.0,2.0,,10.0,1.0,3.0,,1.0,,,,3.0,,1.0,1.0,1.0,3.0,9.0,3.0,1.0,60.0,9.0,,1.0,9.0,,,,,,,3.0,15.0,1.0,4.0,,,4.0,,,1.0,,4.0,,10.0,,,10.0,1.0,,,,4.0,,,,,1.0,3.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,a29pwoud2d1pgg0f4rroww2s4,M. Brick,Midfielder,26,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,10.0,,,,,,,,,1.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,ebhq4fl7e2p1zwhwpeu65a4iy,G. Campbell,Defender,0,1.0,3.0,6.0,6.0,,9.0,3.0,4.0,,137.0,2.0,,212.0,17.0,7.0,,332.0,1.0,13.0,2.0,5.0,1.0,2.0,15.0,25.0,1.0,30.0,19.0,5.0,4.0,288.0,55.0,1.0,376.0,280.0,,29.0,262.0,1.0,,,4.0,10.0,26.0,4.0,396.0,5.0,112.0,15.0,2.0,38.0,,58.0,6.0,10.0,43.0,1.0,323.0,,,10.0,30.0,11.0,2.0,,76.0,6.0,3.0,1.0,,44.0,26.0,5.0,1.0,0.0,0.0,0.0,,,,,3.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,2w509t7f6dk725p6gno2qyyok,J. Chirinos,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,89knzhfu5cbjg3iqxcvz00aqy,M. Chol,Forward,30,2.0,3.0,,5.0,2.0,2.0,,,,7.0,1.0,1.0,11.0,7.0,8.0,1.0,49.0,1.0,13.0,7.0,3.0,2.0,,,16.0,2.0,8.0,5.0,3.0,8.0,42.0,22.0,5.0,196.0,39.0,1.0,7.0,41.0,1.0,,,1.0,2.0,1.0,8.0,81.0,3.0,20.0,1.0,3.0,4.0,1.0,6.0,3.0,1.0,20.0,1.0,46.0,1.0,,10.0,7.0,2.0,,1.0,32.0,,1.0,2.0,,7.0,13.0,2.0,,0.0,1.0,0.0,,,,,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,d3gmzmf34c6o8vzngnf7ishlg,N. Cobb,Midfielder,39,,4.0,16.0,9.0,3.0,8.0,1.0,10.0,,156.0,,,368.0,17.0,11.0,,491.0,2.0,20.0,2.0,11.0,1.0,,25.0,23.0,,27.0,15.0,9.0,12.0,426.0,72.0,3.0,729.0,397.0,,40.0,388.0,,2.0,1.0,2.0,20.0,38.0,14.0,572.0,11.0,142.0,38.0,1.0,32.0,,170.0,1.0,11.0,43.0,,461.0,6.0,,10.0,23.0,8.0,1.0,,58.0,9.0,3.0,,2.0,65.0,26.0,6.0,,0.0,0.0,0.0,,,,,4.0,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
