dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Pittsburgh Riverhounds SC,USL Championship,Midfielder,USA,1atznpibhtj2k9gfkhfe7l36y,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/1atznpibhtj2k9gfkhfe7l36y
,Steevan dos Santos,Pittsburgh Riverhounds SC,USL Championship,Attacker,Cabo Verde,1bvo1q3jlflqdmjrvypnt2lzp,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/1bvo1q3jlflqdmjrvypnt2lzp
11,,Pittsburgh Riverhounds SC,USL Championship,Midfielder,Jamaica,1gfsz5cm0jooza42rf98iqvo5,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/1gfsz5cm0jooza42rf98iqvo5
35,,Pittsburgh Riverhounds SC,USL Championship,Goalkeeper,USA,2kyeekcoqc4xziupqasmvfcwk,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/2kyeekcoqc4xziupqasmvfcwk
19,,Pittsburgh Riverhounds SC,USL Championship,Attacker,USA,3gxnp4askgccfos75y21jveju,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/3gxnp4askgccfos75y21jveju
5,,Pittsburgh Riverhounds SC,USL Championship,Defender,Canada,41jh7hanms801vg697hywz2sp,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/41jh7hanms801vg697hywz2sp
9,,Pittsburgh Riverhounds SC,USL Championship,Attacker,Cameroon,449e2muutlpvx9lhv1t2tcsmh,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/449e2muutlpvx9lhv1t2tcsmh
6,,Pittsburgh Riverhounds SC,USL Championship,Defender,USA,49pl202vb1r6qu8kh2n9snahh,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/49pl202vb1r6qu8kh2n9snahh
,,Pittsburgh Riverhounds SC,USL Championship,Defender,USA,4of0u3j0z5uux13pxjfszfizt,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/4of0u3j0z5uux13pxjfszfizt
8,,Pittsburgh Riverhounds SC,USL Championship,Attacker,USA,500j4sgpmr70mtfg8vtz4e5be,224tl8u2smnbyliroayk69nt0,c1d9p6b2e9zr5tqlzx3ktjplg,eehfgeg470baa2jiiomay6h3o,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/teams/view/224tl8u2smnbyliroayk69nt0/player/view/500j4sgpmr70mtfg8vtz4e5be
