dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
27,,Oakland Roots SC,USL Championship,Attacker,USA,1gc48wsg7vh0ez2un2151pj6y,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/1gc48wsg7vh0ez2un2151pj6y
23,,Oakland Roots SC,USL Championship,Defender,USA,1jhs3g95t0ah1hx3fwlo14kmi,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/1jhs3g95t0ah1hx3fwlo14kmi
8,,Oakland Roots SC,USL Championship,Midfielder,Mexico,22m1gj2uslfp1ls58ljuknefp,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/22m1gj2uslfp1ls58ljuknefp
15,,Oakland Roots SC,USL Championship,Defender,USA,2h53fzt0ubszmkuwfnez8n622,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/2h53fzt0ubszmkuwfnez8n622
18,,Oakland Roots SC,USL Championship,Attacker,Venezuela,2wi0zqtz6ke3yueass4vy7l5h,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/2wi0zqtz6ke3yueass4vy7l5h
6,,Oakland Roots SC,USL Championship,Defender,USA,4nr1ocxp67jfdmteia2j8bbv9,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/4nr1ocxp67jfdmteia2j8bbv9
22,,Oakland Roots SC,USL Championship,Attacker,Iceland,4vhzbs2kzv51xehc54wae6kt1,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/4vhzbs2kzv51xehc54wae6kt1
2,,Oakland Roots SC,USL Championship,Midfielder,Congo DR,55w231qjd1woe2naxtfaop4dm,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/55w231qjd1woe2naxtfaop4dm
4,,Oakland Roots SC,USL Championship,Midfielder,USA,5ez73kzyefz2nx6tpte4xv949,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/5ez73kzyefz2nx6tpte4xv949
47,,Oakland Roots SC,USL Championship,Goalkeeper,USA,6eoyhons8zoaxiemwt7dhkvoq,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/6eoyhons8zoaxiemwt7dhkvoq
19,,Oakland Roots SC,USL Championship,Attacker,USA,6g7v93m80xq6x38o9u3t8y3je,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/6g7v93m80xq6x38o9u3t8y3je
9,,Oakland Roots SC,USL Championship,Attacker,Poland,6naqq6f6acfec3zh2msuxrmqd,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/6naqq6f6acfec3zh2msuxrmqd
72,,Oakland Roots SC,USL Championship,Defender,Venezuela,6nceim2fw842qkracdr57d4ut,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/6nceim2fw842qkracdr57d4ut
30,,Oakland Roots SC,USL Championship,Defender,Venezuela,7fayvrd58aelitugyce9k7yz9,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/7fayvrd58aelitugyce9k7yz9
,,Oakland Roots SC,USL Championship,,Venezuela,7xadwk43ylg77rk7d9a1vnpp1,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/7xadwk43ylg77rk7d9a1vnpp1
20,,Oakland Roots SC,USL Championship,Goalkeeper,USA,9te5zso5mwqrhey6301k48ull,b5l2e3csycjb8twvq9ek0j5gq,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/b5l2e3csycjb8twvq9ek0j5gq/player/view/9te5zso5mwqrhey6301k48ull
