liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels won,Total Clearances,Successful Passes Own Half,Successful Launches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Passes Opposition Half,Interceptions,PutThrough/Blocked Distribution,Open Play Passes,Times Tackled,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,Duels,Time Played,Rightside Passes,Total Tackles,Unsuccessful Crosses open play,Unsuccessful Corners into Box,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Unsuccessful Launches,Total Passes,Successful Crosses open play,Substitute Off,Ground Duels,Shots Off Target (inc woodwork),Successful Dribbles,Aerial Duels,Goals Conceded,Corners Won,Total Losses Of Possession,GK Successful Distribution,Throw Ins to Opposition Player,Games Played,Ground Duels won,Unsuccessful Dribbles,Total Fouls Won,Blocks,Forward Passes,Unsuccessful Long Passes,Ground Duels lost,Tackles Lost,Assists (Intentional),Touches,Goals Conceded Inside Box,Duels lost,Total Shots,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Short Passes,Goals Conceded Outside Box,Backward Passes,Successful Long Passes,Yellow Cards,Key Passes (Attempt Assists),Recoveries,Corners Taken (incl short corners),Appearances,Tackles Won,Shots On Target ( inc goals ),Leftside Passes,Successful Open Play Passes,Aerial Duels lost,Successful Passes Opposition Half,Foul Attempted Tackle,Goal Assists,Duels won,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Index,Starts,Home Goals,Away Goals,Winning Goal,Hit Woodwork,Headed Goals,Goals from Inside Box,Penalty Goals Conceded,Goals,Offsides,Blocked Shots,Right Foot Goals,Substitute On,Through balls,Fifty Fifty,Successful Fifty Fifty,Successful Lay-offs,Saves made - parried,Saves Made,Saves Made from Inside Box,Goalkeeper Smother,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Successful Corners into Box,Handballs conceded,Red Cards - 2nd Yellow,Clean Sheets,Straight Red Cards,Own Goal Scored,Total Red Cards,Left Foot Goals,Unsuccessful lay-offs,Attempts from Set Pieces,Punches,Saves from Penalty,Penalties Faced,Penalties Saved,Last Man Tackle,Clearances Off the Line,Penalties Conceded,Second Goal Assists,Foul Won Penalty,Drops,Saves made - caught,Penalty Goals,Penalties Taken,Goals from Outside Box,Crosses not Claimed,Other Goals,Set Pieces Goals,Penalties Off Target
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,41f989ipi6hbenabbwpioiyuh,L. Argudo,Midfielder,21,1.0,3.0,67.0,1.0,43.0,44.0,6.0,17.0,221.0,17.0,26.0,181.0,5.0,87.0,543.0,53.0,12.0,6.0,1.0,30.0,9.0,3.0,224.0,1.0,5.0,78.0,4.0,9.0,9.0,8.0,8.0,101.0,,,20.0,32.0,10.0,11.0,,48.0,9.0,46.0,2.0,1.0,359.0,7.0,54.0,7.0,8.0,178.0,34.0,1.0,69.0,3.0,2.0,10.0,35.0,6.0,20.0,10.0,3.0,54.0,178.0,8.0,120.0,12.0,1.0,33.0,6.0,9.0,10.0,5.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,5.0,1.0,,15.0,4.0,,,3.0,,,,,,,,4.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,69pe2d0b9ughzcn3iqarracr8,L. Biasi,Midfielder,13,15.0,5.0,67.0,1.0,66.0,50.0,6.0,13.0,225.0,8.0,9.0,163.0,46.0,77.0,498.0,48.0,10.0,12.0,,7.0,6.0,8.0,229.0,5.0,7.0,54.0,,5.0,23.0,7.0,2.0,114.0,,12.0,14.0,32.0,5.0,17.0,,98.0,20.0,22.0,7.0,,394.0,7.0,30.0,,28.0,151.0,46.0,,40.0,12.0,1.0,3.0,32.0,,14.0,3.0,,43.0,159.0,8.0,101.0,8.0,,47.0,5.0,12.0,10.0,7.0,0.0,0.0,0.0,,,,,,1.0,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,3gxnp4askgccfos75y21jveju,W. Borso,Forward,19,1.0,,6.0,,7.0,8.0,,1.0,20.0,1.0,2.0,13.0,,15.0,89.0,,4.0,3.0,,2.0,1.0,,20.0,1.0,1.0,9.0,,,6.0,,1.0,15.0,,,2.0,5.0,1.0,1.0,,5.0,,4.0,1.0,,39.0,,9.0,2.0,2.0,13.0,7.0,,5.0,,,1.0,3.0,,2.0,3.0,2.0,10.0,13.0,5.0,8.0,1.0,,6.0,1.0,3.0,10.0,1.0,0.0,0.0,0.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,9lqozbr0ghw2fhep938p8snah,R. Cicerone,Forward,10,39.0,4.0,213.0,1.0,238.0,219.0,8.0,59.0,815.0,102.0,30.0,583.0,7.0,339.0,2710.0,289.0,31.0,26.0,1.0,162.0,26.0,6.0,821.0,10.0,19.0,251.0,17.0,41.0,88.0,33.0,29.0,453.0,,1.0,35.0,104.0,56.0,33.0,1.0,229.0,25.0,147.0,9.0,4.0,1308.0,28.0,196.0,44.0,46.0,550.0,213.0,5.0,180.0,33.0,1.0,32.0,146.0,2.0,35.0,22.0,27.0,123.0,577.0,49.0,380.0,12.0,6.0,143.0,10.0,27.0,10.0,32.0,5.0,10.0,3.0,1.0,3.0,14.0,2.0,15.0,12.0,12.0,9.0,3.0,7.0,2.0,2.0,13.0,,,,,,,,,,,5.0,,,,2.0,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,e0i0n47bol0sigq7s1zdiay1,R. Dambrot,Defender,22,18.0,18.0,234.0,1.0,131.0,111.0,21.0,28.0,552.0,19.0,14.0,439.0,66.0,117.0,1162.0,179.0,25.0,20.0,,29.0,14.0,18.0,570.0,2.0,6.0,89.0,1.0,12.0,28.0,22.0,5.0,219.0,,28.0,18.0,48.0,15.0,11.0,3.0,269.0,49.0,41.0,10.0,,863.0,19.0,51.0,7.0,40.0,415.0,82.0,3.0,100.0,24.0,3.0,7.0,63.0,2.0,18.0,15.0,6.0,22.0,422.0,10.0,208.0,6.0,1.0,66.0,3.0,20.0,10.0,14.0,2.0,1.0,0.0,,,2.0,2.0,3.0,2.0,5.0,1.0,4.0,1.0,,,,,,,,,,,1.0,3.0,,2.0,,,,2.0,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,Forward,9,72.0,4.0,190.0,2.0,185.0,170.0,6.0,26.0,657.0,60.0,55.0,519.0,2.0,396.0,2446.0,205.0,28.0,21.0,,127.0,13.0,4.0,704.0,1.0,11.0,229.0,23.0,12.0,167.0,28.0,23.0,358.0,,,35.0,107.0,22.0,67.0,1.0,109.0,13.0,122.0,10.0,3.0,1136.0,24.0,217.0,56.0,36.0,504.0,172.0,4.0,253.0,15.0,3.0,23.0,100.0,,35.0,18.0,33.0,137.0,472.0,95.0,330.0,17.0,4.0,179.0,1.0,21.0,10.0,26.0,4.0,7.0,4.0,1.0,1.0,11.0,3.0,11.0,31.0,7.0,9.0,9.0,1.0,7.0,1.0,31.0,,,,,,,,,4.0,,2.0,,,,1.0,13.0,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,9glti6ay2zxkigdtjcxtkj7it,A. Dixon,Forward,7,19.0,12.0,220.0,,246.0,262.0,19.0,61.0,839.0,44.0,14.0,605.0,71.0,188.0,2370.0,87.0,27.0,62.0,2.0,134.0,18.0,10.0,851.0,26.0,17.0,147.0,20.0,29.0,41.0,26.0,27.0,450.0,,15.0,34.0,69.0,26.0,13.0,2.0,246.0,50.0,78.0,10.0,6.0,1366.0,23.0,100.0,43.0,48.0,555.0,196.0,3.0,164.0,50.0,2.0,37.0,144.0,5.0,34.0,17.0,23.0,354.0,594.0,22.0,415.0,8.0,7.0,88.0,30.0,64.0,10.0,27.0,0.0,4.0,1.0,3.0,,4.0,1.0,4.0,11.0,10.0,3.0,7.0,2.0,2.0,,11.0,,,,,,,,3.0,,,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,aur71sievd8d2fnrumu3xf6c,N. Dossantos,Defender,2,32.0,26.0,271.0,9.0,156.0,123.0,32.0,38.0,692.0,10.0,27.0,546.0,116.0,171.0,1463.0,284.0,42.0,23.0,,14.0,18.0,27.0,702.0,8.0,8.0,109.0,,2.0,62.0,21.0,10.0,255.0,,43.0,22.0,56.0,6.0,12.0,1.0,239.0,49.0,53.0,11.0,3.0,1084.0,17.0,83.0,,56.0,506.0,107.0,4.0,138.0,40.0,6.0,6.0,73.0,,22.0,31.0,,41.0,536.0,30.0,283.0,12.0,3.0,88.0,8.0,23.0,10.0,16.0,0.0,0.0,0.0,,,,1.0,,1.0,2.0,,6.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,cfrbmxoiygiwpy4y0bqnv04bt,W. Eyang,Forward,8,3.0,2.0,9.0,1.0,15.0,19.0,2.0,4.0,42.0,6.0,2.0,27.0,1.0,20.0,136.0,16.0,2.0,6.0,,9.0,1.0,2.0,42.0,1.0,,17.0,2.0,4.0,3.0,1.0,5.0,40.0,,1.0,6.0,6.0,4.0,,,8.0,3.0,11.0,,1.0,91.0,1.0,11.0,2.0,2.0,24.0,12.0,,13.0,3.0,,1.0,5.0,,6.0,2.0,,5.0,27.0,,19.0,,1.0,9.0,1.0,6.0,10.0,,0.0,0.0,0.0,,,,,,1.0,2.0,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_USL_Championship,2022,Pittsburgh Riverhounds SC,1gfsz5cm0jooza42rf98iqvo5,K. Forbes,Midfielder,11,27.0,16.0,510.0,9.0,317.0,375.0,40.0,53.0,1502.0,57.0,38.0,1257.0,32.0,282.0,2925.0,469.0,51.0,33.0,89.0,62.0,24.0,28.0,1574.0,16.0,13.0,223.0,23.0,31.0,59.0,39.0,19.0,578.0,,1.0,36.0,114.0,23.0,33.0,1.0,529.0,80.0,109.0,26.0,10.0,2234.0,34.0,141.0,41.0,73.0,1144.0,237.0,5.0,252.0,113.0,1.0,67.0,235.0,136.0,36.0,25.0,18.0,324.0,1203.0,32.0,811.0,23.0,11.0,141.0,64.0,131.0,10.0,32.0,2.0,1.0,1.0,,,2.0,4.0,3.0,15.0,12.0,3.0,4.0,13.0,4.0,,7.0,,,,,,,,44.0,2.0,,3.0,,,,,1.0,7.0,,,,,,,,,,,,,,1.0,,,,
