dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
10,Steevan dos Santos,Tampa Bay Rowdies,USL Championship,Attacker,Cabo Verde,1bvo1q3jlflqdmjrvypnt2lzp,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/1bvo1q3jlflqdmjrvypnt2lzp
7,,Tampa Bay Rowdies,USL Championship,Midfielder,Côte d'Ivoire,1tm1alsanccpl0hcg85u78ded,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/1tm1alsanccpl0hcg85u78ded
,,Tampa Bay Rowdies,USL Championship,,USA,2846crz4a965ultua5sifqf4k,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/2846crz4a965ultua5sifqf4k
,,Tampa Bay Rowdies,USL Championship,,Scotland,2c6r4sltjqdwkd209daaitwph,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/2c6r4sltjqdwkd209daaitwph
19,,Tampa Bay Rowdies,USL Championship,Midfielder,USA,2ug51dfg4oerpnbudnkw497je,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/2ug51dfg4oerpnbudnkw497je
27,,Tampa Bay Rowdies,USL Championship,Defender,England,2wufroeor0e7k6hvatj1ltwfe,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/2wufroeor0e7k6hvatj1ltwfe
2,,Tampa Bay Rowdies,USL Championship,Defender,USA,35tm2y83fcb7sa5rc4phzh08a,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/35tm2y83fcb7sa5rc4phzh08a
5,,Tampa Bay Rowdies,USL Championship,Defender,Jamaica,38ghqgck8fwnxap6em08avzs9,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/38ghqgck8fwnxap6em08avzs9
,,Tampa Bay Rowdies,USL Championship,,England,3jmqpqwxzt1x9e96ototsqcbt,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/3jmqpqwxzt1x9e96ototsqcbt
9,,Tampa Bay Rowdies,USL Championship,Attacker,Panama,3ljxfq84ubqzlooixppmpfdd6,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/3ljxfq84ubqzlooixppmpfdd6
21,,Tampa Bay Rowdies,USL Championship,Midfielder,Antigua and Barbuda,3otdvwigq612wydhv0hhjhyp5,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/3otdvwigq612wydhv0hhjhyp5
56,,Tampa Bay Rowdies,USL Championship,Goalkeeper,Cuba,470xuwiwevwy86l2ararrkyga,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/470xuwiwevwy86l2ararrkyga
30,,Tampa Bay Rowdies,USL Championship,Goalkeeper,USA,4i3554wm6891v5ty4fbqqtucp,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/4i3554wm6891v5ty4fbqqtucp
11,Leo Fernandes,Tampa Bay Rowdies,USL Championship,Midfielder,Brazil,4ua2bfowedufy5hilbxb3cul1,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/4ua2bfowedufy5hilbxb3cul1
4,,Tampa Bay Rowdies,USL Championship,Midfielder,England,56txiyhvsvhudyr1b21rznmjt,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/56txiyhvsvhudyr1b21rznmjt
31,,Tampa Bay Rowdies,USL Championship,Midfielder,England,58b0j5f9h93p4zz63xha4551x,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/58b0j5f9h93p4zz63xha4551x
1,C.J. Cochran,Tampa Bay Rowdies,USL Championship,Goalkeeper,USA,631nrqi3lgy82rtxhsjqho3jd,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/631nrqi3lgy82rtxhsjqho3jd
23,,Tampa Bay Rowdies,USL Championship,Midfielder,Denmark,6zmdzhx72ydq7lgvn9fstltcl,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/6zmdzhx72ydq7lgvn9fstltcl
47,,Tampa Bay Rowdies,USL Championship,Defender,USA,86nshvyg3steg1ggwev3hrpck,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/86nshvyg3steg1ggwev3hrpck
14,,Tampa Bay Rowdies,USL Championship,Defender,USA,914607gz71onfudf4v45ci0dm,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/914607gz71onfudf4v45ci0dm
22,,Tampa Bay Rowdies,USL Championship,Attacker,USA,axfsb5imzg5hgzgyn5w2cqtx,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/axfsb5imzg5hgzgyn5w2cqtx
33,,Tampa Bay Rowdies,USL Championship,Defender,Mexico,bpkzxcqtmvei7lqkqzuvzelsl,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/bpkzxcqtmvei7lqkqzuvzelsl
13,,Tampa Bay Rowdies,USL Championship,Attacker,Uruguay,cujkrjaqaizwr771ist04uaj9,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/cujkrjaqaizwr771ist04uaj9
6,,Tampa Bay Rowdies,USL Championship,Defender,Congo,cxrjwzo1fmvgcw8i820hwn07p,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/cxrjwzo1fmvgcw8i820hwn07p
3,,Tampa Bay Rowdies,USL Championship,Defender,French Guiana,dbjysa6qhf203jmpjedz8pgph,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/dbjysa6qhf203jmpjedz8pgph
8,,Tampa Bay Rowdies,USL Championship,Midfielder,USA,drj13okbc1qm3oivqgex2h9wq,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/drj13okbc1qm3oivqgex2h9wq
24,,Tampa Bay Rowdies,USL Championship,Defender,USA,du5dg5x7as3ub1iemjuwdd6uh,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/du5dg5x7as3ub1iemjuwdd6uh
15,,Tampa Bay Rowdies,USL Championship,Defender,USA,e9shind4h8y8q9j18k7tiwmzu,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/e9shind4h8y8q9j18k7tiwmzu
77,,Tampa Bay Rowdies,USL Championship,Attacker,Zimbabwe,et3nuux8cuq1gope9ha3oti39,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/et3nuux8cuq1gope9ha3oti39
,,Tampa Bay Rowdies,USL Championship,Goalkeeper,USA,rpbnoqbqamxdbwwlo5pdjre2,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/rpbnoqbqamxdbwwlo5pdjre2
46,,Tampa Bay Rowdies,USL Championship,Midfielder,USA,zj59uztnn42yuyawd39evp0q,5qfq6cwtrgzd2szijivns7rjl,c1d9p6b2e9zr5tqlzx3ktjplg,9hnaw5icujbf5hjeujmvseas4,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/teams/view/5qfq6cwtrgzd2szijivns7rjl/player/view/zj59uztnn42yuyawd39evp0q
