dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
12,,Las Vegas Lights FC,USL Championship,Midfielder,USA,2iivq7awjlpq1dvbvv2dhezxm,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/2iivq7awjlpq1dvbvv2dhezxm
23,,Las Vegas Lights FC,USL Championship,Attacker,USA,36152i5ughsusvnttu47h6iy2,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/36152i5ughsusvnttu47h6iy2
1,,Las Vegas Lights FC,USL Championship,Goalkeeper,Argentina,37ju38exknccxmdr2im3a2961,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/37ju38exknccxmdr2im3a2961
33,,Las Vegas Lights FC,USL Championship,Defender,Ghana,3c47mqf0vorrfrigxmqqhwqac,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/3c47mqf0vorrfrigxmqqhwqac
6,,Las Vegas Lights FC,USL Championship,Midfielder,El Salvador,3e7yquwm1vxf3bj8legzjq9nu,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/3e7yquwm1vxf3bj8legzjq9nu
5,,Las Vegas Lights FC,USL Championship,Defender,USA,3fvtpu15jpxpnddqvo1cvtyei,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/3fvtpu15jpxpnddqvo1cvtyei
20,,Las Vegas Lights FC,USL Championship,Midfielder,Ghana,3u46o5x305hbvrpk8ufu9vjmc,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/3u46o5x305hbvrpk8ufu9vjmc
,,Las Vegas Lights FC,USL Championship,Defender,USA,42auv8vwzv8uxlfv6j3ufscno,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/42auv8vwzv8uxlfv6j3ufscno
22,,Las Vegas Lights FC,USL Championship,Midfielder,USA,4cwccglaxz5sf71eptnj6kzfu,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/4cwccglaxz5sf71eptnj6kzfu
17,,Las Vegas Lights FC,USL Championship,Midfielder,USA,560wdbym05lnngmjlwh4ap979,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/560wdbym05lnngmjlwh4ap979
4,,Las Vegas Lights FC,USL Championship,Defender,USA,64amlcisr3cr924jwy25rjs9h,7c9knuwazz9k9449u5rnuuy5m,c1d9p6b2e9zr5tqlzx3ktjplg,8d7cvsipt9c6mgkshf4iv6o0k,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/teams/view/7c9knuwazz9k9449u5rnuuy5m/player/view/64amlcisr3cr924jwy25rjs9h
