liga,temporada,equipo,id,nombre,posicion,dorsal,Through balls,Time Played,Shots On Target ( inc goals ),Successful Short Passes,Ground Duels lost,Aerial Duels lost,Handballs conceded,Headed Goals,Duels,Goal Assists,Aerial Duels won,Total Losses Of Possession,Penalty Goals Conceded,Total Fouls Won,Successful Long Passes,Yellow Cards,Goals Conceded Inside Box,Forward Passes,Foul Attempted Tackle,Ground Duels,Goals from Inside Box,Throw Ins to Opposition Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots Off Target (inc woodwork),Total Successful Passes ( Excl Crosses & Corners ) ,Clean Sheets,Duels won,Rightside Passes,Games Played,Right Foot Goals,Total Fouls Conceded,Unsuccessful Long Passes,Successful Passes Opposition Half,Tackles Won,Leftside Passes,Substitute On,Open Play Passes,Ground Duels won,Unsuccessful Short Passes,Starts,Unsuccessful Passes Own Half,PutThrough/Blocked Distribution Won,Tackles Lost,Successful Passes Own Half,Blocked Shots,Key Passes (Attempt Assists),Goals Conceded,Overruns,Successful Launches,Goals,Unsuccessful Crosses & Corners,Interceptions,Recoveries,Index,PutThrough/Blocked Distribution,Hit Woodwork,Unsuccessful lay-offs,Total Touches In Opposition Box,Assists (Intentional),Unsuccessful Crosses open play,Aerial Duels,Unsuccessful Passes Opposition Half,Total Passes,Total Clearances,Duels lost,Blocks,Total Shots,Successful Crosses & Corners,Unsuccessful Launches,Successful Crosses open play,Corners Won,Times Tackled,Goals Conceded Outside Box,Touches,Appearances,Offsides,Successful Open Play Passes,Throw Ins to Own Player,Total Tackles,Substitute Off,Unsuccessful Dribbles,Backward Passes,Successful Dribbles,Successful Lay-offs,Home Goals,Away Goals,Winning Goal,Left Foot Goals,Goals from Outside Box,Clearances Off the Line,Penalties Conceded,Penalty Goals,Penalties Taken,Attempts from Set Pieces,Foul Won Penalty,Successful Corners into Box,Corners Taken (incl short corners),Set Pieces Goals,Unsuccessful Corners into Box,GK Successful Distribution,Goal Kicks,Own Goal Scored,Total Red Cards,Red Cards - 2nd Yellow,Other Goals,Second Goal Assists,Catches,Saves Made from Outside Box,GK Unsuccessful Distribution,Drops,Punches,Saves Made,Saves Made from Inside Box,Penalties Faced,Saves made - caught,Saves made - parried,Saves from Penalty,Penalties Saved,Goalkeeper Smother,Straight Red Cards,Last Man Tackle,Penalties Off Target,Last Player Tackle,Crosses not Claimed
USA_USL_Championship,2023,Monterey Bay FC,19addig7dyotjybbwgbjkft2h,L. Archimède,Forward,17,,709.0,13.0,61.0,72.0,59.0,2.0,1.0,207.0,,38.0,104.0,,15.0,2.0,9.0,10.0,44.0,10.0,110.0,5.0,,54.0,17.0,63.0,,76.0,22.0,29.0,5.0,46.0,,44.0,7.0,16.0,25.0,106.0,38.0,54.0,4.0,8.0,14.0,3.0,20.0,2.0,6.0,11.0,,,6.0,4.0,3.0,13.0,10.0,23.0,1.0,1.0,49.0,,4.0,97.0,50.0,117.0,9.0,131.0,,30.0,1.0,,1.0,8.0,19.0,1.0,289.0,29.0,9.0,52.0,,10.0,4.0,10.0,35.0,13.0,4.0,2.0,4.0,0.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Monterey Bay FC,f47fwbxgm35jx628hwpmfdrrp,R. Baca,Midfielder,10,1.0,1048.0,2.0,474.0,31.0,4.0,2.0,,75.0,1.0,3.0,132.0,1.0,11.0,43.0,,18.0,234.0,6.0,68.0,1.0,,101.0,3.0,517.0,2.0,40.0,177.0,12.0,,10.0,32.0,275.0,15.0,141.0,,604.0,37.0,69.0,12.0,22.0,7.0,8.0,244.0,,9.0,21.0,1.0,1.0,1.0,7.0,11.0,77.0,10.0,14.0,,,8.0,1.0,5.0,7.0,86.0,618.0,10.0,35.0,7.0,5.0,2.0,11.0,2.0,5.0,8.0,3.0,752.0,12.0,,506.0,3.0,23.0,3.0,6.0,66.0,3.0,3.0,1.0,0.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Monterey Bay FC,6tz5apnd7yajwhn6bcfhl9mtx,A. Basuljevic,Midfielder,17,,8.0,,8.0,,,,,1.0,,,2.0,,1.0,1.0,,,6.0,,1.0,,,1.0,,9.0,,1.0,1.0,2.0,,,1.0,7.0,,1.0,2.0,9.0,1.0,,,,,,2.0,,,,,,,1.0,,2.0,10.0,,,,,,1.0,,2.0,10.0,,,,,,1.0,,1.0,,,12.0,2.0,,8.0,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Monterey Bay FC,2pu9yy0x7p01mgv9cubqcy904,C. Boone,Forward,31,3.0,1935.0,7.0,458.0,113.0,77.0,1.0,,320.0,4.0,52.0,370.0,3.0,38.0,28.0,5.0,32.0,230.0,14.0,191.0,,1.0,203.0,17.0,486.0,1.0,130.0,142.0,31.0,1.0,43.0,27.0,335.0,17.0,141.0,8.0,685.0,78.0,176.0,23.0,46.0,21.0,2.0,162.0,11.0,21.0,38.0,6.0,,1.0,46.0,5.0,70.0,10.0,60.0,1.0,4.0,73.0,3.0,46.0,129.0,203.0,689.0,18.0,190.0,,24.0,11.0,11.0,11.0,23.0,55.0,6.0,1101.0,31.0,5.0,482.0,28.0,19.0,16.0,21.0,176.0,21.0,16.0,1.0,0.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Monterey Bay FC,4u18dmdc49m4hsulm8yir8set,S. Dawkins,Midfielder,8,1.0,408.0,3.0,188.0,14.0,1.0,,,29.0,,,53.0,3.0,4.0,7.0,1.0,9.0,57.0,3.0,28.0,,,27.0,5.0,195.0,,14.0,78.0,13.0,,4.0,6.0,123.0,2.0,50.0,9.0,222.0,14.0,21.0,4.0,7.0,,2.0,72.0,3.0,3.0,11.0,,,,8.0,4.0,28.0,10.0,5.0,2.0,,8.0,,3.0,1.0,28.0,222.0,1.0,15.0,2.0,8.0,,,,,9.0,2.0,287.0,13.0,3.0,195.0,1.0,4.0,2.0,3.0,37.0,6.0,3.0,,,0.0,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Monterey Bay FC,9glti6ay2zxkigdtjcxtkj7it,A. Dixon,Forward,10,5.0,2401.0,16.0,550.0,84.0,35.0,3.0,1.0,201.0,2.0,17.0,329.0,2.0,33.0,54.0,2.0,34.0,187.0,11.0,149.0,12.0,3.0,178.0,14.0,604.0,3.0,82.0,243.0,32.0,8.0,17.0,28.0,403.0,9.0,185.0,3.0,764.0,65.0,150.0,29.0,37.0,15.0,6.0,212.0,8.0,29.0,37.0,3.0,,12.0,36.0,7.0,105.0,10.0,40.0,1.0,2.0,77.0,1.0,29.0,52.0,177.0,782.0,7.0,119.0,2.0,30.0,11.0,6.0,6.0,18.0,54.0,3.0,1128.0,32.0,11.0,588.0,12.0,15.0,17.0,29.0,167.0,17.0,19.0,7.0,5.0,1.0,3.0,,,,3.0,3.0,1.0,1.0,5.0,10.0,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Monterey Bay FC,653qyopyxl1qrfmul2n3m5g16,M. Doner,Defender,3,1.0,3060.0,5.0,1077.0,97.0,23.0,4.0,,300.0,2.0,27.0,584.0,4.0,72.0,77.0,4.0,47.0,467.0,4.0,250.0,2.0,64.0,263.0,3.0,1154.0,7.0,180.0,42.0,34.0,2.0,22.0,75.0,655.0,24.0,578.0,,1403.0,153.0,188.0,34.0,96.0,25.0,13.0,531.0,1.0,29.0,53.0,6.0,4.0,2.0,120.0,28.0,175.0,10.0,67.0,,,32.0,2.0,120.0,50.0,287.0,1417.0,34.0,120.0,9.0,8.0,32.0,36.0,32.0,25.0,62.0,6.0,2357.0,34.0,5.0,1142.0,263.0,37.0,,39.0,330.0,44.0,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
USA_USL_Championship,2023,Monterey Bay FC,ad8w1ymipywxvgekz79eqjqw9,J. Enríquez,Forward,19,,414.0,2.0,136.0,26.0,6.0,1.0,,49.0,,,62.0,1.0,7.0,4.0,1.0,7.0,28.0,1.0,43.0,,1.0,18.0,2.0,140.0,,17.0,54.0,12.0,,5.0,4.0,96.0,2.0,27.0,8.0,158.0,17.0,14.0,4.0,6.0,,1.0,46.0,3.0,3.0,9.0,2.0,1.0,,16.0,4.0,18.0,10.0,5.0,1.0,,13.0,,15.0,6.0,28.0,158.0,1.0,32.0,1.0,4.0,2.0,1.0,,6.0,19.0,2.0,250.0,12.0,,140.0,9.0,3.0,3.0,13.0,49.0,7.0,,,,0.0,,,,,,,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Monterey Bay FC,6hdas9nshfgbjhj91y3ob8b11,M. Fehr,Midfielder,13,2.0,2118.0,1.0,1015.0,58.0,13.0,1.0,,138.0,1.0,22.0,218.0,3.0,11.0,109.0,7.0,27.0,377.0,17.0,103.0,1.0,1.0,167.0,7.0,1124.0,5.0,67.0,455.0,25.0,,29.0,64.0,517.0,19.0,272.0,1.0,1235.0,45.0,103.0,24.0,48.0,10.0,7.0,618.0,6.0,11.0,30.0,,1.0,1.0,22.0,29.0,156.0,10.0,22.0,,,14.0,1.0,4.0,35.0,141.0,1291.0,32.0,71.0,6.0,8.0,11.0,19.0,2.0,3.0,12.0,3.0,1520.0,25.0,,1078.0,8.0,26.0,4.0,3.0,187.0,8.0,7.0,0.0,1.0,0.0,1.0,,,,,,,,7.0,19.0,,11.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Monterey Bay FC,26ch3v6i6cj0evk767slxcqhg,M. Glasser,Defender,24,,289.0,1.0,80.0,17.0,4.0,,,43.0,1.0,7.0,57.0,,6.0,4.0,1.0,7.0,39.0,4.0,32.0,,13.0,30.0,2.0,84.0,,22.0,30.0,7.0,,10.0,6.0,43.0,2.0,14.0,5.0,114.0,15.0,24.0,2.0,14.0,2.0,3.0,44.0,2.0,5.0,7.0,1.0,1.0,,4.0,2.0,16.0,10.0,8.0,,,9.0,1.0,4.0,11.0,20.0,114.0,12.0,21.0,1.0,3.0,3.0,5.0,3.0,1.0,3.0,,209.0,7.0,,84.0,20.0,5.0,1.0,1.0,31.0,4.0,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
