liga,temporada,equipo,id,nombre,posicion,dorsal,Through balls,Time Played,Shots On Target ( inc goals ),Successful Short Passes,Ground Duels lost,Aerial Duels lost,Handballs conceded,Headed Goals,Duels,Goal Assists,Aerial Duels won,Total Losses Of Possession,Penalty Goals Conceded,Total Fouls Won,Successful Long Passes,Yellow Cards,Goals Conceded Inside Box,Forward Passes,Foul Attempted Tackle,Ground Duels,Goals from Inside Box,Throw Ins to Opposition Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots Off Target (inc woodwork),Total Successful Passes ( Excl Crosses & Corners ) ,Clean Sheets,Duels won,Rightside Passes,Games Played,Right Foot Goals,Total Fouls Conceded,Unsuccessful Long Passes,Successful Passes Opposition Half,Tackles Won,Leftside Passes,Substitute On,Open Play Passes,Ground Duels won,Unsuccessful Short Passes,Starts,Unsuccessful Passes Own Half,PutThrough/Blocked Distribution Won,Tackles Lost,Successful Passes Own Half,Blocked Shots,Key Passes (Attempt Assists),Goals Conceded,Overruns,Successful Launches,Goals,Unsuccessful Crosses & Corners,Interceptions,Recoveries,Index,PutThrough/Blocked Distribution,Hit Woodwork,Unsuccessful lay-offs,Total Touches In Opposition Box,Assists (Intentional),Unsuccessful Crosses open play,Aerial Duels,Unsuccessful Passes Opposition Half,Total Passes,Total Clearances,Duels lost,Blocks,Total Shots,Successful Crosses & Corners,Unsuccessful Launches,Successful Crosses open play,Corners Won,Times Tackled,Goals Conceded Outside Box,Touches,Appearances,Offsides,Successful Open Play Passes,Throw Ins to Own Player,Total Tackles,Substitute Off,Unsuccessful Dribbles,Backward Passes,Successful Dribbles,Successful Lay-offs,Home Goals,Away Goals,Winning Goal,Left Foot Goals,Goals from Outside Box,Clearances Off the Line,Penalties Conceded,Penalty Goals,Penalties Taken,Attempts from Set Pieces,Foul Won Penalty,Successful Corners into Box,Corners Taken (incl short corners),Set Pieces Goals,Unsuccessful Corners into Box,GK Successful Distribution,Goal Kicks,Own Goal Scored,Total Red Cards,Red Cards - 2nd Yellow,Other Goals,Second Goal Assists,Catches,Saves Made from Outside Box,GK Unsuccessful Distribution,Drops,Punches,Saves Made,Saves Made from Inside Box,Penalties Faced,Saves made - caught,Saves made - parried,Saves from Penalty,Penalties Saved,Goalkeeper Smother,Straight Red Cards,Last Man Tackle,Penalties Off Target,Last Player Tackle,Crosses not Claimed
USA_USL_Championship,2023,Oakland Roots SC,6eoyhons8zoaxiemwt7dhkvoq,T. Bailey,Goalkeeper,47,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Oakland Roots SC,rtercnq9nn7y0814ghe7wo2x,D. Barbir,Defender,14,2.0,3058.0,5.0,1377.0,64.0,34.0,,,210.0,5.0,49.0,455.0,3.0,14.0,133.0,4.0,39.0,733.0,4.0,127.0,2.0,20.0,351.0,8.0,1510.0,9.0,112.0,683.0,34.0,,16.0,157.0,638.0,22.0,172.0,,1759.0,63.0,194.0,34.0,120.0,16.0,13.0,883.0,5.0,13.0,48.0,1.0,8.0,2.0,27.0,47.0,219.0,10.0,49.0,,,39.0,4.0,27.0,83.0,258.0,1861.0,72.0,98.0,19.0,13.0,11.0,37.0,11.0,9.0,19.0,9.0,2456.0,34.0,2.0,1421.0,198.0,35.0,1.0,11.0,273.0,14.0,,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
USA_USL_Championship,2023,Oakland Roots SC,9te5zso5mwqrhey6301k48ull,P. Blanchette,Goalkeeper,20,,3060.0,,481.0,1.0,1.0,,,18.0,,8.0,352.0,3.0,8.0,133.0,2.0,39.0,524.0,,9.0,,,347.0,,614.0,9.0,16.0,195.0,34.0,,,332.0,68.0,,241.0,,564.0,8.0,15.0,34.0,92.0,,,546.0,,3.0,48.0,,10.0,,,,302.0,10.0,,,,,,,9.0,255.0,961.0,29.0,2.0,,,,75.0,,,,9.0,1302.0,34.0,,387.0,1.0,,,,1.0,,,,,0.0,,,,,,,,,,,,,327.0,245.0,,,,,,30.0,46.0,69.0,2.0,11.0,114.0,67.0,3.0,6.0,27.0,,,,,,,,
USA_USL_Championship,2023,Oakland Roots SC,86sups6ctbbbds04t0df862hg,K. Bracken,Midfielder,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Oakland Roots SC,9irc1xmfpa2395qef78rfyjje,J. Cedeño,Midfielder,22,9.0,2183.0,13.0,658.0,121.0,18.0,,,262.0,2.0,5.0,373.0,3.0,55.0,26.0,7.0,34.0,258.0,12.0,239.0,3.0,2.0,193.0,13.0,684.0,2.0,123.0,150.0,32.0,,22.0,27.0,494.0,17.0,296.0,8.0,840.0,118.0,166.0,24.0,32.0,22.0,10.0,209.0,14.0,38.0,41.0,7.0,1.0,3.0,43.0,21.0,128.0,10.0,59.0,1.0,2.0,82.0,1.0,27.0,23.0,204.0,877.0,7.0,139.0,,26.0,19.0,6.0,4.0,17.0,64.0,7.0,1339.0,32.0,4.0,648.0,22.0,27.0,12.0,37.0,173.0,36.0,10.0,1.0,2.0,1.0,3.0,,,,,,1.0,3.0,11.0,32.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Oakland Roots SC,9xm6jl872pxaxl6uufm91o8ic,A. Corona,Goalkeeper,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Oakland Roots SC,2itjlhugbdj3tqkhtbk7myck4,E. Cruz,Midfielder,38,,20.0,,4.0,3.0,,,,5.0,,,4.0,,1.0,,,,2.0,,5.0,,,2.0,,4.0,,2.0,,2.0,,,1.0,2.0,,2.0,2.0,6.0,2.0,1.0,,,1.0,,2.0,3.0,,,,,,,,1.0,10.0,1.0,,,3.0,,,,2.0,6.0,1.0,3.0,,,,,,1.0,2.0,,16.0,2.0,,4.0,1.0,,,,2.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Oakland Roots SC,1jhs3g95t0ah1hx3fwlo14kmi,G. Diaz,Defender,23,5.0,2734.0,8.0,680.0,149.0,33.0,3.0,,348.0,5.0,51.0,610.0,3.0,32.0,55.0,8.0,30.0,480.0,25.0,264.0,3.0,13.0,351.0,12.0,735.0,5.0,166.0,242.0,33.0,3.0,45.0,113.0,480.0,35.0,145.0,3.0,1026.0,115.0,238.0,30.0,77.0,29.0,28.0,296.0,9.0,42.0,38.0,6.0,6.0,3.0,139.0,36.0,161.0,10.0,59.0,,1.0,43.0,5.0,70.0,84.0,413.0,1086.0,46.0,182.0,1.0,20.0,41.0,30.0,11.0,28.0,55.0,8.0,1781.0,33.0,13.0,698.0,90.0,63.0,7.0,30.0,219.0,20.0,2.0,1.0,2.0,0.0,,,,1.0,,,1.0,,27.0,84.0,,42.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Oakland Roots SC,93o6uiunyviyp2wajs526a4bu,I. Donasiyano,Midfielder,8,4.0,1028.0,5.0,425.0,71.0,21.0,,,180.0,,10.0,169.0,1.0,31.0,12.0,6.0,18.0,148.0,11.0,149.0,,,91.0,5.0,437.0,2.0,88.0,152.0,17.0,,21.0,20.0,248.0,18.0,134.0,6.0,514.0,78.0,71.0,11.0,21.0,14.0,10.0,192.0,13.0,8.0,22.0,,1.0,,3.0,14.0,78.0,10.0,19.0,,,9.0,,2.0,31.0,73.0,528.0,5.0,92.0,2.0,10.0,3.0,7.0,3.0,5.0,34.0,4.0,780.0,17.0,,424.0,5.0,28.0,3.0,14.0,94.0,19.0,8.0,,,0.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Oakland Roots SC,6naqq6f6acfec3zh2msuxrmqd,D. Formella,Forward,9,4.0,2426.0,24.0,764.0,100.0,29.0,2.0,,237.0,2.0,21.0,329.0,3.0,35.0,28.0,3.0,30.0,186.0,3.0,187.0,12.0,,172.0,17.0,792.0,5.0,108.0,273.0,36.0,10.0,20.0,14.0,470.0,13.0,155.0,11.0,925.0,87.0,158.0,25.0,32.0,13.0,7.0,325.0,9.0,20.0,36.0,5.0,,12.0,22.0,18.0,103.0,10.0,40.0,1.0,4.0,89.0,2.0,20.0,50.0,162.0,964.0,13.0,129.0,1.0,41.0,3.0,2.0,3.0,19.0,66.0,6.0,1356.0,36.0,10.0,753.0,8.0,20.0,9.0,30.0,350.0,32.0,41.0,6.0,6.0,1.0,2.0,,,,3.0,4.0,3.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
