liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Corners Won,Overruns,Substitute On,Successful Dribbles,Throw Ins to Own Player,Total Big Chances Created,Throw Ins to Opposition Player,Handballs conceded,Penalties Conceded,Shots Off Target (inc woodwork),Total Shots,Unsuccessful Dribbles,Goals,Goals Openplay,Goals from Inside Box,Hit Woodwork,Offsides,Right Foot Goals,Shots On Target ( inc goals ),Total Big Chances Missed,Unsuccessful lay-offs,Home Goals,Away Goals,Assists (Intentional),Corners Taken (incl short corners),Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Through balls,Unsuccessful Corners into Box,Red Cards - 2nd Yellow,Total Red Cards,GK Successful Distribution,Goal Kicks,Total Big Chances Saved,Left Foot Goals,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Total Big Chances Scored,Penalties Taken,Penalty Goals,Successful Corners into Box,Attempts from Set Pieces,Second Goal Assists,Foul Won Penalty,Goals Conceded Outside Box,Goals from Outside Box,Own Goal Scored,Last Player Tackle,Headed Goals,Direct Setpiece Goals,Set Pieces Goals,Clearances Off the Line,Crosses not Claimed,Goalkeeper Smother,Straight Red Cards,Penalties Off Target,Penalties Saved,Saves from Penalty,Other Goals
USA_USL_Championship,2026,Oakland Roots SC,cdyrj15oxu3l5sgzgwof8ohgq,F. Bettache,Midfielder,77,2.0,2.0,,9.0,78.0,4.0,1.0,79.0,1.0,46.0,24.0,22.0,153.0,97.0,1.0,9.0,7.0,7.0,44.0,22.0,22.0,4.0,4.0,58.0,278.0,,37.0,4.0,1.0,24.0,52.0,6.0,7.0,5.0,1.0,13.0,10.0,226.0,166.0,71.0,221.0,1.0,4.0,628.0,15.0,2.0,3.0,6.0,97.0,285.0,231.0,5.0,12.0,54.0,386.0,14.0,8.0,9.0,21.0,59.0,9.0,33.0,,0.0,4.0,1.0,2.0,11.0,1.0,2.0,,,,4.0,7.0,4.0,1.0,1.0,1.0,,,,3.0,,,1.0,0.0,1.0,3.0,2.0,6.0,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,Defender,23,23.0,8.0,15.0,6.0,36.0,1.0,3.0,39.0,1.0,57.0,25.0,32.0,63.0,64.0,3.0,6.0,5.0,5.0,34.0,17.0,17.0,5.0,3.0,7.0,169.0,,22.0,9.0,3.0,18.0,65.0,3.0,6.0,3.0,2.0,2.0,7.0,122.0,63.0,62.0,117.0,8.0,7.0,403.0,5.0,18.0,7.0,1.0,77.0,172.0,124.0,15.0,11.0,48.0,302.0,5.0,5.0,4.0,15.0,35.0,18.0,33.0,,0.0,1.0,,,1.0,36.0,1.0,8.0,,,1.0,2.0,3.0,1.0,1.0,1.0,,,,1.0,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,Midfielder,6,14.0,8.0,6.0,9.0,94.0,3.0,4.0,91.0,1.0,60.0,31.0,29.0,77.0,122.0,,9.0,12.0,12.0,46.0,23.0,23.0,16.0,4.0,123.0,414.0,1.0,39.0,12.0,5.0,51.0,81.0,5.0,9.0,2.0,2.0,7.0,25.0,350.0,160.0,198.0,331.0,8.0,6.0,760.0,9.0,16.0,3.0,6.0,83.0,420.0,356.0,14.0,8.0,64.0,535.0,4.0,4.0,9.0,22.0,46.0,22.0,42.0,,0.0,,,,4.0,2.0,2.0,1.0,,1.0,6.0,8.0,4.0,,,,,,,2.0,,2.0,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,19w44q1mdrksxjdmj76r1m32s,A. Caracheo,Goalkeeper,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,dw8iyfupgsqkt8ogxssmtss4q,M. Edwards,Defender,34,22.0,10.0,12.0,9.0,39.0,,5.0,130.0,1.0,52.0,23.0,29.0,34.0,185.0,3.0,9.0,12.0,12.0,30.0,13.0,17.0,7.0,3.0,186.0,449.0,1.0,72.0,5.0,3.0,35.0,63.0,4.0,9.0,,1.0,,21.0,406.0,153.0,277.0,409.0,1.0,4.0,810.0,2.0,33.0,7.0,7.0,56.0,473.0,430.0,5.0,3.0,43.0,585.0,1.0,1.0,9.0,17.0,27.0,17.0,26.0,1.0,0.0,1.0,1.0,,5.0,10.0,2.0,3.0,,,,2.0,1.0,,,,,,,2.0,,1.0,,,1.0,,1.0,,,2.0,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,Midfielder,8,1.0,,1.0,1.0,3.0,,,,,1.0,,1.0,2.0,3.0,,1.0,1.0,1.0,,,,,,4.0,10.0,,,,,3.0,,,,,,,,9.0,4.0,5.0,9.0,,,17.0,,,,,1.0,10.0,9.0,,,1.0,11.0,,,,,,1.0,1.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,bh3an1jmbqxwmf2a41u9p4ftg,David García,Defender,5,27.0,7.0,20.0,6.0,15.0,,4.0,52.0,1.0,52.0,18.0,34.0,10.0,126.0,5.0,6.0,6.0,6.0,25.0,11.0,14.0,4.0,1.0,63.0,281.0,,25.0,5.0,3.0,10.0,90.0,1.0,6.0,1.0,4.0,,20.0,244.0,82.0,173.0,235.0,3.0,4.0,490.0,,46.0,9.0,8.0,44.0,294.0,255.0,7.0,5.0,39.0,380.0,,,12.0,23.0,25.0,14.0,16.0,2.0,0.0,,,,,1.0,,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,Midfielder,12,5.0,3.0,2.0,7.0,45.0,1.0,2.0,25.0,,23.0,11.0,12.0,64.0,40.0,3.0,7.0,5.0,5.0,18.0,8.0,10.0,2.0,3.0,34.0,135.0,,12.0,5.0,3.0,5.0,19.0,3.0,4.0,4.0,1.0,3.0,8.0,110.0,76.0,42.0,105.0,,4.0,329.0,4.0,5.0,3.0,4.0,44.0,138.0,113.0,4.0,3.0,25.0,200.0,5.0,1.0,3.0,9.0,25.0,5.0,16.0,,0.0,,1.0,3.0,2.0,9.0,,5.0,,,1.0,1.0,3.0,,,,,1.0,,,,2.0,,,,5.0,,5.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,Defender,15,20.0,3.0,17.0,8.0,12.0,1.0,6.0,66.0,,34.0,11.0,23.0,10.0,145.0,4.0,8.0,7.0,7.0,14.0,8.0,6.0,1.0,1.0,45.0,282.0,1.0,33.0,,,20.0,87.0,1.0,3.0,1.0,2.0,,19.0,244.0,104.0,146.0,231.0,,1.0,389.0,1.0,19.0,5.0,3.0,46.0,289.0,250.0,1.0,1.0,39.0,339.0,2.0,2.0,13.0,23.0,32.0,9.0,16.0,1.0,0.0,1.0,,5.0,2.0,1.0,,1.0,,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
USA_USL_Championship,2026,Oakland Roots SC,aqqbh1ugeh2f8jjiq8fu2qwru,B. Jacquesson,Forward,27,15.0,8.0,7.0,6.0,19.0,2.0,,48.0,,51.0,29.0,22.0,87.0,31.0,1.0,6.0,5.0,5.0,36.0,21.0,15.0,1.0,2.0,20.0,80.0,1.0,27.0,13.0,6.0,11.0,10.0,3.0,5.0,5.0,,3.0,,52.0,39.0,14.0,52.0,1.0,,345.0,14.0,3.0,4.0,6.0,69.0,80.0,52.0,1.0,13.0,28.0,169.0,15.0,15.0,2.0,5.0,34.0,9.0,23.0,,0.0,6.0,1.0,1.0,8.0,3.0,,,,,2.0,4.0,6.0,1.0,,1.0,,2.0,,2.0,,,0.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
