liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution,Tackles Won,Duels,Total Shots,Unsuccessful Launches,Goals Conceded Inside Box,Blocked Shots,Successful Passes Own Half,Handballs conceded,Goals Conceded Outside Box,Unsuccessful Dribbles,Duels lost,Index,Unsuccessful Short Passes,Substitute Off,Total Losses Of Possession,Successful Long Passes,Time Played,Aerial Duels won,Successful Open Play Passes,Aerial Duels,Duels won,Ground Duels lost,Leftside Passes,Corners Won,Total Fouls Conceded,Unsuccessful Crosses open play,Open Play Passes,Touches,Total Successful Passes ( Excl Crosses & Corners ) ,Total Clearances,Shots On Target ( inc goals ),Forward Passes,Offsides,Total Tackles,Successful Short Passes,Rightside Passes,Key Passes (Attempt Assists),Foul Attempted Tackle,Ground Duels,Total Fouls Won,Successful Dribbles,Games Played,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses & Corners,Starts,Successful Lay-offs,Recoveries,Backward Passes,Throw Ins to Own Player,Unsuccessful Passes Own Half,Total Passes,Yellow Cards,Successful Passes Opposition Half,Goals Conceded,Unsuccessful Passes Opposition Half,Ground Duels won,Times Tackled,Aerial Duels lost,Unsuccessful Long Passes,Total Touches In Opposition Box,Winning Goal,Interceptions,Blocks,Goals,Goals from Inside Box,Substitute On,Tackles Lost,Shots Off Target (inc woodwork),Headed Goals,Home Goals,Away Goals,Goals from Outside Box,Right Foot Goals,Goals Openplay,Successful Launches,Goal Assists,Assists (Intentional),Overruns,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,PutThrough/Blocked Distribution Won,Attempts from Set Pieces,Goal Kicks,GK Successful Distribution,Unsuccessful lay-offs,Other Goals,Successful Corners into Box,Throw Ins to Opposition Player,Punches,Saves Made from Inside Box,Saves made - parried,GK Unsuccessful Distribution,Saves Made,Saves Made from Outside Box,Catches,Foul Won Penalty,Penalty Goals,Penalties Taken,Left Foot Goals,Goalkeeper Smother,Penalties Conceded,Penalty Goals Conceded,Straight Red Cards,Through balls,Total Red Cards,Clearances Off the Line,Set Pieces Goals,Last Player Tackle,Hit Woodwork,Penalties Saved,Saves from Penalty,Penalties Faced,Clean Sheets,Saves made - caught,Second Goal Assists,Drops,Own Goal Scored,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed
USA_USL_Cup,2025,Charlotte Independence,elrk1g42unngk20wovqd2f6s4,M. Arango,Midfielder,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Charlotte Independence,547hoahcy6nbgk48wvovoaind,Jon Bakero,Forward,9,1.0,,13.0,3.0,1.0,,1.0,15.0,,1.0,,9.0,10.0,7.0,1.0,17.0,4.0,121.0,,45.0,5.0,4.0,4.0,10.0,2.0,2.0,,54.0,78.0,48.0,1.0,1.0,15.0,1.0,1.0,44.0,19.0,1.0,1.0,8.0,3.0,,3.0,3.0,9.0,5.0,1.0,1.0,3.0,13.0,,3.0,57.0,,33.0,1.0,11.0,4.0,1.0,5.0,2.0,8.0,0.0,,,,,2.0,1.0,2.0,,,,,,,,1.0,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Charlotte Independence,8rm6nz4smfio7orona6d3cb8,I. Bonus,Defender,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Charlotte Independence,a9xcv9evxwsmocgnrzz614w5x,C. Chaney,Forward,99,4.0,,61.0,14.0,,2.0,1.0,15.0,1.0,2.0,6.0,32.0,10.0,17.0,1.0,51.0,3.0,347.0,16.0,45.0,31.0,29.0,17.0,18.0,3.0,7.0,1.0,63.0,155.0,51.0,10.0,9.0,18.0,7.0,1.0,48.0,13.0,5.0,4.0,30.0,8.0,4.0,4.0,4.0,18.0,1.0,4.0,1.0,7.0,20.0,1.0,3.0,69.0,2.0,36.0,4.0,16.0,13.0,11.0,15.0,1.0,21.0,0.0,1.0,,3.0,2.0,,1.0,5.0,,2.0,1.0,1.0,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Charlotte Independence,8gm6yotwnqihxn67u5tx9m2cq,O. Ciss,Midfielder,6,4.0,4.0,25.0,1.0,4.0,2.0,,56.0,1.0,2.0,2.0,12.0,10.0,12.0,1.0,25.0,8.0,339.0,2.0,106.0,3.0,13.0,11.0,34.0,,6.0,,125.0,169.0,110.0,3.0,1.0,40.0,,5.0,102.0,35.0,3.0,3.0,22.0,6.0,,4.0,4.0,19.0,,4.0,2.0,14.0,20.0,1.0,5.0,129.0,2.0,57.0,4.0,14.0,11.0,4.0,1.0,7.0,1.0,0.0,1.0,3.0,,,,1.0,,,,,,,,,3.0,2.0,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
USA_USL_Cup,2025,Charlotte Independence,3tufsrejg0sddkpj3ibf74qju,C. Dimick,Defender,17,1.0,4.0,15.0,1.0,3.0,2.0,1.0,78.0,,2.0,1.0,6.0,10.0,7.0,,22.0,6.0,360.0,3.0,120.0,5.0,9.0,4.0,61.0,,1.0,2.0,135.0,196.0,125.0,9.0,,49.0,,5.0,119.0,7.0,1.0,,10.0,1.0,,4.0,4.0,15.0,2.0,4.0,,6.0,23.0,17.0,4.0,140.0,,48.0,4.0,13.0,6.0,2.0,2.0,8.0,4.0,0.0,5.0,2.0,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
USA_USL_Cup,2025,Charlotte Independence,5jz7p2yap2y7xizp1pg1hquax,Pedro Fonseca,Midfielder,77,2.0,1.0,8.0,3.0,,,,9.0,,,2.0,6.0,10.0,2.0,1.0,12.0,2.0,74.0,,16.0,2.0,2.0,4.0,,2.0,,,18.0,40.0,17.0,,1.0,4.0,,1.0,15.0,8.0,2.0,,6.0,1.0,,2.0,2.0,2.0,6.0,1.0,1.0,2.0,7.0,,,19.0,,9.0,,8.0,2.0,4.0,2.0,,4.0,0.0,,,,,1.0,,2.0,,,,,,,,,,,7.0,5.0,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Charlotte Independence,3gma44vra7c6e65mdk97jvztg,N. Gray,Midfielder,10,,,,,,,,,,,,,10.0,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Charlotte Independence,ajxa2yfzwct5nd0ded1sa9vmy,C. Jaime,Midfielder,80,3.0,,5.0,,,,2.0,10.0,,,,2.0,10.0,,,3.0,2.0,48.0,,30.0,,3.0,2.0,6.0,1.0,1.0,1.0,30.0,44.0,30.0,1.0,,9.0,,,28.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,3.0,,1.0,,,5.0,12.0,,,30.0,,20.0,,1.0,3.0,1.0,,,3.0,0.0,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Charlotte Independence,cnh6nswy2vrnppeqcl9fro48a,R. Jauregui,Forward,15,2.0,3.0,23.0,5.0,,2.0,,38.0,,2.0,,12.0,10.0,13.0,3.0,26.0,8.0,323.0,1.0,95.0,3.0,11.0,10.0,35.0,1.0,1.0,7.0,109.0,162.0,96.0,9.0,2.0,40.0,,5.0,88.0,7.0,7.0,1.0,20.0,3.0,2.0,4.0,4.0,14.0,7.0,4.0,3.0,14.0,28.0,2.0,3.0,110.0,1.0,61.0,4.0,18.0,10.0,1.0,2.0,1.0,9.0,1.0,4.0,1.0,1.0,1.0,,2.0,3.0,1.0,1.0,0.0,,,,3.0,1.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
