liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution,Tackles Won,Duels,Total Shots,Unsuccessful Launches,Goals Conceded Inside Box,Blocked Shots,Successful Passes Own Half,Handballs conceded,Goals Conceded Outside Box,Unsuccessful Dribbles,Duels lost,Index,Unsuccessful Short Passes,Substitute Off,Total Losses Of Possession,Successful Long Passes,Time Played,Aerial Duels won,Successful Open Play Passes,Aerial Duels,Duels won,Ground Duels lost,Leftside Passes,Corners Won,Total Fouls Conceded,Unsuccessful Crosses open play,Open Play Passes,Touches,Total Successful Passes ( Excl Crosses & Corners ) ,Total Clearances,Shots On Target ( inc goals ),Forward Passes,Offsides,Total Tackles,Successful Short Passes,Rightside Passes,Key Passes (Attempt Assists),Foul Attempted Tackle,Ground Duels,Total Fouls Won,Successful Dribbles,Games Played,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses & Corners,Starts,Successful Lay-offs,Recoveries,Backward Passes,Throw Ins to Own Player,Unsuccessful Passes Own Half,Total Passes,Yellow Cards,Successful Passes Opposition Half,Goals Conceded,Unsuccessful Passes Opposition Half,Ground Duels won,Times Tackled,Aerial Duels lost,Unsuccessful Long Passes,Total Touches In Opposition Box,Winning Goal,Interceptions,Blocks,Goals,Goals from Inside Box,Substitute On,Tackles Lost,Shots Off Target (inc woodwork),Headed Goals,Home Goals,Away Goals,Goals from Outside Box,Right Foot Goals,Goals Openplay,Successful Launches,Goal Assists,Assists (Intentional),Overruns,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,PutThrough/Blocked Distribution Won,Attempts from Set Pieces,Goal Kicks,GK Successful Distribution,Unsuccessful lay-offs,Other Goals,Successful Corners into Box,Throw Ins to Opposition Player,Punches,Saves Made from Inside Box,Saves made - parried,GK Unsuccessful Distribution,Saves Made,Saves Made from Outside Box,Catches,Foul Won Penalty,Penalty Goals,Penalties Taken,Left Foot Goals,Goalkeeper Smother,Penalties Conceded,Penalty Goals Conceded,Straight Red Cards,Through balls,Total Red Cards,Clearances Off the Line,Set Pieces Goals,Last Player Tackle,Hit Woodwork,Penalties Saved,Saves from Penalty,Penalties Faced,Clean Sheets,Saves made - caught,Second Goal Assists,Drops,Own Goal Scored,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed
USA_USL_Cup,2025,Oakland Roots SC,24r8fdf8ypk7ejch9t86zjwgk,I. Alekseev,Defender,88,4.0,2.0,18.0,2.0,4.0,1.0,1.0,19.0,,1.0,1.0,7.0,10.0,14.0,1.0,28.0,2.0,169.0,1.0,43.0,1.0,11.0,7.0,18.0,2.0,4.0,1.0,64.0,96.0,45.0,2.0,,22.0,,2.0,43.0,11.0,1.0,3.0,17.0,4.0,4.0,4.0,4.0,21.0,1.0,1.0,,1.0,15.0,3.0,5.0,66.0,,26.0,2.0,17.0,10.0,3.0,,7.0,6.0,0.0,,,,,3.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,Forward,10,6.0,2.0,32.0,5.0,1.0,2.0,,56.0,,1.0,6.0,18.0,10.0,16.0,1.0,52.0,9.0,278.0,,140.0,,14.0,18.0,48.0,1.0,1.0,5.0,161.0,239.0,152.0,,2.0,47.0,,2.0,143.0,29.0,9.0,,32.0,3.0,9.0,4.0,4.0,23.0,14.0,3.0,10.0,11.0,51.0,1.0,3.0,175.0,,100.0,3.0,34.0,14.0,11.0,,7.0,2.0,0.0,3.0,,,,1.0,,3.0,,,,,,,,1.0,1.0,,7.0,6.0,4.0,1.0,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,cdyrj15oxu3l5sgzgwof8ohgq,F. Bettache,Midfielder,77,2.0,1.0,4.0,2.0,,,,8.0,,1.0,1.0,3.0,10.0,3.0,,15.0,3.0,90.0,,31.0,,1.0,3.0,9.0,,,2.0,36.0,54.0,31.0,,2.0,11.0,,1.0,28.0,7.0,1.0,,4.0,,,1.0,1.0,5.0,2.0,1.0,1.0,4.0,9.0,,,36.0,,24.0,1.0,7.0,1.0,3.0,,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,Defender,3,,,1.0,,,,,22.0,,1.0,,,10.0,3.0,,3.0,,90.0,,30.0,,1.0,,8.0,,,,33.0,39.0,30.0,2.0,,13.0,,1.0,30.0,5.0,,,1.0,,,1.0,1.0,3.0,,1.0,,2.0,7.0,,3.0,33.0,,8.0,1.0,,1.0,,,,,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,Midfielder,18,7.0,3.0,19.0,4.0,5.0,4.0,,39.0,,1.0,2.0,12.0,10.0,13.0,,35.0,5.0,270.0,1.0,116.0,4.0,7.0,9.0,46.0,1.0,3.0,,144.0,184.0,117.0,1.0,2.0,43.0,,3.0,112.0,40.0,5.0,2.0,15.0,1.0,2.0,4.0,4.0,29.0,,2.0,1.0,14.0,17.0,1.0,5.0,146.0,2.0,80.0,5.0,24.0,6.0,3.0,3.0,16.0,7.0,0.0,4.0,1.0,,,2.0,,2.0,,,,,,,1.0,2.0,,,,,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,evk0esdocrzt5zxqmv4ostdcl,J. Damm,Midfielder,25,3.0,1.0,19.0,,3.0,3.0,,20.0,,1.0,2.0,8.0,10.0,12.0,3.0,26.0,1.0,148.0,5.0,45.0,6.0,11.0,7.0,14.0,2.0,3.0,5.0,60.0,98.0,46.0,4.0,,20.0,,4.0,45.0,8.0,1.0,2.0,13.0,1.0,1.0,3.0,3.0,15.0,5.0,3.0,,9.0,19.0,11.0,4.0,61.0,,27.0,4.0,16.0,6.0,3.0,1.0,3.0,2.0,0.0,3.0,,,,,3.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,653qyopyxl1qrfmul2n3m5g16,M. Doner,Defender,30,3.0,3.0,21.0,5.0,1.0,1.0,,34.0,,2.0,3.0,11.0,10.0,5.0,1.0,27.0,1.0,199.0,,82.0,2.0,10.0,9.0,42.0,3.0,1.0,8.0,89.0,145.0,84.0,1.0,4.0,16.0,,3.0,83.0,,,1.0,19.0,6.0,1.0,3.0,3.0,7.0,8.0,2.0,1.0,6.0,33.0,9.0,2.0,91.0,,52.0,3.0,13.0,10.0,7.0,2.0,2.0,9.0,1.0,1.0,,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,Midfielder,45,7.0,2.0,30.0,1.0,2.0,,,39.0,,1.0,3.0,14.0,10.0,16.0,2.0,27.0,1.0,146.0,2.0,76.0,6.0,16.0,10.0,24.0,,2.0,,95.0,129.0,77.0,1.0,1.0,31.0,,4.0,76.0,19.0,1.0,1.0,24.0,7.0,3.0,3.0,3.0,19.0,,2.0,4.0,7.0,22.0,,6.0,96.0,1.0,38.0,1.0,13.0,14.0,7.0,4.0,3.0,2.0,0.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,Midfielder,12,2.0,,12.0,,1.0,2.0,1.0,36.0,,2.0,,10.0,10.0,8.0,1.0,21.0,1.0,195.0,,72.0,2.0,2.0,8.0,23.0,,1.0,,84.0,105.0,75.0,1.0,,24.0,,1.0,74.0,27.0,2.0,,10.0,,1.0,4.0,4.0,12.0,1.0,2.0,1.0,5.0,13.0,,2.0,87.0,,39.0,4.0,11.0,2.0,6.0,2.0,4.0,,0.0,2.0,,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,bogxgfao7j28diagxffy0z9ey,D. Gomez,Midfielder,6,1.0,1.0,8.0,,1.0,2.0,,26.0,,1.0,1.0,6.0,10.0,6.0,1.0,16.0,1.0,158.0,,60.0,1.0,2.0,5.0,16.0,,1.0,2.0,68.0,84.0,62.0,1.0,,15.0,,1.0,61.0,23.0,1.0,,7.0,1.0,,3.0,3.0,8.0,2.0,2.0,3.0,8.0,16.0,,3.0,70.0,,36.0,3.0,7.0,2.0,2.0,1.0,2.0,,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
