liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution,Tackles Won,Duels,Total Shots,Unsuccessful Launches,Goals Conceded Inside Box,Blocked Shots,Successful Passes Own Half,Handballs conceded,Goals Conceded Outside Box,Unsuccessful Dribbles,Duels lost,Index,Unsuccessful Short Passes,Substitute Off,Total Losses Of Possession,Successful Long Passes,Time Played,Aerial Duels won,Successful Open Play Passes,Aerial Duels,Duels won,Ground Duels lost,Leftside Passes,Corners Won,Total Fouls Conceded,Unsuccessful Crosses open play,Open Play Passes,Touches,Total Successful Passes ( Excl Crosses & Corners ) ,Total Clearances,Shots On Target ( inc goals ),Forward Passes,Offsides,Total Tackles,Successful Short Passes,Rightside Passes,Key Passes (Attempt Assists),Foul Attempted Tackle,Ground Duels,Total Fouls Won,Successful Dribbles,Games Played,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses & Corners,Starts,Successful Lay-offs,Recoveries,Backward Passes,Throw Ins to Own Player,Unsuccessful Passes Own Half,Total Passes,Yellow Cards,Successful Passes Opposition Half,Goals Conceded,Unsuccessful Passes Opposition Half,Ground Duels won,Times Tackled,Aerial Duels lost,Unsuccessful Long Passes,Total Touches In Opposition Box,Winning Goal,Interceptions,Blocks,Goals,Goals from Inside Box,Substitute On,Tackles Lost,Shots Off Target (inc woodwork),Headed Goals,Home Goals,Away Goals,Goals from Outside Box,Right Foot Goals,Goals Openplay,Successful Launches,Goal Assists,Assists (Intentional),Overruns,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,PutThrough/Blocked Distribution Won,Attempts from Set Pieces,Goal Kicks,GK Successful Distribution,Unsuccessful lay-offs,Other Goals,Successful Corners into Box,Throw Ins to Opposition Player,Punches,Saves Made from Inside Box,Saves made - parried,GK Unsuccessful Distribution,Saves Made,Saves Made from Outside Box,Catches,Foul Won Penalty,Penalty Goals,Penalties Taken,Left Foot Goals,Goalkeeper Smother,Penalties Conceded,Penalty Goals Conceded,Straight Red Cards,Through balls,Total Red Cards,Clearances Off the Line,Set Pieces Goals,Last Player Tackle,Hit Woodwork,Penalties Saved,Saves from Penalty,Penalties Faced,Clean Sheets,Saves made - caught,Second Goal Assists,Drops,Own Goal Scored,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed
USA_USL_Cup,2025,Portland Hearts of Pine SC,208io2neq09rtpsvbpnhc54ic,Walter Varela,Midfielder,22,5.0,3.0,26.0,6.0,1.0,5.0,,18.0,,,1.0,15.0,10.0,14.0,3.0,34.0,2.0,206.0,3.0,40.0,8.0,11.0,10.0,15.0,,3.0,,56.0,112.0,42.0,5.0,3.0,20.0,,4.0,40.0,6.0,,3.0,18.0,2.0,2.0,4.0,4.0,16.0,,3.0,2.0,12.0,17.0,7.0,8.0,58.0,,24.0,5.0,8.0,8.0,5.0,5.0,2.0,5.0,1.0,2.0,,1.0,1.0,1.0,1.0,3.0,,1.0,0.0,,1.0,1.0,1.0,,,1.0,,,,,2.0,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
USA_USL_Cup,2025,Portland Hearts of Pine SC,7vbkgx432w9lz60z7ov4a6puy,K. Green,Defender,66,1.0,1.0,7.0,,2.0,2.0,1.0,33.0,,,,2.0,10.0,2.0,1.0,4.0,4.0,135.0,4.0,45.0,6.0,5.0,,19.0,,,,48.0,71.0,50.0,10.0,,19.0,,1.0,46.0,14.0,,,1.0,,,2.0,2.0,4.0,,2.0,,4.0,2.0,,1.0,54.0,,17.0,2.0,3.0,1.0,,2.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Portland Hearts of Pine SC,8e5h9dhbn6tt8daewp760uyju,N. James,Forward,47,2.0,,19.0,4.0,1.0,5.0,,5.0,,,3.0,14.0,10.0,10.0,2.0,29.0,,220.0,1.0,18.0,3.0,5.0,12.0,5.0,2.0,1.0,2.0,28.0,62.0,19.0,,2.0,12.0,1.0,,19.0,8.0,1.0,1.0,16.0,3.0,1.0,4.0,4.0,11.0,3.0,3.0,,5.0,5.0,,,30.0,,14.0,5.0,14.0,4.0,9.0,2.0,1.0,2.0,0.0,1.0,,,,1.0,,2.0,,,,,,,,2.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,
USA_USL_Cup,2025,Portland Hearts of Pine SC,2jbcmz368q7694p3hju1r4ydw,J. Kamara,Forward,80,3.0,4.0,24.0,,1.0,5.0,1.0,5.0,,,3.0,13.0,10.0,6.0,,21.0,1.0,134.0,1.0,22.0,2.0,11.0,12.0,17.0,,1.0,,31.0,63.0,24.0,,,9.0,,5.0,23.0,1.0,1.0,1.0,22.0,1.0,4.0,3.0,3.0,9.0,,1.0,,13.0,6.0,,3.0,33.0,,19.0,5.0,6.0,10.0,7.0,1.0,3.0,4.0,0.0,1.0,,,,2.0,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Portland Hearts of Pine SC,5y3ffas67ufbxhtmjmbq3e9xx,J. Keegan,Forward,12,2.0,,4.0,,,3.0,,2.0,,,,1.0,10.0,3.0,1.0,5.0,,59.0,2.0,9.0,3.0,3.0,,2.0,,,1.0,12.0,21.0,10.0,3.0,,6.0,,,10.0,3.0,,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,2.0,13.0,,8.0,3.0,2.0,1.0,,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Portland Hearts of Pine SC,9n8idci7b4kq83rbepum6ub8q,P. Langlois,Midfielder,6,3.0,,16.0,1.0,1.0,5.0,1.0,31.0,,,,8.0,10.0,11.0,,17.0,5.0,211.0,3.0,59.0,5.0,8.0,6.0,23.0,1.0,4.0,1.0,73.0,100.0,61.0,6.0,,24.0,1.0,2.0,56.0,17.0,,1.0,11.0,2.0,1.0,3.0,3.0,14.0,1.0,2.0,1.0,11.0,11.0,,6.0,75.0,1.0,30.0,5.0,9.0,5.0,,2.0,3.0,2.0,1.0,3.0,,,,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Portland Hearts of Pine SC,75ya8t62q1sp6ew1nlanfdduy,A. Liadi,Forward,9,4.0,2.0,35.0,2.0,,3.0,2.0,2.0,,,,18.0,10.0,9.0,1.0,16.0,3.0,111.0,11.0,13.0,23.0,17.0,6.0,4.0,2.0,6.0,,22.0,49.0,14.0,3.0,1.0,7.0,1.0,2.0,11.0,5.0,1.0,1.0,12.0,1.0,3.0,2.0,2.0,9.0,,1.0,1.0,,7.0,,1.0,23.0,,12.0,3.0,8.0,6.0,,12.0,,9.0,0.0,,,1.0,1.0,1.0,,1.0,,1.0,0.0,,1.0,1.0,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Portland Hearts of Pine SC,f1kd9zklc9noursfsqv7qrk5x,M. Lopez,Defender,5,,1.0,17.0,2.0,,3.0,,22.0,,,,12.0,10.0,9.0,1.0,9.0,2.0,151.0,2.0,37.0,6.0,5.0,8.0,9.0,,5.0,,46.0,62.0,39.0,4.0,1.0,19.0,,2.0,37.0,10.0,1.0,5.0,11.0,1.0,,2.0,2.0,9.0,,2.0,1.0,5.0,10.0,,3.0,48.0,,17.0,3.0,6.0,3.0,,4.0,,2.0,0.0,3.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Portland Hearts of Pine SC,7gaubftxflgt75eohs3ms9jvt,S. Mahlamäki,Defender,4,,,10.0,,4.0,6.0,,32.0,,,,6.0,10.0,2.0,,10.0,,180.0,4.0,32.0,9.0,4.0,1.0,10.0,,1.0,,42.0,68.0,38.0,14.0,,18.0,,,38.0,18.0,,1.0,1.0,,,2.0,2.0,10.0,,2.0,,,2.0,,2.0,48.0,,6.0,6.0,8.0,,,5.0,8.0,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Portland Hearts of Pine SC,5ba5vm3lf2ua6mzmphhf8p15g,N. Messer,Forward,3,7.0,5.0,31.0,1.0,9.0,9.0,,29.0,1.0,,3.0,12.0,10.0,20.0,,65.0,9.0,315.0,3.0,79.0,5.0,19.0,10.0,11.0,3.0,5.0,7.0,111.0,230.0,83.0,16.0,,61.0,,9.0,74.0,29.0,3.0,4.0,26.0,5.0,2.0,4.0,4.0,32.0,10.0,3.0,,9.0,14.0,31.0,10.0,115.0,,61.0,9.0,32.0,16.0,6.0,2.0,12.0,4.0,0.0,2.0,1.0,,,1.0,4.0,1.0,,,,,,,3.0,,,,3.0,3.0,7.0,5.0,3.0,,,,,,,9.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
