liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution,Tackles Won,Duels,Total Shots,Unsuccessful Launches,Goals Conceded Inside Box,Blocked Shots,Successful Passes Own Half,Handballs conceded,Goals Conceded Outside Box,Unsuccessful Dribbles,Duels lost,Index,Unsuccessful Short Passes,Substitute Off,Total Losses Of Possession,Successful Long Passes,Time Played,Aerial Duels won,Successful Open Play Passes,Aerial Duels,Duels won,Ground Duels lost,Leftside Passes,Corners Won,Total Fouls Conceded,Unsuccessful Crosses open play,Open Play Passes,Touches,Total Successful Passes ( Excl Crosses & Corners ) ,Total Clearances,Shots On Target ( inc goals ),Forward Passes,Offsides,Total Tackles,Successful Short Passes,Rightside Passes,Key Passes (Attempt Assists),Foul Attempted Tackle,Ground Duels,Total Fouls Won,Successful Dribbles,Games Played,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses & Corners,Starts,Successful Lay-offs,Recoveries,Backward Passes,Throw Ins to Own Player,Unsuccessful Passes Own Half,Total Passes,Yellow Cards,Successful Passes Opposition Half,Goals Conceded,Unsuccessful Passes Opposition Half,Ground Duels won,Times Tackled,Aerial Duels lost,Unsuccessful Long Passes,Total Touches In Opposition Box,Winning Goal,Interceptions,Blocks,Goals,Goals from Inside Box,Substitute On,Tackles Lost,Shots Off Target (inc woodwork),Headed Goals,Home Goals,Away Goals,Goals from Outside Box,Right Foot Goals,Goals Openplay,Successful Launches,Goal Assists,Assists (Intentional),Overruns,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,PutThrough/Blocked Distribution Won,Attempts from Set Pieces,Goal Kicks,GK Successful Distribution,Unsuccessful lay-offs,Other Goals,Successful Corners into Box,Throw Ins to Opposition Player,Punches,Saves Made from Inside Box,Saves made - parried,GK Unsuccessful Distribution,Saves Made,Saves Made from Outside Box,Catches,Foul Won Penalty,Penalty Goals,Penalties Taken,Left Foot Goals,Goalkeeper Smother,Penalties Conceded,Penalty Goals Conceded,Straight Red Cards,Through balls,Total Red Cards,Clearances Off the Line,Set Pieces Goals,Last Player Tackle,Hit Woodwork,Penalties Saved,Saves from Penalty,Penalties Faced,Clean Sheets,Saves made - caught,Second Goal Assists,Drops,Own Goal Scored,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed
USA_USL_Cup,2025,South Georgia Tormenta FC,43tr063d8ut1mygz1xjfaedm2,Gabriel Alves,Defender,3,2.0,1.0,32.0,1.0,10.0,6.0,1.0,63.0,,1.0,1.0,15.0,10.0,20.0,,68.0,6.0,360.0,8.0,113.0,15.0,17.0,8.0,4.0,1.0,6.0,10.0,150.0,253.0,113.0,19.0,,73.0,,3.0,107.0,51.0,7.0,3.0,17.0,4.0,2.0,4.0,4.0,37.0,11.0,4.0,,14.0,22.0,22.0,13.0,150.0,,56.0,7.0,35.0,9.0,2.0,7.0,17.0,3.0,0.0,2.0,1.0,,,,2.0,1.0,,,,,,,1.0,,,,2.0,1.0,6.0,5.0,1.0,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,2isxv4mvury3ew7on0tx3rpt6,Y. Bazini,Forward,19,2.0,4.0,39.0,8.0,,4.0,1.0,11.0,,1.0,1.0,19.0,10.0,19.0,3.0,30.0,,257.0,7.0,21.0,15.0,20.0,11.0,11.0,1.0,2.0,1.0,41.0,87.0,26.0,1.0,4.0,9.0,1.0,6.0,26.0,13.0,,,24.0,5.0,2.0,4.0,4.0,20.0,1.0,3.0,,7.0,13.0,,1.0,46.0,,16.0,5.0,20.0,13.0,5.0,8.0,1.0,15.0,0.0,2.0,,,,1.0,2.0,4.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,8t08t0apxw269hv16vhxaycbt,H. Bwana,Midfielder,71,3.0,2.0,15.0,4.0,1.0,2.0,1.0,13.0,1.0,,4.0,9.0,10.0,8.0,1.0,17.0,4.0,116.0,,38.0,,6.0,9.0,3.0,1.0,2.0,,48.0,75.0,39.0,,1.0,10.0,1.0,2.0,35.0,21.0,,1.0,15.0,,4.0,3.0,3.0,10.0,,1.0,2.0,7.0,15.0,2.0,3.0,49.0,,26.0,2.0,7.0,6.0,7.0,,2.0,6.0,0.0,2.0,,,,2.0,,3.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,cskhx4mpx2quo562ptajwbsru,Gabriel Cabral,Midfielder,8,2.0,2.0,24.0,4.0,5.0,5.0,2.0,55.0,,1.0,,12.0,10.0,11.0,1.0,26.0,18.0,269.0,5.0,101.0,8.0,12.0,9.0,33.0,1.0,5.0,,118.0,160.0,109.0,3.0,2.0,36.0,,3.0,91.0,30.0,7.0,2.0,16.0,4.0,,4.0,4.0,19.0,1.0,3.0,3.0,12.0,29.0,,1.0,128.0,,54.0,6.0,19.0,7.0,1.0,3.0,8.0,1.0,0.0,2.0,,1.0,,1.0,1.0,2.0,,1.0,0.0,1.0,1.0,,,,,,2.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,6ki7cq3dsamhsfb1x1a7i5x3p,C. Doyle,Midfielder,22,,4.0,13.0,2.0,1.0,1.0,,23.0,,,,3.0,10.0,10.0,2.0,14.0,,163.0,2.0,40.0,2.0,10.0,3.0,11.0,,1.0,,52.0,73.0,42.0,2.0,2.0,22.0,,7.0,42.0,14.0,2.0,,11.0,1.0,,4.0,4.0,13.0,,2.0,,7.0,8.0,,4.0,55.0,1.0,19.0,1.0,9.0,8.0,,,3.0,2.0,1.0,,,1.0,1.0,2.0,3.0,,,0.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,24lvqm5mjuzs1j4ar8qm5t97t,A. Drey,Midfielder,14,6.0,4.0,23.0,1.0,2.0,5.0,,62.0,,1.0,1.0,12.0,10.0,9.0,2.0,15.0,10.0,260.0,1.0,91.0,4.0,11.0,9.0,28.0,,6.0,,104.0,140.0,97.0,4.0,,37.0,,5.0,87.0,30.0,3.0,3.0,19.0,3.0,2.0,4.0,4.0,13.0,,3.0,1.0,9.0,15.0,,4.0,110.0,1.0,35.0,6.0,9.0,10.0,1.0,3.0,4.0,1.0,0.0,2.0,3.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,dfei7o8jgoj1tthid3e50b9w,A. Fernandez-Veitia,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,4hdai9za2ls03tjpcw0ahu5wq,T. Gray,Forward,10,1.0,,13.0,1.0,1.0,3.0,,4.0,,1.0,2.0,9.0,10.0,1.0,1.0,13.0,,79.0,1.0,8.0,2.0,4.0,8.0,,,4.0,2.0,11.0,30.0,8.0,,1.0,4.0,,,8.0,4.0,,,11.0,,3.0,2.0,2.0,3.0,2.0,1.0,,3.0,3.0,,,11.0,1.0,4.0,4.0,5.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,3uabsdabmrqqjuuvgdp1ll89g,L. Healy,Forward,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,58uexaxruilsi52735lkwmqqx,O. Jiménez,Defender,58,7.0,3.0,30.0,,4.0,5.0,2.0,65.0,,1.0,3.0,16.0,10.0,15.0,1.0,42.0,9.0,341.0,5.0,87.0,7.0,14.0,14.0,47.0,4.0,4.0,5.0,108.0,192.0,91.0,12.0,,46.0,,4.0,82.0,6.0,4.0,1.0,23.0,3.0,2.0,4.0,4.0,22.0,11.0,4.0,,10.0,14.0,21.0,9.0,113.0,1.0,29.0,6.0,24.0,9.0,3.0,2.0,7.0,1.0,0.0,2.0,1.0,,,,1.0,,,,,,,,2.0,1.0,1.0,,9.0,6.0,3.0,,5.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
